Gene stable ID,33ea1e05-fe2b-4ee0-b57e-49a5dae1ef83
ENSG00000000003,4176
ENSG00000000005,8
ENSG00000000419,2136
ENSG00000000457,789
ENSG00000000460,438
ENSG00000000938,333
ENSG00000000971,7214
ENSG00000001036,3444
ENSG00000001084,1543
ENSG00000001167,3090
ENSG00000001460,559
ENSG00000001461,2791
ENSG00000001497,2029
ENSG00000001561,1303
ENSG00000001617,2528
ENSG00000001626,37
ENSG00000001629,4438
ENSG00000001630,149
ENSG00000001631,1705
ENSG00000002016,294
ENSG00000002079,10
ENSG00000002330,956
ENSG00000002549,4035
ENSG00000002586,31055
ENSG00000002587,146
ENSG00000002726,15
ENSG00000002745,3
ENSG00000002746,132
ENSG00000002822,673
ENSG00000002834,14140
ENSG00000002919,1386
ENSG00000002933,4159
ENSG00000003056,3206
ENSG00000003096,357
ENSG00000003137,283
ENSG00000003147,1086
ENSG00000003249,1146
ENSG00000003393,1435
ENSG00000003400,1057
ENSG00000003402,4326
ENSG00000003436,2436
ENSG00000003509,699
ENSG00000003756,2890
ENSG00000003987,75
ENSG00000003989,1833
ENSG00000004059,7771
ENSG00000004139,264
ENSG00000004142,5047
ENSG00000004399,9899
ENSG00000004455,5347
ENSG00000004468,219
ENSG00000004478,4783
ENSG00000004487,5034
ENSG00000004534,2550
ENSG00000004660,700
ENSG00000004700,2631
ENSG00000004766,1479
ENSG00000004776,1850
ENSG00000004777,359
ENSG00000004779,2253
ENSG00000004799,1249
ENSG00000004809,3
ENSG00000004838,20
ENSG00000004846,89
ENSG00000004848,0
ENSG00000004864,1463
ENSG00000004866,2046
ENSG00000004897,4064
ENSG00000004939,3
ENSG00000004948,12
ENSG00000004961,1478
ENSG00000004975,1383
ENSG00000005001,504
ENSG00000005007,5929
ENSG00000005020,2646
ENSG00000005022,10519
ENSG00000005059,1261
ENSG00000005073,52
ENSG00000005075,1426
ENSG00000005100,1235
ENSG00000005102,67
ENSG00000005108,1030
ENSG00000005156,1130
ENSG00000005175,1315
ENSG00000005187,194
ENSG00000005189,167
ENSG00000005194,2511
ENSG00000005206,880
ENSG00000005238,1568
ENSG00000005243,3620
ENSG00000005249,1925
ENSG00000005302,2206
ENSG00000005339,6298
ENSG00000005379,196
ENSG00000005381,4
ENSG00000005421,8
ENSG00000005436,919
ENSG00000005448,319
ENSG00000005469,867
ENSG00000005471,260
ENSG00000005483,5709
ENSG00000005486,3591
ENSG00000005513,19
ENSG00000005700,4276
ENSG00000005801,1469
ENSG00000005810,4726
ENSG00000005812,3658
ENSG00000005844,589
ENSG00000005882,869
ENSG00000005884,2539
ENSG00000005889,2380
ENSG00000005893,21435
ENSG00000005961,17
ENSG00000005981,16
ENSG00000006007,5878
ENSG00000006015,344
ENSG00000006016,387
ENSG00000006025,562
ENSG00000006042,4426
ENSG00000006047,778
ENSG00000006059,1
ENSG00000006062,588
ENSG00000006071,12
ENSG00000006116,2
ENSG00000006118,2820
ENSG00000006125,12910
ENSG00000006128,25
ENSG00000006194,1585
ENSG00000006210,3419
ENSG00000006282,1985
ENSG00000006283,196
ENSG00000006327,2453
ENSG00000006377,6
ENSG00000006432,1034
ENSG00000006451,5946
ENSG00000006453,1558
ENSG00000006459,2398
ENSG00000006468,2816
ENSG00000006530,1565
ENSG00000006534,763
ENSG00000006555,471
ENSG00000006576,2666
