Gene stable ID,716cac6b-0e27-4f33-8b18-6e79f04c46b1
ENSG00000000003,6246
ENSG00000000005,528
ENSG00000000419,2333
ENSG00000000457,1820
ENSG00000000460,438
ENSG00000000938,1064
ENSG00000000971,6784
ENSG00000001036,3718
ENSG00000001084,4488
ENSG00000001167,3339
ENSG00000001460,1020
ENSG00000001461,4223
ENSG00000001497,3149
ENSG00000001561,3115
ENSG00000001617,3704
ENSG00000001626,104
ENSG00000001629,6182
ENSG00000001630,250
ENSG00000001631,3435
ENSG00000002016,923
ENSG00000002079,18
ENSG00000002330,1499
ENSG00000002549,8788
ENSG00000002586,14319
ENSG00000002587,512
ENSG00000002726,23
ENSG00000002745,2
ENSG00000002746,76
ENSG00000002822,1500
ENSG00000002834,21523
ENSG00000002919,2200
ENSG00000002933,3259
ENSG00000003056,5573
ENSG00000003096,3009
ENSG00000003137,1408
ENSG00000003147,1974
ENSG00000003249,441
ENSG00000003393,3240
ENSG00000003400,2014
ENSG00000003402,21679
ENSG00000003436,8065
ENSG00000003509,987
ENSG00000003756,9303
ENSG00000003987,148
ENSG00000003989,6153
ENSG00000004059,5367
ENSG00000004139,738
ENSG00000004142,7926
ENSG00000004399,19305
ENSG00000004455,8438
ENSG00000004468,308
ENSG00000004478,6668
ENSG00000004487,6151
ENSG00000004534,7383
ENSG00000004660,780
ENSG00000004700,2610
ENSG00000004766,2190
ENSG00000004776,31474
ENSG00000004777,770
ENSG00000004779,2664
ENSG00000004799,33106
ENSG00000004809,12
ENSG00000004838,96
ENSG00000004846,1121
ENSG00000004848,1
ENSG00000004864,1437
ENSG00000004866,2170
ENSG00000004897,6229
ENSG00000004939,26
ENSG00000004948,42
ENSG00000004961,1194
ENSG00000004975,2768
ENSG00000005001,267
ENSG00000005007,7928
ENSG00000005020,6186
ENSG00000005022,11848
ENSG00000005059,920
ENSG00000005073,40
ENSG00000005075,1091
ENSG00000005100,2198
ENSG00000005102,2803
ENSG00000005108,1512
ENSG00000005156,1877
ENSG00000005175,1965
ENSG00000005187,710
ENSG00000005189,531
ENSG00000005194,2186
ENSG00000005206,2357
ENSG00000005238,2126
ENSG00000005243,2430
ENSG00000005249,39629
ENSG00000005302,1873
ENSG00000005339,15129
ENSG00000005379,2272
ENSG00000005381,28
ENSG00000005421,8
ENSG00000005436,2366
ENSG00000005448,514
ENSG00000005469,1377
ENSG00000005471,173
ENSG00000005483,11712
ENSG00000005486,4021
ENSG00000005513,155
ENSG00000005700,6360
ENSG00000005801,1773
ENSG00000005810,20640
ENSG00000005812,8337
ENSG00000005844,908
ENSG00000005882,9253
ENSG00000005884,8544
ENSG00000005889,6001
ENSG00000005893,17964
ENSG00000005961,130
ENSG00000005981,19
ENSG00000006007,5805
ENSG00000006015,665
ENSG00000006016,173
ENSG00000006025,856
ENSG00000006042,4224
ENSG00000006047,885
ENSG00000006059,12
ENSG00000006062,2095
ENSG00000006071,280
ENSG00000006116,0
ENSG00000006118,867
ENSG00000006125,21675
ENSG00000006128,40
ENSG00000006194,2621
ENSG00000006210,23195
ENSG00000006282,4682
ENSG00000006283,222
ENSG00000006327,987
ENSG00000006377,8
ENSG00000006432,740
ENSG00000006451,6049
ENSG00000006453,1288
ENSG00000006459,4835
ENSG00000006468,2239
ENSG00000006530,2150
ENSG00000006534,634
ENSG00000006555,454
ENSG00000006576,2060
ENSG00000006606,9
ENSG00000006607,2603
ENSG00000006611,44
ENSG00000006625,1998
ENSG00000006634,451
ENSG00000006638,281
ENSG00000006652,4649
ENSG00000006659,1
ENSG00000006695,1483
ENSG00000006704,1369
ENSG00000006712,4868
ENSG00000006715,5541
ENSG00000006740,775
ENSG00000006744,4824
ENSG00000006747,212
ENSG00000006756,6653
ENSG00000006757,2289
ENSG00000006788,22
ENSG00000006831,14399
ENSG00000006837,81
ENSG00000007001,28
ENSG00000007038,34
ENSG00000007047,3064
ENSG00000007062,5233
ENSG00000007080,2041
ENSG00000007129,82
ENSG00000007168,14376
ENSG00000007171,94
ENSG00000007174,311
ENSG00000007202,17058
ENSG00000007216,653
ENSG00000007237,5446
ENSG00000007255,938
ENSG00000007264,102
ENSG00000007306,28
ENSG00000007312,391
ENSG00000007314,2789
ENSG00000007341,1022
ENSG00000007350,8
ENSG00000007372,346
ENSG00000007376,749
ENSG00000007384,2169
