Gene stable ID,a8ebea86-3b3e-4e0d-839e-709c44c394a3
ENSG00000000003,7223
ENSG00000000005,36
ENSG00000000419,1906
ENSG00000000457,3565
ENSG00000000460,1364
ENSG00000000938,533
ENSG00000000971,5380
ENSG00000001036,3781
ENSG00000001084,2292
ENSG00000001167,4268
ENSG00000001460,795
ENSG00000001461,2192
ENSG00000001497,2447
ENSG00000001561,3345
ENSG00000001617,5895
ENSG00000001626,132
ENSG00000001629,5727
ENSG00000001630,619
ENSG00000001631,3502
ENSG00000002016,685
ENSG00000002079,25
ENSG00000002330,1488
ENSG00000002549,4768
ENSG00000002586,10880
ENSG00000002587,264
ENSG00000002726,724
ENSG00000002745,3
ENSG00000002746,26
ENSG00000002822,986
ENSG00000002834,20236
ENSG00000002919,1533
ENSG00000002933,1174
ENSG00000003056,4858
ENSG00000003096,1814
ENSG00000003137,608
ENSG00000003147,2799
ENSG00000003249,1803
ENSG00000003393,3209
ENSG00000003400,1126
ENSG00000003402,9248
ENSG00000003436,2229
ENSG00000003509,798
ENSG00000003756,4294
ENSG00000003987,83
ENSG00000003989,12041
ENSG00000004059,9805
ENSG00000004139,433
ENSG00000004142,5430
ENSG00000004399,10626
ENSG00000004455,4293
ENSG00000004468,175
ENSG00000004478,18591
ENSG00000004487,5741
ENSG00000004534,4205
ENSG00000004660,981
ENSG00000004700,2139
ENSG00000004766,3094
ENSG00000004776,1032
ENSG00000004777,1074
ENSG00000004779,2472
ENSG00000004799,40890
ENSG00000004809,5
ENSG00000004838,590
ENSG00000004846,68
ENSG00000004848,15
ENSG00000004864,1433
ENSG00000004866,2072
ENSG00000004897,4310
ENSG00000004939,2
ENSG00000004948,31
ENSG00000004961,1015
ENSG00000004975,1743
ENSG00000005001,564
ENSG00000005007,10323
ENSG00000005020,1853
ENSG00000005022,15233
ENSG00000005059,926
ENSG00000005073,9
ENSG00000005075,1308
ENSG00000005100,1706
ENSG00000005102,756
ENSG00000005108,983
ENSG00000005156,3891
ENSG00000005175,2347
ENSG00000005187,682
ENSG00000005189,527
ENSG00000005194,1920
ENSG00000005206,2571
ENSG00000005238,1057
ENSG00000005243,527
ENSG00000005249,4961
ENSG00000005302,1915
ENSG00000005339,12931
ENSG00000005379,1748
ENSG00000005381,13
ENSG00000005421,9
ENSG00000005436,1206
ENSG00000005448,440
ENSG00000005469,3086
ENSG00000005471,105
ENSG00000005483,8876
ENSG00000005486,5367
ENSG00000005513,33
ENSG00000005700,5392
ENSG00000005801,1545
ENSG00000005810,5400
ENSG00000005812,3957
ENSG00000005844,1931
ENSG00000005882,1142
ENSG00000005884,8306
ENSG00000005889,5447
ENSG00000005893,18821
ENSG00000005961,33
ENSG00000005981,7
ENSG00000006007,7002
ENSG00000006015,545
ENSG00000006016,180
ENSG00000006025,605
ENSG00000006042,4935
ENSG00000006047,100
ENSG00000006059,4
ENSG00000006062,1629
ENSG00000006071,1826
ENSG00000006116,0
ENSG00000006118,6603
ENSG00000006125,28245
ENSG00000006128,274
ENSG00000006194,3168
ENSG00000006210,8460
ENSG00000006282,3021
ENSG00000006283,167
ENSG00000006327,477
ENSG00000006377,12
ENSG00000006432,1979
ENSG00000006451,4056
ENSG00000006453,3805
ENSG00000006459,4437
ENSG00000006468,1112
ENSG00000006530,2179
ENSG00000006534,478
ENSG00000006555,350
ENSG00000006576,2039
ENSG00000006606,6
ENSG00000006607,3957
ENSG00000006611,21
ENSG00000006625,4101
ENSG00000006634,720
ENSG00000006638,122
ENSG00000006652,1665
ENSG00000006659,34
ENSG00000006695,788
ENSG00000006704,2217
ENSG00000006712,4509
ENSG00000006715,4490
ENSG00000006740,1002
ENSG00000006744,2886
ENSG00000006747,157
ENSG00000006756,17944
ENSG00000006757,3172
ENSG00000006788,14
ENSG00000006831,5868
ENSG00000006837,50
ENSG00000007001,4
ENSG00000007038,466
ENSG00000007047,3494
ENSG00000007062,1442
ENSG00000007080,1622
ENSG00000007129,78
ENSG00000007168,7584
ENSG00000007171,54
ENSG00000007174,46
ENSG00000007202,13448
ENSG00000007216,3524
ENSG00000007237,2539
ENSG00000007255,1638
ENSG00000007264,95
ENSG00000007306,69
ENSG00000007312,414
ENSG00000007314,302
