Gene stable ID,8e74de7e-b3d4-4e09-813a-6543c28fce10
ENSG00000000003,846
ENSG00000000005,7
ENSG00000000419,933
ENSG00000000457,1688
ENSG00000000460,326
ENSG00000000938,1726
ENSG00000000971,4555
ENSG00000001036,2877
ENSG00000001084,3422
ENSG00000001167,1823
ENSG00000001460,367
ENSG00000001461,1555
ENSG00000001497,2142
ENSG00000001561,453
ENSG00000001617,3507
ENSG00000001626,85
ENSG00000001629,2417
ENSG00000001630,254
ENSG00000001631,1404
ENSG00000002016,508
ENSG00000002079,10
ENSG00000002330,1266
ENSG00000002549,9183
ENSG00000002586,12477
ENSG00000002587,217
ENSG00000002726,76
ENSG00000002745,4
ENSG00000002746,126
ENSG00000002822,1522
ENSG00000002834,17408
ENSG00000002919,1541
ENSG00000002933,2787
ENSG00000003056,4424
ENSG00000003096,84
ENSG00000003137,157
ENSG00000003147,2002
ENSG00000003249,548
ENSG00000003393,1458
ENSG00000003400,1819
ENSG00000003402,8629
ENSG00000003436,679
ENSG00000003509,535
ENSG00000003756,6374
ENSG00000003987,52
ENSG00000003989,347
ENSG00000004059,5729
ENSG00000004139,453
ENSG00000004142,2829
ENSG00000004399,10337
ENSG00000004455,2983
ENSG00000004468,1479
ENSG00000004478,12087
ENSG00000004487,2940
ENSG00000004534,5100
ENSG00000004660,683
ENSG00000004700,1579
ENSG00000004766,1078
ENSG00000004776,252
ENSG00000004777,703
ENSG00000004779,1688
ENSG00000004799,508
ENSG00000004809,11
ENSG00000004838,398
ENSG00000004846,7
ENSG00000004848,7
ENSG00000004864,940
ENSG00000004866,918
ENSG00000004897,2555
ENSG00000004939,3
ENSG00000004948,27
ENSG00000004961,819
ENSG00000004975,1330
ENSG00000005001,595
ENSG00000005007,7507
ENSG00000005020,1855
ENSG00000005022,9653
ENSG00000005059,1351
ENSG00000005073,103
ENSG00000005075,1199
ENSG00000005100,793
ENSG00000005102,425
ENSG00000005108,276
ENSG00000005156,1194
ENSG00000005175,1341
ENSG00000005187,189
ENSG00000005189,218
ENSG00000005194,1324
ENSG00000005206,2802
ENSG00000005238,1562
ENSG00000005243,1456
ENSG00000005249,3340
ENSG00000005302,1973
ENSG00000005339,7482
ENSG00000005379,1498
ENSG00000005381,30
ENSG00000005421,8
ENSG00000005436,573
ENSG00000005448,479
ENSG00000005469,2274
ENSG00000005471,114
ENSG00000005483,5183
ENSG00000005486,4284
ENSG00000005513,49
ENSG00000005700,4417
ENSG00000005801,1151
ENSG00000005810,5646
ENSG00000005812,3291
ENSG00000005844,7713
ENSG00000005882,1115
ENSG00000005884,4164
ENSG00000005889,2340
ENSG00000005893,10200
ENSG00000005961,32
ENSG00000005981,0
ENSG00000006007,4406
ENSG00000006015,1970
ENSG00000006016,92
ENSG00000006025,1032
ENSG00000006042,2192
ENSG00000006047,106
ENSG00000006059,0
ENSG00000006062,2020
ENSG00000006071,243
ENSG00000006116,0
ENSG00000006118,2045
ENSG00000006125,13167
ENSG00000006128,8
ENSG00000006194,1889
ENSG00000006210,2968
ENSG00000006282,3497
ENSG00000006283,64
ENSG00000006327,1334
ENSG00000006377,4
ENSG00000006432,855
ENSG00000006451,2813
ENSG00000006453,1950
ENSG00000006459,3322
ENSG00000006468,519
ENSG00000006530,1303
ENSG00000006534,1596
ENSG00000006555,515
ENSG00000006576,1378
ENSG00000006606,9
ENSG00000006607,1797
ENSG00000006611,2
ENSG00000006625,2388
ENSG00000006634,381
ENSG00000006638,106
ENSG00000006652,1108
ENSG00000006659,3
ENSG00000006695,443
ENSG00000006704,1754
ENSG00000006712,3202
ENSG00000006715,3044
ENSG00000006740,336
ENSG00000006744,2438
ENSG00000006747,6430
ENSG00000006756,5994
ENSG00000006757,1112
ENSG00000006788,17
ENSG00000006831,4197
ENSG00000006837,35
ENSG00000007001,3
ENSG00000007038,249
ENSG00000007047,1754
ENSG00000007062,148
ENSG00000007080,1779
ENSG00000007129,345
ENSG00000007168,5752
ENSG00000007171,42
ENSG00000007174,25
ENSG00000007202,6455
ENSG00000007216,166
ENSG00000007237,5523
ENSG00000007255,1511
ENSG00000007264,712
ENSG00000007306,41
ENSG00000007312,741
ENSG00000007314,45
ENSG00000007341,261
ENSG00000007350,5
ENSG00000007372,87
ENSG00000007376,823
ENSG00000007384,2374
ENSG00000007392,2293
ENSG00000007402,289
ENSG00000007516,478
ENSG00000007520,1912
ENSG00000007541,2916
ENSG00000007545,1076
ENSG00000007866,1380
ENSG00000007908,478
ENSG00000007923,1053
ENSG00000007933,427
ENSG00000007944,2043
ENSG00000007952,23
ENSG00000007968,116
ENSG00000008018,6656
ENSG00000008056,47
ENSG00000008083,2717
ENSG00000008086,1542
ENSG00000008118,65
ENSG00000008128,366
ENSG00000008130,3317
ENSG00000008196,13
ENSG00000008197,1
ENSG00000008226,90
ENSG00000008256,3482
ENSG00000008277,901
ENSG00000008282,6513
ENSG00000008283,7291
ENSG00000008294,4385
ENSG00000008300,818
ENSG00000008311,383
ENSG00000008323,275
ENSG00000008324,870
ENSG00000008382,1343
ENSG00000008394,1120
ENSG00000008405,1091
ENSG00000008438,4
ENSG00000008441,11344
ENSG00000008513,4865
ENSG00000008516,340
ENSG00000008517,5936
ENSG00000008710,4058
ENSG00000008735,1449
ENSG00000008838,3633
ENSG00000008853,1917
ENSG00000008869,2110
ENSG00000008952,8669
ENSG00000008988,28693
ENSG00000009307,21025
ENSG00000009335,3681
ENSG00000009413,1258
ENSG00000009694,96
ENSG00000009709,1
ENSG00000009724,107
ENSG00000009765,26
ENSG00000009780,588
ENSG00000009790,1958
ENSG00000009830,913
ENSG00000009844,1537
ENSG00000009950,20
ENSG00000009954,5791
ENSG00000010017,2447
ENSG00000010030,863
ENSG00000010072,690
ENSG00000010165,3172
ENSG00000010219,773
ENSG00000010244,5767
ENSG00000010256,5583
ENSG00000010270,1256
ENSG00000010278,9965
