Gene stable ID,de2902c4-249e-427e-a267-4b4a34ec05c4
ENSG00000000003,3026
ENSG00000000005,126
ENSG00000000419,1525
ENSG00000000457,2253
ENSG00000000460,553
ENSG00000000938,487
ENSG00000000971,1604
ENSG00000001036,2172
ENSG00000001084,1140
ENSG00000001167,3782
ENSG00000001460,980
ENSG00000001461,3014
ENSG00000001497,3374
ENSG00000001561,718
ENSG00000001617,5057
ENSG00000001626,29
ENSG00000001629,4402
ENSG00000001630,93
ENSG00000001631,1994
ENSG00000002016,1316
ENSG00000002079,36
ENSG00000002330,2255
ENSG00000002549,2384
ENSG00000002586,15446
ENSG00000002587,303
ENSG00000002726,13
ENSG00000002745,14
ENSG00000002746,24
ENSG00000002822,1458
ENSG00000002834,24366
ENSG00000002919,1555
ENSG00000002933,1573
ENSG00000003056,990
ENSG00000003096,312
ENSG00000003137,188
ENSG00000003147,9552
ENSG00000003249,1411
ENSG00000003393,1760
ENSG00000003400,1065
ENSG00000003402,5942
ENSG00000003436,856
ENSG00000003509,1181
ENSG00000003756,6743
ENSG00000003987,95
ENSG00000003989,253
ENSG00000004059,13937
ENSG00000004139,141
ENSG00000004142,6976
ENSG00000004399,5011
ENSG00000004455,12109
ENSG00000004468,101
ENSG00000004478,13062
ENSG00000004487,5804
ENSG00000004534,8151
ENSG00000004660,1331
ENSG00000004700,716
ENSG00000004766,1793
ENSG00000004776,1754
ENSG00000004777,2156
ENSG00000004779,2963
ENSG00000004799,4511
ENSG00000004809,1
ENSG00000004838,1346
ENSG00000004846,6
ENSG00000004848,7
ENSG00000004864,591
ENSG00000004866,1529
ENSG00000004897,3474
ENSG00000004939,3
ENSG00000004948,87
ENSG00000004961,738
ENSG00000004975,2219
ENSG00000005001,2483
ENSG00000005007,6127
ENSG00000005020,694
ENSG00000005022,6207
ENSG00000005059,1690
ENSG00000005073,46
ENSG00000005075,7729
ENSG00000005100,1741
ENSG00000005102,178
ENSG00000005108,273
ENSG00000005156,2317
ENSG00000005175,2074
ENSG00000005187,220
ENSG00000005189,615
ENSG00000005194,1054
ENSG00000005206,4273
ENSG00000005238,2136
ENSG00000005243,2108
ENSG00000005249,1132
ENSG00000005302,1426
ENSG00000005339,7432
ENSG00000005379,2279
ENSG00000005381,6
ENSG00000005421,222
ENSG00000005436,1428
ENSG00000005448,970
ENSG00000005469,1650
ENSG00000005471,84
ENSG00000005483,4016
ENSG00000005486,7687
ENSG00000005513,95
ENSG00000005700,5525
ENSG00000005801,2505
ENSG00000005810,1815
ENSG00000005812,2481
ENSG00000005844,3008
ENSG00000005882,473
ENSG00000005884,5480
ENSG00000005889,2668
ENSG00000005893,9883
ENSG00000005961,63
ENSG00000005981,20
ENSG00000006007,7845
ENSG00000006015,1190
ENSG00000006016,260
ENSG00000006025,1035
ENSG00000006042,6217
ENSG00000006047,1388
ENSG00000006059,1
ENSG00000006062,2017
ENSG00000006071,549
ENSG00000006116,0
ENSG00000006118,3240
ENSG00000006125,16396
ENSG00000006128,1
ENSG00000006194,4682
ENSG00000006210,2068
ENSG00000006282,7603
ENSG00000006283,36
ENSG00000006327,6485
ENSG00000006377,12
ENSG00000006432,1919
ENSG00000006451,3638
ENSG00000006453,3736
ENSG00000006459,3545
ENSG00000006468,277
ENSG00000006530,2384
ENSG00000006534,1405
ENSG00000006555,1146
ENSG00000006576,1412
ENSG00000006606,38
ENSG00000006607,1559
ENSG00000006611,2
ENSG00000006625,6517
ENSG00000006634,1047
ENSG00000006638,256
ENSG00000006652,2767
ENSG00000006659,19
ENSG00000006695,1046
ENSG00000006704,2969
ENSG00000006712,5221
ENSG00000006715,2605
ENSG00000006740,1120
ENSG00000006744,4049
ENSG00000006747,189
ENSG00000006756,6790
ENSG00000006757,1327
ENSG00000006788,29
ENSG00000006831,5758
ENSG00000006837,77
ENSG00000007001,11
ENSG00000007038,2
ENSG00000007047,3095
ENSG00000007062,2028
ENSG00000007080,3250
ENSG00000007129,39
ENSG00000007168,5223
ENSG00000007171,33
ENSG00000007174,96
ENSG00000007202,7776
ENSG00000007216,862
ENSG00000007237,3262
ENSG00000007255,2661
ENSG00000007264,72
ENSG00000007306,73
ENSG00000007312,175
ENSG00000007314,209
ENSG00000007341,1407
ENSG00000007350,0
ENSG00000007372,167
ENSG00000007376,2420
ENSG00000007384,8903
ENSG00000007392,10522
ENSG00000007402,1070
ENSG00000007516,1458
ENSG00000007520,2440
ENSG00000007541,8637
ENSG00000007545,2102
ENSG00000007866,3713
ENSG00000007908,67
ENSG00000007923,982
ENSG00000007933,210
ENSG00000007944,3346
ENSG00000007952,121
ENSG00000007968,329
ENSG00000008018,12337
ENSG00000008056,59
ENSG00000008083,3494
ENSG00000008086,491
ENSG00000008118,21
ENSG00000008128,1047
ENSG00000008130,3245
ENSG00000008196,15453
ENSG00000008197,0
ENSG00000008226,144
ENSG00000008256,1168
ENSG00000008277,416
ENSG00000008282,6834
ENSG00000008283,8128
ENSG00000008294,2869
ENSG00000008300,479
ENSG00000008311,529
ENSG00000008323,901
ENSG00000008324,1102
ENSG00000008382,1431
ENSG00000008394,21603
ENSG00000008405,840
ENSG00000008438,4
ENSG00000008441,5584
ENSG00000008513,1667
ENSG00000008516,210
ENSG00000008517,4331
ENSG00000008710,5304
ENSG00000008735,397
ENSG00000008838,6986
ENSG00000008853,3316
ENSG00000008869,3948
ENSG00000008952,25794
ENSG00000008988,75821
ENSG00000009307,40028
ENSG00000009335,4637
ENSG00000009413,1172
ENSG00000009694,38
ENSG00000009709,0
ENSG00000009724,31
ENSG00000009765,68
ENSG00000009780,983
ENSG00000009790,226
ENSG00000009830,1334
ENSG00000009844,2574
ENSG00000009950,708
ENSG00000009954,5638
ENSG00000010017,3017
ENSG00000010030,316
ENSG00000010072,1448
ENSG00000010165,2496
ENSG00000010219,2439
ENSG00000010244,9056
ENSG00000010256,5427
ENSG00000010270,1515
ENSG00000010278,12515
ENSG00000010282,173
ENSG00000010292,3738
ENSG00000010295,704
ENSG00000010310,1875
ENSG00000010318,389
ENSG00000010319,2965
ENSG00000010322,7684
ENSG00000010327,3521
ENSG00000010361,1393
ENSG00000010379,2
ENSG00000010404,4911
ENSG00000010438,11
ENSG00000010539,1311
ENSG00000010610,2493
ENSG00000010626,847
ENSG00000010671,237
ENSG00000010704,1928
ENSG00000010803,4716
ENSG00000010810,1557
ENSG00000010818,672
ENSG00000010932,134
ENSG00000011007,3291
ENSG00000011009,7112
ENSG00000011021,1350
ENSG00000011028,10641
ENSG00000011052,19
ENSG00000011083,1
ENSG00000011105,2982
ENSG00000011114,2514
ENSG00000011132,1024
ENSG00000011143,2210
ENSG00000011198,594
ENSG00000011201,672
ENSG00000011243,6127
ENSG00000011258,2689
ENSG00000011260,1190
ENSG00000011275,2819
ENSG00000011295,3054
ENSG00000011304,21652
ENSG00000011332,97
ENSG00000011347,2498
ENSG00000011376,541
ENSG00000011405,3693
ENSG00000011422,1820
ENSG00000011426,669
ENSG00000011451,5417
ENSG00000011454,3826
ENSG00000011465,17354
ENSG00000011478,1393
ENSG00000011485,2368
ENSG00000011523,1562
ENSG00000011566,2772
ENSG00000011590,27
ENSG00000011600,3676
ENSG00000011638,2560
ENSG00000011677,0
ENSG00000012048,535
ENSG00000012061,7475
ENSG00000012124,486
ENSG00000012171,11438
ENSG00000012174,595
ENSG00000012211,631
ENSG00000012223,81384
ENSG00000012232,1361
ENSG00000012504,0
ENSG00000012660,7639
ENSG00000012779,2231
ENSG00000012817,0
ENSG00000012822,5189
ENSG00000012963,2853
ENSG00000012983,3709
ENSG00000013016,803
ENSG00000013275,8683
ENSG00000013288,5473
ENSG00000013293,3
ENSG00000013297,523
ENSG00000013306,12812
ENSG00000013364,11797
ENSG00000013374,4014
ENSG00000013375,5245
ENSG00000013392,1112
ENSG00000013441,12861
ENSG00000013503,564
ENSG00000013523,1023
ENSG00000013561,3585
ENSG00000013563,985
ENSG00000013573,1202
ENSG00000013583,2186
ENSG00000013588,13186
ENSG00000013619,256
ENSG00000013725,377
ENSG00000013810,3483
ENSG00000014123,6003
ENSG00000014138,1195
ENSG00000014164,3058
ENSG00000014216,7638
ENSG00000014257,101
ENSG00000014641,7913
ENSG00000014824,3753
ENSG00000014914,1490
ENSG00000014919,1490
ENSG00000015133,5529
ENSG00000015153,1507
ENSG00000015171,7710
ENSG00000015285,657
ENSG00000015413,54
ENSG00000015475,1415
ENSG00000015479,547
ENSG00000015520,14
ENSG00000015532,2936
ENSG00000015568,13
ENSG00000015592,7
ENSG00000015676,4989
ENSG00000016082,42
ENSG00000016391,1880
ENSG00000016402,3698
ENSG00000016490,0
ENSG00000016602,7
ENSG00000016864,4353
ENSG00000017260,5402
ENSG00000017427,567
ENSG00000017483,233
ENSG00000017797,4214
ENSG00000018189,3235
ENSG00000018236,432
ENSG00000018280,380
ENSG00000018408,4636
ENSG00000018510,4617
ENSG00000018607,1
ENSG00000018610,1071
ENSG00000018625,105
ENSG00000018699,1050
ENSG00000018869,406
ENSG00000019102,6183
ENSG00000019144,5349
ENSG00000019169,17
ENSG00000019186,2
ENSG00000019485,928
ENSG00000019505,2532
ENSG00000019549,1684
ENSG00000019582,125101
ENSG00000019991,167
ENSG00000019995,1089
ENSG00000020129,4374
ENSG00000020181,1185
ENSG00000020219,0
ENSG00000020256,755
ENSG00000020426,1243
ENSG00000020577,641
ENSG00000020633,715
ENSG00000020922,1978
ENSG00000021300,1905
ENSG00000021355,6752
ENSG00000021461,1
ENSG00000021488,52
ENSG00000021574,1335
ENSG00000021645,72
ENSG00000021762,5203
ENSG00000021776,4743
ENSG00000021826,271
ENSG00000021852,1
ENSG00000022267,2251
ENSG00000022277,5343
ENSG00000022355,0
ENSG00000022556,32
ENSG00000022567,1122
ENSG00000022840,9977
ENSG00000022976,671
ENSG00000023041,3945
ENSG00000023171,67
ENSG00000023191,8856
ENSG00000023228,4710
ENSG00000023287,3795
ENSG00000023318,5820
ENSG00000023330,1239
ENSG00000023445,2305
ENSG00000023516,2640
ENSG00000023572,1180
ENSG00000023608,377
ENSG00000023697,2048
ENSG00000023734,6805
ENSG00000023839,46
ENSG00000023892,2593
ENSG00000023902,6834
ENSG00000023909,857
ENSG00000024048,4020
ENSG00000024422,7390
ENSG00000024526,230
ENSG00000024862,1694
ENSG00000025039,196
ENSG00000025156,1381
ENSG00000025293,3488
ENSG00000025423,213
ENSG00000025434,2032
ENSG00000025708,4824
ENSG00000025770,1798
ENSG00000025772,2071
ENSG00000025796,8217
ENSG00000025800,4660
ENSG00000026025,48713
ENSG00000026036,329
ENSG00000026103,594
ENSG00000026297,8446
ENSG00000026508,8058
ENSG00000026559,22
ENSG00000026652,365
ENSG00000026751,359
ENSG00000026950,3082
ENSG00000027001,1178
ENSG00000027075,938
ENSG00000027644,18
ENSG00000027697,3916
ENSG00000027847,2088
ENSG00000027869,246
ENSG00000028116,1745
ENSG00000028137,1183
ENSG00000028203,3509
ENSG00000028277,846
ENSG00000028310,2213
ENSG00000028528,8584
ENSG00000028839,759
ENSG00000029153,162
ENSG00000029363,7985
ENSG00000029364,6155
ENSG00000029534,31
ENSG00000029559,176
ENSG00000029639,852
ENSG00000029725,12178
ENSG00000029993,2353
ENSG00000030066,3053
ENSG00000030110,1202
ENSG00000030304,1
ENSG00000030419,2126
ENSG00000030582,12759
ENSG00000031003,1916
ENSG00000031081,1517
ENSG00000031691,418
ENSG00000031698,7817
ENSG00000031823,5254
ENSG00000032219,1947
ENSG00000032389,1308
ENSG00000032444,2842
ENSG00000032742,2495
ENSG00000033011,957
ENSG00000033030,2010
ENSG00000033050,2122
ENSG00000033100,5151
ENSG00000033122,22
ENSG00000033170,2763
ENSG00000033178,3380
ENSG00000033327,1432
ENSG00000033627,2514
ENSG00000033800,1850
ENSG00000033867,7544
ENSG00000034053,69
ENSG00000034152,2730
ENSG00000034239,131
ENSG00000034510,215888
ENSG00000034533,727
ENSG00000034677,5335
ENSG00000034693,1061
ENSG00000034713,2792
ENSG00000034971,9
ENSG00000035115,7635
ENSG00000035141,4275
ENSG00000035403,8424
ENSG00000035499,235
ENSG00000035664,2310
ENSG00000035681,1827
ENSG00000035687,8004
ENSG00000035720,24
ENSG00000035862,10943
ENSG00000035928,2545
ENSG00000036054,2657
ENSG00000036257,4024
ENSG00000036448,67
ENSG00000036473,0
ENSG00000036530,57
ENSG00000036549,1871
ENSG00000036565,3
ENSG00000036672,114
ENSG00000036828,1
ENSG00000037042,1519
ENSG00000037241,1590
ENSG00000037280,1076
ENSG00000037474,3540
ENSG00000037637,2062
ENSG00000037749,320
ENSG00000037757,2857
ENSG00000037897,1462
ENSG00000037965,995
ENSG00000038002,1667
ENSG00000038210,1407
ENSG00000038219,3578
ENSG00000038274,2393
ENSG00000038295,131
ENSG00000038358,941
ENSG00000038382,4438
ENSG00000038427,17887
ENSG00000038532,3128
ENSG00000038945,1075
ENSG00000039068,2579
ENSG00000039123,4843
ENSG00000039139,468
ENSG00000039319,4608
ENSG00000039523,2429
ENSG00000039537,141
ENSG00000039560,3077
ENSG00000039600,3
ENSG00000039650,3623
ENSG00000039987,3
ENSG00000040199,712
ENSG00000040275,768
ENSG00000040341,2793
ENSG00000040487,2478
ENSG00000040531,1003
ENSG00000040608,130
ENSG00000040633,3008
ENSG00000040731,15
ENSG00000040933,1450
ENSG00000041353,3144
ENSG00000041357,9571
ENSG00000041515,50
ENSG00000041802,2426
ENSG00000041880,1761
ENSG00000041982,9261
ENSG00000041988,1428
ENSG00000042062,229
ENSG00000042088,1254
ENSG00000042286,887
ENSG00000042304,0
ENSG00000042317,931
ENSG00000042429,1825
ENSG00000042445,4310
ENSG00000042493,10779
ENSG00000042753,4130
ENSG00000042781,52
ENSG00000042813,2
ENSG00000042832,26
ENSG00000042980,421
ENSG00000043039,709
ENSG00000043093,1919
ENSG00000043143,2594
ENSG00000043355,699
ENSG00000043462,1103
ENSG00000043514,1643
ENSG00000043591,43
ENSG00000044012,0
ENSG00000044090,4568
ENSG00000044115,22478
ENSG00000044446,2584
ENSG00000044459,377
ENSG00000044524,101
ENSG00000044574,48835
ENSG00000046604,10876
ENSG00000046647,1706
ENSG00000046651,4370
ENSG00000046653,579
ENSG00000046774,0
ENSG00000046889,528
ENSG00000047056,1628
ENSG00000047188,2477
ENSG00000047230,4064
ENSG00000047249,2931
ENSG00000047315,4373
ENSG00000047346,9458
ENSG00000047365,772
ENSG00000047410,10404
ENSG00000047457,140
ENSG00000047578,4911
ENSG00000047579,839
ENSG00000047597,23
ENSG00000047617,44
ENSG00000047621,1249
ENSG00000047634,308
ENSG00000047644,5368
ENSG00000047648,298
ENSG00000047662,166
ENSG00000047849,9582
ENSG00000047932,3710
ENSG00000047936,2
ENSG00000048028,1940
ENSG00000048052,3709
ENSG00000048140,1812
ENSG00000048162,1168
ENSG00000048342,1108
ENSG00000048392,1177
ENSG00000048405,1320
ENSG00000048462,192
ENSG00000048471,1827
ENSG00000048540,308
ENSG00000048544,2361
ENSG00000048545,5
ENSG00000048649,3361
ENSG00000048707,3537
ENSG00000048740,860
ENSG00000048828,23224
ENSG00000048991,2038
ENSG00000049089,13336
ENSG00000049130,2492
ENSG00000049167,442
ENSG00000049192,577
ENSG00000049239,3646
ENSG00000049245,5846
ENSG00000049246,3140
ENSG00000049247,0
ENSG00000049249,41
ENSG00000049283,1318
ENSG00000049323,2280
ENSG00000049449,8996
ENSG00000049540,10134
ENSG00000049541,1824
ENSG00000049618,5898
ENSG00000049656,6557
ENSG00000049759,8316
ENSG00000049768,329
ENSG00000049769,309
ENSG00000049860,4603
ENSG00000049883,819
ENSG00000050030,28
ENSG00000050130,2763
ENSG00000050165,2556
ENSG00000050327,568
ENSG00000050344,1025
ENSG00000050393,2008
ENSG00000050405,7743
ENSG00000050426,3334
ENSG00000050438,3591
ENSG00000050555,160
ENSG00000050628,384
ENSG00000050730,15
ENSG00000050748,4049
ENSG00000050767,45
ENSG00000050820,2708
ENSG00000051009,3562
ENSG00000051108,6661
ENSG00000051128,2316
ENSG00000051180,237
ENSG00000051341,443
ENSG00000051382,2447
ENSG00000051523,6524
ENSG00000051596,501
ENSG00000051620,10595
ENSG00000051825,357
ENSG00000052126,1316
ENSG00000052344,14198
ENSG00000052723,3893
ENSG00000052749,2050
ENSG00000052795,799
ENSG00000052802,1859
ENSG00000052841,6611
ENSG00000052850,149
ENSG00000053108,92
ENSG00000053254,1604
ENSG00000053328,10
ENSG00000053371,3486
ENSG00000053372,2961
ENSG00000053438,49
ENSG00000053501,2236
ENSG00000053524,18
ENSG00000053702,406
ENSG00000053747,1125
ENSG00000053770,3243
ENSG00000053900,2404
ENSG00000053918,803
ENSG00000054116,5248
ENSG00000054118,9964
ENSG00000054148,13365
ENSG00000054179,1021
ENSG00000054219,694
ENSG00000054267,7149
ENSG00000054277,77
ENSG00000054282,2066
ENSG00000054356,10
ENSG00000054392,2527
ENSG00000054523,1769
ENSG00000054598,458
ENSG00000054611,1137
ENSG00000054654,3831
ENSG00000054690,710
ENSG00000054793,2590
ENSG00000054796,0
ENSG00000054803,163
ENSG00000054938,75
ENSG00000054965,7405
ENSG00000054967,450
ENSG00000054983,1760
ENSG00000055044,7729
ENSG00000055070,6340
ENSG00000055118,268
ENSG00000055130,3227
ENSG00000055147,2050
ENSG00000055163,568
ENSG00000055208,2419
ENSG00000055211,3212
ENSG00000055332,5019
ENSG00000055483,2829
ENSG00000055609,4756
ENSG00000055732,93
ENSG00000055813,10
ENSG00000055917,10903
ENSG00000055950,2861
ENSG00000055955,99
ENSG00000055957,8
ENSG00000056050,1507
ENSG00000056097,4581
ENSG00000056277,329
ENSG00000056291,2
ENSG00000056487,133
ENSG00000056558,1621
ENSG00000056586,1707
ENSG00000056736,3328
ENSG00000056972,3622
ENSG00000056998,397
ENSG00000057019,3387
ENSG00000057149,1
ENSG00000057252,497
ENSG00000057294,860
ENSG00000057468,16
ENSG00000057593,1434
ENSG00000057608,13014
ENSG00000057657,896
ENSG00000057663,1663
ENSG00000057704,201
ENSG00000057757,3022
ENSG00000057935,6690
ENSG00000058056,774
ENSG00000058063,498
ENSG00000058085,1426
ENSG00000058091,1325
ENSG00000058262,16429
ENSG00000058272,5032
ENSG00000058335,56
ENSG00000058404,232
ENSG00000058453,3257
ENSG00000058600,4056
ENSG00000058668,6894
ENSG00000058673,15839
ENSG00000058729,2413
ENSG00000058799,2854
ENSG00000058804,2804
ENSG00000058866,15
ENSG00000059122,3661
ENSG00000059145,774
ENSG00000059377,379
ENSG00000059378,2739
ENSG00000059573,16344
ENSG00000059588,7026
ENSG00000059691,1086
ENSG00000059728,1694
ENSG00000059758,1939
ENSG00000059769,1730
ENSG00000059804,440
ENSG00000059915,194
ENSG00000060069,1663
ENSG00000060138,10161
ENSG00000060140,442
ENSG00000060237,12514
ENSG00000060303,4
ENSG00000060339,11158
ENSG00000060491,3980
ENSG00000060558,486
ENSG00000060566,8
ENSG00000060642,687
ENSG00000060656,3893
ENSG00000060688,1546
ENSG00000060709,19
ENSG00000060718,5574
ENSG00000060749,2350
ENSG00000060762,4158
ENSG00000060971,4264
ENSG00000060982,550
ENSG00000061273,9194
ENSG00000061337,1157
ENSG00000061455,355
ENSG00000061492,0
ENSG00000061656,512
ENSG00000061676,7928
ENSG00000061794,3366
ENSG00000061918,928
ENSG00000061936,5538
ENSG00000061938,8941
ENSG00000061987,4298
ENSG00000062038,2255
ENSG00000062096,8
ENSG00000062194,6862
ENSG00000062282,953
ENSG00000062370,335
ENSG00000062485,4757
ENSG00000062524,99
ENSG00000062582,152
ENSG00000062598,2571
ENSG00000062650,3901
ENSG00000062716,37250
ENSG00000062725,3189
ENSG00000062822,1058
ENSG00000063015,11
ENSG00000063046,19441
ENSG00000063127,203
ENSG00000063169,2138
ENSG00000063176,738
ENSG00000063177,81099
ENSG00000063180,271
ENSG00000063241,4738
ENSG00000063244,11881
ENSG00000063245,6400
ENSG00000063322,6336
ENSG00000063438,295
ENSG00000063515,1
ENSG00000063587,1913
ENSG00000063601,2754
ENSG00000063660,2547
ENSG00000063761,867
ENSG00000063854,5337
ENSG00000063978,3208
ENSG00000064012,3061
ENSG00000064042,4463
ENSG00000064102,1929
ENSG00000064115,3204
ENSG00000064195,498
ENSG00000064199,1913
ENSG00000064201,35
ENSG00000064205,1029
ENSG00000064218,56
ENSG00000064225,424
ENSG00000064270,797
ENSG00000064300,1172
ENSG00000064309,2666
ENSG00000064313,1827
ENSG00000064393,3631
ENSG00000064419,3569
ENSG00000064489,37
ENSG00000064490,5113
ENSG00000064545,1586
ENSG00000064547,1792
ENSG00000064601,7166
ENSG00000064607,1983
ENSG00000064651,4498
ENSG00000064652,1449
ENSG00000064655,523
ENSG00000064666,15746
ENSG00000064687,1689
ENSG00000064692,204
ENSG00000064703,1927
ENSG00000064726,2665
ENSG00000064763,259
ENSG00000064787,2029
ENSG00000064835,2
ENSG00000064886,2720
ENSG00000064932,6424
ENSG00000064933,1261
ENSG00000064961,12428
ENSG00000064989,1697
ENSG00000064995,2642
ENSG00000064999,1541
ENSG00000065000,8266
ENSG00000065029,5320
ENSG00000065054,25429
ENSG00000065057,2633
ENSG00000065060,2009
ENSG00000065135,6899
ENSG00000065150,5889
ENSG00000065154,12450
ENSG00000065183,1541
ENSG00000065243,2201
ENSG00000065268,1615
ENSG00000065308,1367
ENSG00000065320,233
ENSG00000065325,3
ENSG00000065328,196
ENSG00000065357,3220
ENSG00000065361,37177
ENSG00000065371,23
ENSG00000065413,368
ENSG00000065427,6167
ENSG00000065457,1192
ENSG00000065485,2037
ENSG00000065491,1413
ENSG00000065518,11553
ENSG00000065526,3371
ENSG00000065534,6500
ENSG00000065548,4945
ENSG00000065559,5090
ENSG00000065600,740
ENSG00000065609,8
ENSG00000065613,2563
ENSG00000065615,947
ENSG00000065618,3612
ENSG00000065621,1252
ENSG00000065665,793
ENSG00000065675,69
ENSG00000065717,4247
ENSG00000065802,1140
ENSG00000065809,6810
ENSG00000065833,511
ENSG00000065882,2212
ENSG00000065883,4031
ENSG00000065911,7525
ENSG00000065923,2702
ENSG00000065970,1622
ENSG00000065978,20704
ENSG00000065989,3628
ENSG00000066027,10580
ENSG00000066032,4
ENSG00000066044,7811
ENSG00000066056,2177
ENSG00000066084,2574
ENSG00000066117,4771
ENSG00000066135,3793
ENSG00000066136,4515
ENSG00000066185,382
ENSG00000066230,15
ENSG00000066248,953
ENSG00000066279,702
ENSG00000066294,323
ENSG00000066322,4143
ENSG00000066336,1087
ENSG00000066379,1958
ENSG00000066382,684
ENSG00000066405,9
ENSG00000066422,1699
ENSG00000066427,2968
ENSG00000066455,7501
ENSG00000066468,6267
ENSG00000066557,1358
ENSG00000066583,4165
ENSG00000066629,781
ENSG00000066651,810
ENSG00000066654,6054
ENSG00000066697,625
ENSG00000066735,257
ENSG00000066739,2643
ENSG00000066777,3596
ENSG00000066813,10
ENSG00000066827,513
ENSG00000066855,1154
ENSG00000066923,117
ENSG00000066926,1292
ENSG00000066933,2867
ENSG00000067048,0
ENSG00000067057,1770
ENSG00000067064,1455
ENSG00000067066,4189
ENSG00000067082,14146
ENSG00000067113,3163
ENSG00000067141,4104
ENSG00000067167,13228
ENSG00000067177,824
ENSG00000067182,5027
ENSG00000067191,514
ENSG00000067208,534
ENSG00000067221,877
ENSG00000067225,66639
ENSG00000067248,3291
ENSG00000067334,2875
ENSG00000067365,1104
ENSG00000067369,2403
ENSG00000067445,672
ENSG00000067533,1553
ENSG00000067560,20322
ENSG00000067596,2734
ENSG00000067601,151
ENSG00000067606,1474
ENSG00000067646,0
ENSG00000067704,6948
ENSG00000067715,1848
ENSG00000067798,175
ENSG00000067829,3329
ENSG00000067836,5969
ENSG00000067840,245
ENSG00000067842,0
ENSG00000067900,2760
ENSG00000067955,3210
ENSG00000067992,768
ENSG00000068001,5054
ENSG00000068024,973
ENSG00000068028,1471
ENSG00000068078,4040
ENSG00000068079,3657
ENSG00000068097,1507
ENSG00000068120,5803
ENSG00000068137,4879
ENSG00000068305,2131
ENSG00000068308,4552
ENSG00000068323,3036
ENSG00000068354,924
ENSG00000068366,982
ENSG00000068383,1294
ENSG00000068394,987
ENSG00000068400,3620
ENSG00000068438,2451
ENSG00000068489,383
ENSG00000068615,298
ENSG00000068650,448
ENSG00000068654,2225
ENSG00000068697,24773
ENSG00000068724,1419
ENSG00000068745,5246
ENSG00000068781,3
ENSG00000068784,1513
ENSG00000068796,656
ENSG00000068831,333
ENSG00000068878,6438
ENSG00000068885,1590
ENSG00000068903,2876
ENSG00000068912,4196
ENSG00000068971,1197
ENSG00000068976,66
ENSG00000068985,1
ENSG00000069011,3785
ENSG00000069018,0
ENSG00000069020,6679
ENSG00000069122,1808
ENSG00000069188,208
ENSG00000069206,1
ENSG00000069248,4783
ENSG00000069275,42664
ENSG00000069329,6919
ENSG00000069345,3700
ENSG00000069399,3430
ENSG00000069424,878
ENSG00000069431,372
ENSG00000069482,23
ENSG00000069493,1883
ENSG00000069509,3234
ENSG00000069535,2101
ENSG00000069667,898
ENSG00000069696,62
ENSG00000069702,1640
ENSG00000069712,200
ENSG00000069764,918
ENSG00000069812,269
ENSG00000069849,1704
ENSG00000069869,1206
ENSG00000069943,880
ENSG00000069956,2463
ENSG00000069966,1581
ENSG00000069974,1681
ENSG00000069998,813
ENSG00000070010,3236
ENSG00000070018,2124
ENSG00000070019,62
ENSG00000070031,111
ENSG00000070047,3259
ENSG00000070061,2891
ENSG00000070081,1986
ENSG00000070087,4289
ENSG00000070159,2746
ENSG00000070182,64
ENSG00000070190,476
ENSG00000070193,96
ENSG00000070214,8856
ENSG00000070269,1702
ENSG00000070366,578
ENSG00000070367,3280
ENSG00000070371,133
ENSG00000070388,8
ENSG00000070404,2229
ENSG00000070413,5169
ENSG00000070423,2008
ENSG00000070444,2310
ENSG00000070476,2441
ENSG00000070495,1044
ENSG00000070501,2743
ENSG00000070526,213
ENSG00000070540,2014
ENSG00000070601,22
ENSG00000070610,4924
ENSG00000070614,8100
ENSG00000070669,2785
ENSG00000070718,1069
ENSG00000070729,0
ENSG00000070731,11598
ENSG00000070748,0
ENSG00000070756,43890
ENSG00000070759,1618
ENSG00000070761,1182
ENSG00000070770,2275
ENSG00000070778,770
ENSG00000070785,1080
ENSG00000070808,70
ENSG00000070814,5737
ENSG00000070831,18738
ENSG00000070882,765
ENSG00000070886,4
ENSG00000070915,11
ENSG00000070950,1458
ENSG00000070961,1238
ENSG00000070985,6
ENSG00000071051,2055
ENSG00000071054,4612
ENSG00000071073,2638
ENSG00000071082,72220
ENSG00000071127,15807
ENSG00000071189,2767
ENSG00000071203,0
ENSG00000071205,308
ENSG00000071242,2005
ENSG00000071243,624
ENSG00000071246,1524
ENSG00000071282,4240
ENSG00000071462,8611
ENSG00000071537,7872
ENSG00000071539,651
ENSG00000071553,10442
ENSG00000071564,9935
ENSG00000071575,1798
ENSG00000071626,7022
ENSG00000071655,4390
ENSG00000071677,121
ENSG00000071794,3081
ENSG00000071859,8291
ENSG00000071889,2488
ENSG00000071894,7832
ENSG00000071909,11
ENSG00000071967,38092
ENSG00000071991,0
ENSG00000071994,3474
ENSG00000072041,5
ENSG00000072042,6274
ENSG00000072062,8934
ENSG00000072071,4641
ENSG00000072080,0
ENSG00000072110,14152
ENSG00000072121,1874
ENSG00000072133,415
ENSG00000072134,2887
ENSG00000072135,12708
ENSG00000072163,1526
ENSG00000072182,5
ENSG00000072195,1583
