Gene stable ID,c50b8908-8ce9-4e5b-90bc-964201161d7d
ENSG00000000003,2754
ENSG00000000005,106
ENSG00000000419,1396
ENSG00000000457,1183
ENSG00000000460,246
ENSG00000000938,1939
ENSG00000000971,4892
ENSG00000001036,2148
ENSG00000001084,2852
ENSG00000001167,1885
ENSG00000001460,530
ENSG00000001461,2935
ENSG00000001497,1457
ENSG00000001561,1681
ENSG00000001617,2820
ENSG00000001626,43
ENSG00000001629,3160
ENSG00000001630,256
ENSG00000001631,1797
ENSG00000002016,621
ENSG00000002079,6
ENSG00000002330,794
ENSG00000002549,4806
ENSG00000002586,7834
ENSG00000002587,531
ENSG00000002726,18
ENSG00000002745,13
ENSG00000002746,37
ENSG00000002822,544
ENSG00000002834,10819
ENSG00000002919,1233
ENSG00000002933,1579
ENSG00000003056,4066
ENSG00000003096,4721
ENSG00000003137,348
ENSG00000003147,1676
ENSG00000003249,655
ENSG00000003393,1526
ENSG00000003400,1118
ENSG00000003402,6917
ENSG00000003436,4469
ENSG00000003509,550
ENSG00000003756,5710
ENSG00000003987,84
ENSG00000003989,4010
ENSG00000004059,3889
ENSG00000004139,388
ENSG00000004142,3571
ENSG00000004399,9483
ENSG00000004455,4089
ENSG00000004468,246
ENSG00000004478,7949
ENSG00000004487,3472
ENSG00000004534,3955
ENSG00000004660,466
ENSG00000004700,1618
ENSG00000004766,1759
ENSG00000004776,2726
ENSG00000004777,584
ENSG00000004779,1282
ENSG00000004799,10010
ENSG00000004809,19
ENSG00000004838,187
ENSG00000004846,546
ENSG00000004848,15
ENSG00000004864,1128
ENSG00000004866,1246
ENSG00000004897,3158
ENSG00000004939,8
ENSG00000004948,78
ENSG00000004961,769
ENSG00000004975,1530
ENSG00000005001,242
ENSG00000005007,4680
ENSG00000005020,3838
ENSG00000005022,7000
ENSG00000005059,886
ENSG00000005073,22
ENSG00000005075,670
ENSG00000005100,1322
ENSG00000005102,1385
ENSG00000005108,878
ENSG00000005156,1206
ENSG00000005175,1394
ENSG00000005187,2593
ENSG00000005189,216
ENSG00000005194,1480
ENSG00000005206,1343
ENSG00000005238,1150
ENSG00000005243,899
ENSG00000005249,3775
ENSG00000005302,1426
ENSG00000005339,5249
ENSG00000005379,1435
ENSG00000005381,20
ENSG00000005421,8
ENSG00000005436,944
ENSG00000005448,391
ENSG00000005469,2097
ENSG00000005471,82
ENSG00000005483,5150
ENSG00000005486,2772
ENSG00000005513,161
ENSG00000005700,3529
ENSG00000005801,1095
ENSG00000005810,5252
ENSG00000005812,4693
ENSG00000005844,1377
ENSG00000005882,1318
ENSG00000005884,6796
ENSG00000005889,3203
ENSG00000005893,11471
ENSG00000005961,22
ENSG00000005981,31
ENSG00000006007,3430
ENSG00000006015,504
ENSG00000006016,134
ENSG00000006025,627
ENSG00000006042,2784
ENSG00000006047,154
ENSG00000006059,4
ENSG00000006062,1092
ENSG00000006071,342
ENSG00000006116,1
ENSG00000006118,1182
ENSG00000006125,12328
ENSG00000006128,30
ENSG00000006194,1450
ENSG00000006210,16672
ENSG00000006282,2208
ENSG00000006283,120
ENSG00000006327,635
ENSG00000006377,7
ENSG00000006432,885
ENSG00000006451,3068
ENSG00000006453,1027
ENSG00000006459,2412
ENSG00000006468,1636
ENSG00000006530,1318
ENSG00000006534,975
ENSG00000006555,463
ENSG00000006576,1551
ENSG00000006606,5
ENSG00000006607,1531
ENSG00000006611,6
ENSG00000006625,1588
ENSG00000006634,368
ENSG00000006638,113
ENSG00000006652,1796
ENSG00000006659,0
ENSG00000006695,616
ENSG00000006704,679
ENSG00000006712,2072
ENSG00000006715,3247
ENSG00000006740,548
ENSG00000006744,2688
ENSG00000006747,460
ENSG00000006756,5513
ENSG00000006757,1349
ENSG00000006788,17
ENSG00000006831,4168
ENSG00000006837,40
ENSG00000007001,11
ENSG00000007038,57
ENSG00000007047,1271
ENSG00000007062,5757
ENSG00000007080,753
ENSG00000007129,56
ENSG00000007168,8279
ENSG00000007171,17
ENSG00000007174,57
ENSG00000007202,8892
ENSG00000007216,504
ENSG00000007237,3105
ENSG00000007255,610
ENSG00000007264,435
ENSG00000007306,30
ENSG00000007312,307
ENSG00000007314,351
ENSG00000007341,543
ENSG00000007350,31
ENSG00000007372,168
ENSG00000007376,492
ENSG00000007384,1693
ENSG00000007392,1740
ENSG00000007402,647
ENSG00000007516,498
ENSG00000007520,805
ENSG00000007541,1506
ENSG00000007545,1908
ENSG00000007866,1654
ENSG00000007908,452
ENSG00000007923,1075
ENSG00000007933,185
ENSG00000007944,2984
ENSG00000007952,17
ENSG00000007968,98
ENSG00000008018,4289
ENSG00000008056,79
ENSG00000008083,1452
ENSG00000008086,1274
ENSG00000008118,20
ENSG00000008128,213
ENSG00000008130,2362
ENSG00000008196,3326
ENSG00000008197,0
ENSG00000008226,79
ENSG00000008256,2187
ENSG00000008277,640
ENSG00000008282,7584
ENSG00000008283,5118
ENSG00000008294,5713
ENSG00000008300,199
ENSG00000008311,764
ENSG00000008323,412
ENSG00000008324,633
ENSG00000008382,505
ENSG00000008394,7467
ENSG00000008405,1428
ENSG00000008438,5
ENSG00000008441,8806
ENSG00000008513,3521
ENSG00000008516,81
ENSG00000008517,974
ENSG00000008710,3758
ENSG00000008735,260
ENSG00000008838,3216
ENSG00000008853,1144
ENSG00000008869,2205
ENSG00000008952,9835
ENSG00000008988,29630
ENSG00000009307,35046
ENSG00000009335,5311
ENSG00000009413,2723
ENSG00000009694,148
ENSG00000009709,1
ENSG00000009724,144
ENSG00000009765,552
ENSG00000009780,781
ENSG00000009790,355
ENSG00000009830,1287
ENSG00000009844,2089
ENSG00000009950,256
ENSG00000009954,4726
ENSG00000010017,2612
ENSG00000010030,91
ENSG00000010072,687
ENSG00000010165,1597
ENSG00000010219,778
ENSG00000010244,6385
ENSG00000010256,4667
ENSG00000010270,1481
ENSG00000010278,13907
ENSG00000010282,48
ENSG00000010292,2497
ENSG00000010295,911
ENSG00000010310,156
ENSG00000010318,300
ENSG00000010319,3611
ENSG00000010322,6386
ENSG00000010327,5699
ENSG00000010361,624
ENSG00000010379,5
ENSG00000010404,6444
ENSG00000010438,5
ENSG00000010539,479
ENSG00000010610,4743
ENSG00000010626,319
ENSG00000010671,641
ENSG00000010704,1519
ENSG00000010803,2106
ENSG00000010810,2406
ENSG00000010818,1926
ENSG00000010932,972
ENSG00000011007,2516
ENSG00000011009,1920
ENSG00000011021,1269
ENSG00000011028,7438
ENSG00000011052,14
ENSG00000011083,6
ENSG00000011105,3528
ENSG00000011114,3063
ENSG00000011132,469
ENSG00000011143,741
ENSG00000011198,916
ENSG00000011201,1236
ENSG00000011243,1219
ENSG00000011258,1649
ENSG00000011260,1386
ENSG00000011275,2654
ENSG00000011295,2941
ENSG00000011304,7570
ENSG00000011332,11
ENSG00000011347,2186
ENSG00000011376,1072
ENSG00000011405,4658
ENSG00000011422,1138
ENSG00000011426,329
ENSG00000011451,1995
ENSG00000011454,4143
ENSG00000011465,116560
ENSG00000011478,564
ENSG00000011485,1688
ENSG00000011523,3610
ENSG00000011566,2336
ENSG00000011590,21
ENSG00000011600,4416
ENSG00000011638,2529
ENSG00000011677,0
ENSG00000012048,373
ENSG00000012061,2046
ENSG00000012124,428
ENSG00000012171,598
ENSG00000012174,1371
ENSG00000012211,345
ENSG00000012223,59919
ENSG00000012232,2391
ENSG00000012504,74
ENSG00000012660,13530
ENSG00000012779,1415
ENSG00000012817,0
ENSG00000012822,5320
ENSG00000012963,2380
ENSG00000012983,3145
ENSG00000013016,1105
ENSG00000013275,2246
ENSG00000013288,2540
ENSG00000013293,27
ENSG00000013297,2368
ENSG00000013306,3539
ENSG00000013364,4566
ENSG00000013374,3429
ENSG00000013375,1944
ENSG00000013392,428
ENSG00000013441,7075
ENSG00000013503,657
ENSG00000013523,1605
ENSG00000013561,2919
ENSG00000013563,876
ENSG00000013573,712
ENSG00000013583,2786
ENSG00000013588,2090
ENSG00000013619,370
ENSG00000013725,319
ENSG00000013810,506
ENSG00000014123,2564
ENSG00000014138,639
ENSG00000014164,811
ENSG00000014216,6738
ENSG00000014257,182
ENSG00000014641,4943
ENSG00000014824,3539
ENSG00000014914,1018
ENSG00000014919,2121
ENSG00000015133,1459
ENSG00000015153,805
ENSG00000015171,6168
ENSG00000015285,608
ENSG00000015413,54
ENSG00000015475,984
ENSG00000015479,424
ENSG00000015520,59
