Gene stable ID,f27a0b2a-5acc-4b0d-b5b4-1e1be0d09374
ENSG00000000003,5110
ENSG00000000005,24
ENSG00000000419,1565
ENSG00000000457,2119
ENSG00000000460,1490
ENSG00000000938,207
ENSG00000000971,2875
ENSG00000001036,1968
ENSG00000001084,1960
ENSG00000001167,5407
ENSG00000001460,843
ENSG00000001461,3517
ENSG00000001497,4241
ENSG00000001561,1933
ENSG00000001617,11023
ENSG00000001626,13
ENSG00000001629,4663
ENSG00000001630,474
ENSG00000001631,2263
ENSG00000002016,519
ENSG00000002079,9
ENSG00000002330,1482
ENSG00000002549,7485
ENSG00000002586,11560
ENSG00000002587,244
ENSG00000002726,243
ENSG00000002745,4
ENSG00000002746,47
ENSG00000002822,1771
ENSG00000002834,41812
ENSG00000002919,1679
ENSG00000002933,2470
ENSG00000003056,6009
ENSG00000003096,1559
ENSG00000003137,276
ENSG00000003147,3525
ENSG00000003249,2204
ENSG00000003393,2272
ENSG00000003400,363
ENSG00000003402,4884
ENSG00000003436,1497
ENSG00000003509,606
ENSG00000003756,4934
ENSG00000003987,286
ENSG00000003989,45315
ENSG00000004059,10914
ENSG00000004139,340
ENSG00000004142,7716
ENSG00000004399,11215
ENSG00000004455,7630
ENSG00000004468,103
ENSG00000004478,51636
ENSG00000004487,8337
ENSG00000004534,3956
ENSG00000004660,508
ENSG00000004700,2246
ENSG00000004766,2328
ENSG00000004776,375
ENSG00000004777,470
ENSG00000004779,3628
ENSG00000004799,2866
ENSG00000004809,20
ENSG00000004838,2172
ENSG00000004846,26
ENSG00000004848,12
ENSG00000004864,1409
ENSG00000004866,1817
ENSG00000004897,4740
ENSG00000004939,0
ENSG00000004948,10
ENSG00000004961,1219
ENSG00000004975,1654
ENSG00000005001,544
ENSG00000005007,8377
ENSG00000005020,1877
ENSG00000005022,15805
ENSG00000005059,1129
ENSG00000005073,39
ENSG00000005075,1535
ENSG00000005100,1467
ENSG00000005102,466
ENSG00000005108,341
ENSG00000005156,3788
ENSG00000005175,2104
ENSG00000005187,302
ENSG00000005189,399
ENSG00000005194,2051
ENSG00000005206,1825
ENSG00000005238,1394
ENSG00000005243,1159
ENSG00000005249,6879
ENSG00000005302,1415
ENSG00000005339,13000
ENSG00000005379,1098
ENSG00000005381,8
ENSG00000005421,32
ENSG00000005436,1687
ENSG00000005448,786
ENSG00000005469,2887
ENSG00000005471,68
ENSG00000005483,7419
ENSG00000005486,7275
ENSG00000005513,139
ENSG00000005700,3820
ENSG00000005801,1373
ENSG00000005810,6916
ENSG00000005812,5600
ENSG00000005844,2818
ENSG00000005882,2095
ENSG00000005884,5693
ENSG00000005889,5118
ENSG00000005893,16538
ENSG00000005961,33
ENSG00000005981,9
ENSG00000006007,10969
ENSG00000006015,782
ENSG00000006016,175
ENSG00000006025,422
ENSG00000006042,5624
ENSG00000006047,427
ENSG00000006059,16
ENSG00000006062,918
ENSG00000006071,1809
ENSG00000006116,0
ENSG00000006118,3653
ENSG00000006125,35626
ENSG00000006128,34
ENSG00000006194,3002
ENSG00000006210,9657
ENSG00000006282,3003
ENSG00000006283,190
ENSG00000006327,2322
ENSG00000006377,5
ENSG00000006432,1111
ENSG00000006451,5119
ENSG00000006453,4104
ENSG00000006459,1346
ENSG00000006468,1275
ENSG00000006530,1812
ENSG00000006534,1035
ENSG00000006555,890
ENSG00000006576,2015
ENSG00000006606,6
ENSG00000006607,2798
ENSG00000006611,28
ENSG00000006625,3253
ENSG00000006634,778
ENSG00000006638,119
ENSG00000006652,986
ENSG00000006659,0
ENSG00000006695,797
ENSG00000006704,2751
ENSG00000006712,5867
ENSG00000006715,3615
ENSG00000006740,877
ENSG00000006744,3018
ENSG00000006747,852
ENSG00000006756,10702
ENSG00000006757,3058
ENSG00000006788,51
ENSG00000006831,11777
ENSG00000006837,42
ENSG00000007001,15
ENSG00000007038,14
ENSG00000007047,3285
ENSG00000007062,2039
ENSG00000007080,2436
ENSG00000007129,51
ENSG00000007168,7037
ENSG00000007171,34
