Gene stable ID,3f974ee4-2469-4a2c-9299-f1873786a884
ENSG00000000003,2461
ENSG00000000005,2
ENSG00000000419,3487
ENSG00000000457,1990
ENSG00000000460,2376
ENSG00000000938,402
ENSG00000000971,2438
ENSG00000001036,2454
ENSG00000001084,2486
ENSG00000001167,10247
ENSG00000001460,990
ENSG00000001461,4810
ENSG00000001497,4127
ENSG00000001561,1670
ENSG00000001617,1441
ENSG00000001626,15
ENSG00000001629,7703
ENSG00000001630,202
ENSG00000001631,3248
ENSG00000002016,1055
ENSG00000002079,57
ENSG00000002330,774
ENSG00000002549,10268
ENSG00000002586,6920
ENSG00000002587,247
ENSG00000002726,268
ENSG00000002745,2
ENSG00000002746,78
ENSG00000002822,1214
ENSG00000002834,16423
ENSG00000002919,1830
ENSG00000002933,1401
ENSG00000003056,7646
ENSG00000003096,750
ENSG00000003137,347
ENSG00000003147,1882
ENSG00000003249,3252
ENSG00000003393,5783
ENSG00000003400,486
ENSG00000003402,15905
ENSG00000003436,193
ENSG00000003509,1134
ENSG00000003756,4391
ENSG00000003987,142
ENSG00000003989,349
ENSG00000004059,7116
ENSG00000004139,280
ENSG00000004142,4641
ENSG00000004399,4782
ENSG00000004455,11293
ENSG00000004468,368
ENSG00000004478,17295
ENSG00000004487,10823
ENSG00000004534,4217
ENSG00000004660,504
ENSG00000004700,4205
ENSG00000004766,2180
ENSG00000004776,101
ENSG00000004777,711
ENSG00000004779,1756
ENSG00000004799,334
ENSG00000004809,207
ENSG00000004838,55
ENSG00000004846,31
ENSG00000004848,0
ENSG00000004864,2338
ENSG00000004866,1676
ENSG00000004897,9249
ENSG00000004939,2
ENSG00000004948,12
ENSG00000004961,1043
ENSG00000004975,1963
ENSG00000005001,207
ENSG00000005007,19259
ENSG00000005020,869
ENSG00000005022,21092
ENSG00000005059,1797
ENSG00000005073,9
ENSG00000005075,660
ENSG00000005100,3032
ENSG00000005102,199
ENSG00000005108,142
ENSG00000005156,2421
ENSG00000005175,2644
ENSG00000005187,201
ENSG00000005189,504
ENSG00000005194,2675
ENSG00000005206,1401
ENSG00000005238,877
ENSG00000005243,900
ENSG00000005249,2574
ENSG00000005302,2809
ENSG00000005339,8971
ENSG00000005379,1178
ENSG00000005381,14
ENSG00000005421,14
ENSG00000005436,1119
ENSG00000005448,376
ENSG00000005469,1086
ENSG00000005471,80
ENSG00000005483,6174
ENSG00000005486,3349
ENSG00000005513,647
ENSG00000005700,4180
ENSG00000005801,2200
ENSG00000005810,4863
ENSG00000005812,2989
ENSG00000005844,1593
ENSG00000005882,1524
ENSG00000005884,3696
ENSG00000005889,4537
ENSG00000005893,33139
ENSG00000005961,217
ENSG00000005981,10
ENSG00000006007,3853
ENSG00000006015,710
ENSG00000006016,396
ENSG00000006025,645
ENSG00000006042,4253
ENSG00000006047,130
ENSG00000006059,1
ENSG00000006062,1081
ENSG00000006071,9
ENSG00000006116,1
ENSG00000006118,4746
ENSG00000006125,16372
ENSG00000006128,32
ENSG00000006194,1635
ENSG00000006210,1615
ENSG00000006282,2063
ENSG00000006283,42
ENSG00000006327,1949
ENSG00000006377,35
ENSG00000006432,1379
ENSG00000006451,3875
ENSG00000006453,3209
ENSG00000006459,3258
ENSG00000006468,583
ENSG00000006530,3036
ENSG00000006534,1213
ENSG00000006555,1249
ENSG00000006576,2956
ENSG00000006606,16
ENSG00000006607,6513
ENSG00000006611,42
ENSG00000006625,2322
ENSG00000006634,1281
ENSG00000006638,59
ENSG00000006652,3722
ENSG00000006659,33
ENSG00000006695,1322
ENSG00000006704,2262
ENSG00000006712,6860
ENSG00000006715,4173
ENSG00000006740,655
ENSG00000006744,4218
ENSG00000006747,169
ENSG00000006756,4942
ENSG00000006757,695
ENSG00000006788,6
ENSG00000006831,8185
ENSG00000006837,80
ENSG00000007001,3
ENSG00000007038,199
ENSG00000007047,4488
ENSG00000007062,57409
ENSG00000007080,3097
ENSG00000007129,99
ENSG00000007168,10333
ENSG00000007171,138
ENSG00000007174,4
