Gene stable ID,65fa7d28-a6e0-442d-8678-2a1dd5e7de0f
ENSG00000000003,2679
ENSG00000000005,73
ENSG00000000419,4135
ENSG00000000457,1852
ENSG00000000460,366
ENSG00000000938,201
ENSG00000000971,1672
ENSG00000001036,3733
ENSG00000001084,2527
ENSG00000001167,3048
ENSG00000001460,438
ENSG00000001461,2720
ENSG00000001497,3330
ENSG00000001561,2235
ENSG00000001617,10121
ENSG00000001626,56
ENSG00000001629,7237
ENSG00000001630,439
ENSG00000001631,4495
ENSG00000002016,654
ENSG00000002079,25
ENSG00000002330,1768
ENSG00000002549,4508
ENSG00000002586,7911
ENSG00000002587,81
ENSG00000002726,1097
ENSG00000002745,3
ENSG00000002746,35
ENSG00000002822,1660
ENSG00000002834,13768
ENSG00000002919,1482
ENSG00000002933,2446
ENSG00000003056,4002
ENSG00000003096,440
ENSG00000003137,283
ENSG00000003147,2733
ENSG00000003249,6429
ENSG00000003393,1993
ENSG00000003400,279
ENSG00000003402,3607
ENSG00000003436,4589
ENSG00000003509,951
ENSG00000003756,5627
ENSG00000003987,240
ENSG00000003989,13145
ENSG00000004059,10186
ENSG00000004139,334
ENSG00000004142,8549
ENSG00000004399,6486
ENSG00000004455,7224
ENSG00000004468,45
ENSG00000004478,23504
ENSG00000004487,6087
ENSG00000004534,5385
ENSG00000004660,433
ENSG00000004700,1660
ENSG00000004766,2741
ENSG00000004776,599
ENSG00000004777,592
ENSG00000004779,2197
ENSG00000004799,4489
ENSG00000004809,6
ENSG00000004838,142
ENSG00000004846,35
ENSG00000004848,2
ENSG00000004864,3751
ENSG00000004866,1862
ENSG00000004897,6010
ENSG00000004939,5
ENSG00000004948,42
ENSG00000004961,1197
ENSG00000004975,914
ENSG00000005001,1061
ENSG00000005007,12965
ENSG00000005020,1642
ENSG00000005022,12695
ENSG00000005059,964
ENSG00000005073,24
ENSG00000005075,1674
ENSG00000005100,1542
ENSG00000005102,146
ENSG00000005108,276
ENSG00000005156,2240
ENSG00000005175,2290
ENSG00000005187,51
ENSG00000005189,211
ENSG00000005194,2618
ENSG00000005206,3308
ENSG00000005238,993
ENSG00000005243,544
ENSG00000005249,4556
ENSG00000005302,993
ENSG00000005339,7254
ENSG00000005379,1229
ENSG00000005381,3
ENSG00000005421,1
