Gene stable ID,0ff38d9d-6135-4ecc-aaff-115edd03f7f8
ENSG00000000003,1476
ENSG00000000005,8
ENSG00000000419,1958
ENSG00000000457,2678
ENSG00000000460,989
ENSG00000000938,311
ENSG00000000971,2285
ENSG00000001036,2894
ENSG00000001084,3007
ENSG00000001167,3866
ENSG00000001460,1094
ENSG00000001461,3996
ENSG00000001497,3970
ENSG00000001561,846
ENSG00000001617,8363
ENSG00000001626,51
ENSG00000001629,5057
ENSG00000001630,261
ENSG00000001631,2358
ENSG00000002016,323
ENSG00000002079,6
ENSG00000002330,3451
ENSG00000002549,7627
ENSG00000002586,12342
ENSG00000002587,106
ENSG00000002726,11
ENSG00000002745,7
ENSG00000002746,53
ENSG00000002822,1469
ENSG00000002834,22740
ENSG00000002919,1047
ENSG00000002933,1522
ENSG00000003056,2786
ENSG00000003096,1345
ENSG00000003137,73
ENSG00000003147,6382
ENSG00000003249,3392
ENSG00000003393,2211
ENSG00000003400,482
ENSG00000003402,5006
ENSG00000003436,1381
ENSG00000003509,721
ENSG00000003756,5876
ENSG00000003987,446
ENSG00000003989,12585
ENSG00000004059,10174
ENSG00000004139,279
ENSG00000004142,5003
ENSG00000004399,5559
ENSG00000004455,7782
ENSG00000004468,88
ENSG00000004478,15023
ENSG00000004487,7584
ENSG00000004534,4868
ENSG00000004660,572
ENSG00000004700,1020
ENSG00000004766,2046
ENSG00000004776,331
ENSG00000004777,724
ENSG00000004779,3943
ENSG00000004799,15700
ENSG00000004809,2
ENSG00000004838,3363
ENSG00000004846,28
ENSG00000004848,4
ENSG00000004864,930
ENSG00000004866,2117
ENSG00000004897,2939
ENSG00000004939,1
ENSG00000004948,18
ENSG00000004961,1325
ENSG00000004975,1357
ENSG00000005001,843
ENSG00000005007,8645
ENSG00000005020,1894
ENSG00000005022,17760
ENSG00000005059,972
ENSG00000005073,13
ENSG00000005075,2467
ENSG00000005100,1195
ENSG00000005102,230
ENSG00000005108,622
ENSG00000005156,1828
ENSG00000005175,2050
ENSG00000005187,316
ENSG00000005189,649
ENSG00000005194,2183
ENSG00000005206,3094
ENSG00000005238,1476
ENSG00000005243,613
ENSG00000005249,4060
ENSG00000005302,1570
ENSG00000005339,9586
ENSG00000005379,1094
ENSG00000005381,9
ENSG00000005421,17
ENSG00000005436,1332
ENSG00000005448,1824
ENSG00000005469,3075
ENSG00000005471,55
ENSG00000005483,7263
ENSG00000005486,10511
ENSG00000005513,112
ENSG00000005700,4466
ENSG00000005801,1506
ENSG00000005810,4740
ENSG00000005812,4542
ENSG00000005844,1591
ENSG00000005882,1265
ENSG00000005884,7479
ENSG00000005889,3421
ENSG00000005893,12979
ENSG00000005961,38
ENSG00000005981,26
ENSG00000006007,10277
ENSG00000006015,668
ENSG00000006016,243
ENSG00000006025,685
ENSG00000006042,3213
ENSG00000006047,329
ENSG00000006059,2
ENSG00000006062,814
ENSG00000006071,824
ENSG00000006116,2
ENSG00000006118,1640
ENSG00000006125,20860
ENSG00000006128,27
ENSG00000006194,4099
ENSG00000006210,10446
ENSG00000006282,5793
ENSG00000006283,58
ENSG00000006327,4565
ENSG00000006377,1
ENSG00000006432,1634
ENSG00000006451,4389
ENSG00000006453,1595
ENSG00000006459,2517
ENSG00000006468,986
ENSG00000006530,1811
ENSG00000006534,1117
ENSG00000006555,1072
ENSG00000006576,1347
ENSG00000006606,6
ENSG00000006607,2953
ENSG00000006611,16
ENSG00000006625,6467
ENSG00000006634,838
ENSG00000006638,166
ENSG00000006652,1379
ENSG00000006659,6
ENSG00000006695,641
ENSG00000006704,2272
ENSG00000006712,12491
ENSG00000006715,3003
ENSG00000006740,342
ENSG00000006744,3447
ENSG00000006747,523
ENSG00000006756,14742
ENSG00000006757,3505
ENSG00000006788,44
ENSG00000006831,6193
ENSG00000006837,57
ENSG00000007001,14
ENSG00000007038,379
ENSG00000007047,3177
ENSG00000007062,2238
ENSG00000007080,2687
ENSG00000007129,27
ENSG00000007168,6370
ENSG00000007171,66
ENSG00000007174,46
ENSG00000007202,6811
ENSG00000007216,241
ENSG00000007237,2329
ENSG00000007255,2156
ENSG00000007264,101
ENSG00000007306,27
ENSG00000007312,173
ENSG00000007314,163
ENSG00000007341,1247
ENSG00000007350,4
ENSG00000007372,306
ENSG00000007376,2200
ENSG00000007384,3824
ENSG00000007392,2762
ENSG00000007402,4632
ENSG00000007516,549
ENSG00000007520,2581
ENSG00000007541,8491
ENSG00000007545,1700
ENSG00000007866,3280
ENSG00000007908,84
ENSG00000007923,1935
ENSG00000007933,46
ENSG00000007944,3450
ENSG00000007952,82
ENSG00000007968,345
ENSG00000008018,11759
ENSG00000008056,38
ENSG00000008083,3328
ENSG00000008086,1460
ENSG00000008118,6
ENSG00000008128,585
ENSG00000008130,3749
ENSG00000008196,1277
ENSG00000008197,0
ENSG00000008226,43
ENSG00000008256,2066
ENSG00000008277,549
ENSG00000008282,12491
ENSG00000008283,8201
ENSG00000008294,5015
ENSG00000008300,344
ENSG00000008311,353
ENSG00000008323,394
ENSG00000008324,1892
ENSG00000008382,1845
ENSG00000008394,2459
ENSG00000008405,1740
ENSG00000008438,0
ENSG00000008441,8002
ENSG00000008513,6908
ENSG00000008516,312
ENSG00000008517,2920
ENSG00000008710,3740
ENSG00000008735,1323
ENSG00000008838,3989
ENSG00000008853,2229
ENSG00000008869,3353
ENSG00000008952,11918
ENSG00000008988,36998
ENSG00000009307,44948
ENSG00000009335,10449
ENSG00000009413,1886
ENSG00000009694,24
ENSG00000009709,0
ENSG00000009724,76
ENSG00000009765,57
ENSG00000009780,719
ENSG00000009790,248
ENSG00000009830,1902
ENSG00000009844,3759
ENSG00000009950,53
ENSG00000009954,10175
ENSG00000010017,2872
ENSG00000010030,246
ENSG00000010072,1076
ENSG00000010165,3149
ENSG00000010219,551
ENSG00000010244,8629
ENSG00000010256,13298
ENSG00000010270,1821
ENSG00000010278,19015
ENSG00000010282,20
ENSG00000010292,3704
ENSG00000010295,334
ENSG00000010310,316
ENSG00000010318,794
ENSG00000010319,2172
ENSG00000010322,7093
ENSG00000010327,1677
ENSG00000010361,3665
ENSG00000010379,1
ENSG00000010404,7768
ENSG00000010438,19
ENSG00000010539,1017
ENSG00000010610,1860
ENSG00000010626,684
ENSG00000010671,277
ENSG00000010704,970
ENSG00000010803,4074
ENSG00000010810,1675
ENSG00000010818,1314
ENSG00000010932,834
ENSG00000011007,4630
ENSG00000011009,5578
ENSG00000011021,1072
ENSG00000011028,6920
ENSG00000011052,44
ENSG00000011083,0
ENSG00000011105,5331
ENSG00000011114,2892
ENSG00000011132,799
ENSG00000011143,1275
ENSG00000011198,1978
ENSG00000011201,879
ENSG00000011243,2800
ENSG00000011258,1563
ENSG00000011260,2240
ENSG00000011275,3632
ENSG00000011295,2904
ENSG00000011304,19613
ENSG00000011332,39
ENSG00000011347,1833
ENSG00000011376,1533
ENSG00000011405,4938
ENSG00000011422,871
ENSG00000011426,1997
ENSG00000011451,4551
ENSG00000011454,6170
ENSG00000011465,26871
ENSG00000011478,999
ENSG00000011485,3666
ENSG00000011523,2599
ENSG00000011566,3636
ENSG00000011590,21
ENSG00000011600,1030
ENSG00000011638,3908
ENSG00000011677,0
ENSG00000012048,658
ENSG00000012061,4347
ENSG00000012124,514
ENSG00000012171,3033
ENSG00000012174,1574
ENSG00000012211,710
ENSG00000012223,32466
ENSG00000012232,2476
ENSG00000012504,0
ENSG00000012660,39692
ENSG00000012779,882
ENSG00000012817,0
ENSG00000012822,4573
ENSG00000012963,6689
ENSG00000012983,3496
ENSG00000013016,1126
ENSG00000013275,11855
ENSG00000013288,7899
ENSG00000013293,11
ENSG00000013297,797
ENSG00000013306,7533
ENSG00000013364,20800
ENSG00000013374,4961
ENSG00000013375,1797
ENSG00000013392,253
ENSG00000013441,4029
ENSG00000013503,1032
ENSG00000013523,1394
ENSG00000013561,5641
ENSG00000013563,1510
ENSG00000013573,620
ENSG00000013583,3964
ENSG00000013588,15201
ENSG00000013619,245
ENSG00000013725,347
ENSG00000013810,2746
ENSG00000014123,2792
ENSG00000014138,1507
ENSG00000014164,2381
ENSG00000014216,20143
ENSG00000014257,93
ENSG00000014641,10977
ENSG00000014824,6000
ENSG00000014914,1453
ENSG00000014919,2615
ENSG00000015133,8509
ENSG00000015153,886
ENSG00000015171,10756
ENSG00000015285,361
ENSG00000015413,81
ENSG00000015475,986
ENSG00000015479,328
ENSG00000015520,85
ENSG00000015532,2369
ENSG00000015568,2
ENSG00000015592,20
ENSG00000015676,7174
ENSG00000016082,1
ENSG00000016391,2511
ENSG00000016402,2185
ENSG00000016490,1
ENSG00000016602,64
ENSG00000016864,5052
ENSG00000017260,7860
ENSG00000017427,168
ENSG00000017483,195
ENSG00000017797,5670
ENSG00000018189,1850
ENSG00000018236,611
ENSG00000018280,117
ENSG00000018408,3706
ENSG00000018510,2617
ENSG00000018607,0
ENSG00000018610,1448
ENSG00000018625,123
ENSG00000018699,1319
ENSG00000018869,848
ENSG00000019102,366
ENSG00000019144,5012
ENSG00000019169,18
ENSG00000019186,70
ENSG00000019485,705
ENSG00000019505,12541
ENSG00000019549,2298
ENSG00000019582,62668
ENSG00000019991,140
ENSG00000019995,1854
ENSG00000020129,3504
ENSG00000020181,1930
ENSG00000020219,0
ENSG00000020256,1214
ENSG00000020426,832
ENSG00000020577,602
ENSG00000020633,773
ENSG00000020922,2320
ENSG00000021300,1423
ENSG00000021355,4942
ENSG00000021461,3
ENSG00000021488,58
ENSG00000021574,1721
ENSG00000021645,1463
ENSG00000021762,2336
ENSG00000021776,6984
ENSG00000021826,280
ENSG00000021852,2
ENSG00000022267,1838
ENSG00000022277,7205
ENSG00000022355,0
ENSG00000022556,1546
ENSG00000022567,1338
ENSG00000022840,18560
ENSG00000022976,678
ENSG00000023041,3044
ENSG00000023171,166
ENSG00000023191,8801
ENSG00000023228,5807
ENSG00000023287,4639
ENSG00000023318,4505
ENSG00000023330,4916
ENSG00000023445,3636
ENSG00000023516,3130
ENSG00000023572,704
ENSG00000023608,331
ENSG00000023697,966
ENSG00000023734,5597
ENSG00000023839,53
ENSG00000023892,1552
ENSG00000023902,3030
ENSG00000023909,1091
ENSG00000024048,5179
ENSG00000024422,9289
ENSG00000024526,334
ENSG00000024862,1419
ENSG00000025039,465
ENSG00000025156,905
ENSG00000025293,4635
ENSG00000025423,183
ENSG00000025434,1112
ENSG00000025708,4845
ENSG00000025770,2023
ENSG00000025772,2556
ENSG00000025796,8420
ENSG00000025800,6910
ENSG00000026025,36063
ENSG00000026036,108
ENSG00000026103,978
ENSG00000026297,3692
ENSG00000026508,25076
ENSG00000026559,70
ENSG00000026652,434
ENSG00000026751,442
ENSG00000026950,1739
ENSG00000027001,2643
ENSG00000027075,1958
ENSG00000027644,10
ENSG00000027697,5338
ENSG00000027847,1397
ENSG00000027869,86
ENSG00000028116,1753
ENSG00000028137,1690
ENSG00000028203,5142
ENSG00000028277,192
ENSG00000028310,2406
ENSG00000028528,10833
ENSG00000028839,719
ENSG00000029153,226
ENSG00000029363,12485
ENSG00000029364,12369
ENSG00000029534,33
ENSG00000029559,1
ENSG00000029639,812
ENSG00000029725,13324
ENSG00000029993,3142
ENSG00000030066,3670
ENSG00000030110,1147
ENSG00000030304,7
ENSG00000030419,5974
ENSG00000030582,12599
ENSG00000031003,3263
ENSG00000031081,2023
ENSG00000031691,412
ENSG00000031698,6764
ENSG00000031823,4337
ENSG00000032219,1951
ENSG00000032389,1996
ENSG00000032444,2786
ENSG00000032742,1525
ENSG00000033011,2039
ENSG00000033030,2410
ENSG00000033050,3841
ENSG00000033100,4343
ENSG00000033122,17
ENSG00000033170,6414
ENSG00000033178,2344
ENSG00000033327,3468
ENSG00000033627,3601
ENSG00000033800,2078
ENSG00000033867,2543
ENSG00000034053,143
ENSG00000034152,2181
ENSG00000034239,120
ENSG00000034510,57585
ENSG00000034533,965
ENSG00000034677,4842
ENSG00000034693,911
