Gene stable ID,19662bc7-e171-4a8e-b88a-4bd95c553b0c
ENSG00000000003,5050
ENSG00000000005,21
ENSG00000000419,3943
ENSG00000000457,1563
ENSG00000000460,669
ENSG00000000938,304
ENSG00000000971,2729
ENSG00000001036,11896
ENSG00000001084,12083
ENSG00000001167,5228
ENSG00000001460,1648
ENSG00000001461,3647
ENSG00000001497,3315
ENSG00000001561,6738
ENSG00000001617,11944
ENSG00000001626,141
ENSG00000001629,15566
ENSG00000001630,366
ENSG00000001631,3892
ENSG00000002016,814
ENSG00000002079,15
ENSG00000002330,1423
ENSG00000002549,18585
ENSG00000002586,10453
ENSG00000002587,567
ENSG00000002726,10
ENSG00000002745,1
ENSG00000002746,23
ENSG00000002822,1553
ENSG00000002834,48377
ENSG00000002919,4338
ENSG00000002933,2681
ENSG00000003056,13011
ENSG00000003096,127
ENSG00000003137,45
ENSG00000003147,7767
ENSG00000003249,2926
ENSG00000003393,4494
ENSG00000003400,908
ENSG00000003402,10375
ENSG00000003436,1354
ENSG00000003509,806
ENSG00000003756,7444
ENSG00000003987,65
ENSG00000003989,4565
ENSG00000004059,6690
ENSG00000004139,1871
ENSG00000004142,12754
ENSG00000004399,7759
ENSG00000004455,9667
ENSG00000004468,167
ENSG00000004478,123121
ENSG00000004487,14233
ENSG00000004534,7410
ENSG00000004660,1042
ENSG00000004700,3553
ENSG00000004766,3948
ENSG00000004776,171
ENSG00000004777,1275
ENSG00000004779,3416
ENSG00000004799,1997
ENSG00000004809,2
ENSG00000004838,1934
ENSG00000004846,5
ENSG00000004848,63
ENSG00000004864,2261
ENSG00000004866,2927
ENSG00000004897,12222
ENSG00000004939,2
ENSG00000004948,148
ENSG00000004961,1461
ENSG00000004975,1695
ENSG00000005001,625
ENSG00000005007,10528
ENSG00000005020,2515
ENSG00000005022,29024
ENSG00000005059,1534
ENSG00000005073,30
ENSG00000005075,1619
ENSG00000005100,2811
ENSG00000005102,128
ENSG00000005108,134
ENSG00000005156,9215
ENSG00000005175,5447
ENSG00000005187,168
ENSG00000005189,825
ENSG00000005194,4593
ENSG00000005206,3240
ENSG00000005238,973
ENSG00000005243,543
ENSG00000005249,3379
ENSG00000005302,1780
ENSG00000005339,18628
ENSG00000005379,1563
ENSG00000005381,10
ENSG00000005421,46
ENSG00000005436,2536
ENSG00000005448,1239
ENSG00000005469,2110
ENSG00000005471,163
ENSG00000005483,11862
ENSG00000005486,12731
ENSG00000005513,11
ENSG00000005700,19373
ENSG00000005801,2076
ENSG00000005810,12363
ENSG00000005812,6924
ENSG00000005844,1953
ENSG00000005882,2291
ENSG00000005884,4780
ENSG00000005889,5709
ENSG00000005893,22790
ENSG00000005961,72
ENSG00000005981,36
ENSG00000006007,8040
ENSG00000006015,1213
ENSG00000006016,251
ENSG00000006025,1412
ENSG00000006042,7925
ENSG00000006047,323
ENSG00000006059,52
ENSG00000006062,1613
ENSG00000006071,797
ENSG00000006116,0
ENSG00000006118,4834
ENSG00000006125,101914
ENSG00000006128,3
ENSG00000006194,4181
ENSG00000006210,903
ENSG00000006282,4663
ENSG00000006283,88
ENSG00000006327,1134
ENSG00000006377,2
ENSG00000006432,1492
ENSG00000006451,8053
ENSG00000006453,1588
ENSG00000006459,6094
ENSG00000006468,797
ENSG00000006530,3583
ENSG00000006534,996
ENSG00000006555,2886
ENSG00000006576,3419
ENSG00000006606,3
ENSG00000006607,4991
ENSG00000006611,11
ENSG00000006625,4601
ENSG00000006634,2127
ENSG00000006638,125
ENSG00000006652,3021
ENSG00000006659,1
ENSG00000006695,1296
ENSG00000006704,3411
ENSG00000006712,8244
ENSG00000006715,8231
ENSG00000006740,1044
ENSG00000006744,5033
ENSG00000006747,235
ENSG00000006756,9254
ENSG00000006757,1375
ENSG00000006788,13
ENSG00000006831,19955
ENSG00000006837,76
ENSG00000007001,19
ENSG00000007038,11
ENSG00000007047,4812
ENSG00000007062,11136
ENSG00000007080,3563
ENSG00000007129,25
ENSG00000007168,18804
ENSG00000007171,223
ENSG00000007174,9
ENSG00000007202,31693
ENSG00000007216,157
ENSG00000007237,1996
ENSG00000007255,1410
ENSG00000007264,69
ENSG00000007306,452
ENSG00000007312,46
ENSG00000007314,112
ENSG00000007341,2102
ENSG00000007350,0
ENSG00000007372,173
ENSG00000007376,1922
ENSG00000007384,2589
ENSG00000007392,2654
ENSG00000007402,6639
ENSG00000007516,1481
ENSG00000007520,2498
ENSG00000007541,8114
ENSG00000007545,2742
ENSG00000007866,2130
ENSG00000007908,242
ENSG00000007923,3950
ENSG00000007933,27
ENSG00000007944,7166
ENSG00000007952,73
ENSG00000007968,1129
ENSG00000008018,12323
ENSG00000008056,127
ENSG00000008083,4965
ENSG00000008086,1634
ENSG00000008118,19
ENSG00000008128,492
ENSG00000008130,6004
ENSG00000008196,2703
ENSG00000008197,0
ENSG00000008226,73
ENSG00000008256,1835
ENSG00000008277,1310
ENSG00000008282,25064
ENSG00000008283,21754
ENSG00000008294,10455
ENSG00000008300,1726
ENSG00000008311,1002
ENSG00000008323,881
ENSG00000008324,1946
ENSG00000008382,988
ENSG00000008394,18695
ENSG00000008405,4595
ENSG00000008438,4
ENSG00000008441,26023
ENSG00000008513,26184
ENSG00000008516,81
ENSG00000008517,353
ENSG00000008710,3196
ENSG00000008735,2586
ENSG00000008838,15026
ENSG00000008853,942
ENSG00000008869,5149
ENSG00000008952,22037
ENSG00000008988,41332
ENSG00000009307,88837
ENSG00000009335,14213
ENSG00000009413,4522
ENSG00000009694,34
ENSG00000009709,0
ENSG00000009724,80
ENSG00000009765,772
ENSG00000009780,943
ENSG00000009790,346
ENSG00000009830,2469
ENSG00000009844,8235
ENSG00000009950,126
ENSG00000009954,19704
ENSG00000010017,7108
ENSG00000010030,358
ENSG00000010072,1938
ENSG00000010165,3046
ENSG00000010219,2037
ENSG00000010244,15228
ENSG00000010256,7320
ENSG00000010270,3073
ENSG00000010278,31761
ENSG00000010282,1
ENSG00000010292,11726
ENSG00000010295,392
ENSG00000010310,175
ENSG00000010318,458
ENSG00000010319,1532
ENSG00000010322,6224
ENSG00000010327,3366
ENSG00000010361,565
ENSG00000010379,1
ENSG00000010404,7126
ENSG00000010438,15
ENSG00000010539,1630
ENSG00000010610,4013
ENSG00000010626,1038
ENSG00000010671,548
ENSG00000010704,1313
ENSG00000010803,6332
ENSG00000010810,1094
ENSG00000010818,3376
ENSG00000010932,204
ENSG00000011007,8654
ENSG00000011009,5168
ENSG00000011021,1148
ENSG00000011028,6067
ENSG00000011052,41
ENSG00000011083,10
ENSG00000011105,9812
ENSG00000011114,4729
ENSG00000011132,729
ENSG00000011143,1876
ENSG00000011198,3056
ENSG00000011201,5486
ENSG00000011243,4982
ENSG00000011258,6372
ENSG00000011260,4304
ENSG00000011275,5038
ENSG00000011295,3832
ENSG00000011304,30146
ENSG00000011332,47
ENSG00000011347,7578
ENSG00000011376,4999
ENSG00000011405,7052
ENSG00000011422,2093
ENSG00000011426,4291
ENSG00000011451,9705
ENSG00000011454,10276
ENSG00000011465,11275
ENSG00000011478,1278
ENSG00000011485,6679
ENSG00000011523,1987
ENSG00000011566,6256
ENSG00000011590,53
ENSG00000011600,2556
ENSG00000011638,2922
ENSG00000011677,122
ENSG00000012048,4753
ENSG00000012061,4624
ENSG00000012124,825
ENSG00000012171,303
ENSG00000012174,3452
ENSG00000012211,602
ENSG00000012223,381486
ENSG00000012232,1533
ENSG00000012504,1
ENSG00000012660,87514
ENSG00000012779,758
ENSG00000012817,0
ENSG00000012822,7821
ENSG00000012963,5869
ENSG00000012983,6093
ENSG00000013016,754
ENSG00000013275,9266
ENSG00000013288,12567
ENSG00000013293,0
ENSG00000013297,254
ENSG00000013306,13411
ENSG00000013364,5478
ENSG00000013374,10303
ENSG00000013375,27125
ENSG00000013392,3208
ENSG00000013441,4491
ENSG00000013503,2954
ENSG00000013523,2269
ENSG00000013561,5925
ENSG00000013563,1679
ENSG00000013573,2600
ENSG00000013583,4077
ENSG00000013588,29558
ENSG00000013619,199
ENSG00000013725,163
ENSG00000013810,3966
ENSG00000014123,12532
ENSG00000014138,2549
ENSG00000014164,3472
ENSG00000014216,12064
ENSG00000014257,729
ENSG00000014641,11226
ENSG00000014824,11930
ENSG00000014914,512
ENSG00000014919,5221
ENSG00000015133,13241
ENSG00000015153,1427
ENSG00000015171,11952
ENSG00000015285,380
ENSG00000015413,10
ENSG00000015475,2892
ENSG00000015479,806
ENSG00000015520,33
ENSG00000015532,9157
ENSG00000015568,0
ENSG00000015592,4
ENSG00000015676,8884
ENSG00000016082,1
ENSG00000016391,3599
ENSG00000016402,4347
ENSG00000016490,0
ENSG00000016602,0
ENSG00000016864,3701
ENSG00000017260,22487
ENSG00000017427,55
ENSG00000017483,257
ENSG00000017797,14297
ENSG00000018189,3816
ENSG00000018236,108
ENSG00000018280,791
ENSG00000018408,3881
ENSG00000018510,6337
ENSG00000018607,2
ENSG00000018610,4614
ENSG00000018625,31
ENSG00000018699,2525
ENSG00000018869,367
ENSG00000019102,28
ENSG00000019144,6189
ENSG00000019169,42
ENSG00000019186,1
