Gene stable ID,51d29b5f-7290-4167-820b-a389fd16794b
ENSG00000000003,3472
ENSG00000000005,14
ENSG00000000419,2761
ENSG00000000457,1738
ENSG00000000460,1431
ENSG00000000938,766
ENSG00000000971,2376
ENSG00000001036,5592
ENSG00000001084,2393
ENSG00000001167,2901
ENSG00000001460,644
ENSG00000001461,2607
ENSG00000001497,4163
ENSG00000001561,905
ENSG00000001617,7177
ENSG00000001626,4
ENSG00000001629,5856
ENSG00000001630,315
ENSG00000001631,2532
ENSG00000002016,467
ENSG00000002079,3
ENSG00000002330,3133
ENSG00000002549,6875
ENSG00000002586,16063
ENSG00000002587,286
ENSG00000002726,15
ENSG00000002745,2
ENSG00000002746,14
ENSG00000002822,1683
ENSG00000002834,52270
ENSG00000002919,2621
ENSG00000002933,2986
ENSG00000003056,2835
ENSG00000003096,2222
ENSG00000003137,758
ENSG00000003147,2346
ENSG00000003249,2739
ENSG00000003393,2692
ENSG00000003400,530
ENSG00000003402,5588
ENSG00000003436,938
ENSG00000003509,669
ENSG00000003756,3210
ENSG00000003987,55
ENSG00000003989,421
ENSG00000004059,11214
ENSG00000004139,101
ENSG00000004142,6419
ENSG00000004399,11488
ENSG00000004455,5817
ENSG00000004468,401
ENSG00000004478,15160
ENSG00000004487,5609
ENSG00000004534,3803
ENSG00000004660,608
ENSG00000004700,1704
ENSG00000004766,2000
ENSG00000004776,273
ENSG00000004777,601
ENSG00000004779,4780
ENSG00000004799,895
ENSG00000004809,2
ENSG00000004838,26
ENSG00000004846,11
ENSG00000004848,2
ENSG00000004864,2732
ENSG00000004866,2420
ENSG00000004897,8176
ENSG00000004939,0
ENSG00000004948,11
ENSG00000004961,987
ENSG00000004975,1664
ENSG00000005001,2125
ENSG00000005007,5683
ENSG00000005020,1162
ENSG00000005022,20610
ENSG00000005059,1669
ENSG00000005073,34
ENSG00000005075,2422
ENSG00000005100,1343
ENSG00000005102,117
ENSG00000005108,472
ENSG00000005156,6341
ENSG00000005175,2517
ENSG00000005187,249
ENSG00000005189,655
ENSG00000005194,5280
ENSG00000005206,2052
ENSG00000005238,1732
ENSG00000005243,1303
ENSG00000005249,1340
ENSG00000005302,1654
ENSG00000005339,6020
ENSG00000005379,630
ENSG00000005381,10
ENSG00000005421,1
ENSG00000005436,1902
ENSG00000005448,366
ENSG00000005469,815
ENSG00000005471,55
ENSG00000005483,5959
ENSG00000005486,3893
ENSG00000005513,19
ENSG00000005700,4905
ENSG00000005801,1787
ENSG00000005810,5503
ENSG00000005812,5733
ENSG00000005844,1679
ENSG00000005882,1798
ENSG00000005884,3403
ENSG00000005889,2969
ENSG00000005893,21158
ENSG00000005961,81
ENSG00000005981,7
ENSG00000006007,7894
ENSG00000006015,1025
ENSG00000006016,107
ENSG00000006025,207
ENSG00000006042,3130
ENSG00000006047,600
ENSG00000006059,4
ENSG00000006062,1507
ENSG00000006071,56
ENSG00000006116,0
ENSG00000006118,9626
ENSG00000006125,24294
ENSG00000006128,11
ENSG00000006194,2414
ENSG00000006210,132489
ENSG00000006282,2728
ENSG00000006283,16
ENSG00000006327,4816
ENSG00000006377,3
ENSG00000006432,1050
ENSG00000006451,9341
ENSG00000006453,3192
ENSG00000006459,3587
ENSG00000006468,611
ENSG00000006530,2403
ENSG00000006534,1732
ENSG00000006555,1252
ENSG00000006576,2606
ENSG00000006606,27
ENSG00000006607,1363
ENSG00000006611,42
ENSG00000006625,9662
ENSG00000006634,1369
ENSG00000006638,190
ENSG00000006652,3101
ENSG00000006659,0
ENSG00000006695,960
ENSG00000006704,3780
ENSG00000006712,7385
ENSG00000006715,4266
ENSG00000006740,166
ENSG00000006744,4200
ENSG00000006747,7714
ENSG00000006756,3549
ENSG00000006757,2085
ENSG00000006788,32
ENSG00000006831,8010
ENSG00000006837,38
ENSG00000007001,0
ENSG00000007038,3
ENSG00000007047,5005
ENSG00000007062,6298
ENSG00000007080,3812
ENSG00000007129,69
ENSG00000007168,6259
ENSG00000007171,71
ENSG00000007174,7
ENSG00000007202,9088
ENSG00000007216,39
ENSG00000007237,1639
ENSG00000007255,5578
ENSG00000007264,101
ENSG00000007306,21
ENSG00000007312,367
ENSG00000007314,29
ENSG00000007341,651
ENSG00000007350,3
ENSG00000007372,86
ENSG00000007376,1505
ENSG00000007384,3499
ENSG00000007392,2530
ENSG00000007402,356
ENSG00000007516,320
ENSG00000007520,3505
ENSG00000007541,5071
ENSG00000007545,1903
ENSG00000007866,2066
ENSG00000007908,619
ENSG00000007923,1752
ENSG00000007933,82
ENSG00000007944,974
ENSG00000007952,46
ENSG00000007968,600
ENSG00000008018,11326
ENSG00000008056,45
ENSG00000008083,3023
ENSG00000008086,477
ENSG00000008118,13
ENSG00000008128,226
ENSG00000008130,3355
ENSG00000008196,15850
ENSG00000008197,0
ENSG00000008226,26
ENSG00000008256,3161
ENSG00000008277,101
ENSG00000008282,14142
ENSG00000008283,19781
ENSG00000008294,7194
ENSG00000008300,202
ENSG00000008311,85
ENSG00000008323,1825
ENSG00000008324,1919
ENSG00000008382,1498
ENSG00000008394,9138
ENSG00000008405,3399
ENSG00000008438,2
ENSG00000008441,8717
ENSG00000008513,2618
ENSG00000008516,94
ENSG00000008517,3161
ENSG00000008710,3109
ENSG00000008735,589
ENSG00000008838,8434
ENSG00000008853,1025
ENSG00000008869,2205
ENSG00000008952,23596
ENSG00000008988,48702
ENSG00000009307,38767
ENSG00000009335,3911
ENSG00000009413,1298
ENSG00000009694,20
ENSG00000009709,46
ENSG00000009724,31
ENSG00000009765,5
ENSG00000009780,980
ENSG00000009790,430
ENSG00000009830,2175
ENSG00000009844,4936
ENSG00000009950,343
ENSG00000009954,9925
ENSG00000010017,6817
ENSG00000010030,264
ENSG00000010072,1235
ENSG00000010165,7531
ENSG00000010219,2625
ENSG00000010244,10527
ENSG00000010256,8495
ENSG00000010270,2484
ENSG00000010278,36135
ENSG00000010282,1
ENSG00000010292,6441
ENSG00000010295,457
ENSG00000010310,197
ENSG00000010318,252
ENSG00000010319,857
ENSG00000010322,3091
ENSG00000010327,1962
ENSG00000010361,1918
ENSG00000010379,2
ENSG00000010404,3710
ENSG00000010438,1
ENSG00000010539,847
ENSG00000010610,4342
ENSG00000010626,586
ENSG00000010671,778
ENSG00000010704,2744
ENSG00000010803,2502
ENSG00000010810,1595
ENSG00000010818,1800
ENSG00000010932,732
ENSG00000011007,3031
ENSG00000011009,4373
ENSG00000011021,614
ENSG00000011028,5510
ENSG00000011052,69
ENSG00000011083,21
ENSG00000011105,6500
ENSG00000011114,2798
ENSG00000011132,843
ENSG00000011143,1058
ENSG00000011198,1725
ENSG00000011201,1630
ENSG00000011243,2285
ENSG00000011258,2546
ENSG00000011260,3156
ENSG00000011275,4569
ENSG00000011295,2986
ENSG00000011304,18039
ENSG00000011332,181
ENSG00000011347,2464
ENSG00000011376,2222
ENSG00000011405,3507
ENSG00000011422,5547
ENSG00000011426,3989
ENSG00000011451,6456
ENSG00000011454,6195
ENSG00000011465,22433
ENSG00000011478,1304
ENSG00000011485,6669
ENSG00000011523,1988
ENSG00000011566,2241
ENSG00000011590,27
ENSG00000011600,4549
ENSG00000011638,8225
ENSG00000011677,24
ENSG00000012048,827
ENSG00000012061,5482
ENSG00000012124,344
ENSG00000012171,137
ENSG00000012174,1391
ENSG00000012211,577
ENSG00000012223,17671
ENSG00000012232,1711
ENSG00000012504,0
ENSG00000012660,31164
ENSG00000012779,1219
ENSG00000012817,3
ENSG00000012822,2427
ENSG00000012963,5049
ENSG00000012983,4000
ENSG00000013016,579
ENSG00000013275,10468
ENSG00000013288,3029
ENSG00000013293,1
ENSG00000013297,188
ENSG00000013306,15978
ENSG00000013364,7334
ENSG00000013374,4131
ENSG00000013375,6579
ENSG00000013392,727
ENSG00000013441,5239
ENSG00000013503,923
ENSG00000013523,2060
ENSG00000013561,3653
ENSG00000013563,742
ENSG00000013573,1573
ENSG00000013583,4382
ENSG00000013588,14729
ENSG00000013619,176
ENSG00000013725,782
ENSG00000013810,3236
ENSG00000014123,2201
ENSG00000014138,1512
ENSG00000014164,3211
ENSG00000014216,18050
ENSG00000014257,43
ENSG00000014641,8564
ENSG00000014824,3981
ENSG00000014914,288
ENSG00000014919,2649
ENSG00000015133,4359
ENSG00000015153,966
ENSG00000015171,11185
ENSG00000015285,687
ENSG00000015413,317
ENSG00000015475,3988
ENSG00000015479,225
ENSG00000015520,6
ENSG00000015532,2838
ENSG00000015568,0
ENSG00000015592,2
ENSG00000015676,10102
ENSG00000016082,0
ENSG00000016391,307
ENSG00000016402,175
ENSG00000016490,0
ENSG00000016602,1
ENSG00000016864,2819
ENSG00000017260,7832
ENSG00000017427,91
ENSG00000017483,303
ENSG00000017797,4154
ENSG00000018189,3139
ENSG00000018236,526
ENSG00000018280,1110
ENSG00000018408,7464
ENSG00000018510,2863
ENSG00000018607,0
ENSG00000018610,1769
ENSG00000018625,55
ENSG00000018699,1609
ENSG00000018869,174
ENSG00000019102,14
ENSG00000019144,4831
ENSG00000019169,544
ENSG00000019186,3
ENSG00000019485,602
ENSG00000019505,622
ENSG00000019549,897
ENSG00000019582,120138
ENSG00000019991,219
ENSG00000019995,2119
ENSG00000020129,931
ENSG00000020181,1684
ENSG00000020219,2
ENSG00000020256,1068
ENSG00000020426,1203
ENSG00000020577,5560
ENSG00000020633,1590
ENSG00000020922,2588
ENSG00000021300,728
ENSG00000021355,3566
ENSG00000021461,2
ENSG00000021488,65
ENSG00000021574,2101
ENSG00000021645,29
ENSG00000021762,3570
ENSG00000021776,4272
ENSG00000021826,137
ENSG00000021852,0
ENSG00000022267,1864
ENSG00000022277,6321
ENSG00000022355,0
ENSG00000022556,91
ENSG00000022567,2949
ENSG00000022840,15735
ENSG00000022976,411
ENSG00000023041,2293
ENSG00000023171,345
ENSG00000023191,10530
ENSG00000023228,7900
ENSG00000023287,4295
ENSG00000023318,5407
ENSG00000023330,3268
ENSG00000023445,1513
ENSG00000023516,2993
ENSG00000023572,873
ENSG00000023608,875
ENSG00000023697,2127
ENSG00000023734,9578
ENSG00000023839,16
ENSG00000023892,1044
ENSG00000023902,3076
ENSG00000023909,1418
ENSG00000024048,3995
ENSG00000024422,4109
ENSG00000024526,764
ENSG00000024862,1192
ENSG00000025039,3105
ENSG00000025156,1227
ENSG00000025293,9018
ENSG00000025423,348
ENSG00000025434,2175
ENSG00000025708,7515
ENSG00000025770,2205
ENSG00000025772,2690
ENSG00000025796,13607
ENSG00000025800,4352
ENSG00000026025,45283
ENSG00000026036,70
ENSG00000026103,523
ENSG00000026297,2189
ENSG00000026508,22416
ENSG00000026559,19
ENSG00000026652,362
ENSG00000026751,1694
ENSG00000026950,2557
ENSG00000027001,2663
ENSG00000027075,1863
ENSG00000027644,6
ENSG00000027697,9213
ENSG00000027847,2688
ENSG00000027869,502
ENSG00000028116,1236
ENSG00000028137,2675
ENSG00000028203,6058
ENSG00000028277,470
ENSG00000028310,2287
ENSG00000028528,4301
ENSG00000028839,1215
ENSG00000029153,437
ENSG00000029363,11684
ENSG00000029364,11413
ENSG00000029534,43
ENSG00000029559,1031
ENSG00000029639,418
ENSG00000029725,8347
ENSG00000029993,3166
ENSG00000030066,4396
ENSG00000030110,1812
ENSG00000030304,0
ENSG00000030419,955
ENSG00000030582,40080
ENSG00000031003,997
ENSG00000031081,1528
ENSG00000031691,246
ENSG00000031698,7995
ENSG00000031823,3607
ENSG00000032219,1241
ENSG00000032389,2228
ENSG00000032444,2390
ENSG00000032742,1028
ENSG00000033011,1664
ENSG00000033030,1585
ENSG00000033050,3410
ENSG00000033100,3833
ENSG00000033122,52
ENSG00000033170,3085
ENSG00000033178,5462
ENSG00000033327,2333
ENSG00000033627,4178
ENSG00000033800,2195
ENSG00000033867,8440
ENSG00000034053,182
ENSG00000034152,5232
ENSG00000034239,16
ENSG00000034510,128355
ENSG00000034533,485
ENSG00000034677,10163
ENSG00000034693,1660
ENSG00000034713,2936
ENSG00000034971,2
ENSG00000035115,4167
ENSG00000035141,2305
ENSG00000035403,17156
ENSG00000035499,351
ENSG00000035664,1126
ENSG00000035681,1795
ENSG00000035687,8707
ENSG00000035720,64
ENSG00000035862,28201
ENSG00000035928,2509
ENSG00000036054,2979
ENSG00000036257,4040
ENSG00000036448,45
ENSG00000036473,0
ENSG00000036530,70
ENSG00000036549,2174
ENSG00000036565,2
ENSG00000036672,542
ENSG00000036828,0
ENSG00000037042,1107
ENSG00000037241,890
ENSG00000037280,915
ENSG00000037474,5990
ENSG00000037637,1880
ENSG00000037749,1042
ENSG00000037757,577
ENSG00000037897,1979
ENSG00000037965,189
ENSG00000038002,1519
ENSG00000038210,1317
ENSG00000038219,2172
ENSG00000038274,2909
ENSG00000038295,94
ENSG00000038358,1220
ENSG00000038382,5178
ENSG00000038427,25701
ENSG00000038532,2852
ENSG00000038945,4449
ENSG00000039068,31325
ENSG00000039123,2617
ENSG00000039139,466
ENSG00000039319,2963
ENSG00000039523,2876
ENSG00000039537,46
ENSG00000039560,5613
ENSG00000039600,11
ENSG00000039650,2962
ENSG00000039987,0
ENSG00000040199,383
ENSG00000040275,615
ENSG00000040341,4705
ENSG00000040487,857
ENSG00000040531,1239
ENSG00000040608,2129
ENSG00000040633,2693
ENSG00000040731,0
ENSG00000040933,1987
ENSG00000041353,3163
ENSG00000041357,9266
ENSG00000041515,14
ENSG00000041802,5129
ENSG00000041880,701
ENSG00000041982,12798
ENSG00000041988,637
ENSG00000042062,115
ENSG00000042088,1896
ENSG00000042286,2515
ENSG00000042304,0
ENSG00000042317,475
ENSG00000042429,2421
ENSG00000042445,14137
ENSG00000042493,10331
ENSG00000042753,9179
ENSG00000042781,14
ENSG00000042813,2
ENSG00000042832,37
ENSG00000042980,388
ENSG00000043039,3690
ENSG00000043093,4384
ENSG00000043143,979
ENSG00000043355,49
ENSG00000043462,2398
ENSG00000043514,1563
ENSG00000043591,11
ENSG00000044012,0
ENSG00000044090,2549
ENSG00000044115,22579
ENSG00000044446,1231
ENSG00000044459,328
ENSG00000044524,127
ENSG00000044574,70218
ENSG00000046604,13074
ENSG00000046647,1258
ENSG00000046651,2069
ENSG00000046653,246
ENSG00000046774,14
ENSG00000046889,387
ENSG00000047056,1925
ENSG00000047188,1279
ENSG00000047230,2779
ENSG00000047249,4334
ENSG00000047315,12092
ENSG00000047346,3615
ENSG00000047365,989
ENSG00000047410,13912
ENSG00000047457,991
ENSG00000047578,2674
ENSG00000047579,1707
ENSG00000047597,142
ENSG00000047617,14
ENSG00000047621,2083
ENSG00000047634,639
ENSG00000047644,5692
ENSG00000047648,192
ENSG00000047662,29
ENSG00000047849,13519
ENSG00000047932,3497
ENSG00000047936,1
ENSG00000048028,2387
ENSG00000048052,392
ENSG00000048140,4635
ENSG00000048162,1652
ENSG00000048342,171
ENSG00000048392,2231
ENSG00000048405,1316
ENSG00000048462,90
ENSG00000048471,1887
ENSG00000048540,11
ENSG00000048544,4375
ENSG00000048545,23
ENSG00000048649,3656
ENSG00000048707,3704
ENSG00000048740,1406
ENSG00000048828,11950
ENSG00000048991,2802
ENSG00000049089,8498
ENSG00000049130,31834
ENSG00000049167,458
ENSG00000049192,116
ENSG00000049239,6247
ENSG00000049245,6358
ENSG00000049246,178
ENSG00000049247,8
ENSG00000049249,216
ENSG00000049283,2349
ENSG00000049323,5906
ENSG00000049449,2221
ENSG00000049540,3458
ENSG00000049541,4654
ENSG00000049618,4632
ENSG00000049656,7682
ENSG00000049759,4809
ENSG00000049768,400
ENSG00000049769,597
ENSG00000049860,7997
ENSG00000049883,551
ENSG00000050030,5
ENSG00000050130,3606
ENSG00000050165,2830
ENSG00000050327,1376
ENSG00000050344,3766
ENSG00000050393,3961
ENSG00000050405,4899
ENSG00000050426,2148
ENSG00000050438,334
ENSG00000050555,102
ENSG00000050628,371
ENSG00000050730,26
ENSG00000050748,3446
ENSG00000050767,157
ENSG00000050820,3644
ENSG00000051009,1724
ENSG00000051108,10934
ENSG00000051128,2778
ENSG00000051180,1545
ENSG00000051341,418
ENSG00000051382,3963
ENSG00000051523,5844
ENSG00000051596,763
ENSG00000051620,13079
ENSG00000051825,1016
