Gene stable ID,f1fd4b74-1bd9-4ca1-a437-930df81489c0
ENSG00000000003,1385
ENSG00000000005,0
ENSG00000000419,2195
ENSG00000000457,935
ENSG00000000460,508
ENSG00000000938,107
ENSG00000000971,991
ENSG00000001036,3068
ENSG00000001084,1295
ENSG00000001167,3090
ENSG00000001460,540
ENSG00000001461,459
ENSG00000001497,4876
ENSG00000001561,1374
ENSG00000001617,4651
ENSG00000001626,10
ENSG00000001629,3076
ENSG00000001630,24
ENSG00000001631,1344
ENSG00000002016,289
ENSG00000002079,8
ENSG00000002330,1770
ENSG00000002549,1370
ENSG00000002586,16949
ENSG00000002587,652
ENSG00000002726,0
ENSG00000002745,10
ENSG00000002746,33
ENSG00000002822,954
ENSG00000002834,12260
ENSG00000002919,789
ENSG00000002933,698
ENSG00000003056,1011
ENSG00000003096,79
ENSG00000003137,30
ENSG00000003147,4997
ENSG00000003249,2228
ENSG00000003393,916
ENSG00000003400,555
ENSG00000003402,3604
ENSG00000003436,1009
ENSG00000003509,534
ENSG00000003756,1492
ENSG00000003987,15
ENSG00000003989,77
ENSG00000004059,9613
ENSG00000004139,41
ENSG00000004142,4946
ENSG00000004399,4017
ENSG00000004455,5530
ENSG00000004468,23
ENSG00000004478,18066
ENSG00000004487,3345
ENSG00000004534,1682
ENSG00000004660,382
ENSG00000004700,497
ENSG00000004766,1260
ENSG00000004776,979
ENSG00000004777,216
ENSG00000004779,4848
ENSG00000004799,474
ENSG00000004809,0
ENSG00000004838,2210
ENSG00000004846,4
ENSG00000004848,80
ENSG00000004864,1125
ENSG00000004866,1973
ENSG00000004897,2400
ENSG00000004939,0
ENSG00000004948,4
ENSG00000004961,1093
ENSG00000004975,1271
ENSG00000005001,630
ENSG00000005007,3518
ENSG00000005020,413
ENSG00000005022,13738
ENSG00000005059,942
ENSG00000005073,95
ENSG00000005075,4563
ENSG00000005100,938
ENSG00000005102,24
ENSG00000005108,127
ENSG00000005156,1197
ENSG00000005175,2226
ENSG00000005187,43
ENSG00000005189,583
ENSG00000005194,1083
ENSG00000005206,1356
ENSG00000005238,1158
ENSG00000005243,1519
ENSG00000005249,4154
ENSG00000005302,1430
ENSG00000005339,7369
ENSG00000005379,142
ENSG00000005381,0
ENSG00000005421,0
ENSG00000005436,852
ENSG00000005448,1118
ENSG00000005469,2007
ENSG00000005471,66
ENSG00000005483,5233
ENSG00000005486,7707
ENSG00000005513,27
ENSG00000005700,3257
ENSG00000005801,1049
ENSG00000005810,856
ENSG00000005812,1279
ENSG00000005844,645
ENSG00000005882,132
ENSG00000005884,914
ENSG00000005889,1906
ENSG00000005893,8123
ENSG00000005961,12
ENSG00000005981,17
ENSG00000006007,8982
ENSG00000006015,397
ENSG00000006016,54
ENSG00000006025,320
ENSG00000006042,2473
ENSG00000006047,747
ENSG00000006059,3
ENSG00000006062,235
ENSG00000006071,99
ENSG00000006116,0
ENSG00000006118,4163
ENSG00000006125,9647
ENSG00000006128,0
ENSG00000006194,2815
ENSG00000006210,512
ENSG00000006282,1200
ENSG00000006283,15
ENSG00000006327,4224
ENSG00000006377,4
ENSG00000006432,297
ENSG00000006451,4649
ENSG00000006453,2712
ENSG00000006459,1798
ENSG00000006468,483
ENSG00000006530,1947
ENSG00000006534,533
ENSG00000006555,337
ENSG00000006576,1651
ENSG00000006606,29
ENSG00000006607,1988
ENSG00000006611,2
ENSG00000006625,13809
ENSG00000006634,1062
ENSG00000006638,234
ENSG00000006652,1074
ENSG00000006659,0
ENSG00000006695,822
ENSG00000006704,1643
ENSG00000006712,1851
ENSG00000006715,2146
ENSG00000006740,176
ENSG00000006744,2693
ENSG00000006747,3269
ENSG00000006756,5641
ENSG00000006757,1763
ENSG00000006788,50
ENSG00000006831,3858
ENSG00000006837,39
ENSG00000007001,16
ENSG00000007038,6
ENSG00000007047,1247
ENSG00000007062,1070
ENSG00000007080,1435
ENSG00000007129,164
ENSG00000007168,3515
ENSG00000007171,60
ENSG00000007174,319
ENSG00000007202,2066
ENSG00000007216,711
ENSG00000007237,633
ENSG00000007255,1207
ENSG00000007264,65
ENSG00000007306,90
ENSG00000007312,41
ENSG00000007314,20
ENSG00000007341,773
ENSG00000007350,0
ENSG00000007372,104
ENSG00000007376,2567
ENSG00000007384,3039
ENSG00000007392,2402
ENSG00000007402,845
ENSG00000007516,2053
ENSG00000007520,1586
ENSG00000007541,3893
ENSG00000007545,983
ENSG00000007866,3015
ENSG00000007908,113
ENSG00000007923,287
ENSG00000007933,96
ENSG00000007944,2726
ENSG00000007952,141
ENSG00000007968,328
ENSG00000008018,9620
ENSG00000008056,64
ENSG00000008083,1544
ENSG00000008086,1179
ENSG00000008118,27
ENSG00000008128,93
ENSG00000008130,903
ENSG00000008196,3559
ENSG00000008197,0
ENSG00000008226,79
ENSG00000008256,2235
ENSG00000008277,278
ENSG00000008282,8961
ENSG00000008283,8811
ENSG00000008294,1680
ENSG00000008300,36
ENSG00000008311,50
ENSG00000008323,281
ENSG00000008324,1831
ENSG00000008382,678
ENSG00000008394,3395
ENSG00000008405,1688
ENSG00000008438,0
ENSG00000008441,4275
ENSG00000008513,1287
ENSG00000008516,130
ENSG00000008517,2990
ENSG00000008710,1612
ENSG00000008735,91
ENSG00000008838,2332
ENSG00000008853,572
ENSG00000008869,1192
ENSG00000008952,14787
ENSG00000008988,41408
ENSG00000009307,15436
ENSG00000009335,3030
ENSG00000009413,455
ENSG00000009694,15
ENSG00000009709,0
ENSG00000009724,10
ENSG00000009765,284
ENSG00000009780,508
ENSG00000009790,23
ENSG00000009830,591
ENSG00000009844,3333
ENSG00000009950,73
ENSG00000009954,6388
ENSG00000010017,5770
ENSG00000010030,92
ENSG00000010072,1260
ENSG00000010165,1502
ENSG00000010219,1644
ENSG00000010244,6869
ENSG00000010256,5893
ENSG00000010270,1540
ENSG00000010278,18940
ENSG00000010282,3
ENSG00000010292,2767
ENSG00000010295,269
ENSG00000010310,119
ENSG00000010318,203
ENSG00000010319,492
ENSG00000010322,1372
ENSG00000010327,1014
ENSG00000010361,516
ENSG00000010379,0
ENSG00000010404,2652
ENSG00000010438,2
ENSG00000010539,1094
ENSG00000010610,1377
ENSG00000010626,1481
ENSG00000010671,118
ENSG00000010704,1112
ENSG00000010803,1185
ENSG00000010810,1492
