Gene stable ID,322ff50a-fb6a-417c-a9ac-012b7bc924df
ENSG00000000003,4269
ENSG00000000005,719
ENSG00000000419,3304
ENSG00000000457,2852
ENSG00000000460,1882
ENSG00000000938,849
ENSG00000000971,1456
ENSG00000001036,2484
ENSG00000001084,2391
ENSG00000001167,6713
ENSG00000001460,1054
ENSG00000001461,6280
ENSG00000001497,5305
ENSG00000001561,956
ENSG00000001617,1792
ENSG00000001626,11
ENSG00000001629,3013
ENSG00000001630,101
ENSG00000001631,2143
ENSG00000002016,1150
ENSG00000002079,17
ENSG00000002330,811
ENSG00000002549,7177
ENSG00000002586,9057
ENSG00000002587,220
ENSG00000002726,52
ENSG00000002745,2
ENSG00000002746,17
ENSG00000002822,994
ENSG00000002834,8072
ENSG00000002919,1173
ENSG00000002933,1562
ENSG00000003056,9260
ENSG00000003096,2394
ENSG00000003137,2025
ENSG00000003147,1087
ENSG00000003249,8287
ENSG00000003393,2244
ENSG00000003400,392
ENSG00000003402,7358
ENSG00000003436,361
ENSG00000003509,1179
ENSG00000003756,3805
ENSG00000003987,391
ENSG00000003989,601
ENSG00000004059,12591
ENSG00000004139,359
ENSG00000004142,7926
ENSG00000004399,4593
ENSG00000004455,12968
ENSG00000004468,716
ENSG00000004478,38550
ENSG00000004487,12150
ENSG00000004534,3311
ENSG00000004660,894
ENSG00000004700,1914
ENSG00000004766,1256
ENSG00000004776,117
ENSG00000004777,866
ENSG00000004779,2834
ENSG00000004799,895
ENSG00000004809,18
ENSG00000004838,76
ENSG00000004846,1
ENSG00000004848,6
ENSG00000004864,2029
ENSG00000004866,1786
ENSG00000004897,3082
ENSG00000004939,2
ENSG00000004948,3
ENSG00000004961,1959
ENSG00000004975,2105
ENSG00000005001,340
ENSG00000005007,5646
ENSG00000005020,1766
ENSG00000005022,29305
ENSG00000005059,4093
ENSG00000005073,87
ENSG00000005075,2008
ENSG00000005100,4434
ENSG00000005102,496
ENSG00000005108,112
ENSG00000005156,2283
ENSG00000005175,1822
ENSG00000005187,83
ENSG00000005189,478
ENSG00000005194,5356
ENSG00000005206,1165
ENSG00000005238,700
ENSG00000005243,332
ENSG00000005249,5778
ENSG00000005302,3894
ENSG00000005339,6516
ENSG00000005379,722
ENSG00000005381,15
ENSG00000005421,2
ENSG00000005436,2490
ENSG00000005448,662
ENSG00000005469,357
ENSG00000005471,33
ENSG00000005483,5511
ENSG00000005486,3463
ENSG00000005513,2156
ENSG00000005700,2116
ENSG00000005801,1149
ENSG00000005810,4309
ENSG00000005812,3163
ENSG00000005844,2142
ENSG00000005882,952
ENSG00000005884,1586
ENSG00000005889,2770
ENSG00000005893,21831
ENSG00000005961,26
ENSG00000005981,1
ENSG00000006007,5555
ENSG00000006015,531
ENSG00000006016,2291
ENSG00000006025,596
ENSG00000006042,949
ENSG00000006047,254
ENSG00000006059,2
ENSG00000006062,1306
ENSG00000006071,0
ENSG00000006116,0
ENSG00000006118,6743
ENSG00000006125,12870
ENSG00000006128,0
ENSG00000006194,2224
ENSG00000006210,8544
ENSG00000006282,843
ENSG00000006283,4
ENSG00000006327,1974
ENSG00000006377,511
ENSG00000006432,1344
ENSG00000006451,3289
ENSG00000006453,3849
ENSG00000006459,1917
ENSG00000006468,717
ENSG00000006530,3030
ENSG00000006534,411
ENSG00000006555,519
ENSG00000006576,1280
ENSG00000006606,43
ENSG00000006607,1457
ENSG00000006611,5
ENSG00000006625,3635
ENSG00000006634,1662
ENSG00000006638,85
ENSG00000006652,2450
ENSG00000006659,0
ENSG00000006695,1074
ENSG00000006704,1242
ENSG00000006712,4304
ENSG00000006715,1777
ENSG00000006740,777
ENSG00000006744,5116
ENSG00000006747,255
ENSG00000006756,2433
ENSG00000006757,1643
ENSG00000006788,15
ENSG00000006831,15573
ENSG00000006837,38
ENSG00000007001,3
ENSG00000007038,13
ENSG00000007047,3652
ENSG00000007062,11893
ENSG00000007080,1517
ENSG00000007129,29
ENSG00000007168,12378
ENSG00000007171,43
ENSG00000007174,26
ENSG00000007202,8445
ENSG00000007216,2
ENSG00000007237,899
ENSG00000007255,727
ENSG00000007264,329
ENSG00000007306,0
ENSG00000007312,275
ENSG00000007314,41
ENSG00000007341,453
ENSG00000007350,4
ENSG00000007372,479
ENSG00000007376,2427
ENSG00000007384,3998
ENSG00000007392,3158
ENSG00000007402,103
ENSG00000007516,65
ENSG00000007520,3054
ENSG00000007541,2479
ENSG00000007545,2393
ENSG00000007866,4183
ENSG00000007908,946
ENSG00000007923,2859
ENSG00000007933,25
ENSG00000007944,2721
ENSG00000007952,104
ENSG00000007968,2534
ENSG00000008018,8089
ENSG00000008056,53
ENSG00000008083,7786
ENSG00000008086,1735
ENSG00000008118,27
ENSG00000008128,287
ENSG00000008130,3670
ENSG00000008196,187
ENSG00000008197,0
ENSG00000008226,21
ENSG00000008256,944
ENSG00000008277,302
ENSG00000008282,8879
ENSG00000008283,6256
ENSG00000008294,4823
ENSG00000008300,348
ENSG00000008311,93
ENSG00000008323,2257
ENSG00000008324,1097
ENSG00000008382,836
ENSG00000008394,11125
ENSG00000008405,1045
ENSG00000008438,1
ENSG00000008441,28724
ENSG00000008513,3830
ENSG00000008516,215
ENSG00000008517,6105
ENSG00000008710,2542
ENSG00000008735,510
ENSG00000008838,5748
ENSG00000008853,2132
ENSG00000008869,2992
ENSG00000008952,12699
ENSG00000008988,58214
ENSG00000009307,72997
ENSG00000009335,10714
ENSG00000009413,1677
ENSG00000009694,12
ENSG00000009709,1
ENSG00000009724,64
ENSG00000009765,17
ENSG00000009780,1696
ENSG00000009790,1199
ENSG00000009830,1497
ENSG00000009844,2489
ENSG00000009950,17
ENSG00000009954,10670
ENSG00000010017,4726
ENSG00000010030,756
ENSG00000010072,1752
ENSG00000010165,5989
ENSG00000010219,2854
ENSG00000010244,10297
ENSG00000010256,10791
ENSG00000010270,931
ENSG00000010278,55461
ENSG00000010282,0
ENSG00000010292,32742
ENSG00000010295,393
ENSG00000010310,26
ENSG00000010318,187
ENSG00000010319,400
ENSG00000010322,3360
ENSG00000010327,1754
ENSG00000010361,932
ENSG00000010379,64
ENSG00000010404,6857
ENSG00000010438,269
ENSG00000010539,817
ENSG00000010610,4811
ENSG00000010626,823
ENSG00000010671,459
ENSG00000010704,710
ENSG00000010803,3545
ENSG00000010810,2044
ENSG00000010818,2011
ENSG00000010932,455
ENSG00000011007,6042
ENSG00000011009,6267
ENSG00000011021,574
ENSG00000011028,2522
ENSG00000011052,45
ENSG00000011083,5
ENSG00000011105,8014
ENSG00000011114,1957
ENSG00000011132,690
ENSG00000011143,1057
ENSG00000011198,1098
ENSG00000011201,243
ENSG00000011243,2043
ENSG00000011258,2186
ENSG00000011260,2168
ENSG00000011275,2193
ENSG00000011295,4371
ENSG00000011304,15855
ENSG00000011332,106
ENSG00000011347,6321
ENSG00000011376,2894
ENSG00000011405,3055
ENSG00000011422,3627
ENSG00000011426,4693
ENSG00000011451,3554
ENSG00000011454,8549
ENSG00000011465,7114
ENSG00000011478,1172
ENSG00000011485,7153
