Gene stable ID,1f216230-17e0-4036-a216-9c0b122868ab
ENSG00000000003,10046
ENSG00000000005,29
ENSG00000000419,3344
ENSG00000000457,3652
ENSG00000000460,2033
ENSG00000000938,406
ENSG00000000971,1612
ENSG00000001036,3764
ENSG00000001084,2279
ENSG00000001167,4719
ENSG00000001460,868
ENSG00000001461,1655
ENSG00000001497,2176
ENSG00000001561,3172
ENSG00000001617,6800
ENSG00000001626,21
ENSG00000001629,6278
ENSG00000001630,173
ENSG00000001631,3164
ENSG00000002016,922
ENSG00000002079,65
ENSG00000002330,881
ENSG00000002549,6144
ENSG00000002586,9092
ENSG00000002587,343
ENSG00000002726,18
ENSG00000002745,7
ENSG00000002746,16
ENSG00000002822,567
ENSG00000002834,81828
ENSG00000002919,3157
ENSG00000002933,1163
ENSG00000003056,3872
ENSG00000003096,239
ENSG00000003137,68
ENSG00000003147,6438
ENSG00000003249,2332
ENSG00000003393,2617
ENSG00000003400,485
ENSG00000003402,4746
ENSG00000003436,767
ENSG00000003509,986
ENSG00000003756,9505
ENSG00000003987,170
ENSG00000003989,33474
ENSG00000004059,7974
ENSG00000004139,247
ENSG00000004142,10805
ENSG00000004399,4803
ENSG00000004455,8433
ENSG00000004468,79
ENSG00000004478,21631
ENSG00000004487,8088
ENSG00000004534,6168
ENSG00000004660,341
ENSG00000004700,1510
ENSG00000004766,3003
ENSG00000004776,398
ENSG00000004777,2094
ENSG00000004779,3494
ENSG00000004799,3964
ENSG00000004809,5
ENSG00000004838,1639
ENSG00000004846,11
ENSG00000004848,7
ENSG00000004864,1426
ENSG00000004866,2471
ENSG00000004897,3727
ENSG00000004939,1
ENSG00000004948,8
ENSG00000004961,1625
ENSG00000004975,1089
ENSG00000005001,650
ENSG00000005007,4587
ENSG00000005020,1110
ENSG00000005022,12579
ENSG00000005059,2318
ENSG00000005073,17
ENSG00000005075,1915
ENSG00000005100,1155
ENSG00000005102,101
ENSG00000005108,252
ENSG00000005156,10208
ENSG00000005175,3052
ENSG00000005187,139
ENSG00000005189,1073
ENSG00000005194,1624
ENSG00000005206,1995
ENSG00000005238,1367
ENSG00000005243,768
ENSG00000005249,7567
ENSG00000005302,1894
ENSG00000005339,7203
ENSG00000005379,990
ENSG00000005381,8
ENSG00000005421,168
ENSG00000005436,2177
ENSG00000005448,1018
ENSG00000005469,5951
ENSG00000005471,164
ENSG00000005483,8863
ENSG00000005486,5769
ENSG00000005513,19
ENSG00000005700,7029
ENSG00000005801,2033
ENSG00000005810,3936
ENSG00000005812,7292
ENSG00000005844,1478
ENSG00000005882,490
ENSG00000005884,6092
ENSG00000005889,5456
ENSG00000005893,15462
ENSG00000005961,85
ENSG00000005981,15
ENSG00000006007,12451
ENSG00000006015,297
ENSG00000006016,153
ENSG00000006025,627
ENSG00000006042,1626
ENSG00000006047,760
ENSG00000006059,81
ENSG00000006062,1132
ENSG00000006071,513
ENSG00000006116,0
ENSG00000006118,2838
ENSG00000006125,33437
ENSG00000006128,8
ENSG00000006194,2660
ENSG00000006210,1398
ENSG00000006282,2598
ENSG00000006283,40
ENSG00000006327,1032
ENSG00000006377,5
ENSG00000006432,1406
ENSG00000006451,7488
ENSG00000006453,3077
ENSG00000006459,2071
ENSG00000006468,967
ENSG00000006530,2669
ENSG00000006534,613
ENSG00000006555,567
ENSG00000006576,3114
ENSG00000006606,21
ENSG00000006607,2846
ENSG00000006611,6
ENSG00000006625,6505
ENSG00000006634,1195
ENSG00000006638,77
ENSG00000006652,2268
ENSG00000006659,15
ENSG00000006695,731
ENSG00000006704,2853
ENSG00000006712,3110
ENSG00000006715,3972
ENSG00000006740,417
ENSG00000006744,1601
ENSG00000006747,2367
ENSG00000006756,15777
ENSG00000006757,2494
ENSG00000006788,36
ENSG00000006831,11279
ENSG00000006837,199
ENSG00000007001,17
ENSG00000007038,12
ENSG00000007047,1924
ENSG00000007062,1672
ENSG00000007080,777
ENSG00000007129,16
ENSG00000007168,5859
ENSG00000007171,24
ENSG00000007174,10
ENSG00000007202,12892
ENSG00000007216,81
ENSG00000007237,1259
ENSG00000007255,832
ENSG00000007264,19
ENSG00000007306,42
ENSG00000007312,47
ENSG00000007314,65
ENSG00000007341,955
ENSG00000007350,2
ENSG00000007372,186
ENSG00000007376,1102
ENSG00000007384,2741
ENSG00000007392,4386
ENSG00000007402,688
ENSG00000007516,663
ENSG00000007520,818
ENSG00000007541,4560
ENSG00000007545,1921
ENSG00000007866,1854
ENSG00000007908,1076
ENSG00000007923,1517
ENSG00000007933,35
ENSG00000007944,3087
ENSG00000007952,227
ENSG00000007968,522
ENSG00000008018,9913
ENSG00000008056,79
ENSG00000008083,3362
ENSG00000008086,1076
ENSG00000008118,12
ENSG00000008128,254
ENSG00000008130,2192
ENSG00000008196,17141
ENSG00000008197,0
ENSG00000008226,277
ENSG00000008256,2304
ENSG00000008277,396
ENSG00000008282,9385
ENSG00000008283,7545
ENSG00000008294,4999
ENSG00000008300,544
ENSG00000008311,620
ENSG00000008323,359
