Gene stable ID,56a1a889-ef62-435e-8627-fe6c52c7193d
ENSG00000000003,3164
ENSG00000000005,221
ENSG00000000419,5853
ENSG00000000457,1859
ENSG00000000460,815
ENSG00000000938,1140
ENSG00000000971,3758
ENSG00000001036,4291
ENSG00000001084,3248
ENSG00000001167,6078
ENSG00000001460,1649
ENSG00000001461,5212
ENSG00000001497,4912
ENSG00000001561,725
ENSG00000001617,4809
ENSG00000001626,7
ENSG00000001629,3717
ENSG00000001630,312
ENSG00000001631,2314
ENSG00000002016,629
ENSG00000002079,51
ENSG00000002330,3279
ENSG00000002549,15325
ENSG00000002586,19793
ENSG00000002587,434
ENSG00000002726,207
ENSG00000002745,8
ENSG00000002746,27
ENSG00000002822,2978
ENSG00000002834,14673
ENSG00000002919,1340
ENSG00000002933,4329
ENSG00000003056,5933
ENSG00000003096,173
ENSG00000003137,2356
ENSG00000003147,1618
ENSG00000003249,3780
ENSG00000003393,1781
ENSG00000003400,792
ENSG00000003402,8731
ENSG00000003436,1318
ENSG00000003509,1229
ENSG00000003756,8537
ENSG00000003987,39
ENSG00000003989,835
ENSG00000004059,13482
ENSG00000004139,410
ENSG00000004142,8079
ENSG00000004399,14868
ENSG00000004455,12121
ENSG00000004468,557
ENSG00000004478,15273
ENSG00000004487,14653
ENSG00000004534,8005
ENSG00000004660,1063
ENSG00000004700,2048
ENSG00000004766,1126
ENSG00000004776,3231
ENSG00000004777,1491
ENSG00000004779,4793
ENSG00000004799,2000
ENSG00000004809,23
ENSG00000004838,97
ENSG00000004846,37
ENSG00000004848,21
ENSG00000004864,3374
ENSG00000004866,1901
ENSG00000004897,3938
ENSG00000004939,19
ENSG00000004948,27
ENSG00000004961,2418
ENSG00000004975,2530
ENSG00000005001,2267
ENSG00000005007,13574
ENSG00000005020,1595
ENSG00000005022,13998
ENSG00000005059,1512
ENSG00000005073,59
ENSG00000005075,2331
ENSG00000005100,2579
ENSG00000005102,592
ENSG00000005108,390
ENSG00000005156,3869
ENSG00000005175,1704
ENSG00000005187,113
ENSG00000005189,324
ENSG00000005194,6193
ENSG00000005206,4530
ENSG00000005238,2690
ENSG00000005243,1450
ENSG00000005249,4090
ENSG00000005302,4755
ENSG00000005339,13350
ENSG00000005379,2337
ENSG00000005381,13
ENSG00000005421,9
ENSG00000005436,2418
ENSG00000005448,593
ENSG00000005469,580
ENSG00000005471,163
ENSG00000005483,5817
ENSG00000005486,6612
ENSG00000005513,9393
ENSG00000005700,4413
ENSG00000005801,1519
ENSG00000005810,6029
ENSG00000005812,2832
ENSG00000005844,2969
ENSG00000005882,1607
ENSG00000005884,3056
ENSG00000005889,3645
ENSG00000005893,14659
ENSG00000005961,95
ENSG00000005981,8
ENSG00000006007,4979
ENSG00000006015,2414
ENSG00000006016,17432
ENSG00000006025,622
ENSG00000006042,4832
ENSG00000006047,768
ENSG00000006059,4
ENSG00000006062,2023
ENSG00000006071,9
ENSG00000006116,0
ENSG00000006118,30178
ENSG00000006125,14406
ENSG00000006128,39
ENSG00000006194,3336
ENSG00000006210,15164
ENSG00000006282,2258
ENSG00000006283,105
ENSG00000006327,11019
ENSG00000006377,308
ENSG00000006432,1101
ENSG00000006451,7142
ENSG00000006453,2199
ENSG00000006459,3425
ENSG00000006468,614
ENSG00000006530,2379
ENSG00000006534,1212
ENSG00000006555,1378
ENSG00000006576,3008
ENSG00000006606,39
ENSG00000006607,2458
ENSG00000006611,41
ENSG00000006625,3434
ENSG00000006634,1165
ENSG00000006638,463
ENSG00000006652,4398
ENSG00000006659,1
ENSG00000006695,1148
ENSG00000006704,3415
ENSG00000006712,6661
ENSG00000006715,3414
ENSG00000006740,1089
ENSG00000006744,5833
ENSG00000006747,306
ENSG00000006756,6333
ENSG00000006757,2105
ENSG00000006788,85
ENSG00000006831,8698
ENSG00000006837,42
ENSG00000007001,10
ENSG00000007038,9
ENSG00000007047,5257
ENSG00000007062,10860
ENSG00000007080,6904
ENSG00000007129,115
ENSG00000007168,9047
