Gene stable ID,26562f3a-6491-477c-888b-8cd9e994233a
ENSG00000000003,1009
ENSG00000000005,65
ENSG00000000419,547
ENSG00000000457,3914
ENSG00000000460,799
ENSG00000000938,289
ENSG00000000971,1790
ENSG00000001036,1391
ENSG00000001084,1493
ENSG00000001167,2642
ENSG00000001460,799
ENSG00000001461,5708
ENSG00000001497,986
ENSG00000001561,1355
ENSG00000001617,2470
ENSG00000001626,33
ENSG00000001629,2760
ENSG00000001630,52
ENSG00000001631,1507
ENSG00000002016,1070
ENSG00000002079,113
ENSG00000002330,573
ENSG00000002549,2955
ENSG00000002586,3715
ENSG00000002587,264
ENSG00000002726,26
ENSG00000002745,10
ENSG00000002746,57
ENSG00000002822,385
ENSG00000002834,14667
ENSG00000002919,889
ENSG00000002933,283
ENSG00000003056,2788
ENSG00000003096,43
ENSG00000003137,122
ENSG00000003147,2153
ENSG00000003249,406
ENSG00000003393,2256
ENSG00000003400,639
ENSG00000003402,13773
ENSG00000003436,763
ENSG00000003509,624
ENSG00000003756,8066
ENSG00000003987,292
ENSG00000003989,495
ENSG00000004059,748
ENSG00000004139,757
ENSG00000004142,2876
ENSG00000004399,5318
ENSG00000004455,5291
ENSG00000004468,90
ENSG00000004478,6030
ENSG00000004487,3489
ENSG00000004534,8575
ENSG00000004660,448
ENSG00000004700,736
ENSG00000004766,765
ENSG00000004776,151
ENSG00000004777,839
ENSG00000004779,690
ENSG00000004799,769
ENSG00000004809,11
ENSG00000004838,593
ENSG00000004846,41
ENSG00000004848,4
ENSG00000004864,524
ENSG00000004866,1062
ENSG00000004897,3018
ENSG00000004939,25
ENSG00000004948,24
ENSG00000004961,294
ENSG00000004975,1014
ENSG00000005001,755
ENSG00000005007,3425
ENSG00000005020,906
ENSG00000005022,1839
ENSG00000005059,458
ENSG00000005073,17
ENSG00000005075,206
ENSG00000005100,1470
ENSG00000005102,91
ENSG00000005108,294
ENSG00000005156,4585
ENSG00000005175,1104
ENSG00000005187,565
ENSG00000005189,680
ENSG00000005194,730
ENSG00000005206,1154
ENSG00000005238,812
ENSG00000005243,293
ENSG00000005249,1193
ENSG00000005302,1159
ENSG00000005339,14454
ENSG00000005379,1270
ENSG00000005381,9
ENSG00000005421,22
ENSG00000005436,1105
ENSG00000005448,296
ENSG00000005469,471
ENSG00000005471,183
ENSG00000005483,7731
ENSG00000005486,743
ENSG00000005513,28
ENSG00000005700,4041
ENSG00000005801,1357
ENSG00000005810,10418
ENSG00000005812,2313
