Gene stable ID,6646e159-5c98-4678-bcb4-d2c6d832dbfe
ENSG00000000003,3394
ENSG00000000005,3
ENSG00000000419,3627
ENSG00000000457,2825
ENSG00000000460,1388
ENSG00000000938,759
ENSG00000000971,6555
ENSG00000001036,4941
ENSG00000001084,1745
ENSG00000001167,6056
ENSG00000001460,414
ENSG00000001461,1498
ENSG00000001497,4331
ENSG00000001561,1472
ENSG00000001617,3757
ENSG00000001626,11
ENSG00000001629,18933
ENSG00000001630,1064
ENSG00000001631,6216
ENSG00000002016,416
ENSG00000002079,17
ENSG00000002330,1008
ENSG00000002549,15701
ENSG00000002586,16497
ENSG00000002587,391
ENSG00000002726,101
ENSG00000002745,3
ENSG00000002746,80
ENSG00000002822,1884
ENSG00000002834,28086
ENSG00000002919,2661
ENSG00000002933,2630
ENSG00000003056,5656
ENSG00000003096,1054
ENSG00000003137,196
ENSG00000003147,5275
ENSG00000003249,1952
ENSG00000003393,4568
ENSG00000003400,6486
ENSG00000003402,14767
ENSG00000003436,1755
ENSG00000003509,842
ENSG00000003756,4982
ENSG00000003987,44
ENSG00000003989,3262
ENSG00000004059,5571
ENSG00000004139,212
ENSG00000004142,10431
ENSG00000004399,14432
ENSG00000004455,7687
ENSG00000004468,2317
ENSG00000004478,21827
ENSG00000004487,5808
ENSG00000004534,5016
ENSG00000004660,823
ENSG00000004700,2940
ENSG00000004766,4553
ENSG00000004776,64
ENSG00000004777,405
ENSG00000004779,3938
ENSG00000004799,538
ENSG00000004809,4
ENSG00000004838,72
ENSG00000004846,2
ENSG00000004848,169
ENSG00000004864,5265
ENSG00000004866,2162
ENSG00000004897,3892
ENSG00000004939,0
ENSG00000004948,14
ENSG00000004961,3829
ENSG00000004975,2718
ENSG00000005001,762
ENSG00000005007,12792
ENSG00000005020,7450
ENSG00000005022,33420
ENSG00000005059,2420
ENSG00000005073,128
ENSG00000005075,1135
ENSG00000005100,1976
ENSG00000005102,100
ENSG00000005108,435
ENSG00000005156,8186
ENSG00000005175,3628
ENSG00000005187,1458
ENSG00000005189,1800
ENSG00000005194,3063
ENSG00000005206,1904
ENSG00000005238,1522
ENSG00000005243,664
ENSG00000005249,3241
ENSG00000005302,4090
ENSG00000005339,15527
ENSG00000005379,496
ENSG00000005381,15
ENSG00000005421,40
ENSG00000005436,2447
ENSG00000005448,339
ENSG00000005469,6158
ENSG00000005471,124
ENSG00000005483,7336
ENSG00000005486,12236
ENSG00000005513,53
ENSG00000005700,7325
ENSG00000005801,1562
ENSG00000005810,10021
ENSG00000005812,3680
ENSG00000005844,4184
ENSG00000005882,775
ENSG00000005884,2134
ENSG00000005889,5403
ENSG00000005893,33718
ENSG00000005961,19
ENSG00000005981,13
ENSG00000006007,9037
ENSG00000006015,926
ENSG00000006016,112
ENSG00000006025,784
ENSG00000006042,974
ENSG00000006047,1689
ENSG00000006059,15
ENSG00000006062,2049
ENSG00000006071,184
ENSG00000006116,0
ENSG00000006118,8217
ENSG00000006125,24494
ENSG00000006128,0
ENSG00000006194,4184
ENSG00000006210,3861
ENSG00000006282,1539
ENSG00000006283,55
ENSG00000006327,3404
ENSG00000006377,3
ENSG00000006432,1894
ENSG00000006451,10780
ENSG00000006453,7905
ENSG00000006459,4675
ENSG00000006468,1030
ENSG00000006530,1754
ENSG00000006534,1222
ENSG00000006555,444
ENSG00000006576,3249
ENSG00000006606,14
ENSG00000006607,5008
ENSG00000006611,235
ENSG00000006625,13997
ENSG00000006634,5370
ENSG00000006638,100
ENSG00000006652,4810
ENSG00000006659,0
ENSG00000006695,870
ENSG00000006704,2425
ENSG00000006712,4063
ENSG00000006715,6742
ENSG00000006740,1054
ENSG00000006744,3266
ENSG00000006747,1066
ENSG00000006756,14029
ENSG00000006757,1031
ENSG00000006788,49
ENSG00000006831,6556
ENSG00000006837,80
ENSG00000007001,2
ENSG00000007038,51
ENSG00000007047,3026
ENSG00000007062,3678
ENSG00000007080,2078
ENSG00000007129,179
ENSG00000007168,12365
ENSG00000007171,52
ENSG00000007174,124
ENSG00000007202,28228
ENSG00000007216,9
ENSG00000007237,3749
ENSG00000007255,432
ENSG00000007264,252
ENSG00000007306,935
ENSG00000007312,606
ENSG00000007314,48
ENSG00000007341,744
ENSG00000007350,6
ENSG00000007372,1817
ENSG00000007376,1743
ENSG00000007384,3151
ENSG00000007392,1961
ENSG00000007402,344
ENSG00000007516,474
ENSG00000007520,2671
ENSG00000007541,4814
ENSG00000007545,2398
ENSG00000007866,4721
ENSG00000007908,724
ENSG00000007923,5575
ENSG00000007933,230
ENSG00000007944,4430
ENSG00000007952,45
ENSG00000007968,1556
ENSG00000008018,8693
ENSG00000008056,28
ENSG00000008083,3036
ENSG00000008086,3148
ENSG00000008118,16
ENSG00000008128,428
ENSG00000008130,6215
ENSG00000008196,30466
ENSG00000008197,0
ENSG00000008226,43
ENSG00000008256,2815
ENSG00000008277,587
ENSG00000008282,6506
ENSG00000008283,35425
ENSG00000008294,11731
ENSG00000008300,4232
ENSG00000008311,335
ENSG00000008323,1414
ENSG00000008324,768
ENSG00000008382,1155
ENSG00000008394,6531
ENSG00000008405,2370
ENSG00000008438,0
ENSG00000008441,4061
ENSG00000008513,8371
ENSG00000008516,715
ENSG00000008517,2986
ENSG00000008710,9080
ENSG00000008735,1323
ENSG00000008838,5830
ENSG00000008853,1265
ENSG00000008869,6982
ENSG00000008952,13976
ENSG00000008988,41823
ENSG00000009307,46080
ENSG00000009335,8340
ENSG00000009413,7604
ENSG00000009694,8
ENSG00000009709,5
ENSG00000009724,62
ENSG00000009765,643
ENSG00000009780,1329
ENSG00000009790,833
ENSG00000009830,2203
ENSG00000009844,3698
ENSG00000009950,7
ENSG00000009954,19677
ENSG00000010017,6753
ENSG00000010030,1664
ENSG00000010072,1478
ENSG00000010165,4557
ENSG00000010219,1485
ENSG00000010244,11917
ENSG00000010256,10693
ENSG00000010270,2550
ENSG00000010278,20772
ENSG00000010282,2
ENSG00000010292,8857
ENSG00000010295,638
ENSG00000010310,76
ENSG00000010318,312
ENSG00000010319,588
ENSG00000010322,4208
ENSG00000010327,3673
ENSG00000010361,176
ENSG00000010379,4
ENSG00000010404,6871
ENSG00000010438,0
ENSG00000010539,2568
ENSG00000010610,7942
ENSG00000010626,383
ENSG00000010671,1467
ENSG00000010704,2400
ENSG00000010803,6384
ENSG00000010810,2000
ENSG00000010818,7019
ENSG00000010932,2185
ENSG00000011007,5306
ENSG00000011009,2988
ENSG00000011021,1604
ENSG00000011028,11086
ENSG00000011052,18
ENSG00000011083,16
ENSG00000011105,5135
ENSG00000011114,3881
ENSG00000011132,980
ENSG00000011143,1107
ENSG00000011198,3532
ENSG00000011201,3511
ENSG00000011243,3359
ENSG00000011258,2237
ENSG00000011260,3443
ENSG00000011275,6156
ENSG00000011295,2710
ENSG00000011304,21374
ENSG00000011332,22
ENSG00000011347,1663
ENSG00000011376,2705
ENSG00000011405,9569
ENSG00000011422,1896
ENSG00000011426,14843
ENSG00000011451,3824
ENSG00000011454,7215
ENSG00000011465,53832
ENSG00000011478,1289
ENSG00000011485,2723
ENSG00000011523,2033
ENSG00000011566,4503
ENSG00000011590,102
ENSG00000011600,3103
ENSG00000011638,6613
ENSG00000011677,0
ENSG00000012048,1708
ENSG00000012061,2523
ENSG00000012124,216
ENSG00000012171,468
ENSG00000012174,4323
ENSG00000012211,790
ENSG00000012223,76602
ENSG00000012232,3623
ENSG00000012504,3
ENSG00000012660,17781
ENSG00000012779,2086
ENSG00000012817,0
ENSG00000012822,3288
ENSG00000012963,3983
ENSG00000012983,4104
ENSG00000013016,1336
ENSG00000013275,4824
ENSG00000013288,5817
ENSG00000013293,0
ENSG00000013297,186
ENSG00000013306,4561
ENSG00000013364,11206
ENSG00000013374,6728
ENSG00000013375,7588
ENSG00000013392,744
ENSG00000013441,4410
ENSG00000013503,2036
ENSG00000013523,1814
ENSG00000013561,10070
ENSG00000013563,1639
ENSG00000013573,1301
ENSG00000013583,2518
ENSG00000013588,26250
ENSG00000013619,722
ENSG00000013725,1168
ENSG00000013810,8031
ENSG00000014123,14961
ENSG00000014138,2412
ENSG00000014164,2486
ENSG00000014216,11876
ENSG00000014257,916
ENSG00000014641,13396
ENSG00000014824,10685
ENSG00000014914,261
ENSG00000014919,3842
ENSG00000015133,9663
ENSG00000015153,2324
ENSG00000015171,7111
ENSG00000015285,935
ENSG00000015413,187
ENSG00000015475,1229
ENSG00000015479,595
ENSG00000015520,163
ENSG00000015532,2304
ENSG00000015568,1
ENSG00000015592,1
ENSG00000015676,12640
ENSG00000016082,34
ENSG00000016391,1066
ENSG00000016402,1222
ENSG00000016490,5
ENSG00000016602,1
ENSG00000016864,3552
ENSG00000017260,18370
ENSG00000017427,144
ENSG00000017483,887
ENSG00000017797,6248
ENSG00000018189,4133
ENSG00000018236,2465
ENSG00000018280,457
ENSG00000018408,5745
ENSG00000018510,3067
ENSG00000018607,0
ENSG00000018610,2573
ENSG00000018625,23
ENSG00000018699,2253
ENSG00000018869,376
ENSG00000019102,10
ENSG00000019144,5286
ENSG00000019169,1384
ENSG00000019186,11
ENSG00000019485,396
ENSG00000019505,34
ENSG00000019549,2096
ENSG00000019582,242734
ENSG00000019991,456
ENSG00000019995,1750
ENSG00000020129,3526
ENSG00000020181,2099
ENSG00000020219,3
ENSG00000020256,2419
ENSG00000020426,1222
ENSG00000020577,1911
ENSG00000020633,2390
ENSG00000020922,3149
ENSG00000021300,147
ENSG00000021355,4414
ENSG00000021461,1
ENSG00000021488,5
ENSG00000021574,3302
