Gene stable ID,0c9bc998-17a7-42cf-b4d2-b8a5df20ce8b
ENSG00000000003,312
ENSG00000000005,11
ENSG00000000419,1005
ENSG00000000457,1055
ENSG00000000460,206
ENSG00000000938,207
ENSG00000000971,1009
ENSG00000001036,3132
ENSG00000001084,2891
ENSG00000001167,1495
ENSG00000001460,649
ENSG00000001461,3412
ENSG00000001497,1716
ENSG00000001561,1947
ENSG00000001617,4395
ENSG00000001626,52
ENSG00000001629,1765
ENSG00000001630,198
ENSG00000001631,1221
ENSG00000002016,297
ENSG00000002079,32
ENSG00000002330,1527
ENSG00000002549,3331
ENSG00000002586,2738
ENSG00000002587,87
ENSG00000002726,13
ENSG00000002745,12
ENSG00000002746,42
ENSG00000002822,807
ENSG00000002834,12564
ENSG00000002919,1282
ENSG00000002933,1053
ENSG00000003056,3133
ENSG00000003096,215
ENSG00000003137,37
ENSG00000003147,3043
ENSG00000003249,2618
ENSG00000003393,1045
ENSG00000003400,193
ENSG00000003402,1937
ENSG00000003436,288
ENSG00000003509,451
ENSG00000003756,3200
ENSG00000003987,61
ENSG00000003989,19346
ENSG00000004059,4185
ENSG00000004139,826
ENSG00000004142,4474
ENSG00000004399,9546
ENSG00000004455,3856
ENSG00000004468,44
ENSG00000004478,18725
ENSG00000004487,4495
ENSG00000004534,2654
ENSG00000004660,625
ENSG00000004700,762
ENSG00000004766,984
ENSG00000004776,156
ENSG00000004777,426
ENSG00000004779,2214
ENSG00000004799,2239
ENSG00000004809,11
ENSG00000004838,1175
ENSG00000004846,44
ENSG00000004848,2
ENSG00000004864,905
ENSG00000004866,1622
ENSG00000004897,2078
ENSG00000004939,25
ENSG00000004948,19
ENSG00000004961,616
ENSG00000004975,963
ENSG00000005001,264
ENSG00000005007,5355
ENSG00000005020,3507
ENSG00000005022,6710
ENSG00000005059,464
ENSG00000005073,9
ENSG00000005075,997
ENSG00000005100,850
ENSG00000005102,152
ENSG00000005108,168
ENSG00000005156,2109
ENSG00000005175,1017
ENSG00000005187,99
ENSG00000005189,305
ENSG00000005194,1652
ENSG00000005206,1230
ENSG00000005238,806
ENSG00000005243,260
ENSG00000005249,2297
ENSG00000005302,649
ENSG00000005339,3514
ENSG00000005379,1509
ENSG00000005381,8
ENSG00000005421,140
ENSG00000005436,429
ENSG00000005448,759
ENSG00000005469,426
ENSG00000005471,75
ENSG00000005483,2775
ENSG00000005486,6929
ENSG00000005513,27
ENSG00000005700,3110
ENSG00000005801,879
ENSG00000005810,2424
ENSG00000005812,1998
ENSG00000005844,238
ENSG00000005882,885
ENSG00000005884,7489
ENSG00000005889,3648
ENSG00000005893,5671
ENSG00000005961,27
ENSG00000005981,69
ENSG00000006007,3911
ENSG00000006015,571
ENSG00000006016,231
ENSG00000006025,515
ENSG00000006042,1597
ENSG00000006047,337
ENSG00000006059,6
ENSG00000006062,387
ENSG00000006071,5188
ENSG00000006116,14
ENSG00000006118,1545
ENSG00000006125,16693
ENSG00000006128,34
ENSG00000006194,1201
ENSG00000006210,682
ENSG00000006282,3964
ENSG00000006283,55
ENSG00000006327,1117
ENSG00000006377,11
