Gene stable ID,37c8c51f-49ca-4a30-8260-a44bc89c1569
ENSG00000000003,4225
ENSG00000000005,21
ENSG00000000419,2032
ENSG00000000457,2335
ENSG00000000460,418
ENSG00000000938,549
ENSG00000000971,3467
ENSG00000001036,2180
ENSG00000001084,1337
ENSG00000001167,1756
ENSG00000001460,885
ENSG00000001461,3669
ENSG00000001497,3476
ENSG00000001561,651
ENSG00000001617,8605
ENSG00000001626,22
ENSG00000001629,4775
ENSG00000001630,213
ENSG00000001631,2099
ENSG00000002016,405
ENSG00000002079,9
ENSG00000002330,934
ENSG00000002549,7907
ENSG00000002586,12457
ENSG00000002587,254
ENSG00000002726,17
ENSG00000002745,2
ENSG00000002746,66
ENSG00000002822,1229
ENSG00000002834,26715
ENSG00000002919,1429
ENSG00000002933,2037
ENSG00000003056,6238
ENSG00000003096,624
ENSG00000003137,231
ENSG00000003147,3795
ENSG00000003249,1086
ENSG00000003393,1954
ENSG00000003400,419
ENSG00000003402,4648
ENSG00000003436,1890
ENSG00000003509,572
ENSG00000003756,4252
ENSG00000003987,142
ENSG00000003989,53630
ENSG00000004059,9826
ENSG00000004139,199
ENSG00000004142,8288
ENSG00000004399,7176
ENSG00000004455,6067
ENSG00000004468,171
ENSG00000004478,30568
ENSG00000004487,5264
ENSG00000004534,2333
ENSG00000004660,536
ENSG00000004700,1637
ENSG00000004766,1958
ENSG00000004776,377
ENSG00000004777,272
ENSG00000004779,2592
ENSG00000004799,6269
ENSG00000004809,0
ENSG00000004838,949
ENSG00000004846,100
ENSG00000004848,3
ENSG00000004864,1120
ENSG00000004866,2351
ENSG00000004897,4463
ENSG00000004939,2
ENSG00000004948,8
ENSG00000004961,1293
ENSG00000004975,1851
ENSG00000005001,360
ENSG00000005007,6951
ENSG00000005020,2713
ENSG00000005022,9815
ENSG00000005059,2011
ENSG00000005073,46
ENSG00000005075,1812
ENSG00000005100,1281
ENSG00000005102,340
ENSG00000005108,633
ENSG00000005156,3232
ENSG00000005175,2642
ENSG00000005187,255
ENSG00000005189,572
ENSG00000005194,2044
ENSG00000005206,1292
ENSG00000005238,827
ENSG00000005243,1367
ENSG00000005249,1316
ENSG00000005302,1513
ENSG00000005339,9504
ENSG00000005379,700
ENSG00000005381,9
ENSG00000005421,3
ENSG00000005436,1103
ENSG00000005448,1050
ENSG00000005469,3850
ENSG00000005471,105
ENSG00000005483,9112
ENSG00000005486,5406
ENSG00000005513,57
ENSG00000005700,2854
ENSG00000005801,1289
ENSG00000005810,4349
ENSG00000005812,7845
ENSG00000005844,963
ENSG00000005882,1668
ENSG00000005884,9249
ENSG00000005889,4098
ENSG00000005893,16900
ENSG00000005961,16
ENSG00000005981,9
ENSG00000006007,7125
ENSG00000006015,360
ENSG00000006016,89
ENSG00000006025,577
ENSG00000006042,5371
ENSG00000006047,179
ENSG00000006059,3
ENSG00000006062,878
ENSG00000006071,868
ENSG00000006116,1
ENSG00000006118,3050
ENSG00000006125,33471
ENSG00000006128,200
ENSG00000006194,3187
ENSG00000006210,10669
ENSG00000006282,3394
ENSG00000006283,116
ENSG00000006327,4185
ENSG00000006377,4
ENSG00000006432,977
ENSG00000006451,6047
ENSG00000006453,1615
ENSG00000006459,2896
ENSG00000006468,1859
ENSG00000006530,2016
ENSG00000006534,491
ENSG00000006555,503
ENSG00000006576,3232
ENSG00000006606,21
ENSG00000006607,2356
ENSG00000006611,2
ENSG00000006625,3012
ENSG00000006634,564
ENSG00000006638,90
ENSG00000006652,1065
ENSG00000006659,1
ENSG00000006695,724
ENSG00000006704,1944
ENSG00000006712,4317
ENSG00000006715,3344
ENSG00000006740,271
ENSG00000006744,3024
ENSG00000006747,373
ENSG00000006756,11063
ENSG00000006757,2514
ENSG00000006788,58
ENSG00000006831,17342
ENSG00000006837,78
ENSG00000007001,7
ENSG00000007038,16
ENSG00000007047,2024
ENSG00000007062,3196
ENSG00000007080,1574
ENSG00000007129,38
ENSG00000007168,7259
ENSG00000007171,20
ENSG00000007174,27
ENSG00000007202,13280
ENSG00000007216,344
ENSG00000007237,5443
ENSG00000007255,1923
ENSG00000007264,121
ENSG00000007306,18
ENSG00000007312,326
ENSG00000007314,150
ENSG00000007341,839
ENSG00000007350,3
ENSG00000007372,260
ENSG00000007376,1256
ENSG00000007384,3844
ENSG00000007392,1400
ENSG00000007402,359
ENSG00000007516,403
ENSG00000007520,2147
ENSG00000007541,3911
ENSG00000007545,1492
ENSG00000007866,2112
ENSG00000007908,205
ENSG00000007923,1439
ENSG00000007933,92
ENSG00000007944,2368
ENSG00000007952,73
ENSG00000007968,193
ENSG00000008018,6176
ENSG00000008056,83
ENSG00000008083,1199
ENSG00000008086,1538
ENSG00000008118,13
ENSG00000008128,213
ENSG00000008130,2356
ENSG00000008196,5038
ENSG00000008197,0
ENSG00000008226,20
ENSG00000008256,3380
ENSG00000008277,1563
ENSG00000008282,12241
ENSG00000008283,9917
ENSG00000008294,5700
ENSG00000008300,544
ENSG00000008311,504
ENSG00000008323,474
ENSG00000008324,968
ENSG00000008382,1362
ENSG00000008394,12275
ENSG00000008405,1355
ENSG00000008438,0
ENSG00000008441,5340
ENSG00000008513,11217
ENSG00000008516,134
ENSG00000008517,2308
ENSG00000008710,2402
ENSG00000008735,774
ENSG00000008838,3771
ENSG00000008853,1781
ENSG00000008869,2549
ENSG00000008952,10151
ENSG00000008988,52967
ENSG00000009307,38865
ENSG00000009335,6633
ENSG00000009413,1372
ENSG00000009694,40
ENSG00000009709,0
ENSG00000009724,24
ENSG00000009765,5
