Gene stable ID,111e0f1e-be22-4ab7-aa02-502bc34a6932
ENSG00000000003,3666
ENSG00000000005,5
ENSG00000000419,3292
ENSG00000000457,1871
ENSG00000000460,780
ENSG00000000938,614
ENSG00000000971,11208
ENSG00000001036,3463
ENSG00000001084,2328
ENSG00000001167,7001
ENSG00000001460,997
ENSG00000001461,5148
ENSG00000001497,4166
ENSG00000001561,2068
ENSG00000001617,4685
ENSG00000001626,10
ENSG00000001629,8943
ENSG00000001630,481
ENSG00000001631,3508
ENSG00000002016,599
ENSG00000002079,11
ENSG00000002330,1673
ENSG00000002549,15028
ENSG00000002586,21137
ENSG00000002587,258
ENSG00000002726,21
ENSG00000002745,2
ENSG00000002746,57
ENSG00000002822,1586
ENSG00000002834,35844
ENSG00000002919,2706
ENSG00000002933,1470
ENSG00000003056,5429
ENSG00000003096,333
ENSG00000003137,248
ENSG00000003147,4881
ENSG00000003249,3383
ENSG00000003393,2565
ENSG00000003400,955
ENSG00000003402,6958
ENSG00000003436,978
ENSG00000003509,1152
ENSG00000003756,7203
ENSG00000003987,86
ENSG00000003989,15999
ENSG00000004059,7935
ENSG00000004139,402
ENSG00000004142,7556
ENSG00000004399,12400
ENSG00000004455,10208
ENSG00000004468,323
ENSG00000004478,24711
ENSG00000004487,9583
ENSG00000004534,5906
ENSG00000004660,438
ENSG00000004700,3054
ENSG00000004766,3093
ENSG00000004776,202
ENSG00000004777,999
ENSG00000004779,2882
ENSG00000004799,1755
ENSG00000004809,5
ENSG00000004838,762
ENSG00000004846,10
ENSG00000004848,1
ENSG00000004864,1734
ENSG00000004866,2503
ENSG00000004897,7249
ENSG00000004939,6
ENSG00000004948,36
ENSG00000004961,1562
ENSG00000004975,1655
ENSG00000005001,1250
ENSG00000005007,10972
ENSG00000005020,2791
ENSG00000005022,13055
ENSG00000005059,2132
ENSG00000005073,182
ENSG00000005075,1330
ENSG00000005100,1786
ENSG00000005102,62
ENSG00000005108,336
ENSG00000005156,4398
ENSG00000005175,3217
ENSG00000005187,207
ENSG00000005189,375
ENSG00000005194,3687
ENSG00000005206,3104
ENSG00000005238,1772
ENSG00000005243,2535
ENSG00000005249,1680
ENSG00000005302,2772
ENSG00000005339,11354
ENSG00000005379,3008
ENSG00000005381,18
ENSG00000005421,5
ENSG00000005436,1757
ENSG00000005448,844
ENSG00000005469,2683
ENSG00000005471,273
ENSG00000005483,10010
ENSG00000005486,5073
ENSG00000005513,22
ENSG00000005700,6736
ENSG00000005801,2785
ENSG00000005810,10672
ENSG00000005812,6608
ENSG00000005844,2069
ENSG00000005882,1577
ENSG00000005884,6789
ENSG00000005889,5791
ENSG00000005893,16740
ENSG00000005961,116
ENSG00000005981,11
ENSG00000006007,7301
ENSG00000006015,843
ENSG00000006016,277
ENSG00000006025,1336
ENSG00000006042,4247
ENSG00000006047,233
ENSG00000006059,5
ENSG00000006062,1379
ENSG00000006071,197
ENSG00000006116,0
ENSG00000006118,6976
ENSG00000006125,36794
ENSG00000006128,6
ENSG00000006194,3403
ENSG00000006210,1497
ENSG00000006282,6063
ENSG00000006283,375
ENSG00000006327,3298
ENSG00000006377,3
ENSG00000006432,1525
ENSG00000006451,6782
ENSG00000006453,2536
ENSG00000006459,4485
ENSG00000006468,1663
ENSG00000006530,2108
ENSG00000006534,1021
ENSG00000006555,1220
ENSG00000006576,3807
ENSG00000006606,14
ENSG00000006607,3471
ENSG00000006611,6
ENSG00000006625,3510
ENSG00000006634,1191
ENSG00000006638,115
ENSG00000006652,2563
ENSG00000006659,6
ENSG00000006695,967
ENSG00000006704,3153
ENSG00000006712,6203
ENSG00000006715,5884
ENSG00000006740,480
ENSG00000006744,3514
ENSG00000006747,452
ENSG00000006756,9372
ENSG00000006757,1839
ENSG00000006788,88
ENSG00000006831,11814
ENSG00000006837,71
ENSG00000007001,30
ENSG00000007038,13
ENSG00000007047,2923
ENSG00000007062,4646
ENSG00000007080,2018
ENSG00000007129,133
ENSG00000007168,11466
ENSG00000007171,55
ENSG00000007174,63
ENSG00000007202,22828
ENSG00000007216,48
ENSG00000007237,8505
ENSG00000007255,775
ENSG00000007264,80
ENSG00000007306,14
ENSG00000007312,141
ENSG00000007314,112
ENSG00000007341,1094
ENSG00000007350,4
ENSG00000007372,144
ENSG00000007376,1119
ENSG00000007384,3941
ENSG00000007392,3637
