Gene stable ID,25de9c94-3a5c-4ddd-88e5-950700f183db
ENSG00000000003,1709
ENSG00000000005,18
ENSG00000000419,1600
ENSG00000000457,1971
ENSG00000000460,674
ENSG00000000938,416
ENSG00000000971,3121
ENSG00000001036,2922
ENSG00000001084,1836
ENSG00000001167,2595
ENSG00000001460,817
ENSG00000001461,1819
ENSG00000001497,2930
ENSG00000001561,3801
ENSG00000001617,12525
ENSG00000001626,0
ENSG00000001629,3671
ENSG00000001630,415
ENSG00000001631,2216
ENSG00000002016,516
ENSG00000002079,29
ENSG00000002330,1917
ENSG00000002549,7546
ENSG00000002586,7210
ENSG00000002587,442
ENSG00000002726,40
ENSG00000002745,6
ENSG00000002746,1
ENSG00000002822,1419
ENSG00000002834,26981
ENSG00000002919,1338
ENSG00000002933,869
ENSG00000003056,3720
ENSG00000003096,178
ENSG00000003137,213
ENSG00000003147,3479
ENSG00000003249,2855
ENSG00000003393,1770
ENSG00000003400,733
ENSG00000003402,4705
ENSG00000003436,830
ENSG00000003509,535
ENSG00000003756,6306
ENSG00000003987,82
ENSG00000003989,9456
ENSG00000004059,7231
ENSG00000004139,633
ENSG00000004142,6406
ENSG00000004399,9854
ENSG00000004455,7037
ENSG00000004468,160
ENSG00000004478,20127
ENSG00000004487,6174
ENSG00000004534,4272
ENSG00000004660,1176
ENSG00000004700,1224
ENSG00000004766,1362
ENSG00000004776,1075
ENSG00000004777,1001
ENSG00000004779,1918
ENSG00000004799,3329
ENSG00000004809,3
ENSG00000004838,1685
ENSG00000004846,11
ENSG00000004848,3
ENSG00000004864,1105
ENSG00000004866,1645
ENSG00000004897,4392
ENSG00000004939,1
ENSG00000004948,100
ENSG00000004961,1125
ENSG00000004975,1898
ENSG00000005001,641
ENSG00000005007,8924
ENSG00000005020,2239
ENSG00000005022,10505
ENSG00000005059,862
ENSG00000005073,43
ENSG00000005075,1646
ENSG00000005100,1825
ENSG00000005102,317
ENSG00000005108,328
ENSG00000005156,2301
ENSG00000005175,2682
ENSG00000005187,53
ENSG00000005189,550
ENSG00000005194,2294
ENSG00000005206,2560
ENSG00000005238,1415
ENSG00000005243,867
ENSG00000005249,2223
ENSG00000005302,1203
ENSG00000005339,8422
ENSG00000005379,950
ENSG00000005381,2
ENSG00000005421,5
ENSG00000005436,1473
ENSG00000005448,918
ENSG00000005469,1281
ENSG00000005471,245
ENSG00000005483,6986
ENSG00000005486,7892
ENSG00000005513,18
ENSG00000005700,3249
ENSG00000005801,1291
ENSG00000005810,3813
ENSG00000005812,3625
ENSG00000005844,3099
ENSG00000005882,1348
ENSG00000005884,5280
ENSG00000005889,5545
ENSG00000005893,11439
ENSG00000005961,34
ENSG00000005981,0
ENSG00000006007,5413
ENSG00000006015,573
ENSG00000006016,289
ENSG00000006025,922
ENSG00000006042,1774
ENSG00000006047,1053
ENSG00000006059,23
ENSG00000006062,627
ENSG00000006071,249
ENSG00000006116,0
ENSG00000006118,2131
ENSG00000006125,21723
ENSG00000006128,6
ENSG00000006194,2046
ENSG00000006210,742
ENSG00000006282,5416
ENSG00000006283,33
ENSG00000006327,1589
ENSG00000006377,0
ENSG00000006432,440
ENSG00000006451,3736
ENSG00000006453,728
ENSG00000006459,1031
ENSG00000006468,441
ENSG00000006530,1651
ENSG00000006534,1897
ENSG00000006555,855
ENSG00000006576,2278
ENSG00000006606,6
ENSG00000006607,2848
ENSG00000006611,0
ENSG00000006625,1897
ENSG00000006634,907
ENSG00000006638,137
ENSG00000006652,1086
ENSG00000006659,0
ENSG00000006695,903
ENSG00000006704,1888
ENSG00000006712,6302
ENSG00000006715,4054
ENSG00000006740,433
ENSG00000006744,4534
ENSG00000006747,184
ENSG00000006756,7439
ENSG00000006757,1545
ENSG00000006788,8
ENSG00000006831,4570
ENSG00000006837,38
ENSG00000007001,8
ENSG00000007038,9
ENSG00000007047,3118
ENSG00000007062,92
ENSG00000007080,2119
ENSG00000007129,98
ENSG00000007168,8464
ENSG00000007171,47
ENSG00000007174,158
ENSG00000007202,7760
ENSG00000007216,546
ENSG00000007237,2540
ENSG00000007255,1467
ENSG00000007264,441
ENSG00000007306,95
ENSG00000007312,170
ENSG00000007314,202
ENSG00000007341,673
ENSG00000007350,2
ENSG00000007372,130
ENSG00000007376,1124
ENSG00000007384,3262
ENSG00000007392,1886
ENSG00000007402,2303
ENSG00000007516,1480
ENSG00000007520,2074
ENSG00000007541,4775
ENSG00000007545,1107
ENSG00000007866,2404
ENSG00000007908,291
ENSG00000007923,2136
ENSG00000007933,42
ENSG00000007944,2575
ENSG00000007952,67
ENSG00000007968,322
ENSG00000008018,4189
ENSG00000008056,459
ENSG00000008083,2685
ENSG00000008086,629
ENSG00000008118,15
ENSG00000008128,639
ENSG00000008130,4711
ENSG00000008196,3
ENSG00000008197,1
ENSG00000008226,33
ENSG00000008256,1255
ENSG00000008277,465
ENSG00000008282,9914
ENSG00000008283,8317
ENSG00000008294,3473
ENSG00000008300,364
ENSG00000008311,564
ENSG00000008323,220
ENSG00000008324,819
ENSG00000008382,1360
ENSG00000008394,6571
ENSG00000008405,1212
ENSG00000008438,2
ENSG00000008441,8997
ENSG00000008513,2556
ENSG00000008516,62
ENSG00000008517,1710
ENSG00000008710,2608
ENSG00000008735,3353
ENSG00000008838,4601
ENSG00000008853,1734
ENSG00000008869,3775
ENSG00000008952,13848
ENSG00000008988,21795
ENSG00000009307,30195
ENSG00000009335,6096
ENSG00000009413,1398
ENSG00000009694,30
ENSG00000009709,1
ENSG00000009724,56
ENSG00000009765,15
ENSG00000009780,886
ENSG00000009790,351
ENSG00000009830,1498
ENSG00000009844,1834
ENSG00000009950,212
ENSG00000009954,10688
ENSG00000010017,3638
ENSG00000010030,663
ENSG00000010072,1781
ENSG00000010165,4375
ENSG00000010219,780
ENSG00000010244,9385
ENSG00000010256,9102
ENSG00000010270,1764
ENSG00000010278,21592
ENSG00000010282,2
ENSG00000010292,3497
ENSG00000010295,541
ENSG00000010310,184
ENSG00000010318,294
ENSG00000010319,2171
ENSG00000010322,7636
ENSG00000010327,4095
ENSG00000010361,1269
ENSG00000010379,2
ENSG00000010404,5156
ENSG00000010438,9
ENSG00000010539,734
ENSG00000010610,6454
ENSG00000010626,412
ENSG00000010671,839
ENSG00000010704,1885
ENSG00000010803,2700
ENSG00000010810,1175
ENSG00000010818,1257
ENSG00000010932,503
ENSG00000011007,3905
ENSG00000011009,3677
ENSG00000011021,897
ENSG00000011028,9346
ENSG00000011052,30
ENSG00000011083,3
ENSG00000011105,4912
ENSG00000011114,2216
ENSG00000011132,724
ENSG00000011143,968
ENSG00000011198,973
ENSG00000011201,607
ENSG00000011243,2996
ENSG00000011258,1358
ENSG00000011260,1798
ENSG00000011275,2620
ENSG00000011295,3627
ENSG00000011304,18472
ENSG00000011332,54
ENSG00000011347,3477
ENSG00000011376,2084
ENSG00000011405,4450
ENSG00000011422,1759
ENSG00000011426,2077
ENSG00000011451,3689
ENSG00000011454,5591
ENSG00000011465,20418
ENSG00000011478,567
ENSG00000011485,3500
ENSG00000011523,2177
ENSG00000011566,2234
ENSG00000011590,25
ENSG00000011600,4834
ENSG00000011638,5178
ENSG00000011677,0
ENSG00000012048,1214
ENSG00000012061,2623
ENSG00000012124,2757
ENSG00000012171,7893
ENSG00000012174,2406
ENSG00000012211,716
ENSG00000012223,332
ENSG00000012232,1725
ENSG00000012504,0
ENSG00000012660,23669
ENSG00000012779,1397
ENSG00000012817,1
ENSG00000012822,6320
ENSG00000012963,3580
ENSG00000012983,2263
ENSG00000013016,1028
ENSG00000013275,5180
ENSG00000013288,7561
ENSG00000013293,0
ENSG00000013297,123
ENSG00000013306,6713
ENSG00000013364,13238
ENSG00000013374,4967
ENSG00000013375,1677
ENSG00000013392,279
ENSG00000013441,3301
ENSG00000013503,1089
ENSG00000013523,1305
ENSG00000013561,3647
ENSG00000013563,1260
ENSG00000013573,840
ENSG00000013583,2115
ENSG00000013588,10986
ENSG00000013619,207
ENSG00000013725,567
ENSG00000013810,4982
ENSG00000014123,2647
ENSG00000014138,1329
ENSG00000014164,1982
ENSG00000014216,15719
ENSG00000014257,62
ENSG00000014641,6431
ENSG00000014824,5150
ENSG00000014914,1345
ENSG00000014919,3333
ENSG00000015133,7097
ENSG00000015153,1236
ENSG00000015171,9857
