Gene stable ID,6d293a74-4f4c-4813-8fce-8c2663740066
ENSG00000000003,2856
ENSG00000000005,6
ENSG00000000419,2918
ENSG00000000457,6349
ENSG00000000460,2487
ENSG00000000938,263
ENSG00000000971,1405
ENSG00000001036,1371
ENSG00000001084,9521
ENSG00000001167,3825
ENSG00000001460,999
ENSG00000001461,1630
ENSG00000001497,4130
ENSG00000001561,5191
ENSG00000001617,7088
ENSG00000001626,4
ENSG00000001629,7149
ENSG00000001630,823
ENSG00000001631,3875
ENSG00000002016,715
ENSG00000002079,32
ENSG00000002330,1519
ENSG00000002549,9795
ENSG00000002586,11541
ENSG00000002587,833
ENSG00000002726,3
ENSG00000002745,2
ENSG00000002746,15
ENSG00000002822,1274
ENSG00000002834,32517
ENSG00000002919,2140
ENSG00000002933,298
ENSG00000003056,7260
ENSG00000003096,165
ENSG00000003137,84
ENSG00000003147,8975
ENSG00000003249,3831
ENSG00000003393,3052
ENSG00000003400,412
ENSG00000003402,5988
ENSG00000003436,426
ENSG00000003509,814
ENSG00000003756,7748
ENSG00000003987,52
ENSG00000003989,162
ENSG00000004059,7991
ENSG00000004139,149
ENSG00000004142,9751
ENSG00000004399,5740
ENSG00000004455,8396
ENSG00000004468,27
ENSG00000004478,29636
ENSG00000004487,9054
ENSG00000004534,6069
ENSG00000004660,812
ENSG00000004700,3973
ENSG00000004766,3931
ENSG00000004776,305
ENSG00000004777,1484
ENSG00000004779,3266
ENSG00000004799,2367
ENSG00000004809,1
ENSG00000004838,1578
ENSG00000004846,3
ENSG00000004848,8
ENSG00000004864,2521
ENSG00000004866,2741
ENSG00000004897,8364
ENSG00000004939,1
ENSG00000004948,5
ENSG00000004961,1867
ENSG00000004975,3285
ENSG00000005001,838
ENSG00000005007,10257
ENSG00000005020,580
ENSG00000005022,16403
ENSG00000005059,2061
ENSG00000005073,23
ENSG00000005075,1735
ENSG00000005100,2511
ENSG00000005102,47
ENSG00000005108,434
ENSG00000005156,6082
ENSG00000005175,4007
ENSG00000005187,56
ENSG00000005189,1271
ENSG00000005194,3312
ENSG00000005206,2393
ENSG00000005238,1535
ENSG00000005243,452
ENSG00000005249,3364
ENSG00000005302,1958
ENSG00000005339,11174
ENSG00000005379,1972
ENSG00000005381,4
ENSG00000005421,6
ENSG00000005436,2241
ENSG00000005448,1367
ENSG00000005469,13698
ENSG00000005471,81
ENSG00000005483,10497
ENSG00000005486,5108
ENSG00000005513,30
ENSG00000005700,5040
ENSG00000005801,2009
ENSG00000005810,1864
ENSG00000005812,5420
ENSG00000005844,231
ENSG00000005882,2673
ENSG00000005884,7154
ENSG00000005889,5251
ENSG00000005893,20059
ENSG00000005961,275
ENSG00000005981,14
ENSG00000006007,6091
ENSG00000006015,797
ENSG00000006016,47
ENSG00000006025,965
ENSG00000006042,7251
ENSG00000006047,2047
ENSG00000006059,0
ENSG00000006062,769
ENSG00000006071,2682
ENSG00000006116,1
ENSG00000006118,1619
ENSG00000006125,49836
ENSG00000006128,7
ENSG00000006194,3553
ENSG00000006210,807
ENSG00000006282,5737
ENSG00000006283,8
ENSG00000006327,2636
ENSG00000006377,2
ENSG00000006432,604
ENSG00000006451,5022
ENSG00000006453,4817
ENSG00000006459,2567
ENSG00000006468,671
ENSG00000006530,2596
ENSG00000006534,309
ENSG00000006555,1882
ENSG00000006576,3045
ENSG00000006606,7
ENSG00000006607,3035
ENSG00000006611,7
ENSG00000006625,6632
ENSG00000006634,1852
ENSG00000006638,149
ENSG00000006652,1626
ENSG00000006659,0
ENSG00000006695,1373
ENSG00000006704,3782
ENSG00000006712,6649
ENSG00000006715,5496
ENSG00000006740,1022
ENSG00000006744,5280
ENSG00000006747,795
ENSG00000006756,19962
ENSG00000006757,3959
ENSG00000006788,2
ENSG00000006831,5464
ENSG00000006837,83
ENSG00000007001,1
ENSG00000007038,6
ENSG00000007047,2722
ENSG00000007062,24
ENSG00000007080,1844
ENSG00000007129,20
ENSG00000007168,9431
ENSG00000007171,86
ENSG00000007174,12
ENSG00000007202,7171
ENSG00000007216,29
ENSG00000007237,958
ENSG00000007255,1550
ENSG00000007264,13
ENSG00000007306,18
ENSG00000007312,36
ENSG00000007314,86
ENSG00000007341,1028
ENSG00000007350,3
ENSG00000007372,109
ENSG00000007376,1296
ENSG00000007384,3674
ENSG00000007392,1915
ENSG00000007402,4139
ENSG00000007516,439
ENSG00000007520,1997
ENSG00000007541,4068
ENSG00000007545,931
ENSG00000007866,1850
ENSG00000007908,217
ENSG00000007923,3131
ENSG00000007933,113
ENSG00000007944,6657
ENSG00000007952,120
ENSG00000007968,879
ENSG00000008018,10365
ENSG00000008056,20
ENSG00000008083,4749
ENSG00000008086,3448
ENSG00000008118,29
ENSG00000008128,305
ENSG00000008130,3968
ENSG00000008196,11
ENSG00000008197,0
ENSG00000008226,77
ENSG00000008256,1693
ENSG00000008277,596
ENSG00000008282,12129
ENSG00000008283,7405
ENSG00000008294,7693
ENSG00000008300,2846
ENSG00000008311,889
ENSG00000008323,987
ENSG00000008324,1280
ENSG00000008382,1080
ENSG00000008394,25524
ENSG00000008405,2966
ENSG00000008438,2
ENSG00000008441,47719
ENSG00000008513,7186
ENSG00000008516,20
ENSG00000008517,635
ENSG00000008710,1695
ENSG00000008735,2021
ENSG00000008838,7552
ENSG00000008853,2065
ENSG00000008869,4994
ENSG00000008952,19967
ENSG00000008988,27930
ENSG00000009307,42238
ENSG00000009335,9102
ENSG00000009413,1880
ENSG00000009694,7
ENSG00000009709,14
ENSG00000009724,58
ENSG00000009765,48
ENSG00000009780,1234
ENSG00000009790,157
ENSG00000009830,3004
ENSG00000009844,5588
ENSG00000009950,22
ENSG00000009954,14140
ENSG00000010017,4855
ENSG00000010030,310
ENSG00000010072,2524
ENSG00000010165,8786
ENSG00000010219,1512
ENSG00000010244,14112
ENSG00000010256,12553
ENSG00000010270,2001
ENSG00000010278,24816
ENSG00000010282,9
ENSG00000010292,8816
ENSG00000010295,201
ENSG00000010310,367
ENSG00000010318,1074
ENSG00000010319,1647
ENSG00000010322,5700
ENSG00000010327,1756
ENSG00000010361,2191
ENSG00000010379,4
ENSG00000010404,10336
ENSG00000010438,10
ENSG00000010539,708
ENSG00000010610,1676
ENSG00000010626,929
ENSG00000010671,224
ENSG00000010704,3095
ENSG00000010803,4121
ENSG00000010810,1188
ENSG00000010818,1066
ENSG00000010932,144
ENSG00000011007,5288
ENSG00000011009,4098
ENSG00000011021,1212
ENSG00000011028,4067
ENSG00000011052,48
ENSG00000011083,2
ENSG00000011105,5915
ENSG00000011114,2600
ENSG00000011132,837
ENSG00000011143,1395
ENSG00000011198,1844
ENSG00000011201,1606
ENSG00000011243,1874
ENSG00000011258,3393
ENSG00000011260,4463
ENSG00000011275,2413
ENSG00000011295,4311
ENSG00000011304,26465
ENSG00000011332,39
ENSG00000011347,8006
ENSG00000011376,2714
ENSG00000011405,7979
ENSG00000011422,1189
ENSG00000011426,8976
ENSG00000011451,4278
ENSG00000011454,7930
ENSG00000011465,21620
ENSG00000011478,1068
ENSG00000011485,5049
ENSG00000011523,3013
ENSG00000011566,5486
ENSG00000011590,21
ENSG00000011600,998
ENSG00000011638,2203
ENSG00000011677,0
ENSG00000012048,4771
ENSG00000012061,5190
ENSG00000012124,1957
ENSG00000012171,3061
ENSG00000012174,3485
ENSG00000012211,645
ENSG00000012223,192
ENSG00000012232,997
ENSG00000012504,0
ENSG00000012660,60456
ENSG00000012779,618
ENSG00000012817,0
ENSG00000012822,8706
ENSG00000012963,7639
ENSG00000012983,2938
ENSG00000013016,1637
ENSG00000013275,6681
ENSG00000013288,11836
ENSG00000013293,0
ENSG00000013297,62
ENSG00000013306,8799
ENSG00000013364,9068
ENSG00000013374,7016
ENSG00000013375,2173
ENSG00000013392,136
ENSG00000013441,3819
ENSG00000013503,1591
ENSG00000013523,1400
ENSG00000013561,5289
ENSG00000013563,1652
ENSG00000013573,1675
ENSG00000013583,4395
ENSG00000013588,15217
ENSG00000013619,151
ENSG00000013725,88
ENSG00000013810,5068
ENSG00000014123,3261
ENSG00000014138,3191
ENSG00000014164,2053
ENSG00000014216,13743
ENSG00000014257,161
ENSG00000014641,13691
ENSG00000014824,9423
ENSG00000014914,4506
ENSG00000014919,4637
ENSG00000015133,4256
ENSG00000015153,1219
ENSG00000015171,10004
ENSG00000015285,223
ENSG00000015413,53
ENSG00000015475,761
ENSG00000015479,623
ENSG00000015520,136
ENSG00000015532,3060
ENSG00000015568,0
ENSG00000015592,6
ENSG00000015676,8816
ENSG00000016082,1
ENSG00000016391,5487
ENSG00000016402,1137
ENSG00000016490,0
ENSG00000016602,2
ENSG00000016864,6890
ENSG00000017260,8275
ENSG00000017427,21
ENSG00000017483,108
ENSG00000017797,11024
ENSG00000018189,4391
ENSG00000018236,384
ENSG00000018280,226
ENSG00000018408,3317
ENSG00000018510,1059
ENSG00000018607,0
ENSG00000018610,2066
ENSG00000018625,184
ENSG00000018699,2775
ENSG00000018869,37
ENSG00000019102,6243
ENSG00000019144,3616
ENSG00000019169,9
ENSG00000019186,365
ENSG00000019485,491
ENSG00000019505,8470
ENSG00000019549,684
ENSG00000019582,29737
ENSG00000019991,228
ENSG00000019995,2523
ENSG00000020129,3406
ENSG00000020181,1104
ENSG00000020219,0
