Gene stable ID,259af2bd-c3c6-424a-97ec-3bcd06b0dfaf
ENSG00000000003,2156
ENSG00000000005,569
ENSG00000000419,1679
ENSG00000000457,1999
ENSG00000000460,974
ENSG00000000938,456
ENSG00000000971,3764
ENSG00000001036,1880
ENSG00000001084,1614
ENSG00000001167,3781
ENSG00000001460,522
ENSG00000001461,2265
ENSG00000001497,2595
ENSG00000001561,1642
ENSG00000001617,8802
ENSG00000001626,24
ENSG00000001629,3251
ENSG00000001630,310
ENSG00000001631,1746
ENSG00000002016,406
ENSG00000002079,9
ENSG00000002330,1512
ENSG00000002549,5733
ENSG00000002586,6891
ENSG00000002587,147
ENSG00000002726,51
ENSG00000002745,2
ENSG00000002746,10
ENSG00000002822,1021
ENSG00000002834,16183
ENSG00000002919,1094
ENSG00000002933,7233
ENSG00000003056,4783
ENSG00000003096,803
ENSG00000003137,385
ENSG00000003147,2492
ENSG00000003249,2308
ENSG00000003393,1971
ENSG00000003400,495
ENSG00000003402,5825
ENSG00000003436,1139
ENSG00000003509,644
ENSG00000003756,3900
ENSG00000003987,28
ENSG00000003989,5809
ENSG00000004059,5908
ENSG00000004139,176
ENSG00000004142,4037
ENSG00000004399,7756
ENSG00000004455,5718
ENSG00000004468,194
ENSG00000004478,24142
ENSG00000004487,4894
ENSG00000004534,2825
ENSG00000004660,438
ENSG00000004700,2120
ENSG00000004766,2401
ENSG00000004776,2175
ENSG00000004777,427
ENSG00000004779,2704
ENSG00000004799,9742
ENSG00000004809,2
ENSG00000004838,361
ENSG00000004846,42
ENSG00000004848,97
ENSG00000004864,1035
ENSG00000004866,1460
ENSG00000004897,2835
ENSG00000004939,1
ENSG00000004948,8
ENSG00000004961,1663
ENSG00000004975,1130
ENSG00000005001,917
ENSG00000005007,5934
ENSG00000005020,1495
ENSG00000005022,17251
ENSG00000005059,1335
ENSG00000005073,14
ENSG00000005075,1081
ENSG00000005100,959
ENSG00000005102,673
ENSG00000005108,426
ENSG00000005156,1670
ENSG00000005175,1925
ENSG00000005187,154
ENSG00000005189,872
ENSG00000005194,1789
ENSG00000005206,1200
ENSG00000005238,2265
ENSG00000005243,1043
ENSG00000005249,7194
ENSG00000005302,1482
ENSG00000005339,9363
ENSG00000005379,728
ENSG00000005381,6
ENSG00000005421,0
ENSG00000005436,1492
ENSG00000005448,459
ENSG00000005469,1913
ENSG00000005471,108
ENSG00000005483,4696
ENSG00000005486,3998
ENSG00000005513,43
ENSG00000005700,3626
ENSG00000005801,1297
ENSG00000005810,4380
ENSG00000005812,3706
ENSG00000005844,2081
ENSG00000005882,924
ENSG00000005884,4120
ENSG00000005889,2852
ENSG00000005893,17232
ENSG00000005961,22
ENSG00000005981,6
ENSG00000006007,8616
ENSG00000006015,448
ENSG00000006016,226
ENSG00000006025,563
ENSG00000006042,1702
ENSG00000006047,629
ENSG00000006059,3
ENSG00000006062,999
ENSG00000006071,280
ENSG00000006116,1
ENSG00000006118,5520
ENSG00000006125,15556
ENSG00000006128,23
ENSG00000006194,2678
ENSG00000006210,6347
ENSG00000006282,1539
ENSG00000006283,76
ENSG00000006327,5458
ENSG00000006377,3
ENSG00000006432,1281
ENSG00000006451,4332
ENSG00000006453,1654
ENSG00000006459,2225
ENSG00000006468,981
ENSG00000006530,1365
ENSG00000006534,618
ENSG00000006555,319
ENSG00000006576,1600
ENSG00000006606,12
ENSG00000006607,2885
ENSG00000006611,2
ENSG00000006625,4231
ENSG00000006634,939
ENSG00000006638,130
ENSG00000006652,824
ENSG00000006659,0
ENSG00000006695,607
ENSG00000006704,1460
ENSG00000006712,3151
ENSG00000006715,3104
ENSG00000006740,798
ENSG00000006744,2598
ENSG00000006747,10456
ENSG00000006756,7200
ENSG00000006757,1233
ENSG00000006788,37
ENSG00000006831,5833
ENSG00000006837,22
ENSG00000007001,3
ENSG00000007038,46
ENSG00000007047,1995
ENSG00000007062,869
ENSG00000007080,1616
ENSG00000007129,341
ENSG00000007168,6483
ENSG00000007171,52
ENSG00000007174,51
ENSG00000007202,10238
ENSG00000007216,702
ENSG00000007237,3873
ENSG00000007255,802
ENSG00000007264,227
ENSG00000007306,18
ENSG00000007312,288
ENSG00000007314,238
ENSG00000007341,559
ENSG00000007350,3
ENSG00000007372,131
ENSG00000007376,1436
ENSG00000007384,4137
ENSG00000007392,1520
ENSG00000007402,643
ENSG00000007516,1778
ENSG00000007520,2084
ENSG00000007541,5757
ENSG00000007545,1737
ENSG00000007866,3240
ENSG00000007908,931
ENSG00000007923,1932
ENSG00000007933,100
ENSG00000007944,2300
ENSG00000007952,54
ENSG00000007968,846
ENSG00000008018,4584
ENSG00000008056,34
ENSG00000008083,2481
ENSG00000008086,1082
ENSG00000008118,10
ENSG00000008128,176
ENSG00000008130,2816
ENSG00000008196,7677
ENSG00000008197,0
ENSG00000008226,35
ENSG00000008256,3115
ENSG00000008277,1151
ENSG00000008282,7470
ENSG00000008283,5316
ENSG00000008294,3827
ENSG00000008300,298
ENSG00000008311,285
ENSG00000008323,1032
ENSG00000008324,766
ENSG00000008382,753
ENSG00000008394,6476
ENSG00000008405,1399
ENSG00000008438,4
ENSG00000008441,5150
ENSG00000008513,5733
ENSG00000008516,309
ENSG00000008517,3025
ENSG00000008710,5016
ENSG00000008735,181
ENSG00000008838,2835
ENSG00000008853,1063
ENSG00000008869,3081
ENSG00000008952,8365
ENSG00000008988,28607
ENSG00000009307,39413
ENSG00000009335,5659
ENSG00000009413,1486
ENSG00000009694,39
ENSG00000009709,1996
ENSG00000009724,36
ENSG00000009765,24
ENSG00000009780,672
ENSG00000009790,398
ENSG00000009830,1369
ENSG00000009844,2017
ENSG00000009950,247
ENSG00000009954,7969
ENSG00000010017,4626
ENSG00000010030,241
ENSG00000010072,982
ENSG00000010165,4124
ENSG00000010219,768
ENSG00000010244,6498
ENSG00000010256,6498
ENSG00000010270,1607
ENSG00000010278,25598
ENSG00000010282,0
ENSG00000010292,6261
ENSG00000010295,453
ENSG00000010310,97
ENSG00000010318,245
ENSG00000010319,3781
ENSG00000010322,4051
ENSG00000010327,2098
ENSG00000010361,726
ENSG00000010379,2
ENSG00000010404,5424
ENSG00000010438,2
ENSG00000010539,747
ENSG00000010610,2766
ENSG00000010626,331
ENSG00000010671,451
ENSG00000010704,702
ENSG00000010803,2064
ENSG00000010810,2102
ENSG00000010818,2098
ENSG00000010932,348
ENSG00000011007,2283
ENSG00000011009,3608
ENSG00000011021,933
ENSG00000011028,9295
ENSG00000011052,18
ENSG00000011083,4
ENSG00000011105,6057
ENSG00000011114,2582
ENSG00000011132,502
ENSG00000011143,581
ENSG00000011198,1149
ENSG00000011201,799
ENSG00000011243,1782
ENSG00000011258,919
ENSG00000011260,1275
ENSG00000011275,2543
ENSG00000011295,2663
ENSG00000011304,14389
ENSG00000011332,40
ENSG00000011347,5175
ENSG00000011376,2025
ENSG00000011405,4474
ENSG00000011422,1564
ENSG00000011426,3408
ENSG00000011451,4397
ENSG00000011454,6498
ENSG00000011465,49552
ENSG00000011478,526
ENSG00000011485,2674
ENSG00000011523,2368
ENSG00000011566,2367
ENSG00000011590,34
ENSG00000011600,1815
ENSG00000011638,4042
ENSG00000011677,4
ENSG00000012048,1408
ENSG00000012061,2157
ENSG00000012124,819
ENSG00000012171,856
ENSG00000012174,2459
ENSG00000012211,1137
ENSG00000012223,10407
ENSG00000012232,1632
ENSG00000012504,0
ENSG00000012660,12191
ENSG00000012779,699
ENSG00000012817,0
ENSG00000012822,4635
ENSG00000012963,3489
ENSG00000012983,2384
ENSG00000013016,835
ENSG00000013275,3242
ENSG00000013288,4407
ENSG00000013293,6
ENSG00000013297,1016
ENSG00000013306,3927
ENSG00000013364,13674
ENSG00000013374,3978
ENSG00000013375,1862
ENSG00000013392,250
ENSG00000013441,2128
ENSG00000013503,1063
ENSG00000013523,1248
ENSG00000013561,4732
ENSG00000013563,1028
ENSG00000013573,1119
ENSG00000013583,3873
ENSG00000013588,8768
ENSG00000013619,232
ENSG00000013725,599
ENSG00000013810,3631
ENSG00000014123,1987
ENSG00000014138,1941
ENSG00000014164,1313
ENSG00000014216,13336
ENSG00000014257,59
ENSG00000014641,6367
ENSG00000014824,4149
ENSG00000014914,1670
ENSG00000014919,2824
ENSG00000015133,4945
ENSG00000015153,824
ENSG00000015171,10604
ENSG00000015285,503
ENSG00000015413,72
ENSG00000015475,852
ENSG00000015479,418
ENSG00000015520,40
ENSG00000015532,1626
ENSG00000015568,0
ENSG00000015592,7
ENSG00000015676,6519
ENSG00000016082,0
ENSG00000016391,1483
ENSG00000016402,358
ENSG00000016490,0
ENSG00000016602,32
ENSG00000016864,2728
ENSG00000017260,6441
ENSG00000017427,361
ENSG00000017483,302
ENSG00000017797,4424
ENSG00000018189,1366
ENSG00000018236,840
ENSG00000018280,124
ENSG00000018408,5854
ENSG00000018510,1335
ENSG00000018607,0
ENSG00000018610,1435
ENSG00000018625,595
ENSG00000018699,1032
ENSG00000018869,186
ENSG00000019102,46
ENSG00000019144,7596
ENSG00000019169,92
ENSG00000019186,11
ENSG00000019485,447
ENSG00000019505,343
ENSG00000019549,1160
ENSG00000019582,98023
ENSG00000019991,400
ENSG00000019995,1619
ENSG00000020129,3424
ENSG00000020181,3794
ENSG00000020219,0
ENSG00000020256,1113
ENSG00000020426,902
ENSG00000020577,1167
ENSG00000020633,1042
ENSG00000020922,2208
ENSG00000021300,217
ENSG00000021355,3513
ENSG00000021461,3
ENSG00000021488,8
ENSG00000021574,1670
ENSG00000021645,215
ENSG00000021762,2217
ENSG00000021776,3352
ENSG00000021826,287
ENSG00000021852,0
ENSG00000022267,9496
ENSG00000022277,5282
ENSG00000022355,0
ENSG00000022556,32
ENSG00000022567,758
ENSG00000022840,12231
ENSG00000022976,468
ENSG00000023041,2230
ENSG00000023171,146
ENSG00000023191,7862
ENSG00000023228,6890
ENSG00000023287,3445
ENSG00000023318,4287
ENSG00000023330,2742
ENSG00000023445,2939
ENSG00000023516,5296
ENSG00000023572,491
ENSG00000023608,310
ENSG00000023697,1153
ENSG00000023734,7756
ENSG00000023839,55
ENSG00000023892,1030
ENSG00000023902,1791
ENSG00000023909,1068
ENSG00000024048,4657
ENSG00000024422,7058
ENSG00000024526,984
ENSG00000024862,780
ENSG00000025039,483
ENSG00000025156,571
ENSG00000025293,5058
ENSG00000025423,266
ENSG00000025434,988
