Gene stable ID,0c00a19b-435a-4744-b142-feb64722abc1
ENSG00000000003,6396
ENSG00000000005,1
ENSG00000000419,5769
ENSG00000000457,4246
ENSG00000000460,1816
ENSG00000000938,455
ENSG00000000971,4528
ENSG00000001036,3291
ENSG00000001084,3967
ENSG00000001167,4884
ENSG00000001460,875
ENSG00000001461,3413
ENSG00000001497,4106
ENSG00000001561,1356
ENSG00000001617,6313
ENSG00000001626,10
ENSG00000001629,9215
ENSG00000001630,289
ENSG00000001631,3686
ENSG00000002016,804
ENSG00000002079,11
ENSG00000002330,1159
ENSG00000002549,8564
ENSG00000002586,12960
ENSG00000002587,263
ENSG00000002726,9
ENSG00000002745,5
ENSG00000002746,75
ENSG00000002822,1187
ENSG00000002834,31665
ENSG00000002919,3043
ENSG00000002933,1285
ENSG00000003056,8022
ENSG00000003096,107
ENSG00000003137,255
ENSG00000003147,3480
ENSG00000003249,1458
ENSG00000003393,3218
ENSG00000003400,614
ENSG00000003402,6726
ENSG00000003436,1015
ENSG00000003509,986
ENSG00000003756,7918
ENSG00000003987,181
ENSG00000003989,42195
ENSG00000004059,6680
ENSG00000004139,390
ENSG00000004142,13100
ENSG00000004399,12326
ENSG00000004455,7479
ENSG00000004468,178
ENSG00000004478,26163
ENSG00000004487,7300
ENSG00000004534,6745
ENSG00000004660,1472
ENSG00000004700,3166
ENSG00000004766,3244
ENSG00000004776,136
ENSG00000004777,726
ENSG00000004779,4005
ENSG00000004799,1665
ENSG00000004809,1
ENSG00000004838,1093
ENSG00000004846,7
ENSG00000004848,5
ENSG00000004864,2629
ENSG00000004866,3049
ENSG00000004897,11980
ENSG00000004939,2
ENSG00000004948,11
ENSG00000004961,1528
ENSG00000004975,1789
ENSG00000005001,627
ENSG00000005007,7301
ENSG00000005020,2841
ENSG00000005022,12670
ENSG00000005059,1738
ENSG00000005073,124
ENSG00000005075,1525
ENSG00000005100,6754
ENSG00000005102,101
ENSG00000005108,527
ENSG00000005156,7428
ENSG00000005175,2984
ENSG00000005187,159
ENSG00000005189,1676
ENSG00000005194,2248
ENSG00000005206,1608
ENSG00000005238,1264
ENSG00000005243,1063
ENSG00000005249,939
ENSG00000005302,1855
ENSG00000005339,12758
ENSG00000005379,2715
ENSG00000005381,7
ENSG00000005421,2
ENSG00000005436,2177
ENSG00000005448,522
ENSG00000005469,2814
ENSG00000005471,194
ENSG00000005483,9661
ENSG00000005486,3897
ENSG00000005513,12
ENSG00000005700,9996
ENSG00000005801,1426
ENSG00000005810,10178
ENSG00000005812,8982
ENSG00000005844,1619
ENSG00000005882,1787
ENSG00000005884,4637
ENSG00000005889,4779
ENSG00000005893,17925
ENSG00000005961,77
ENSG00000005981,5
ENSG00000006007,11930
