Gene stable ID,2d2320a8-3e82-42e0-ab7a-548f0fc4cd85
ENSG00000000003,3657
ENSG00000000005,0
ENSG00000000419,2558
ENSG00000000457,1631
ENSG00000000460,600
ENSG00000000938,237
ENSG00000000971,1890
ENSG00000001036,3857
ENSG00000001084,5127
ENSG00000001167,3403
ENSG00000001460,472
ENSG00000001461,2462
ENSG00000001497,3971
ENSG00000001561,1329
ENSG00000001617,6497
ENSG00000001626,19
ENSG00000001629,5720
ENSG00000001630,266
ENSG00000001631,2350
ENSG00000002016,503
ENSG00000002079,1
ENSG00000002330,2512
ENSG00000002549,6528
ENSG00000002586,5546
ENSG00000002587,254
ENSG00000002726,12
ENSG00000002745,6
ENSG00000002746,14
ENSG00000002822,1280
ENSG00000002834,18824
ENSG00000002919,1795
ENSG00000002933,522
ENSG00000003056,4416
ENSG00000003096,349
ENSG00000003137,185
ENSG00000003147,2661
ENSG00000003249,1660
ENSG00000003393,1682
ENSG00000003400,258
ENSG00000003402,2097
ENSG00000003436,551
ENSG00000003509,676
ENSG00000003756,2928
ENSG00000003987,129
ENSG00000003989,5610
ENSG00000004059,7467
ENSG00000004139,199
ENSG00000004142,7902
ENSG00000004399,4059
ENSG00000004455,5319
ENSG00000004468,58
ENSG00000004478,17134
ENSG00000004487,5105
ENSG00000004534,2448
ENSG00000004660,360
ENSG00000004700,1721
ENSG00000004766,1805
ENSG00000004776,128
ENSG00000004777,391
ENSG00000004779,5698
ENSG00000004799,2036
ENSG00000004809,17
ENSG00000004838,1081
ENSG00000004846,5
ENSG00000004848,0
ENSG00000004864,1430
ENSG00000004866,1301
ENSG00000004897,6028
ENSG00000004939,0
ENSG00000004948,1
ENSG00000004961,1992
ENSG00000004975,2330
ENSG00000005001,524
ENSG00000005007,8813
ENSG00000005020,1738
ENSG00000005022,22759
ENSG00000005059,1999
ENSG00000005073,20
ENSG00000005075,1272
ENSG00000005100,2139
ENSG00000005102,149
ENSG00000005108,724
ENSG00000005156,2847
ENSG00000005175,3820
ENSG00000005187,117
ENSG00000005189,773
ENSG00000005194,2479
ENSG00000005206,2561
ENSG00000005238,937
ENSG00000005243,695
ENSG00000005249,6468
ENSG00000005302,1325
ENSG00000005339,8185
ENSG00000005379,1337
ENSG00000005381,0
ENSG00000005421,57
ENSG00000005436,951
ENSG00000005448,774
ENSG00000005469,4168
ENSG00000005471,97
ENSG00000005483,5046
ENSG00000005486,5207
ENSG00000005513,20
ENSG00000005700,6835
ENSG00000005801,1505
ENSG00000005810,2996
ENSG00000005812,5605
ENSG00000005844,1007
ENSG00000005882,1502
ENSG00000005884,4388
ENSG00000005889,6529
ENSG00000005893,16506
ENSG00000005961,18
ENSG00000005981,4
ENSG00000006007,10767
ENSG00000006015,1103
ENSG00000006016,103
ENSG00000006025,632
ENSG00000006042,2487
ENSG00000006047,667
ENSG00000006059,17
ENSG00000006062,543
ENSG00000006071,164
ENSG00000006116,0
ENSG00000006118,3819
ENSG00000006125,24239
ENSG00000006128,7
ENSG00000006194,4551
ENSG00000006210,2515
ENSG00000006282,2867
ENSG00000006283,112
ENSG00000006327,3461
ENSG00000006377,15
ENSG00000006432,649
ENSG00000006451,5665
ENSG00000006453,626
ENSG00000006459,1384
ENSG00000006468,368
ENSG00000006530,1938
ENSG00000006534,486
ENSG00000006555,268
ENSG00000006576,2483
ENSG00000006606,22
ENSG00000006607,1725
ENSG00000006611,6
