Gene stable ID,313fe71e-7a50-43f9-bd28-4c65127aecad
ENSG00000000003,3258
ENSG00000000005,4
ENSG00000000419,4387
ENSG00000000457,2516
ENSG00000000460,1147
ENSG00000000938,659
ENSG00000000971,2956
ENSG00000001036,5584
ENSG00000001084,2506
ENSG00000001167,4126
ENSG00000001460,542
ENSG00000001461,1815
ENSG00000001497,4398
ENSG00000001561,1204
ENSG00000001617,10818
ENSG00000001626,9
ENSG00000001629,4061
ENSG00000001630,247
ENSG00000001631,2118
ENSG00000002016,557
ENSG00000002079,15
ENSG00000002330,1256
ENSG00000002549,7189
ENSG00000002586,18873
ENSG00000002587,254
ENSG00000002726,27
ENSG00000002745,1
ENSG00000002746,59
ENSG00000002822,1403
ENSG00000002834,12189
ENSG00000002919,2639
ENSG00000002933,1981
ENSG00000003056,4017
ENSG00000003096,497
ENSG00000003137,268
ENSG00000003147,3850
ENSG00000003249,2079
ENSG00000003393,1939
ENSG00000003400,379
ENSG00000003402,4240
ENSG00000003436,622
ENSG00000003509,795
ENSG00000003756,5665
ENSG00000003987,444
ENSG00000003989,11305
ENSG00000004059,14158
ENSG00000004139,463
ENSG00000004142,11021
ENSG00000004399,9330
ENSG00000004455,5766
ENSG00000004468,57
ENSG00000004478,37995
ENSG00000004487,5173
ENSG00000004534,5834
ENSG00000004660,1163
ENSG00000004700,1554
ENSG00000004766,2129
ENSG00000004776,323
ENSG00000004777,355
ENSG00000004779,6402
ENSG00000004799,1593
ENSG00000004809,23
ENSG00000004838,1563
ENSG00000004846,1
ENSG00000004848,239
ENSG00000004864,3251
ENSG00000004866,2725
ENSG00000004897,5257
ENSG00000004939,2
ENSG00000004948,7
ENSG00000004961,1989
ENSG00000004975,2119
ENSG00000005001,622
ENSG00000005007,5257
ENSG00000005020,1695
ENSG00000005022,19605
ENSG00000005059,2501
ENSG00000005073,113
ENSG00000005075,2856
ENSG00000005100,2197
ENSG00000005102,45
ENSG00000005108,196
ENSG00000005156,3935
ENSG00000005175,2320
ENSG00000005187,265
ENSG00000005189,1684
ENSG00000005194,2650
ENSG00000005206,1818
ENSG00000005238,3273
ENSG00000005243,1920
ENSG00000005249,5427
ENSG00000005302,2153
ENSG00000005339,7321
ENSG00000005379,1289
ENSG00000005381,7
ENSG00000005421,0
ENSG00000005436,1285
ENSG00000005448,2047
ENSG00000005469,1458
ENSG00000005471,292
ENSG00000005483,4129
ENSG00000005486,10552
ENSG00000005513,28
ENSG00000005700,7862
ENSG00000005801,2003
ENSG00000005810,3236
ENSG00000005812,5180
ENSG00000005844,1315
ENSG00000005882,2718
ENSG00000005884,2590
ENSG00000005889,7198
ENSG00000005893,14906
ENSG00000005961,225
ENSG00000005981,1
ENSG00000006007,10309
ENSG00000006015,262
ENSG00000006016,50
ENSG00000006025,746
ENSG00000006042,7708
ENSG00000006047,1678
ENSG00000006059,31
ENSG00000006062,703
ENSG00000006071,1247
ENSG00000006116,0
ENSG00000006118,4823
ENSG00000006125,24563
ENSG00000006128,95
ENSG00000006194,4607
ENSG00000006210,6805
ENSG00000006282,6651
ENSG00000006283,24
ENSG00000006327,4078
ENSG00000006377,4
ENSG00000006432,1578
ENSG00000006451,6451
ENSG00000006453,4077
ENSG00000006459,1100
ENSG00000006468,1390
ENSG00000006530,2897
ENSG00000006534,2033
ENSG00000006555,104
ENSG00000006576,4170
ENSG00000006606,39
ENSG00000006607,2118
ENSG00000006611,6
ENSG00000006625,6747
ENSG00000006634,1124
ENSG00000006638,317
ENSG00000006652,2657
ENSG00000006659,1
ENSG00000006695,1416
ENSG00000006704,2265
ENSG00000006712,4494
ENSG00000006715,4100
ENSG00000006740,2501
ENSG00000006744,7829
ENSG00000006747,11565
ENSG00000006756,6818
ENSG00000006757,2201
ENSG00000006788,70
ENSG00000006831,11194
ENSG00000006837,83
ENSG00000007001,2
ENSG00000007038,10
ENSG00000007047,1758
ENSG00000007062,5572
ENSG00000007080,1206
ENSG00000007129,266
ENSG00000007168,12768
ENSG00000007171,59
ENSG00000007174,20
ENSG00000007202,21727
ENSG00000007216,17
ENSG00000007237,2476
ENSG00000007255,2227
ENSG00000007264,63
ENSG00000007306,4
ENSG00000007312,82
ENSG00000007314,20
ENSG00000007341,1091
ENSG00000007350,1
ENSG00000007372,472
ENSG00000007376,2530
ENSG00000007384,4742
ENSG00000007392,3181
ENSG00000007402,1986
ENSG00000007516,3413
ENSG00000007520,2121
ENSG00000007541,5694
ENSG00000007545,2136
ENSG00000007866,2420
ENSG00000007908,727
ENSG00000007923,1475
ENSG00000007933,14584
ENSG00000007944,5642
ENSG00000007952,374
ENSG00000007968,639
ENSG00000008018,8060
ENSG00000008056,92
ENSG00000008083,1471
ENSG00000008086,1695
ENSG00000008118,7
ENSG00000008128,173
ENSG00000008130,3161
ENSG00000008196,289
ENSG00000008197,0
ENSG00000008226,124
ENSG00000008256,6520
ENSG00000008277,1492
ENSG00000008282,10806
ENSG00000008283,17016
ENSG00000008294,7513
ENSG00000008300,414
ENSG00000008311,159
ENSG00000008323,1793
ENSG00000008324,1196
ENSG00000008382,760
ENSG00000008394,7078
ENSG00000008405,4372
ENSG00000008438,1
ENSG00000008441,2279
ENSG00000008513,11741
ENSG00000008516,176
ENSG00000008517,2676
ENSG00000008710,4106
ENSG00000008735,2092
ENSG00000008838,7782
ENSG00000008853,1418
ENSG00000008869,2612
ENSG00000008952,11146
ENSG00000008988,71810
ENSG00000009307,48607
ENSG00000009335,7736
ENSG00000009413,1401
ENSG00000009694,209
ENSG00000009709,1
ENSG00000009724,37
ENSG00000009765,167
ENSG00000009780,849
ENSG00000009790,299
ENSG00000009830,1741
ENSG00000009844,2962
ENSG00000009950,9
ENSG00000009954,9525
ENSG00000010017,5405
ENSG00000010030,358
ENSG00000010072,743
ENSG00000010165,4284
ENSG00000010219,1538
ENSG00000010244,9895
ENSG00000010256,20111
ENSG00000010270,2923
ENSG00000010278,33756
ENSG00000010282,3
ENSG00000010292,6246
ENSG00000010295,810
ENSG00000010310,35
ENSG00000010318,345
ENSG00000010319,394
ENSG00000010322,5387
ENSG00000010327,2964
