Gene stable ID,d46e4f76-5610-4925-94e5-5b1d4cda90e2
ENSG00000000003,6088
ENSG00000000005,3
ENSG00000000419,3003
ENSG00000000457,2954
ENSG00000000460,688
ENSG00000000938,303
ENSG00000000971,2826
ENSG00000001036,3159
ENSG00000001084,4568
ENSG00000001167,8812
ENSG00000001460,1215
ENSG00000001461,6357
ENSG00000001497,4947
ENSG00000001561,4744
ENSG00000001617,7726
ENSG00000001626,1
ENSG00000001629,8026
ENSG00000001630,553
ENSG00000001631,3769
ENSG00000002016,507
ENSG00000002079,31
ENSG00000002330,2826
ENSG00000002549,13062
ENSG00000002586,9792
ENSG00000002587,92
ENSG00000002726,17
ENSG00000002745,8
ENSG00000002746,66
ENSG00000002822,2818
ENSG00000002834,37500
ENSG00000002919,3947
ENSG00000002933,9615
ENSG00000003056,4084
ENSG00000003096,30
ENSG00000003137,183
ENSG00000003147,4991
ENSG00000003249,2089
ENSG00000003393,2096
ENSG00000003400,427
ENSG00000003402,6764
ENSG00000003436,686
ENSG00000003509,554
ENSG00000003756,6373
ENSG00000003987,55
ENSG00000003989,9531
ENSG00000004059,12090
ENSG00000004139,702
ENSG00000004142,13390
ENSG00000004399,5180
ENSG00000004455,11263
ENSG00000004468,351
ENSG00000004478,26341
ENSG00000004487,8007
ENSG00000004534,6528
ENSG00000004660,1674
ENSG00000004700,1639
ENSG00000004766,3195
ENSG00000004776,150
ENSG00000004777,896
ENSG00000004779,5391
ENSG00000004799,651
ENSG00000004809,1
ENSG00000004838,778
ENSG00000004846,6
ENSG00000004848,0
ENSG00000004864,2837
ENSG00000004866,1631
ENSG00000004897,8750
ENSG00000004939,0
ENSG00000004948,10
ENSG00000004961,2450
ENSG00000004975,2918
ENSG00000005001,576
ENSG00000005007,9887
ENSG00000005020,1431
ENSG00000005022,22593
ENSG00000005059,1552
ENSG00000005073,41
ENSG00000005075,2812
ENSG00000005100,3958
ENSG00000005102,127
ENSG00000005108,212
ENSG00000005156,6432
ENSG00000005175,5048
ENSG00000005187,109
ENSG00000005189,951
ENSG00000005194,3188
ENSG00000005206,2606
ENSG00000005238,2585
ENSG00000005243,600
ENSG00000005249,462
ENSG00000005302,2323
ENSG00000005339,9463
ENSG00000005379,2409
ENSG00000005381,17
ENSG00000005421,34
ENSG00000005436,2858
ENSG00000005448,1615
ENSG00000005469,2510
ENSG00000005471,118
ENSG00000005483,12030
ENSG00000005486,10134
ENSG00000005513,30
ENSG00000005700,6428
ENSG00000005801,2109
ENSG00000005810,3091
ENSG00000005812,2863
ENSG00000005844,2561
ENSG00000005882,2757
ENSG00000005884,3877
ENSG00000005889,8977
ENSG00000005893,20064
ENSG00000005961,49
ENSG00000005981,75
ENSG00000006007,7179
ENSG00000006015,1001
ENSG00000006016,64
ENSG00000006025,249
ENSG00000006042,2398
ENSG00000006047,684
ENSG00000006059,733
ENSG00000006062,782
ENSG00000006071,216
ENSG00000006116,1
ENSG00000006118,2074
ENSG00000006125,51721
ENSG00000006128,0
ENSG00000006194,3693
ENSG00000006210,1409
ENSG00000006282,4867
ENSG00000006283,68
ENSG00000006327,2649
ENSG00000006377,4
ENSG00000006432,1200
ENSG00000006451,6618
ENSG00000006453,3694
ENSG00000006459,3457
ENSG00000006468,513
ENSG00000006530,3681
ENSG00000006534,321
ENSG00000006555,436
ENSG00000006576,2126
ENSG00000006606,23
ENSG00000006607,2610
ENSG00000006611,7
ENSG00000006625,10079
ENSG00000006634,1007
ENSG00000006638,247
ENSG00000006652,2335
ENSG00000006659,1
ENSG00000006695,1532
ENSG00000006704,3400
ENSG00000006712,7639
ENSG00000006715,8183
ENSG00000006740,1145
ENSG00000006744,8648
ENSG00000006747,215
ENSG00000006756,14316
ENSG00000006757,3045
ENSG00000006788,11
ENSG00000006831,6679
ENSG00000006837,175
ENSG00000007001,33
ENSG00000007038,1105
ENSG00000007047,3162
ENSG00000007062,65
ENSG00000007080,2483
ENSG00000007129,76
ENSG00000007168,16009
ENSG00000007171,37
ENSG00000007174,61
ENSG00000007202,20036
ENSG00000007216,135
ENSG00000007237,2170
ENSG00000007255,2538
ENSG00000007264,128
ENSG00000007306,81
ENSG00000007312,134
ENSG00000007314,93
ENSG00000007341,1366
ENSG00000007350,2
ENSG00000007372,163
ENSG00000007376,2354
ENSG00000007384,4605
ENSG00000007392,3256
