Gene stable ID,404fe012-11ca-415c-8e6a-178adcbc0358
ENSG00000000003,2704
ENSG00000000005,99
ENSG00000000419,2751
ENSG00000000457,2141
ENSG00000000460,689
ENSG00000000938,852
ENSG00000000971,2885
ENSG00000001036,5184
ENSG00000001084,3208
ENSG00000001167,2374
ENSG00000001460,981
ENSG00000001461,3397
ENSG00000001497,3349
ENSG00000001561,2740
ENSG00000001617,13838
ENSG00000001626,58
ENSG00000001629,8956
ENSG00000001630,545
ENSG00000001631,4030
ENSG00000002016,719
ENSG00000002079,21
ENSG00000002330,1547
ENSG00000002549,12885
ENSG00000002586,6714
ENSG00000002587,398
ENSG00000002726,85
ENSG00000002745,1
ENSG00000002746,19
ENSG00000002822,2148
ENSG00000002834,46120
ENSG00000002919,2678
ENSG00000002933,1564
ENSG00000003056,8875
ENSG00000003096,995
ENSG00000003137,381
ENSG00000003147,5834
ENSG00000003249,1329
ENSG00000003393,2554
ENSG00000003400,819
ENSG00000003402,8513
ENSG00000003436,1683
ENSG00000003509,647
ENSG00000003756,5131
ENSG00000003987,103
ENSG00000003989,8937
ENSG00000004059,9774
ENSG00000004139,385
ENSG00000004142,11366
ENSG00000004399,9631
ENSG00000004455,8500
ENSG00000004468,189
ENSG00000004478,52577
ENSG00000004487,6721
ENSG00000004534,5367
ENSG00000004660,989
ENSG00000004700,2663
ENSG00000004766,14175
ENSG00000004776,2409
ENSG00000004777,1022
ENSG00000004779,4744
ENSG00000004799,10830
ENSG00000004809,7
ENSG00000004838,1200
ENSG00000004846,118
ENSG00000004848,78
ENSG00000004864,2650
ENSG00000004866,2324
ENSG00000004897,9049
ENSG00000004939,3
ENSG00000004948,115
ENSG00000004961,1529
ENSG00000004975,5222
ENSG00000005001,1770
ENSG00000005007,11263
ENSG00000005020,3509
ENSG00000005022,13749
ENSG00000005059,1239
ENSG00000005073,7
ENSG00000005075,2351
ENSG00000005100,4077
ENSG00000005102,1471
ENSG00000005108,862
ENSG00000005156,4734
ENSG00000005175,3593
ENSG00000005187,445
ENSG00000005189,903
ENSG00000005194,2095
ENSG00000005206,4507
ENSG00000005238,1685
ENSG00000005243,633
ENSG00000005249,7921
ENSG00000005302,1381
ENSG00000005339,14200
ENSG00000005379,1172
ENSG00000005381,8
ENSG00000005421,0
ENSG00000005436,1701
ENSG00000005448,1331
ENSG00000005469,2174
ENSG00000005471,286
ENSG00000005483,6897
ENSG00000005486,13084
ENSG00000005513,118
ENSG00000005700,6978
ENSG00000005801,1379
ENSG00000005810,6601
ENSG00000005812,3968
ENSG00000005844,3757
ENSG00000005882,3141
ENSG00000005884,8849
ENSG00000005889,4017
ENSG00000005893,18158
ENSG00000005961,94
ENSG00000005981,7
ENSG00000006007,12249
ENSG00000006015,1299
ENSG00000006016,604
ENSG00000006025,1413
ENSG00000006042,4409
ENSG00000006047,826
ENSG00000006059,35
