Gene stable ID,c26de1c6-96c2-45da-8e2a-9868f21a9757
ENSG00000000003,993
ENSG00000000005,23
ENSG00000000419,620
ENSG00000000457,1959
ENSG00000000460,801
ENSG00000000938,354
ENSG00000000971,3435
ENSG00000001036,2073
ENSG00000001084,1323
ENSG00000001167,2907
ENSG00000001460,389
ENSG00000001461,1432
ENSG00000001497,1288
ENSG00000001561,260
ENSG00000001617,1857
ENSG00000001626,39
ENSG00000001629,9470
ENSG00000001630,304
ENSG00000001631,4356
ENSG00000002016,480
ENSG00000002079,329
ENSG00000002330,514
ENSG00000002549,4313
ENSG00000002586,7381
ENSG00000002587,538
ENSG00000002726,233
ENSG00000002745,14
ENSG00000002746,337
ENSG00000002822,1410
ENSG00000002834,7537
ENSG00000002919,621
ENSG00000002933,1165
ENSG00000003056,2808
ENSG00000003096,142
ENSG00000003137,1426
ENSG00000003147,2265
ENSG00000003249,567
ENSG00000003393,1586
ENSG00000003400,1049
ENSG00000003402,11895
ENSG00000003436,1023
ENSG00000003509,576
ENSG00000003756,5450
ENSG00000003987,345
ENSG00000003989,6558
ENSG00000004059,1810
ENSG00000004139,293
ENSG00000004142,2022
ENSG00000004399,10181
ENSG00000004455,14477
ENSG00000004468,673
ENSG00000004478,2927
ENSG00000004487,3477
ENSG00000004534,6291
ENSG00000004660,391
ENSG00000004700,916
ENSG00000004766,2756
ENSG00000004776,15
ENSG00000004777,402
ENSG00000004779,577
ENSG00000004799,109
ENSG00000004809,9
ENSG00000004838,19
ENSG00000004846,21
ENSG00000004848,7
ENSG00000004864,4512
ENSG00000004866,1432
ENSG00000004897,2479
ENSG00000004939,6
ENSG00000004948,18
ENSG00000004961,631
ENSG00000004975,863
ENSG00000005001,1413
ENSG00000005007,4021
ENSG00000005020,2447
ENSG00000005022,3456
ENSG00000005059,514
ENSG00000005073,67
ENSG00000005075,916
ENSG00000005100,1362
ENSG00000005102,44
ENSG00000005108,1378
ENSG00000005156,1822
ENSG00000005175,819
ENSG00000005187,686
ENSG00000005189,290
ENSG00000005194,1557
ENSG00000005206,1216
ENSG00000005238,992
ENSG00000005243,470
ENSG00000005249,1093
ENSG00000005302,1936
ENSG00000005339,10171
ENSG00000005379,362
ENSG00000005381,7
ENSG00000005421,41
ENSG00000005436,1323
ENSG00000005448,250
ENSG00000005469,869
ENSG00000005471,160
ENSG00000005483,18914
ENSG00000005486,1731
ENSG00000005513,11
ENSG00000005700,2904
ENSG00000005801,1863
ENSG00000005810,13709
ENSG00000005812,2375
ENSG00000005844,1272
ENSG00000005882,263
ENSG00000005884,4508
ENSG00000005889,6713
ENSG00000005893,10149
ENSG00000005961,35
ENSG00000005981,3
ENSG00000006007,2853
ENSG00000006015,295
ENSG00000006016,70
ENSG00000006025,418
ENSG00000006042,418
ENSG00000006047,1056
ENSG00000006059,0
ENSG00000006062,915
ENSG00000006071,0
ENSG00000006116,1
ENSG00000006118,5714
ENSG00000006125,11180
ENSG00000006128,5
ENSG00000006194,1637
ENSG00000006210,859
ENSG00000006282,744
ENSG00000006283,40
ENSG00000006327,2089
ENSG00000006377,1
ENSG00000006432,1881
ENSG00000006451,3997
ENSG00000006453,6632
ENSG00000006459,8143
ENSG00000006468,736
ENSG00000006530,2179
ENSG00000006534,512
ENSG00000006555,1691
ENSG00000006576,1585
ENSG00000006606,5
ENSG00000006607,2477
ENSG00000006611,2
ENSG00000006625,1461
ENSG00000006634,1479
ENSG00000006638,55
ENSG00000006652,3294
ENSG00000006659,0
ENSG00000006695,616
ENSG00000006704,1410
ENSG00000006712,1055
ENSG00000006715,4117
ENSG00000006740,1761
ENSG00000006744,2449
ENSG00000006747,459
ENSG00000006756,5625
ENSG00000006757,448
ENSG00000006788,683
ENSG00000006831,2706
ENSG00000006837,89
ENSG00000007001,82
ENSG00000007038,2
ENSG00000007047,1121
ENSG00000007062,2209
ENSG00000007080,241
ENSG00000007129,64
ENSG00000007168,5277
ENSG00000007171,32
ENSG00000007174,29
ENSG00000007202,9545
ENSG00000007216,9
ENSG00000007237,1910
ENSG00000007255,109
ENSG00000007264,69
ENSG00000007306,14
ENSG00000007312,40
ENSG00000007314,24
ENSG00000007341,940
ENSG00000007350,2
ENSG00000007372,863
ENSG00000007376,481
ENSG00000007384,1430
ENSG00000007392,3188
ENSG00000007402,322
ENSG00000007516,47
ENSG00000007520,327
ENSG00000007541,984
ENSG00000007545,1277
ENSG00000007866,2498
ENSG00000007908,442
ENSG00000007923,1169
ENSG00000007933,762
ENSG00000007944,1794
ENSG00000007952,8
ENSG00000007968,494
ENSG00000008018,2097
ENSG00000008056,24
ENSG00000008083,2670
ENSG00000008086,4115
ENSG00000008118,133
ENSG00000008128,219
ENSG00000008130,1689
ENSG00000008196,2787
ENSG00000008197,0
ENSG00000008226,120
ENSG00000008256,2911
ENSG00000008277,699
ENSG00000008282,4368
ENSG00000008283,2248
ENSG00000008294,6050
ENSG00000008300,390
ENSG00000008311,750
ENSG00000008323,454
ENSG00000008324,149
ENSG00000008382,248
ENSG00000008394,7426
ENSG00000008405,1068
ENSG00000008438,23
ENSG00000008441,3188
ENSG00000008513,7937
ENSG00000008516,247
ENSG00000008517,3669
ENSG00000008710,4690
ENSG00000008735,97
ENSG00000008838,1541
ENSG00000008853,674
ENSG00000008869,3086
ENSG00000008952,2297
ENSG00000008988,17678
ENSG00000009307,29631
ENSG00000009335,6774
ENSG00000009413,3272
ENSG00000009694,304
ENSG00000009709,1038
ENSG00000009724,200
ENSG00000009765,352
ENSG00000009780,693
ENSG00000009790,2009
ENSG00000009830,1021
ENSG00000009844,1294
ENSG00000009950,16
ENSG00000009954,11736
ENSG00000010017,3885
ENSG00000010030,336
ENSG00000010072,934
ENSG00000010165,1808
ENSG00000010219,542
ENSG00000010244,7173
ENSG00000010256,1463
ENSG00000010270,1725
ENSG00000010278,6044
ENSG00000010282,3
ENSG00000010292,2962
ENSG00000010295,593
ENSG00000010310,159
ENSG00000010318,164
ENSG00000010319,360
ENSG00000010322,3522
ENSG00000010327,9136
ENSG00000010361,160
ENSG00000010379,36
ENSG00000010404,3186
ENSG00000010438,19
ENSG00000010539,628
ENSG00000010610,2854
ENSG00000010626,130
ENSG00000010671,645
ENSG00000010704,674
ENSG00000010803,5611
ENSG00000010810,2648
ENSG00000010818,9809
ENSG00000010932,1499
ENSG00000011007,2853
ENSG00000011009,1057
ENSG00000011021,1370
ENSG00000011028,5228
ENSG00000011052,1
ENSG00000011083,20
ENSG00000011105,3133
ENSG00000011114,3286
ENSG00000011132,479
ENSG00000011143,299
ENSG00000011198,1002
ENSG00000011201,560
ENSG00000011243,1768
ENSG00000011258,1729
ENSG00000011260,509
ENSG00000011275,4582
ENSG00000011295,2893
ENSG00000011304,6095
ENSG00000011332,37
ENSG00000011347,3939
ENSG00000011376,995
ENSG00000011405,4223
ENSG00000011422,2964
ENSG00000011426,5941
ENSG00000011451,2162
ENSG00000011454,4786
ENSG00000011465,24628
ENSG00000011478,216
ENSG00000011485,1442
ENSG00000011523,1391
ENSG00000011566,2275
ENSG00000011590,105
ENSG00000011600,957
ENSG00000011638,1590
ENSG00000011677,52
ENSG00000012048,1051
ENSG00000012061,1158
ENSG00000012124,108
ENSG00000012171,235
ENSG00000012174,1165
ENSG00000012211,425
ENSG00000012223,123062
ENSG00000012232,4110
ENSG00000012504,0
ENSG00000012660,5684
ENSG00000012779,2391
ENSG00000012817,3
ENSG00000012822,2604
ENSG00000012963,1242
ENSG00000012983,5151
ENSG00000013016,619
ENSG00000013275,1942
ENSG00000013288,4371
ENSG00000013293,7
ENSG00000013297,63
ENSG00000013306,1838
ENSG00000013364,4906
ENSG00000013374,2701
ENSG00000013375,2555
ENSG00000013392,248
ENSG00000013441,2197
ENSG00000013503,851
ENSG00000013523,1771
ENSG00000013561,1354
ENSG00000013563,610
ENSG00000013573,1031
ENSG00000013583,843
ENSG00000013588,17755
ENSG00000013619,387
ENSG00000013725,571
ENSG00000013810,1468
ENSG00000014123,1417
ENSG00000014138,1394
ENSG00000014164,1168
ENSG00000014216,7074
ENSG00000014257,1367
ENSG00000014641,1177
ENSG00000014824,2384
ENSG00000014914,1381
ENSG00000014919,1884
ENSG00000015133,2531
ENSG00000015153,1114
ENSG00000015171,3161
ENSG00000015285,376
ENSG00000015413,1
ENSG00000015475,1741
ENSG00000015479,1809
ENSG00000015520,8
ENSG00000015532,832
ENSG00000015568,2
ENSG00000015592,2
ENSG00000015676,7121
ENSG00000016082,9
ENSG00000016391,596
ENSG00000016402,466
ENSG00000016490,5
ENSG00000016602,18
ENSG00000016864,1337
ENSG00000017260,5067
ENSG00000017427,53
ENSG00000017483,297
ENSG00000017797,2181
ENSG00000018189,4116
ENSG00000018236,410
ENSG00000018280,1888
ENSG00000018408,3535
ENSG00000018510,1105
ENSG00000018607,0
ENSG00000018610,628
ENSG00000018625,25
ENSG00000018699,816
ENSG00000018869,83
ENSG00000019102,29
ENSG00000019144,7973
ENSG00000019169,140
ENSG00000019186,389
ENSG00000019485,443
ENSG00000019505,0
ENSG00000019549,2596
ENSG00000019582,32202
ENSG00000019991,277
ENSG00000019995,1672
ENSG00000020129,1608
ENSG00000020181,1718
ENSG00000020219,11
ENSG00000020256,895
ENSG00000020426,487
ENSG00000020577,5869
ENSG00000020633,806
ENSG00000020922,1392
ENSG00000021300,174
ENSG00000021355,7133
ENSG00000021461,25
ENSG00000021488,23
ENSG00000021574,1219
ENSG00000021645,283
ENSG00000021762,1585
ENSG00000021776,3048
ENSG00000021826,206
ENSG00000021852,5
ENSG00000022267,678
ENSG00000022277,1350
ENSG00000022355,0
ENSG00000022556,179
ENSG00000022567,1005
ENSG00000022840,5935
ENSG00000022976,499
ENSG00000023041,1118
ENSG00000023171,869
ENSG00000023191,1621
ENSG00000023228,3678
ENSG00000023287,3337
ENSG00000023318,2399
ENSG00000023330,1290
ENSG00000023445,2627
ENSG00000023516,6434
ENSG00000023572,83
ENSG00000023608,426
ENSG00000023697,703
ENSG00000023734,2283
ENSG00000023839,1086
ENSG00000023892,553
ENSG00000023902,2082
ENSG00000023909,2160
ENSG00000024048,4559
ENSG00000024422,2086
ENSG00000024526,944
ENSG00000024862,207
ENSG00000025039,962
ENSG00000025156,325
ENSG00000025293,4010
ENSG00000025423,157
ENSG00000025434,687
ENSG00000025708,4349
ENSG00000025770,621
ENSG00000025772,775
ENSG00000025796,4156
ENSG00000025800,21214
ENSG00000026025,14981
ENSG00000026036,503
ENSG00000026103,1037
ENSG00000026297,2587
ENSG00000026508,67680
ENSG00000026559,87
ENSG00000026652,1501
ENSG00000026751,436
ENSG00000026950,3302
ENSG00000027001,658
ENSG00000027075,2346
ENSG00000027644,48
ENSG00000027697,7423
ENSG00000027847,935
ENSG00000027869,224
ENSG00000028116,1441
ENSG00000028137,1381
ENSG00000028203,3357
ENSG00000028277,707
ENSG00000028310,1866
ENSG00000028528,3841
ENSG00000028839,358
ENSG00000029153,3430
ENSG00000029363,4636
ENSG00000029364,4884
ENSG00000029534,219
ENSG00000029559,155
ENSG00000029639,309
ENSG00000029725,3400
ENSG00000029993,2766
ENSG00000030066,4849
ENSG00000030110,877
ENSG00000030304,103
ENSG00000030419,2466
ENSG00000030582,6783
ENSG00000031003,1930
ENSG00000031081,3251
ENSG00000031691,98
ENSG00000031698,3594
ENSG00000031823,2330
ENSG00000032219,1383
ENSG00000032389,808
ENSG00000032444,1301
ENSG00000032742,737
ENSG00000033011,493
ENSG00000033030,1296
ENSG00000033050,2864
ENSG00000033100,3028
ENSG00000033122,205
ENSG00000033170,2159
ENSG00000033178,3483
ENSG00000033327,2017
ENSG00000033627,3234
ENSG00000033800,2308
ENSG00000033867,2141
ENSG00000034053,1772
ENSG00000034152,1735
ENSG00000034239,25
ENSG00000034510,39855
ENSG00000034533,355
ENSG00000034677,5099
ENSG00000034693,420
ENSG00000034713,1277
ENSG00000034971,5
ENSG00000035115,2844
ENSG00000035141,1494
ENSG00000035403,20326
ENSG00000035499,188
ENSG00000035664,933
ENSG00000035681,2553
ENSG00000035687,1708
ENSG00000035720,87
ENSG00000035862,21298
ENSG00000035928,2986
ENSG00000036054,1448
ENSG00000036257,2017
ENSG00000036448,23
ENSG00000036473,0
ENSG00000036530,87
ENSG00000036549,3989
ENSG00000036565,7
ENSG00000036672,259
ENSG00000036828,2
ENSG00000037042,183
ENSG00000037241,206
ENSG00000037280,494
ENSG00000037474,3577
ENSG00000037637,2364
ENSG00000037749,847
ENSG00000037757,695
ENSG00000037897,374
ENSG00000037965,276
ENSG00000038002,382
ENSG00000038210,267
ENSG00000038219,6006
ENSG00000038274,1106
ENSG00000038295,2288
ENSG00000038358,1469
ENSG00000038382,18409
ENSG00000038427,53138
ENSG00000038532,2877
ENSG00000038945,1739
ENSG00000039068,18514
ENSG00000039123,2234
ENSG00000039139,1345
ENSG00000039319,3254
ENSG00000039523,2339
ENSG00000039537,5
ENSG00000039560,10202
ENSG00000039600,23
ENSG00000039650,1139
ENSG00000039987,2
ENSG00000040199,1362
ENSG00000040275,421
ENSG00000040341,2145
ENSG00000040487,258
ENSG00000040531,985
ENSG00000040608,63
ENSG00000040633,1290
ENSG00000040731,1
ENSG00000040933,3082
ENSG00000041353,1019
ENSG00000041357,2020
ENSG00000041515,60
ENSG00000041802,1751
ENSG00000041880,361
ENSG00000041982,52829
ENSG00000041988,208
ENSG00000042062,884
ENSG00000042088,1143
ENSG00000042286,759
ENSG00000042304,19
ENSG00000042317,458
ENSG00000042429,1794
ENSG00000042445,1896
ENSG00000042493,2232
ENSG00000042753,858
ENSG00000042781,74
ENSG00000042813,0
ENSG00000042832,612
ENSG00000042980,1071
ENSG00000043039,526
ENSG00000043093,1187
ENSG00000043143,1406
ENSG00000043355,146
ENSG00000043462,3048
ENSG00000043514,2064
ENSG00000043591,51
ENSG00000044012,0
ENSG00000044090,2368
ENSG00000044115,14896
ENSG00000044446,2607
ENSG00000044459,1129
ENSG00000044524,84
ENSG00000044574,11719
ENSG00000046604,7645
ENSG00000046647,611
ENSG00000046651,2308
ENSG00000046653,1323
ENSG00000046774,1
ENSG00000046889,702
ENSG00000047056,1270
ENSG00000047188,2256
ENSG00000047230,1892
ENSG00000047249,1264
ENSG00000047315,5062
ENSG00000047346,2276
ENSG00000047365,3516
ENSG00000047410,10890
ENSG00000047457,31570
ENSG00000047578,2666
ENSG00000047579,874
ENSG00000047597,71
ENSG00000047617,231
ENSG00000047621,1110
ENSG00000047634,510
ENSG00000047644,3732
ENSG00000047648,164
ENSG00000047662,372
ENSG00000047849,15813
ENSG00000047932,3103
ENSG00000047936,1176
ENSG00000048028,2846
ENSG00000048052,2478
ENSG00000048140,2122
ENSG00000048162,371
ENSG00000048342,1583
ENSG00000048392,1460
ENSG00000048405,1520
ENSG00000048462,30
ENSG00000048471,4287
ENSG00000048540,901
ENSG00000048544,1362
ENSG00000048545,6
ENSG00000048649,5718
ENSG00000048707,13284
ENSG00000048740,2235
ENSG00000048828,7984
ENSG00000048991,3621
ENSG00000049089,157
ENSG00000049130,1792
ENSG00000049167,263
ENSG00000049192,860
ENSG00000049239,5182
ENSG00000049245,2292
ENSG00000049246,1252
ENSG00000049247,4
ENSG00000049249,517
ENSG00000049283,588
ENSG00000049323,7386
ENSG00000049449,5844
ENSG00000049540,558
ENSG00000049541,1086
ENSG00000049618,8268
ENSG00000049656,2958
ENSG00000049759,2064
ENSG00000049768,294
ENSG00000049769,307
ENSG00000049860,2319
ENSG00000049883,755
ENSG00000050030,405
ENSG00000050130,1236
ENSG00000050165,1837
ENSG00000050327,749
ENSG00000050344,1905
ENSG00000050393,1429
ENSG00000050405,4899
ENSG00000050426,1855
ENSG00000050438,2437
ENSG00000050555,98
ENSG00000050628,989
ENSG00000050730,1350
ENSG00000050748,4019
ENSG00000050767,203
ENSG00000050820,2012
ENSG00000051009,1167
ENSG00000051108,3804
ENSG00000051128,953
ENSG00000051180,186
ENSG00000051341,772
ENSG00000051382,1533
ENSG00000051523,1111
ENSG00000051596,258
ENSG00000051620,3155
ENSG00000051825,1274
ENSG00000052126,2262
ENSG00000052344,1770
ENSG00000052723,2142
ENSG00000052749,1663
ENSG00000052795,3668
ENSG00000052802,1611
ENSG00000052841,7279
ENSG00000052850,334
ENSG00000053108,45
ENSG00000053254,5604
ENSG00000053328,92
ENSG00000053371,651
ENSG00000053372,655
ENSG00000053438,388
ENSG00000053501,240
ENSG00000053524,473
ENSG00000053702,589
ENSG00000053747,5147
ENSG00000053770,2597
ENSG00000053900,1004
ENSG00000053918,507
ENSG00000054116,2997
ENSG00000054118,13538
ENSG00000054148,676
ENSG00000054179,86
ENSG00000054219,285
ENSG00000054267,4741
ENSG00000054277,1401
ENSG00000054282,1975
ENSG00000054356,33
ENSG00000054392,306
ENSG00000054523,7234
ENSG00000054598,830
ENSG00000054611,1750
ENSG00000054654,19324
ENSG00000054690,1057
ENSG00000054793,5206
ENSG00000054796,1
ENSG00000054803,1
ENSG00000054938,40
ENSG00000054965,5460
ENSG00000054967,1020
ENSG00000054983,2088
ENSG00000055044,1768
ENSG00000055070,3802
ENSG00000055118,87
ENSG00000055130,3229
ENSG00000055147,1067
ENSG00000055163,1731
ENSG00000055208,6942
ENSG00000055211,723
ENSG00000055332,11246
ENSG00000055483,2801
ENSG00000055609,30284
ENSG00000055732,160
ENSG00000055813,13
ENSG00000055917,7846
ENSG00000055950,735
ENSG00000055955,81
ENSG00000055957,4
ENSG00000056050,277
ENSG00000056097,5259
ENSG00000056277,816
ENSG00000056291,6
ENSG00000056487,11
ENSG00000056558,1769
ENSG00000056586,4495
ENSG00000056736,313
ENSG00000056972,2357
ENSG00000056998,759
ENSG00000057019,2074
ENSG00000057149,141
ENSG00000057252,2063
ENSG00000057294,1846
ENSG00000057468,39
ENSG00000057593,46
ENSG00000057608,13752
ENSG00000057657,6038
ENSG00000057663,1080
ENSG00000057704,812
ENSG00000057757,1005
ENSG00000057935,1917
ENSG00000058056,785
ENSG00000058063,3142
ENSG00000058085,7474
ENSG00000058091,3957
ENSG00000058262,11376
ENSG00000058272,4217
ENSG00000058335,458
ENSG00000058404,38
ENSG00000058453,515
ENSG00000058600,2092
ENSG00000058668,17679
ENSG00000058673,12870
ENSG00000058729,615
ENSG00000058799,2854
ENSG00000058804,2736
ENSG00000058866,236
ENSG00000059122,1049
ENSG00000059145,788
ENSG00000059377,695
ENSG00000059378,5796
ENSG00000059573,6928
ENSG00000059588,6304
ENSG00000059691,651
ENSG00000059728,5345
ENSG00000059758,2178
ENSG00000059769,282
ENSG00000059804,3265
ENSG00000059915,60
ENSG00000060069,806
ENSG00000060138,5763
ENSG00000060140,377
ENSG00000060237,21004
ENSG00000060303,5
ENSG00000060339,4224
ENSG00000060491,1588
ENSG00000060558,1255
ENSG00000060566,3
ENSG00000060642,496
ENSG00000060656,2312
ENSG00000060688,1089
ENSG00000060709,76
ENSG00000060718,18850
ENSG00000060749,12030
ENSG00000060762,441
ENSG00000060971,1018
ENSG00000060982,2946
ENSG00000061273,4218
ENSG00000061337,626
ENSG00000061455,446
ENSG00000061492,1
ENSG00000061656,246
ENSG00000061676,7878
ENSG00000061794,1416
ENSG00000061918,1309
ENSG00000061936,2234
ENSG00000061938,1683
ENSG00000061987,5376
ENSG00000062038,23019
ENSG00000062096,3
ENSG00000062194,3280
ENSG00000062282,657
ENSG00000062370,227
ENSG00000062485,5825
ENSG00000062524,34
ENSG00000062582,176
ENSG00000062598,2547
ENSG00000062650,4236
ENSG00000062716,33538
ENSG00000062725,2124
ENSG00000062822,796
ENSG00000063015,177
ENSG00000063046,9347
ENSG00000063127,103
ENSG00000063169,744
ENSG00000063176,264
ENSG00000063177,8901
ENSG00000063180,60
ENSG00000063241,673
ENSG00000063244,2641
ENSG00000063245,2150
ENSG00000063322,1291
ENSG00000063438,249
ENSG00000063515,0
ENSG00000063587,1345
ENSG00000063601,1608
ENSG00000063660,1150
ENSG00000063761,326
ENSG00000063854,480
ENSG00000063978,3553
ENSG00000064012,1034
ENSG00000064042,9026
ENSG00000064102,861
ENSG00000064115,1848
ENSG00000064195,35
ENSG00000064199,217
ENSG00000064201,87
ENSG00000064205,282
ENSG00000064218,24
ENSG00000064225,572
ENSG00000064270,801
ENSG00000064300,21
ENSG00000064309,628
ENSG00000064313,2953
ENSG00000064393,12204
ENSG00000064419,4476
ENSG00000064489,16
ENSG00000064490,492
ENSG00000064545,427
ENSG00000064547,627
ENSG00000064601,3889
ENSG00000064607,6192
ENSG00000064651,1585
ENSG00000064652,1342
ENSG00000064655,1004
ENSG00000064666,5377
ENSG00000064687,1992
ENSG00000064692,3720
ENSG00000064703,1083
ENSG00000064726,1974
ENSG00000064763,616
ENSG00000064787,250
ENSG00000064835,4
ENSG00000064886,1131
ENSG00000064932,5520
ENSG00000064933,717
ENSG00000064961,1451
ENSG00000064989,641
ENSG00000064995,818
ENSG00000064999,3028
ENSG00000065000,7354
ENSG00000065029,1450
ENSG00000065054,942
ENSG00000065057,134
ENSG00000065060,3302
ENSG00000065135,6152
ENSG00000065150,6796
ENSG00000065154,4076
ENSG00000065183,2557
ENSG00000065243,2607
ENSG00000065268,229
ENSG00000065308,3898
ENSG00000065320,1509
ENSG00000065325,66
ENSG00000065328,2074
ENSG00000065357,1086
ENSG00000065361,5387
ENSG00000065371,3
ENSG00000065413,2305
ENSG00000065427,3883
ENSG00000065457,2554
ENSG00000065485,1276
ENSG00000065491,1218
ENSG00000065518,982
ENSG00000065526,7963
ENSG00000065534,6076
ENSG00000065548,1986
ENSG00000065559,1639
ENSG00000065600,682
ENSG00000065609,3
ENSG00000065613,6493
ENSG00000065615,1087
ENSG00000065618,1562
ENSG00000065621,134
ENSG00000065665,1497
ENSG00000065675,320
ENSG00000065717,707
ENSG00000065802,1088
ENSG00000065809,7042
ENSG00000065833,883
ENSG00000065882,4473
ENSG00000065883,7366
ENSG00000065911,2677
ENSG00000065923,3643
ENSG00000065970,1659
ENSG00000065978,9488
ENSG00000065989,986
ENSG00000066027,1195
ENSG00000066032,0
ENSG00000066044,2754
ENSG00000066056,628
ENSG00000066084,6390
ENSG00000066117,2189
ENSG00000066135,6320
ENSG00000066136,3310
ENSG00000066185,28
ENSG00000066230,103
ENSG00000066248,43
ENSG00000066279,1858
ENSG00000066294,4350
ENSG00000066322,3152
ENSG00000066336,777
ENSG00000066379,160
ENSG00000066382,120
ENSG00000066405,427
ENSG00000066422,1130
ENSG00000066427,1925
ENSG00000066455,2489
ENSG00000066468,1139
ENSG00000066557,849
ENSG00000066583,370
ENSG00000066629,1576
ENSG00000066651,432
ENSG00000066654,4585
ENSG00000066697,1166
ENSG00000066735,113
ENSG00000066739,2783
ENSG00000066777,5963
ENSG00000066813,2
ENSG00000066827,1267
ENSG00000066855,1976
ENSG00000066923,742
ENSG00000066926,1073
ENSG00000066933,5690
ENSG00000067048,2
ENSG00000067057,2377
ENSG00000067064,786
ENSG00000067066,6057
ENSG00000067082,13149
ENSG00000067113,560
ENSG00000067141,3084
ENSG00000067167,4803
ENSG00000067177,1987
ENSG00000067182,5005
ENSG00000067191,1078
ENSG00000067208,2471
ENSG00000067221,408
ENSG00000067225,31239
ENSG00000067248,2247
ENSG00000067334,2777
ENSG00000067365,1112
ENSG00000067369,3695
ENSG00000067445,462
ENSG00000067533,973
ENSG00000067560,13099
ENSG00000067596,3077
ENSG00000067601,118
ENSG00000067606,488
ENSG00000067646,1
ENSG00000067704,3827
ENSG00000067715,186
ENSG00000067798,494
ENSG00000067829,1331
ENSG00000067836,969
ENSG00000067840,64
ENSG00000067842,13
ENSG00000067900,2724
ENSG00000067955,1557
ENSG00000067992,878
ENSG00000068001,1094
ENSG00000068024,1696
ENSG00000068028,785
ENSG00000068078,789
ENSG00000068079,635
ENSG00000068097,1200
ENSG00000068120,864
ENSG00000068137,689
ENSG00000068305,4007
ENSG00000068308,1565
ENSG00000068323,3574
ENSG00000068354,519
ENSG00000068366,3437
ENSG00000068383,956
ENSG00000068394,406
ENSG00000068400,1393
ENSG00000068438,1076
ENSG00000068489,705
ENSG00000068615,84
ENSG00000068650,14476
ENSG00000068654,6177
ENSG00000068697,4296
ENSG00000068724,2643
ENSG00000068745,2735
ENSG00000068781,41
ENSG00000068784,1470
ENSG00000068796,2495
ENSG00000068831,238
ENSG00000068878,8905
ENSG00000068885,529
ENSG00000068903,1151
ENSG00000068912,1502
ENSG00000068971,1025
ENSG00000068976,64
ENSG00000068985,0
ENSG00000069011,707
ENSG00000069018,15
ENSG00000069020,7782
ENSG00000069122,2686
ENSG00000069188,318
ENSG00000069206,2
ENSG00000069248,2297
ENSG00000069275,18817
ENSG00000069329,6294
ENSG00000069345,1778
ENSG00000069399,2663
ENSG00000069424,1089
ENSG00000069431,890
ENSG00000069482,58
ENSG00000069493,2704
ENSG00000069509,274
ENSG00000069535,64
ENSG00000069667,2585
ENSG00000069696,21
ENSG00000069702,320
ENSG00000069712,506
ENSG00000069764,15
ENSG00000069812,600
ENSG00000069849,1415
ENSG00000069869,2299
ENSG00000069943,309
ENSG00000069956,2916
ENSG00000069966,754
ENSG00000069974,1122
ENSG00000069998,1060
ENSG00000070010,1383
ENSG00000070018,3374
ENSG00000070019,332
ENSG00000070031,7
ENSG00000070047,1476
ENSG00000070061,2262
ENSG00000070081,1222
ENSG00000070087,1616
ENSG00000070159,2902
ENSG00000070182,279
ENSG00000070190,1027
ENSG00000070193,4
ENSG00000070214,5535
ENSG00000070269,1857
ENSG00000070366,2730
ENSG00000070367,4453
ENSG00000070371,847
ENSG00000070388,8
ENSG00000070404,887
ENSG00000070413,3567
ENSG00000070423,667
ENSG00000070444,1669
ENSG00000070476,1906
ENSG00000070495,638
ENSG00000070501,980
ENSG00000070526,114
ENSG00000070540,1543
ENSG00000070601,34
ENSG00000070610,1924
ENSG00000070614,6283
ENSG00000070669,2067
ENSG00000070718,1313
ENSG00000070729,137
ENSG00000070731,672
ENSG00000070748,1
ENSG00000070756,67527
ENSG00000070759,315
ENSG00000070761,768
ENSG00000070770,5036
ENSG00000070778,1724
ENSG00000070785,1373
ENSG00000070808,253
ENSG00000070814,2168
ENSG00000070831,8064
ENSG00000070882,3919
ENSG00000070886,4
ENSG00000070915,20
ENSG00000070950,1356
ENSG00000070961,3144
ENSG00000070985,6
ENSG00000071051,1873
ENSG00000071054,12083
ENSG00000071073,3653
ENSG00000071082,7094
ENSG00000071127,10475
ENSG00000071189,5127
ENSG00000071203,1
ENSG00000071205,1896
ENSG00000071242,3096
ENSG00000071243,522
ENSG00000071246,1657
ENSG00000071282,2917
ENSG00000071462,2125
ENSG00000071537,6405
ENSG00000071539,519
ENSG00000071553,4521
ENSG00000071564,2584
ENSG00000071575,5862
ENSG00000071626,6170
ENSG00000071655,1288
ENSG00000071677,1
ENSG00000071794,1078
ENSG00000071859,811
ENSG00000071889,900
ENSG00000071894,4208
ENSG00000071909,1178
ENSG00000071967,5039
ENSG00000071991,0
ENSG00000071994,1955
