Gene stable ID,470ca125-ab63-4bf9-bf05-e47236128591
ENSG00000000003,6887
ENSG00000000005,320
ENSG00000000419,3453
ENSG00000000457,2523
ENSG00000000460,810
ENSG00000000938,672
ENSG00000000971,16019
ENSG00000001036,5256
ENSG00000001084,6379
ENSG00000001167,4458
ENSG00000001460,1048
ENSG00000001461,7111
ENSG00000001497,2884
ENSG00000001561,3949
ENSG00000001617,4079
ENSG00000001626,831
ENSG00000001629,9457
ENSG00000001630,309
ENSG00000001631,4170
ENSG00000002016,1031
ENSG00000002079,20
ENSG00000002330,980
ENSG00000002549,9540
ENSG00000002586,11827
ENSG00000002587,551
ENSG00000002726,48
ENSG00000002745,3
ENSG00000002746,63
ENSG00000002822,871
ENSG00000002834,19976
ENSG00000002919,2216
ENSG00000002933,3486
ENSG00000003056,7309
ENSG00000003096,4917
ENSG00000003137,2099
ENSG00000003147,3337
ENSG00000003249,1200
ENSG00000003393,4352
ENSG00000003400,1854
ENSG00000003402,19813
ENSG00000003436,11718
ENSG00000003509,1141
ENSG00000003756,9777
ENSG00000003987,230
ENSG00000003989,12232
ENSG00000004059,6360
ENSG00000004139,680
ENSG00000004142,9825
ENSG00000004399,10933
ENSG00000004455,9993
ENSG00000004468,318
ENSG00000004478,9151
ENSG00000004487,8753
ENSG00000004534,7857
ENSG00000004660,1156
ENSG00000004700,3798
ENSG00000004766,3864
ENSG00000004776,11925
ENSG00000004777,625
ENSG00000004779,2958
ENSG00000004799,36551
ENSG00000004809,25
ENSG00000004838,523
ENSG00000004846,1384
ENSG00000004848,5
ENSG00000004864,2669
ENSG00000004866,2975
ENSG00000004897,9008
ENSG00000004939,9
ENSG00000004948,318
ENSG00000004961,1726
ENSG00000004975,2396
ENSG00000005001,637
ENSG00000005007,5379
ENSG00000005020,7518
ENSG00000005022,13716
ENSG00000005059,1780
ENSG00000005073,17
ENSG00000005075,1223
ENSG00000005100,3099
ENSG00000005102,2084
ENSG00000005108,1956
ENSG00000005156,2251
ENSG00000005175,3488
ENSG00000005187,690
ENSG00000005189,643
ENSG00000005194,2868
ENSG00000005206,1561
ENSG00000005238,1693
ENSG00000005243,1745
ENSG00000005249,22372
ENSG00000005302,3218
ENSG00000005339,13166
ENSG00000005379,2065
