Gene stable ID,238b412c-dc67-4bed-8092-95052029d46f
ENSG00000000003,1293
ENSG00000000005,5208
ENSG00000000419,667
ENSG00000000457,429
ENSG00000000460,286
ENSG00000000938,29
ENSG00000000971,416
ENSG00000001036,489
ENSG00000001084,860
ENSG00000001167,3021
ENSG00000001460,153
ENSG00000001461,506
ENSG00000001497,2024
ENSG00000001561,86
ENSG00000001617,440
ENSG00000001626,698
ENSG00000001629,3556
ENSG00000001630,59
ENSG00000001631,1885
ENSG00000002016,537
ENSG00000002079,108
ENSG00000002330,34
ENSG00000002549,944
ENSG00000002586,3162
ENSG00000002587,47
ENSG00000002726,13
ENSG00000002745,10
ENSG00000002746,40
ENSG00000002822,516
ENSG00000002834,1371
ENSG00000002919,217
ENSG00000002933,47
ENSG00000003056,1049
ENSG00000003096,2012
ENSG00000003137,3017
ENSG00000003147,478
ENSG00000003249,24
ENSG00000003393,998
ENSG00000003400,36
ENSG00000003402,1672
ENSG00000003436,392
ENSG00000003509,454
ENSG00000003756,3472
ENSG00000003987,75
ENSG00000003989,709
ENSG00000004059,222
ENSG00000004139,129
ENSG00000004142,636
ENSG00000004399,891
ENSG00000004455,3298
ENSG00000004468,8
ENSG00000004478,6232
ENSG00000004487,6196
ENSG00000004534,4969
ENSG00000004660,145
ENSG00000004700,699
ENSG00000004766,424
ENSG00000004776,46
ENSG00000004777,165
ENSG00000004779,329
ENSG00000004799,380
ENSG00000004809,6
ENSG00000004838,34
ENSG00000004846,1
ENSG00000004848,7
ENSG00000004864,749
ENSG00000004866,16799
ENSG00000004897,2649
ENSG00000004939,0
ENSG00000004948,2
ENSG00000004961,254
ENSG00000004975,1038
ENSG00000005001,0
ENSG00000005007,1259
ENSG00000005020,486
ENSG00000005022,1554
ENSG00000005059,129
ENSG00000005073,187
ENSG00000005075,196
ENSG00000005100,1658
ENSG00000005102,1833
ENSG00000005108,216
ENSG00000005156,1256
ENSG00000005175,1120
ENSG00000005187,23
ENSG00000005189,118
ENSG00000005194,691
ENSG00000005206,304
ENSG00000005238,103
ENSG00000005243,182
ENSG00000005249,48
ENSG00000005302,874
ENSG00000005339,6931
ENSG00000005379,335
ENSG00000005381,0
ENSG00000005421,10
ENSG00000005436,907
ENSG00000005448,386
ENSG00000005469,103
ENSG00000005471,77
ENSG00000005483,4093
ENSG00000005486,223
ENSG00000005513,3
ENSG00000005700,1039
ENSG00000005801,665
ENSG00000005810,5871
ENSG00000005812,314
ENSG00000005844,22
ENSG00000005882,388
ENSG00000005884,190
ENSG00000005889,2789
ENSG00000005893,2553
ENSG00000005961,29
ENSG00000005981,12
ENSG00000006007,765
ENSG00000006015,155
ENSG00000006016,31
ENSG00000006025,223
ENSG00000006042,967
ENSG00000006047,16
ENSG00000006059,0
ENSG00000006062,145
ENSG00000006071,9
ENSG00000006116,0
ENSG00000006118,1374
ENSG00000006125,3508
ENSG00000006128,24
ENSG00000006194,633
ENSG00000006210,41
ENSG00000006282,709
ENSG00000006283,748
ENSG00000006327,334
ENSG00000006377,146
ENSG00000006432,573
ENSG00000006451,1559
ENSG00000006453,102
ENSG00000006459,1051
ENSG00000006468,1802
ENSG00000006530,532
ENSG00000006534,24
ENSG00000006555,1
ENSG00000006576,307
ENSG00000006606,0
ENSG00000006607,1042
ENSG00000006611,3
ENSG00000006625,317
ENSG00000006634,555
ENSG00000006638,2
ENSG00000006652,1404
ENSG00000006659,0
ENSG00000006695,823
ENSG00000006704,494
ENSG00000006712,879
ENSG00000006715,2352
ENSG00000006740,821
ENSG00000006744,2730
ENSG00000006747,186
ENSG00000006756,348
ENSG00000006757,269
ENSG00000006788,4
ENSG00000006831,1729
ENSG00000006837,67
ENSG00000007001,37
ENSG00000007038,0
ENSG00000007047,882
ENSG00000007062,3206
ENSG00000007080,129
ENSG00000007129,0
ENSG00000007168,2540
ENSG00000007171,13
ENSG00000007174,76
ENSG00000007202,3394
ENSG00000007216,0
ENSG00000007237,420
ENSG00000007255,27
ENSG00000007264,25
ENSG00000007306,0
ENSG00000007312,0
ENSG00000007314,0
ENSG00000007341,530
ENSG00000007350,0
ENSG00000007372,124
ENSG00000007376,93
ENSG00000007384,272
ENSG00000007392,1953
ENSG00000007402,549
ENSG00000007516,13
ENSG00000007520,85
ENSG00000007541,311
ENSG00000007545,773
ENSG00000007866,774
