Gene stable ID,7849ba9b-f918-4690-b8a8-b4ccb2664092
ENSG00000000003,2249
ENSG00000000005,39
ENSG00000000419,2106
ENSG00000000457,2132
ENSG00000000460,1495
ENSG00000000938,606
ENSG00000000971,1916
ENSG00000001036,3930
ENSG00000001084,2009
ENSG00000001167,3266
ENSG00000001460,918
ENSG00000001461,6196
ENSG00000001497,4982
ENSG00000001561,1659
ENSG00000001617,5480
ENSG00000001626,7
ENSG00000001629,5742
ENSG00000001630,476
ENSG00000001631,2196
ENSG00000002016,691
ENSG00000002079,10
ENSG00000002330,1151
ENSG00000002549,14351
ENSG00000002586,6783
ENSG00000002587,178
ENSG00000002726,27
ENSG00000002745,2
ENSG00000002746,13
ENSG00000002822,1494
ENSG00000002834,29199
ENSG00000002919,2563
ENSG00000002933,1179
ENSG00000003056,5021
ENSG00000003096,52
ENSG00000003137,238
ENSG00000003147,2729
ENSG00000003249,2140
ENSG00000003393,1976
ENSG00000003400,557
ENSG00000003402,5381
ENSG00000003436,787
ENSG00000003509,430
ENSG00000003756,6344
ENSG00000003987,126
ENSG00000003989,7484
ENSG00000004059,7814
ENSG00000004139,478
ENSG00000004142,7997
ENSG00000004399,14826
ENSG00000004455,7895
ENSG00000004468,300
ENSG00000004478,51926
ENSG00000004487,7695
ENSG00000004534,4478
ENSG00000004660,528
ENSG00000004700,1676
ENSG00000004766,2008
ENSG00000004776,847
ENSG00000004777,1305
ENSG00000004779,4428
ENSG00000004799,2975
ENSG00000004809,2
ENSG00000004838,836
ENSG00000004846,29
ENSG00000004848,1
ENSG00000004864,2584
ENSG00000004866,2550
ENSG00000004897,7583
ENSG00000004939,4
ENSG00000004948,22
ENSG00000004961,1772
ENSG00000004975,1527
ENSG00000005001,585
ENSG00000005007,8540
ENSG00000005020,1503
ENSG00000005022,22817
ENSG00000005059,729
ENSG00000005073,27
ENSG00000005075,1972
ENSG00000005100,1944
ENSG00000005102,182
ENSG00000005108,195
ENSG00000005156,3423
ENSG00000005175,2037
ENSG00000005187,94
ENSG00000005189,959
ENSG00000005194,2492
ENSG00000005206,2729
ENSG00000005238,811
ENSG00000005243,671
ENSG00000005249,2749
ENSG00000005302,1659
ENSG00000005339,9821
ENSG00000005379,1541
ENSG00000005381,6
ENSG00000005421,3
ENSG00000005436,1272
ENSG00000005448,564
ENSG00000005469,1486
ENSG00000005471,96
ENSG00000005483,7874
ENSG00000005486,5047
ENSG00000005513,18
ENSG00000005700,6012
ENSG00000005801,932
ENSG00000005810,3684
ENSG00000005812,3162
ENSG00000005844,1905
ENSG00000005882,2350
ENSG00000005884,2792
ENSG00000005889,7179
ENSG00000005893,15504
ENSG00000005961,86
ENSG00000005981,0
ENSG00000006007,6857
ENSG00000006015,1320
ENSG00000006016,156
ENSG00000006025,138
ENSG00000006042,1566
ENSG00000006047,1084
ENSG00000006059,20
ENSG00000006062,1331
ENSG00000006071,194
ENSG00000006116,0
ENSG00000006118,2687
ENSG00000006125,36224
ENSG00000006128,0
ENSG00000006194,3751
ENSG00000006210,484
ENSG00000006282,4004
ENSG00000006283,21
ENSG00000006327,721
ENSG00000006377,0
ENSG00000006432,3276
ENSG00000006451,4597
ENSG00000006453,3193
ENSG00000006459,4159
ENSG00000006468,720
ENSG00000006530,1997
ENSG00000006534,626
ENSG00000006555,82
ENSG00000006576,2677
ENSG00000006606,4
ENSG00000006607,2780
ENSG00000006611,6
ENSG00000006625,4098
ENSG00000006634,846
ENSG00000006638,131
ENSG00000006652,1269
ENSG00000006659,0
ENSG00000006695,841
ENSG00000006704,2527
ENSG00000006712,10285
ENSG00000006715,4086
ENSG00000006740,680
ENSG00000006744,3773
ENSG00000006747,143
ENSG00000006756,5310
ENSG00000006757,305
ENSG00000006788,32
ENSG00000006831,11482
ENSG00000006837,99
ENSG00000007001,5
ENSG00000007038,704
ENSG00000007047,3267
ENSG00000007062,543
ENSG00000007080,3189
ENSG00000007129,32
ENSG00000007168,8425
ENSG00000007171,19
ENSG00000007174,19
ENSG00000007202,21170
ENSG00000007216,116
ENSG00000007237,3480
ENSG00000007255,3839
ENSG00000007264,196
ENSG00000007306,60
ENSG00000007312,126
ENSG00000007314,180
ENSG00000007341,555
ENSG00000007350,0
ENSG00000007372,165
ENSG00000007376,1640
ENSG00000007384,2640
ENSG00000007392,2904
ENSG00000007402,1762
ENSG00000007516,1004
ENSG00000007520,2858
ENSG00000007541,5565
ENSG00000007545,1758
ENSG00000007866,1593
ENSG00000007908,225
ENSG00000007923,2846
ENSG00000007933,183
ENSG00000007944,3156
ENSG00000007952,95
ENSG00000007968,1484
ENSG00000008018,9636
ENSG00000008056,29
ENSG00000008083,3785
ENSG00000008086,1279
ENSG00000008118,7
ENSG00000008128,306
ENSG00000008130,5205
ENSG00000008196,7922
ENSG00000008197,0
ENSG00000008226,47
ENSG00000008256,1683
ENSG00000008277,763
ENSG00000008282,11466
ENSG00000008283,14351
ENSG00000008294,8839
ENSG00000008300,3961
ENSG00000008311,146
ENSG00000008323,1012
ENSG00000008324,1100
ENSG00000008382,1425
ENSG00000008394,1544
ENSG00000008405,1750
ENSG00000008438,11
ENSG00000008441,9716
ENSG00000008513,52821
ENSG00000008516,138
ENSG00000008517,982
ENSG00000008710,3772
ENSG00000008735,2209
ENSG00000008838,8848
ENSG00000008853,955
ENSG00000008869,2797
ENSG00000008952,13769
ENSG00000008988,143232
ENSG00000009307,37465
ENSG00000009335,7204
ENSG00000009413,3010
ENSG00000009694,55
ENSG00000009709,579
ENSG00000009724,149
ENSG00000009765,277
ENSG00000009780,1253
ENSG00000009790,362
ENSG00000009830,1985
ENSG00000009844,3375
ENSG00000009950,108
ENSG00000009954,8450
ENSG00000010017,9356
ENSG00000010030,176
ENSG00000010072,1438
ENSG00000010165,4171
ENSG00000010219,1249
ENSG00000010244,8866
ENSG00000010256,14098
ENSG00000010270,1416
ENSG00000010278,53114
ENSG00000010282,1
ENSG00000010292,5605
ENSG00000010295,493
ENSG00000010310,68
ENSG00000010318,378
ENSG00000010319,1382
ENSG00000010322,5056
ENSG00000010327,2387
ENSG00000010361,1212
ENSG00000010379,3
ENSG00000010404,5935
ENSG00000010438,0
ENSG00000010539,1075
ENSG00000010610,3930
ENSG00000010626,502
ENSG00000010671,538
ENSG00000010704,308
ENSG00000010803,2848
ENSG00000010810,1418
ENSG00000010818,2656
ENSG00000010932,407
ENSG00000011007,5567
ENSG00000011009,3891
ENSG00000011021,1048
ENSG00000011028,5040
ENSG00000011052,212
ENSG00000011083,14
ENSG00000011105,5298
ENSG00000011114,2159
ENSG00000011132,1058
ENSG00000011143,1309
ENSG00000011198,2419
ENSG00000011201,838
ENSG00000011243,3116
ENSG00000011258,3764
ENSG00000011260,5079
ENSG00000011275,3793
ENSG00000011295,4951
ENSG00000011304,21483
ENSG00000011332,52
ENSG00000011347,10067
ENSG00000011376,2218
ENSG00000011405,4057
ENSG00000011422,1369
ENSG00000011426,2412
ENSG00000011451,4610
ENSG00000011454,4378
ENSG00000011465,34138
ENSG00000011478,1441
ENSG00000011485,6046
ENSG00000011523,1462
ENSG00000011566,2148
ENSG00000011590,89
ENSG00000011600,2710
ENSG00000011638,2167
ENSG00000011677,6
ENSG00000012048,4109
ENSG00000012061,5146
ENSG00000012124,422
ENSG00000012171,669
ENSG00000012174,3297
ENSG00000012211,478
ENSG00000012223,754
ENSG00000012232,2712
ENSG00000012504,0
ENSG00000012660,15614
ENSG00000012779,787
ENSG00000012817,0
ENSG00000012822,4402
ENSG00000012963,4339
ENSG00000012983,3731
ENSG00000013016,558
ENSG00000013275,10274
ENSG00000013288,4426
ENSG00000013293,3
ENSG00000013297,479
ENSG00000013306,16062
ENSG00000013364,7962
ENSG00000013374,5075
ENSG00000013375,3112
ENSG00000013392,956
ENSG00000013441,4361
ENSG00000013503,1061
ENSG00000013523,2867
ENSG00000013561,8743
ENSG00000013563,1408
ENSG00000013573,1654
ENSG00000013583,12195
ENSG00000013588,28250
ENSG00000013619,145
ENSG00000013725,300
ENSG00000013810,5510
ENSG00000014123,3855
ENSG00000014138,1501
ENSG00000014164,6196
ENSG00000014216,8435
ENSG00000014257,30
ENSG00000014641,5654
ENSG00000014824,8354
ENSG00000014914,476
ENSG00000014919,3822
ENSG00000015133,8810
ENSG00000015153,1049
ENSG00000015171,10226
ENSG00000015285,530
ENSG00000015413,193
ENSG00000015475,1419
ENSG00000015479,476
ENSG00000015520,22
ENSG00000015532,4242
ENSG00000015568,4
ENSG00000015592,2
ENSG00000015676,7430
ENSG00000016082,0
ENSG00000016391,3186
ENSG00000016402,1060
ENSG00000016490,0
ENSG00000016602,2
ENSG00000016864,2534
ENSG00000017260,11746
ENSG00000017427,255
ENSG00000017483,276
ENSG00000017797,7598
ENSG00000018189,2792
ENSG00000018236,493
ENSG00000018280,273
ENSG00000018408,3650
ENSG00000018510,1260
ENSG00000018607,0
ENSG00000018610,1934
ENSG00000018625,271
ENSG00000018699,1280
ENSG00000018869,52
ENSG00000019102,8
ENSG00000019144,4116
ENSG00000019169,43
ENSG00000019186,6
ENSG00000019485,368
ENSG00000019505,444
ENSG00000019549,623
ENSG00000019582,82014
ENSG00000019991,741
ENSG00000019995,1778
ENSG00000020129,2980
ENSG00000020181,1900
ENSG00000020219,0
ENSG00000020256,2055
ENSG00000020426,1823
ENSG00000020577,1214
ENSG00000020633,1087
ENSG00000020922,1986
ENSG00000021300,1099
ENSG00000021355,2019
ENSG00000021461,3
ENSG00000021488,90
ENSG00000021574,1653
ENSG00000021645,73
ENSG00000021762,2084
ENSG00000021776,6573
ENSG00000021826,101
ENSG00000021852,0
ENSG00000022267,3550
ENSG00000022277,6099
ENSG00000022355,2
ENSG00000022556,7226
ENSG00000022567,3286
ENSG00000022840,10907
ENSG00000022976,380
ENSG00000023041,5030
ENSG00000023171,163
ENSG00000023191,7703
ENSG00000023228,8171
ENSG00000023287,17840
ENSG00000023318,2929
ENSG00000023330,2179
ENSG00000023445,970
ENSG00000023516,4330
ENSG00000023572,744
ENSG00000023608,601
ENSG00000023697,997
ENSG00000023734,9326
ENSG00000023839,158
ENSG00000023892,983
ENSG00000023902,1609
ENSG00000023909,2603
ENSG00000024048,4418
ENSG00000024422,5392
ENSG00000024526,1193
ENSG00000024862,1118
ENSG00000025039,2054
ENSG00000025156,1059
ENSG00000025293,7275
ENSG00000025423,240
ENSG00000025434,1817
ENSG00000025708,5520
ENSG00000025770,7122
ENSG00000025772,2744
ENSG00000025796,11852
ENSG00000025800,6637
ENSG00000026025,34085
ENSG00000026036,143
ENSG00000026103,741
ENSG00000026297,1557
ENSG00000026508,22406
ENSG00000026559,35
ENSG00000026652,396
ENSG00000026751,952
ENSG00000026950,1252
ENSG00000027001,1080
ENSG00000027075,1913
ENSG00000027644,17
ENSG00000027697,2803
ENSG00000027847,2310
ENSG00000027869,169
ENSG00000028116,746
ENSG00000028137,2000
ENSG00000028203,4442
ENSG00000028277,446
ENSG00000028310,2161
ENSG00000028528,10898
ENSG00000028839,614
ENSG00000029153,177
ENSG00000029363,11004
ENSG00000029364,24258
ENSG00000029534,71
ENSG00000029559,26
