Gene stable ID,6060bf62-6935-405f-aa13-69153cde4a67
ENSG00000000003,1241
ENSG00000000005,4
ENSG00000000419,2423
ENSG00000000457,1837
ENSG00000000460,374
ENSG00000000938,154
ENSG00000000971,704
ENSG00000001036,4353
ENSG00000001084,5670
ENSG00000001167,4966
ENSG00000001460,698
ENSG00000001461,4207
ENSG00000001497,3907
ENSG00000001561,3762
ENSG00000001617,15832
ENSG00000001626,3
ENSG00000001629,3324
ENSG00000001630,150
ENSG00000001631,1506
ENSG00000002016,326
ENSG00000002079,12
ENSG00000002330,4110
ENSG00000002549,4305
ENSG00000002586,11582
ENSG00000002587,274
ENSG00000002726,671
ENSG00000002745,1
ENSG00000002746,1
ENSG00000002822,1344
ENSG00000002834,127203
ENSG00000002919,2610
ENSG00000002933,556
ENSG00000003056,4013
ENSG00000003096,83
ENSG00000003137,47
ENSG00000003147,4604
ENSG00000003249,3865
ENSG00000003393,1814
ENSG00000003400,995
ENSG00000003402,4375
ENSG00000003436,360
ENSG00000003509,378
ENSG00000003756,4748
ENSG00000003987,35
ENSG00000003989,1004
ENSG00000004059,9999
ENSG00000004139,182
ENSG00000004142,9864
ENSG00000004399,21530
ENSG00000004455,10388
ENSG00000004468,36
ENSG00000004478,35689
ENSG00000004487,5067
ENSG00000004534,4195
ENSG00000004660,832
ENSG00000004700,880
ENSG00000004766,1400
ENSG00000004776,115
ENSG00000004777,580
ENSG00000004779,5236
ENSG00000004799,899
ENSG00000004809,0
ENSG00000004838,678
ENSG00000004846,0
ENSG00000004848,4
ENSG00000004864,1564
ENSG00000004866,1230
ENSG00000004897,4833
ENSG00000004939,4
ENSG00000004948,242
ENSG00000004961,1388
ENSG00000004975,906
ENSG00000005001,1518
ENSG00000005007,7596
ENSG00000005020,1394
ENSG00000005022,10978
ENSG00000005059,397
ENSG00000005073,3
ENSG00000005075,1510
ENSG00000005100,897
ENSG00000005102,103
ENSG00000005108,108
ENSG00000005156,2782
ENSG00000005175,2662
ENSG00000005187,73
ENSG00000005189,542
ENSG00000005194,3050
ENSG00000005206,1607
ENSG00000005238,1655
ENSG00000005243,436
ENSG00000005249,628
ENSG00000005302,841
ENSG00000005339,10518
ENSG00000005379,285
ENSG00000005381,1
ENSG00000005421,1
ENSG00000005436,804
ENSG00000005448,1150
ENSG00000005469,585
ENSG00000005471,103
ENSG00000005483,3950
ENSG00000005486,8740
ENSG00000005513,21
ENSG00000005700,7260
ENSG00000005801,1511
ENSG00000005810,2349
ENSG00000005812,2731
ENSG00000005844,1922
ENSG00000005882,2492
ENSG00000005884,8425
ENSG00000005889,3495
ENSG00000005893,12382
ENSG00000005961,22
ENSG00000005981,0
ENSG00000006007,8806
ENSG00000006015,1065
ENSG00000006016,199
ENSG00000006025,1274
ENSG00000006042,1202
ENSG00000006047,564
ENSG00000006059,1
ENSG00000006062,662
ENSG00000006071,3169
ENSG00000006116,1
ENSG00000006118,13587
ENSG00000006125,59827
ENSG00000006128,20
ENSG00000006194,3193
ENSG00000006210,1170
ENSG00000006282,10628
ENSG00000006283,9
ENSG00000006327,1025
ENSG00000006377,0
ENSG00000006432,910
ENSG00000006451,3116
ENSG00000006453,1852
ENSG00000006459,928
ENSG00000006468,296
ENSG00000006530,1442
ENSG00000006534,1235
ENSG00000006555,97
ENSG00000006576,1042
ENSG00000006606,9
ENSG00000006607,2372
ENSG00000006611,1
ENSG00000006625,1731
ENSG00000006634,375
ENSG00000006638,262
ENSG00000006652,971
ENSG00000006659,103
ENSG00000006695,780
ENSG00000006704,1688
ENSG00000006712,5312
ENSG00000006715,3604
ENSG00000006740,453
ENSG00000006744,3066
ENSG00000006747,189
ENSG00000006756,11595
ENSG00000006757,1776
ENSG00000006788,6
ENSG00000006831,6649
ENSG00000006837,49
ENSG00000007001,9
ENSG00000007038,980
ENSG00000007047,3445
ENSG00000007062,78
ENSG00000007080,2147
ENSG00000007129,23
ENSG00000007168,6405
ENSG00000007171,23
ENSG00000007174,67
ENSG00000007202,16472
ENSG00000007216,1887
ENSG00000007237,1240
ENSG00000007255,3074
ENSG00000007264,518
ENSG00000007306,101
ENSG00000007312,46
ENSG00000007314,250
ENSG00000007341,1098
ENSG00000007350,1
ENSG00000007372,254
ENSG00000007376,2842
ENSG00000007384,3098
ENSG00000007392,2697
ENSG00000007402,4033
ENSG00000007516,488
ENSG00000007520,3243
ENSG00000007541,9329
ENSG00000007545,3320
ENSG00000007866,2456
ENSG00000007908,92
ENSG00000007923,1775
ENSG00000007933,26
ENSG00000007944,4071
ENSG00000007952,94
ENSG00000007968,193
ENSG00000008018,6967
ENSG00000008056,58
ENSG00000008083,2455
ENSG00000008086,735
ENSG00000008118,12
ENSG00000008128,473
ENSG00000008130,4576
ENSG00000008196,39
ENSG00000008197,0
ENSG00000008226,100
ENSG00000008256,992
ENSG00000008277,336
ENSG00000008282,8816
ENSG00000008283,30515
ENSG00000008294,4297
ENSG00000008300,742
ENSG00000008311,149
ENSG00000008323,367
ENSG00000008324,1095
ENSG00000008382,1055
ENSG00000008394,3831
ENSG00000008405,1119
ENSG00000008438,0
ENSG00000008441,2966
ENSG00000008513,5821
ENSG00000008516,197
ENSG00000008517,436
ENSG00000008710,4845
ENSG00000008735,4887
ENSG00000008838,7789
ENSG00000008853,777
ENSG00000008869,1984
ENSG00000008952,11747
ENSG00000008988,31253
ENSG00000009307,59185
ENSG00000009335,7421
ENSG00000009413,1091
ENSG00000009694,7
ENSG00000009709,0
ENSG00000009724,73
ENSG00000009765,79
ENSG00000009780,485
ENSG00000009790,101
ENSG00000009830,1843
ENSG00000009844,2655
ENSG00000009950,74
ENSG00000009954,8274
ENSG00000010017,4776
ENSG00000010030,85
ENSG00000010072,1098
ENSG00000010165,4292
ENSG00000010219,663
