Gene stable ID,58d983ee-8d34-4276-95d2-a660a87f1c2e
ENSG00000000003,3311
ENSG00000000005,63
ENSG00000000419,2154
ENSG00000000457,1165
ENSG00000000460,1135
ENSG00000000938,647
ENSG00000000971,3611
ENSG00000001036,3922
ENSG00000001084,1474
ENSG00000001167,2759
ENSG00000001460,638
ENSG00000001461,3876
ENSG00000001497,2977
ENSG00000001561,946
ENSG00000001617,7255
ENSG00000001626,11
ENSG00000001629,3489
ENSG00000001630,103
ENSG00000001631,1269
ENSG00000002016,330
ENSG00000002079,3
ENSG00000002330,1205
ENSG00000002549,15954
ENSG00000002586,10678
ENSG00000002587,1187
ENSG00000002726,94
ENSG00000002745,5
ENSG00000002746,4
ENSG00000002822,1471
ENSG00000002834,11484
ENSG00000002919,1482
ENSG00000002933,2543
ENSG00000003056,4295
ENSG00000003096,266
ENSG00000003137,231
ENSG00000003147,1971
ENSG00000003249,1909
ENSG00000003393,1329
ENSG00000003400,1712
ENSG00000003402,8041
ENSG00000003436,1652
ENSG00000003509,786
ENSG00000003756,3695
ENSG00000003987,52
ENSG00000003989,562
ENSG00000004059,4387
ENSG00000004139,158
ENSG00000004142,4888
ENSG00000004399,13712
ENSG00000004455,6082
ENSG00000004468,1484
ENSG00000004478,8172
ENSG00000004487,7366
ENSG00000004534,3667
ENSG00000004660,646
ENSG00000004700,1319
ENSG00000004766,1225
ENSG00000004776,713
ENSG00000004777,699
ENSG00000004779,2784
ENSG00000004799,2992
ENSG00000004809,14
ENSG00000004838,11
ENSG00000004846,4
ENSG00000004848,0
ENSG00000004864,1426
ENSG00000004866,1248
ENSG00000004897,3490
ENSG00000004939,1
ENSG00000004948,7
ENSG00000004961,2216
ENSG00000004975,1469
ENSG00000005001,549
ENSG00000005007,8162
ENSG00000005020,1683
ENSG00000005022,14693
ENSG00000005059,1749
ENSG00000005073,45
ENSG00000005075,1071
ENSG00000005100,1473
ENSG00000005102,463
ENSG00000005108,533
ENSG00000005156,1918
ENSG00000005175,1473
ENSG00000005187,444
ENSG00000005189,137
ENSG00000005194,2943
ENSG00000005206,1653
ENSG00000005238,2090
ENSG00000005243,549
ENSG00000005249,1148
ENSG00000005302,4152
ENSG00000005339,4568
ENSG00000005379,629
ENSG00000005381,24
ENSG00000005421,4
ENSG00000005436,989
ENSG00000005448,184
ENSG00000005469,461
ENSG00000005471,61
ENSG00000005483,3151
ENSG00000005486,2016
ENSG00000005513,54
ENSG00000005700,2880
ENSG00000005801,2339
ENSG00000005810,4748
ENSG00000005812,2010
ENSG00000005844,2782
ENSG00000005882,785
ENSG00000005884,1845
ENSG00000005889,2714
ENSG00000005893,20537
ENSG00000005961,17
ENSG00000005981,1
ENSG00000006007,3903
ENSG00000006015,1607
ENSG00000006016,176
ENSG00000006025,601
ENSG00000006042,2270
ENSG00000006047,32
ENSG00000006059,3
ENSG00000006062,1195
ENSG00000006071,2
ENSG00000006116,1
ENSG00000006118,14087
ENSG00000006125,9880
ENSG00000006128,0
ENSG00000006194,1649
ENSG00000006210,12927
ENSG00000006282,649
ENSG00000006283,11
ENSG00000006327,2734
ENSG00000006377,7
ENSG00000006432,957
ENSG00000006451,4167
ENSG00000006453,1530
ENSG00000006459,1025
ENSG00000006468,346
ENSG00000006530,1835
ENSG00000006534,587
ENSG00000006555,1162
ENSG00000006576,1553
ENSG00000006606,22
ENSG00000006607,1682
ENSG00000006611,3
ENSG00000006625,3329
ENSG00000006634,974
ENSG00000006638,405
ENSG00000006652,2523
ENSG00000006659,1
ENSG00000006695,907
ENSG00000006704,768
ENSG00000006712,3374
ENSG00000006715,2875
ENSG00000006740,250
ENSG00000006744,3019
ENSG00000006747,565
ENSG00000006756,3202
ENSG00000006757,167
ENSG00000006788,15
ENSG00000006831,3488
ENSG00000006837,21
ENSG00000007001,24
ENSG00000007038,5
ENSG00000007047,2452
ENSG00000007062,10317
ENSG00000007080,3978
ENSG00000007129,111
ENSG00000007168,5278
ENSG00000007171,160
ENSG00000007174,15
ENSG00000007202,5907
ENSG00000007216,176
ENSG00000007237,1228
ENSG00000007255,708
ENSG00000007264,174
ENSG00000007306,5
ENSG00000007312,357
ENSG00000007314,545
ENSG00000007341,476
ENSG00000007350,4
ENSG00000007372,59
ENSG00000007376,1117
ENSG00000007384,1838
ENSG00000007392,1493
ENSG00000007402,109
ENSG00000007516,115
ENSG00000007520,1836
ENSG00000007541,1547
ENSG00000007545,1201
ENSG00000007866,1570
ENSG00000007908,1423
ENSG00000007923,2922
ENSG00000007933,266
ENSG00000007944,1225
ENSG00000007952,42
ENSG00000007968,549
ENSG00000008018,4373
ENSG00000008056,53
ENSG00000008083,1891
ENSG00000008086,1380
ENSG00000008118,59
ENSG00000008128,489
ENSG00000008130,6336
ENSG00000008196,2
ENSG00000008197,0
ENSG00000008226,24
ENSG00000008256,2936
ENSG00000008277,51
ENSG00000008282,4256
ENSG00000008283,7064
ENSG00000008294,3591
ENSG00000008300,139
ENSG00000008311,354
ENSG00000008323,274
ENSG00000008324,908
ENSG00000008382,615
ENSG00000008394,5071
ENSG00000008405,1067
ENSG00000008438,4
ENSG00000008441,10892
ENSG00000008513,2470
ENSG00000008516,149
ENSG00000008517,4519
ENSG00000008710,2429
ENSG00000008735,59
ENSG00000008838,4685
ENSG00000008853,741
ENSG00000008869,1531
ENSG00000008952,7739
ENSG00000008988,14844
ENSG00000009307,29188
ENSG00000009335,6123
ENSG00000009413,1880
ENSG00000009694,13
ENSG00000009709,0
ENSG00000009724,26
ENSG00000009765,9
ENSG00000009780,802
ENSG00000009790,678
ENSG00000009830,1017
ENSG00000009844,2835
ENSG00000009950,72
ENSG00000009954,6346
ENSG00000010017,2532
ENSG00000010030,1784
ENSG00000010072,1077
ENSG00000010165,4919
ENSG00000010219,708
ENSG00000010244,7007
ENSG00000010256,5699
ENSG00000010270,859
ENSG00000010278,5174
ENSG00000010282,1
ENSG00000010292,4817
ENSG00000010295,1029
ENSG00000010310,27
ENSG00000010318,113
ENSG00000010319,2471
ENSG00000010322,3593
ENSG00000010327,7017
ENSG00000010361,521
ENSG00000010379,2
ENSG00000010404,3136
ENSG00000010438,20
ENSG00000010539,660
ENSG00000010610,5556
ENSG00000010626,90
ENSG00000010671,769
ENSG00000010704,763
ENSG00000010803,2038
ENSG00000010810,2397
ENSG00000010818,2244
ENSG00000010932,447
ENSG00000011007,4800
ENSG00000011009,4019
ENSG00000011021,576
ENSG00000011028,6072
ENSG00000011052,20
ENSG00000011083,4
ENSG00000011105,2868
ENSG00000011114,1453
ENSG00000011132,937
ENSG00000011143,357
ENSG00000011198,1014
ENSG00000011201,206
ENSG00000011243,2772
ENSG00000011258,1110
ENSG00000011260,1461
ENSG00000011275,3630
ENSG00000011295,1611
ENSG00000011304,15468
ENSG00000011332,69
ENSG00000011347,4259
ENSG00000011376,1420
ENSG00000011405,3435
ENSG00000011422,2745
ENSG00000011426,2650
ENSG00000011451,5582
ENSG00000011454,2965
ENSG00000011465,13618
ENSG00000011478,521
ENSG00000011485,3823
ENSG00000011523,1333
ENSG00000011566,1499
ENSG00000011590,98
ENSG00000011600,4072
ENSG00000011638,3423
ENSG00000011677,0
ENSG00000012048,792
ENSG00000012061,2633
ENSG00000012124,207
ENSG00000012171,96
ENSG00000012174,1510
ENSG00000012211,702
ENSG00000012223,33555
ENSG00000012232,4096
ENSG00000012504,0
ENSG00000012660,3550
ENSG00000012779,967
ENSG00000012817,0
ENSG00000012822,2597
ENSG00000012963,2075
ENSG00000012983,2608
ENSG00000013016,1289
ENSG00000013275,5973
ENSG00000013288,2206
ENSG00000013293,1
ENSG00000013297,79
ENSG00000013306,5457
ENSG00000013364,9906
ENSG00000013374,8387
ENSG00000013375,3815
ENSG00000013392,432
ENSG00000013441,2542
ENSG00000013503,715
ENSG00000013523,1075
ENSG00000013561,2311
ENSG00000013563,1237
ENSG00000013573,802
ENSG00000013583,1719
ENSG00000013588,1582
ENSG00000013619,453
ENSG00000013725,1381
ENSG00000013810,2552
ENSG00000014123,2312
ENSG00000014138,1710
ENSG00000014164,2231
ENSG00000014216,9755
ENSG00000014257,32
ENSG00000014641,5639
ENSG00000014824,2938
ENSG00000014914,1973
ENSG00000014919,1507
ENSG00000015133,2624
ENSG00000015153,658
ENSG00000015171,6786
ENSG00000015285,1188
ENSG00000015413,20
ENSG00000015475,1337
ENSG00000015479,162
ENSG00000015520,11
ENSG00000015532,1231
ENSG00000015568,1
ENSG00000015592,7
ENSG00000015676,4802
ENSG00000016082,0
ENSG00000016391,1325
ENSG00000016402,295
ENSG00000016490,0
ENSG00000016602,10
ENSG00000016864,2245
ENSG00000017260,8036
ENSG00000017427,139
ENSG00000017483,759
ENSG00000017797,5745
ENSG00000018189,1519
ENSG00000018236,13
ENSG00000018280,606
ENSG00000018408,6777
ENSG00000018510,2175
ENSG00000018607,0
ENSG00000018610,1407
ENSG00000018625,68
ENSG00000018699,1683
ENSG00000018869,137
ENSG00000019102,67
ENSG00000019144,4529
ENSG00000019169,205
ENSG00000019186,110
ENSG00000019485,647
ENSG00000019505,12
ENSG00000019549,1407
ENSG00000019582,110168
ENSG00000019991,298
ENSG00000019995,641
ENSG00000020129,2648
ENSG00000020181,2965
ENSG00000020219,0
ENSG00000020256,1179
ENSG00000020426,576
ENSG00000020577,1141
ENSG00000020633,1526
ENSG00000020922,1883
ENSG00000021300,7162
ENSG00000021355,2367
ENSG00000021461,0
ENSG00000021488,15
ENSG00000021574,1452
ENSG00000021645,70
ENSG00000021762,1807
ENSG00000021776,2549
ENSG00000021826,121
ENSG00000021852,4
ENSG00000022267,2816
ENSG00000022277,5044
ENSG00000022355,0
ENSG00000022556,2032
ENSG00000022567,1329
ENSG00000022840,10343
ENSG00000022976,314
ENSG00000023041,2015
ENSG00000023171,639
ENSG00000023191,7509
ENSG00000023228,3588
ENSG00000023287,2916
ENSG00000023318,5113
ENSG00000023330,2679
ENSG00000023445,5812
ENSG00000023516,3189
ENSG00000023572,1027
ENSG00000023608,378
ENSG00000023697,1057
ENSG00000023734,4959
ENSG00000023839,38
ENSG00000023892,1423
ENSG00000023902,5461
ENSG00000023909,1316
ENSG00000024048,3331
ENSG00000024422,5081
ENSG00000024526,1306
ENSG00000024862,1100
ENSG00000025039,530
ENSG00000025156,684
ENSG00000025293,2227
ENSG00000025423,182
ENSG00000025434,1861
ENSG00000025708,11120
ENSG00000025770,1337
ENSG00000025772,2322
ENSG00000025796,8106
ENSG00000025800,4998
ENSG00000026025,51042
ENSG00000026036,68
ENSG00000026103,1482
ENSG00000026297,2258
ENSG00000026508,15984
ENSG00000026559,13
ENSG00000026652,523
ENSG00000026751,1799
ENSG00000026950,10606
ENSG00000027001,636
ENSG00000027075,2288
ENSG00000027644,13
ENSG00000027697,9433
ENSG00000027847,1290
ENSG00000027869,674
ENSG00000028116,1982
ENSG00000028137,4746
ENSG00000028203,2616
ENSG00000028277,477
ENSG00000028310,1639
ENSG00000028528,4594
ENSG00000028839,898
ENSG00000029153,1425
ENSG00000029363,6419
ENSG00000029364,3661
ENSG00000029534,48
ENSG00000029559,71
ENSG00000029639,179
ENSG00000029725,2576
ENSG00000029993,4301
ENSG00000030066,4737
ENSG00000030110,1698
ENSG00000030304,4
ENSG00000030419,737
ENSG00000030582,25311
ENSG00000031003,1292
ENSG00000031081,2715
ENSG00000031691,359
ENSG00000031698,4048
ENSG00000031823,4459
ENSG00000032219,970
ENSG00000032389,1599
ENSG00000032444,4464
ENSG00000032742,402
ENSG00000033011,1125
ENSG00000033030,1758
ENSG00000033050,3986
ENSG00000033100,8110
ENSG00000033122,11
ENSG00000033170,1547
ENSG00000033178,2810
ENSG00000033327,3214
ENSG00000033627,1972
ENSG00000033800,1820
ENSG00000033867,1320
ENSG00000034053,585
ENSG00000034152,3351
ENSG00000034239,9
ENSG00000034510,60466
ENSG00000034533,491
ENSG00000034677,4007
ENSG00000034693,860
ENSG00000034713,3463
ENSG00000034971,4
ENSG00000035115,3497
ENSG00000035141,2832
ENSG00000035403,7434
ENSG00000035499,295
ENSG00000035664,573
ENSG00000035681,1618
ENSG00000035687,4047
ENSG00000035720,249
ENSG00000035862,15068
ENSG00000035928,2856
ENSG00000036054,2183
ENSG00000036257,2410
ENSG00000036448,64
ENSG00000036473,4
ENSG00000036530,64
ENSG00000036549,2316
ENSG00000036565,4
ENSG00000036672,139
ENSG00000036828,1
ENSG00000037042,392
ENSG00000037241,867
ENSG00000037280,2236
ENSG00000037474,3415
ENSG00000037637,1626
ENSG00000037749,1042
ENSG00000037757,761
ENSG00000037897,1083
ENSG00000037965,171
ENSG00000038002,770
ENSG00000038210,1256
ENSG00000038219,1955
ENSG00000038274,3506
ENSG00000038295,135
ENSG00000038358,2675
ENSG00000038382,4118
ENSG00000038427,12273
ENSG00000038532,2105
ENSG00000038945,2598
ENSG00000039068,8341
ENSG00000039123,1598
ENSG00000039139,183
ENSG00000039319,1315
ENSG00000039523,3270
ENSG00000039537,233
ENSG00000039560,4129
ENSG00000039600,7
ENSG00000039650,1378
ENSG00000039987,5
ENSG00000040199,670
ENSG00000040275,1012
ENSG00000040341,1184
ENSG00000040487,1194
ENSG00000040531,1210
ENSG00000040608,185
ENSG00000040633,1715
ENSG00000040731,0
ENSG00000040933,2040
ENSG00000041353,39
ENSG00000041357,8747
ENSG00000041515,6
ENSG00000041802,5685
ENSG00000041880,891
ENSG00000041982,4918
ENSG00000041988,990
ENSG00000042062,326
ENSG00000042088,975
ENSG00000042286,1597
ENSG00000042304,0
ENSG00000042317,263
ENSG00000042429,2436
ENSG00000042445,2985
ENSG00000042493,14090
ENSG00000042753,4333
ENSG00000042781,3
ENSG00000042813,0
ENSG00000042832,27
ENSG00000042980,405
ENSG00000043039,1473
ENSG00000043093,3926
ENSG00000043143,1925
ENSG00000043355,1
ENSG00000043462,3180
ENSG00000043514,1088
ENSG00000043591,21
ENSG00000044012,0
ENSG00000044090,3540
ENSG00000044115,16537
ENSG00000044446,1596
ENSG00000044459,1138
ENSG00000044524,592
ENSG00000044574,82276
ENSG00000046604,6723
ENSG00000046647,1022
ENSG00000046651,2467
ENSG00000046653,2289
ENSG00000046774,0
ENSG00000046889,578
ENSG00000047056,2151
ENSG00000047188,1628
ENSG00000047230,2155
ENSG00000047249,1875
ENSG00000047315,4686
ENSG00000047346,1268
ENSG00000047365,1023
ENSG00000047410,10922
ENSG00000047457,1633
ENSG00000047578,1307
ENSG00000047579,1168
ENSG00000047597,652
ENSG00000047617,47
ENSG00000047621,1273
ENSG00000047634,859
ENSG00000047644,5044
ENSG00000047648,349
ENSG00000047662,6
ENSG00000047849,10950
ENSG00000047932,2736
ENSG00000047936,5
ENSG00000048028,2651
ENSG00000048052,1156
ENSG00000048140,2478
ENSG00000048162,1131
ENSG00000048342,292
ENSG00000048392,1521
ENSG00000048405,896
ENSG00000048462,79
ENSG00000048471,1672
ENSG00000048540,113
ENSG00000048544,2231
ENSG00000048545,8
ENSG00000048649,2714
ENSG00000048707,2644
ENSG00000048740,1650
ENSG00000048828,8335
ENSG00000048991,4001
ENSG00000049089,324
ENSG00000049130,1565
ENSG00000049167,272
ENSG00000049192,243
ENSG00000049239,3831
ENSG00000049245,6173
ENSG00000049246,577
ENSG00000049247,10
ENSG00000049249,258
ENSG00000049283,402
ENSG00000049323,4981
ENSG00000049449,9308
ENSG00000049540,1726
ENSG00000049541,1618
ENSG00000049618,2822
ENSG00000049656,6229
ENSG00000049759,1485
ENSG00000049768,861
ENSG00000049769,323
ENSG00000049860,5271
ENSG00000049883,360
ENSG00000050030,5
ENSG00000050130,1450
ENSG00000050165,1577
ENSG00000050327,805
ENSG00000050344,2765
ENSG00000050393,1446
ENSG00000050405,5796
ENSG00000050426,1191
ENSG00000050438,114
ENSG00000050555,91
