Gene stable ID,62407fba-fb7c-46cb-ab66-f2a49470a0e9
ENSG00000000003,2943
ENSG00000000005,23
ENSG00000000419,4172
ENSG00000000457,1983
ENSG00000000460,745
ENSG00000000938,2274
ENSG00000000971,2546
ENSG00000001036,5204
ENSG00000001084,3416
ENSG00000001167,6010
ENSG00000001460,1715
ENSG00000001461,10354
ENSG00000001497,5210
ENSG00000001561,529
ENSG00000001617,2125
ENSG00000001626,16
ENSG00000001629,6107
ENSG00000001630,73
ENSG00000001631,3020
ENSG00000002016,637
ENSG00000002079,32
ENSG00000002330,2681
ENSG00000002549,16175
ENSG00000002586,12714
ENSG00000002587,504
ENSG00000002726,337
ENSG00000002745,146
ENSG00000002746,14
ENSG00000002822,3298
ENSG00000002834,18495
ENSG00000002919,4873
ENSG00000002933,4884
ENSG00000003056,3929
ENSG00000003096,260
ENSG00000003137,2168
ENSG00000003147,3705
ENSG00000003249,4033
ENSG00000003393,1742
ENSG00000003400,1850
ENSG00000003402,14399
ENSG00000003436,2334
ENSG00000003509,2173
ENSG00000003756,8405
ENSG00000003987,214
ENSG00000003989,1220
ENSG00000004059,17236
ENSG00000004139,278
ENSG00000004142,12585
ENSG00000004399,9221
ENSG00000004455,19886
ENSG00000004468,3345
ENSG00000004478,18787
ENSG00000004487,6726
ENSG00000004534,13911
ENSG00000004660,648
ENSG00000004700,911
ENSG00000004766,2358
ENSG00000004776,1797
ENSG00000004777,1435
ENSG00000004779,10008
ENSG00000004799,1996
ENSG00000004809,10
ENSG00000004838,112
ENSG00000004846,7
ENSG00000004848,27
ENSG00000004864,1572
ENSG00000004866,1416
ENSG00000004897,7533
ENSG00000004939,6
ENSG00000004948,13
ENSG00000004961,2935
ENSG00000004975,2404
ENSG00000005001,789
ENSG00000005007,11468
ENSG00000005020,2514
ENSG00000005022,22303
ENSG00000005059,7649
ENSG00000005073,26
ENSG00000005075,5292
ENSG00000005100,2392
ENSG00000005102,668
ENSG00000005108,187
ENSG00000005156,2374
ENSG00000005175,2785
ENSG00000005187,729
ENSG00000005189,1096
ENSG00000005194,7037
ENSG00000005206,3403
ENSG00000005238,2070
ENSG00000005243,2092
ENSG00000005249,2872
ENSG00000005302,6796
ENSG00000005339,9831
ENSG00000005379,2088
ENSG00000005381,42
ENSG00000005421,333
ENSG00000005436,2533
ENSG00000005448,1068
ENSG00000005469,1018
ENSG00000005471,426
ENSG00000005483,9329
ENSG00000005486,13099
ENSG00000005513,17926
ENSG00000005700,3990
ENSG00000005801,5079
ENSG00000005810,7892
ENSG00000005812,4529
ENSG00000005844,13659
ENSG00000005882,1941
ENSG00000005884,5675
ENSG00000005889,3099
ENSG00000005893,11601
ENSG00000005961,22
ENSG00000005981,30
ENSG00000006007,7633
ENSG00000006015,2196
ENSG00000006016,645
ENSG00000006025,1931
ENSG00000006042,3808
ENSG00000006047,740
ENSG00000006059,0
ENSG00000006062,3337
ENSG00000006071,11
ENSG00000006116,32
ENSG00000006118,9829
ENSG00000006125,16736
ENSG00000006128,0
ENSG00000006194,6206
ENSG00000006210,9102
ENSG00000006282,3480
ENSG00000006283,23
ENSG00000006327,4348
ENSG00000006377,938
ENSG00000006432,653
ENSG00000006451,8075
ENSG00000006453,3313
ENSG00000006459,2919
ENSG00000006468,507
ENSG00000006530,5691
ENSG00000006534,2456
ENSG00000006555,2265
ENSG00000006576,4342
ENSG00000006606,67
ENSG00000006607,1895
ENSG00000006611,108
ENSG00000006625,11826
ENSG00000006634,3029
ENSG00000006638,314
ENSG00000006652,6553
ENSG00000006659,15
ENSG00000006695,1522
ENSG00000006704,4452
ENSG00000006712,7217
ENSG00000006715,3412
ENSG00000006740,433
ENSG00000006744,5931
ENSG00000006747,933
ENSG00000006756,5583
ENSG00000006757,1101
ENSG00000006788,49
ENSG00000006831,12698
ENSG00000006837,76
ENSG00000007001,8
ENSG00000007038,5252
ENSG00000007047,4656
ENSG00000007062,2775
ENSG00000007080,4496
ENSG00000007129,660
ENSG00000007168,8229
ENSG00000007171,133
ENSG00000007174,11
ENSG00000007202,11120
ENSG00000007216,171
ENSG00000007237,1709
ENSG00000007255,2201
ENSG00000007264,1807
ENSG00000007306,0
ENSG00000007312,9323
ENSG00000007314,169
ENSG00000007341,1024
ENSG00000007350,51
ENSG00000007372,439
ENSG00000007376,4657
ENSG00000007384,4872
ENSG00000007392,8299
ENSG00000007402,221
ENSG00000007516,494
ENSG00000007520,7022
ENSG00000007541,3968
ENSG00000007545,2458
ENSG00000007866,3716
ENSG00000007908,598
ENSG00000007923,1411
ENSG00000007933,272
ENSG00000007944,4035
ENSG00000007952,178
ENSG00000007968,2326
ENSG00000008018,23453
ENSG00000008056,375
ENSG00000008083,3218
ENSG00000008086,1035
ENSG00000008118,39
ENSG00000008128,664
ENSG00000008130,4996
ENSG00000008196,175
ENSG00000008197,0
ENSG00000008226,137
ENSG00000008256,1854
ENSG00000008277,456
ENSG00000008282,8682
ENSG00000008283,18374
ENSG00000008294,7072
ENSG00000008300,448
ENSG00000008311,163
ENSG00000008323,1917
ENSG00000008324,4443
ENSG00000008382,2167
ENSG00000008394,10042
ENSG00000008405,866
ENSG00000008438,2
ENSG00000008441,14949
ENSG00000008513,11630
ENSG00000008516,662
ENSG00000008517,20632
ENSG00000008710,5154
ENSG00000008735,3976
ENSG00000008838,7102
ENSG00000008853,2300
ENSG00000008869,3540
ENSG00000008952,18213
ENSG00000008988,189824
ENSG00000009307,39912
ENSG00000009335,7563
ENSG00000009413,1958
ENSG00000009694,119
ENSG00000009709,0
ENSG00000009724,26
ENSG00000009765,5
ENSG00000009780,1959
ENSG00000009790,7874
ENSG00000009830,1579
ENSG00000009844,6693
ENSG00000009950,42
ENSG00000009954,12769
ENSG00000010017,7076
ENSG00000010030,2372
ENSG00000010072,1769
ENSG00000010165,3777
ENSG00000010219,5507
ENSG00000010244,12108
ENSG00000010256,25322
ENSG00000010270,2451
ENSG00000010278,37467
ENSG00000010282,0
ENSG00000010292,21749
ENSG00000010295,1859
ENSG00000010310,162
ENSG00000010318,286
ENSG00000010319,1318
ENSG00000010322,8123
ENSG00000010327,3346
ENSG00000010361,1278
ENSG00000010379,7
ENSG00000010404,8538
ENSG00000010438,86
ENSG00000010539,1581
ENSG00000010610,19198
ENSG00000010626,927
ENSG00000010671,3648
ENSG00000010704,1212
ENSG00000010803,6029
ENSG00000010810,9791
ENSG00000010818,4030
ENSG00000010932,737
ENSG00000011007,8513
ENSG00000011009,10985
ENSG00000011021,975
ENSG00000011028,11326
ENSG00000011052,81
ENSG00000011083,6
ENSG00000011105,4095
ENSG00000011114,1753
ENSG00000011132,1772
ENSG00000011143,1681
ENSG00000011198,880
ENSG00000011201,152
ENSG00000011243,5101
ENSG00000011258,4259
ENSG00000011260,4928
ENSG00000011275,5653
ENSG00000011295,4595
ENSG00000011304,23836
ENSG00000011332,137
ENSG00000011347,1622
ENSG00000011376,2362
ENSG00000011405,4006
ENSG00000011422,3683
ENSG00000011426,4973
ENSG00000011451,4788
ENSG00000011454,4046
ENSG00000011465,14943
ENSG00000011478,2748
ENSG00000011485,7138
ENSG00000011523,2230
ENSG00000011566,2127
ENSG00000011590,647
ENSG00000011600,10018
ENSG00000011638,4050
ENSG00000011677,50
ENSG00000012048,1341
ENSG00000012061,7033
ENSG00000012124,10228
ENSG00000012171,247
ENSG00000012174,1156
ENSG00000012211,925
ENSG00000012223,30609
ENSG00000012232,3311
ENSG00000012504,4
ENSG00000012660,8647
ENSG00000012779,3293
ENSG00000012817,0
ENSG00000012822,5155
ENSG00000012963,4155
ENSG00000012983,4198
ENSG00000013016,1295
ENSG00000013275,10934
ENSG00000013288,5831
ENSG00000013293,23
ENSG00000013297,846
ENSG00000013306,18850
ENSG00000013364,13557
ENSG00000013374,12949
ENSG00000013375,4309
ENSG00000013392,787
ENSG00000013441,14744
ENSG00000013503,789
ENSG00000013523,1941
ENSG00000013561,3300
ENSG00000013563,1127
ENSG00000013573,2910
ENSG00000013583,5535
ENSG00000013588,41478
ENSG00000013619,1112
ENSG00000013725,7394
ENSG00000013810,9299
ENSG00000014123,2834
ENSG00000014138,3478
ENSG00000014164,3293
ENSG00000014216,13631
ENSG00000014257,56
ENSG00000014641,26686
ENSG00000014824,7205
ENSG00000014914,515
ENSG00000014919,3464
ENSG00000015133,6857
ENSG00000015153,2649
