Gene stable ID,c6248ff5-dd7d-4c82-8c67-b32e60eef2f3
ENSG00000000003,5852
ENSG00000000005,52
ENSG00000000419,3264
ENSG00000000457,1574
ENSG00000000460,1617
ENSG00000000938,1016
ENSG00000000971,4873
ENSG00000001036,4602
ENSG00000001084,9678
ENSG00000001167,24185
ENSG00000001460,1792
ENSG00000001461,4275
ENSG00000001497,4513
ENSG00000001561,9901
ENSG00000001617,6257
ENSG00000001626,12
ENSG00000001629,8855
ENSG00000001630,314
ENSG00000001631,2567
ENSG00000002016,522
ENSG00000002079,4
ENSG00000002330,2719
ENSG00000002549,6696
ENSG00000002586,32711
ENSG00000002587,213
ENSG00000002726,77
ENSG00000002745,11
ENSG00000002746,69
ENSG00000002822,3013
ENSG00000002834,31062
ENSG00000002919,2589
ENSG00000002933,3264
ENSG00000003056,3639
ENSG00000003096,151
ENSG00000003137,321
ENSG00000003147,3661
ENSG00000003249,8253
ENSG00000003393,2466
ENSG00000003400,1013
ENSG00000003402,8398
ENSG00000003436,1163
ENSG00000003509,1383
ENSG00000003756,5602
ENSG00000003987,66
ENSG00000003989,373
ENSG00000004059,13796
ENSG00000004139,465
ENSG00000004142,9478
ENSG00000004399,12892
ENSG00000004455,5714
ENSG00000004468,814
ENSG00000004478,11762
ENSG00000004487,8949
ENSG00000004534,8470
ENSG00000004660,1365
ENSG00000004700,2821
ENSG00000004766,2776
ENSG00000004776,296
ENSG00000004777,1264
ENSG00000004779,5480
ENSG00000004799,572
ENSG00000004809,5
ENSG00000004838,359
ENSG00000004846,11
ENSG00000004848,11
ENSG00000004864,3766
ENSG00000004866,1939
ENSG00000004897,6558
ENSG00000004939,0
ENSG00000004948,12
ENSG00000004961,1741
ENSG00000004975,2572
ENSG00000005001,2692
ENSG00000005007,9000
ENSG00000005020,5898
ENSG00000005022,17233
ENSG00000005059,4126
ENSG00000005073,89
ENSG00000005075,2344
ENSG00000005100,2487
ENSG00000005102,137
ENSG00000005108,615
ENSG00000005156,6927
ENSG00000005175,2054
ENSG00000005187,968
ENSG00000005189,724
ENSG00000005194,3552
ENSG00000005206,3180
ENSG00000005238,4272
ENSG00000005243,1371
ENSG00000005249,231
ENSG00000005302,4741
ENSG00000005339,9483
ENSG00000005379,2341
ENSG00000005381,8
ENSG00000005421,2
ENSG00000005436,1624
ENSG00000005448,702
ENSG00000005469,786
ENSG00000005471,143
ENSG00000005483,7539
ENSG00000005486,7367
ENSG00000005513,1288
ENSG00000005700,4018
ENSG00000005801,1256
ENSG00000005810,6227
ENSG00000005812,4232
ENSG00000005844,1883
ENSG00000005882,1642
ENSG00000005884,2851
ENSG00000005889,2332
ENSG00000005893,30868
ENSG00000005961,39
ENSG00000005981,8
ENSG00000006007,6455
ENSG00000006015,1130
ENSG00000006016,2201
ENSG00000006025,538
ENSG00000006042,8109
ENSG00000006047,2060
ENSG00000006059,1
ENSG00000006062,1501
ENSG00000006071,3
ENSG00000006116,0
ENSG00000006118,20137
ENSG00000006125,34878
ENSG00000006128,11
ENSG00000006194,2893
ENSG00000006210,1993
ENSG00000006282,1039
ENSG00000006283,14
ENSG00000006327,6548
ENSG00000006377,4
ENSG00000006432,1866
ENSG00000006451,8517
ENSG00000006453,6187
ENSG00000006459,2990
ENSG00000006468,2064
ENSG00000006530,2572
ENSG00000006534,2668
ENSG00000006555,71
ENSG00000006576,4535
ENSG00000006606,20
ENSG00000006607,2969
ENSG00000006611,0
ENSG00000006625,7068
ENSG00000006634,1631
ENSG00000006638,416
ENSG00000006652,3725
ENSG00000006659,0
ENSG00000006695,1390
ENSG00000006704,3427
ENSG00000006712,5806
ENSG00000006715,5236
ENSG00000006740,347
ENSG00000006744,6758
ENSG00000006747,490
ENSG00000006756,8413
ENSG00000006757,971
ENSG00000006788,44
ENSG00000006831,5741
ENSG00000006837,41
ENSG00000007001,15
ENSG00000007038,2032
ENSG00000007047,3629
ENSG00000007062,17839
ENSG00000007080,3573
ENSG00000007129,89
ENSG00000007168,14114
ENSG00000007171,104
ENSG00000007174,14
ENSG00000007202,19072
ENSG00000007216,49
ENSG00000007237,4031
ENSG00000007255,1612
ENSG00000007264,250
ENSG00000007306,23
ENSG00000007312,427
ENSG00000007314,72
ENSG00000007341,633
ENSG00000007350,5
ENSG00000007372,3418
ENSG00000007376,1998
ENSG00000007384,5013
ENSG00000007392,2893
ENSG00000007402,112
ENSG00000007516,1037
ENSG00000007520,5917
ENSG00000007541,4838
ENSG00000007545,3511
ENSG00000007866,8564
ENSG00000007908,247
ENSG00000007923,2185
ENSG00000007933,1313
ENSG00000007944,2203
ENSG00000007952,84
ENSG00000007968,1080
ENSG00000008018,9838
ENSG00000008056,75
ENSG00000008083,6507
ENSG00000008086,2925
ENSG00000008118,34
ENSG00000008128,156
ENSG00000008130,4108
ENSG00000008196,50
ENSG00000008197,1
ENSG00000008226,78
ENSG00000008256,6687
ENSG00000008277,864
ENSG00000008282,12002
ENSG00000008283,17711
ENSG00000008294,14725
ENSG00000008300,547
ENSG00000008311,274
ENSG00000008323,2214
ENSG00000008324,1135
ENSG00000008382,2027
ENSG00000008394,13463
ENSG00000008405,2321
ENSG00000008438,0
ENSG00000008441,25699
ENSG00000008513,6986
ENSG00000008516,96
ENSG00000008517,3494
ENSG00000008710,9642
ENSG00000008735,27
ENSG00000008838,7447
ENSG00000008853,1076
ENSG00000008869,4761
ENSG00000008952,8537
ENSG00000008988,56125
ENSG00000009307,56182
ENSG00000009335,7784
ENSG00000009413,2150
ENSG00000009694,37
ENSG00000009709,2
ENSG00000009724,31
ENSG00000009765,1980
ENSG00000009780,1032
ENSG00000009790,906
ENSG00000009830,2037
ENSG00000009844,4866
ENSG00000009950,28
ENSG00000009954,15219
ENSG00000010017,7635
ENSG00000010030,178
ENSG00000010072,1188
ENSG00000010165,3487
ENSG00000010219,1033
ENSG00000010244,11326
ENSG00000010256,12725
ENSG00000010270,2003
ENSG00000010278,23459
ENSG00000010282,0
ENSG00000010292,5750
ENSG00000010295,1110
ENSG00000010310,53
ENSG00000010318,224
ENSG00000010319,1613
ENSG00000010322,7665
ENSG00000010327,5454
ENSG00000010361,793
ENSG00000010379,3
ENSG00000010404,8794
ENSG00000010438,7
ENSG00000010539,984
ENSG00000010610,6238
ENSG00000010626,379
ENSG00000010671,1021
ENSG00000010704,705
ENSG00000010803,4042
ENSG00000010810,4564
ENSG00000010818,4810
ENSG00000010932,477
ENSG00000011007,4179
ENSG00000011009,7581
ENSG00000011021,1218
ENSG00000011028,18801
ENSG00000011052,69
ENSG00000011083,11
ENSG00000011105,4011
ENSG00000011114,2641
ENSG00000011132,1000
ENSG00000011143,1390
ENSG00000011198,1815
ENSG00000011201,1030
ENSG00000011243,3009
ENSG00000011258,2061
ENSG00000011260,3794
ENSG00000011275,6369
ENSG00000011295,3569
ENSG00000011304,19719
ENSG00000011332,51
ENSG00000011347,7874
ENSG00000011376,2318
ENSG00000011405,3024
ENSG00000011422,5359
ENSG00000011426,4974
ENSG00000011451,5894
ENSG00000011454,6874
ENSG00000011465,57617
ENSG00000011478,1327
ENSG00000011485,5260
ENSG00000011523,3363
ENSG00000011566,1405
ENSG00000011590,43
ENSG00000011600,4015
ENSG00000011638,2977
ENSG00000011677,1337
ENSG00000012048,1895
ENSG00000012061,4793
ENSG00000012124,351
ENSG00000012171,933
ENSG00000012174,2123
ENSG00000012211,847
ENSG00000012223,2437
ENSG00000012232,6952
ENSG00000012504,0
ENSG00000012660,27538
ENSG00000012779,2108
ENSG00000012817,0
ENSG00000012822,5384
ENSG00000012963,2875
ENSG00000012983,5411
ENSG00000013016,1762
ENSG00000013275,6089
ENSG00000013288,6923
ENSG00000013293,4
ENSG00000013297,584
ENSG00000013306,20050
ENSG00000013364,8661
ENSG00000013374,6417
ENSG00000013375,6195
ENSG00000013392,859
ENSG00000013441,3942
ENSG00000013503,1055
ENSG00000013523,1583
ENSG00000013561,3941
ENSG00000013563,1173
ENSG00000013573,1096
ENSG00000013583,3797
ENSG00000013588,8747
ENSG00000013619,2897
ENSG00000013725,1518
ENSG00000013810,2825
ENSG00000014123,3537
ENSG00000014138,2049
ENSG00000014164,3373
ENSG00000014216,33644
ENSG00000014257,95
ENSG00000014641,20840
ENSG00000014824,5007
ENSG00000014914,4483
ENSG00000014919,1873
ENSG00000015133,2659
ENSG00000015153,1001
ENSG00000015171,14957
ENSG00000015285,821
ENSG00000015413,244
ENSG00000015475,1492
ENSG00000015479,344
ENSG00000015520,3
ENSG00000015532,3120
ENSG00000015568,2
ENSG00000015592,18
ENSG00000015676,10741
ENSG00000016082,21
ENSG00000016391,4224
ENSG00000016402,199
ENSG00000016490,0
ENSG00000016602,10
ENSG00000016864,4305
ENSG00000017260,10064
ENSG00000017427,129
ENSG00000017483,1090
ENSG00000017797,9605
ENSG00000018189,3423
ENSG00000018236,433
ENSG00000018280,1024
ENSG00000018408,11221
ENSG00000018510,1727
ENSG00000018607,1
ENSG00000018610,2719
ENSG00000018625,45
ENSG00000018699,2760
ENSG00000018869,184
ENSG00000019102,45
ENSG00000019144,7750
ENSG00000019169,1143
ENSG00000019186,40
ENSG00000019485,702
ENSG00000019505,32
ENSG00000019549,1299
ENSG00000019582,156977
ENSG00000019991,547
ENSG00000019995,1712
ENSG00000020129,3317
ENSG00000020181,4310
ENSG00000020219,2
ENSG00000020256,1929
ENSG00000020426,713
ENSG00000020577,3036
ENSG00000020633,1105
ENSG00000020922,2667
ENSG00000021300,21226
ENSG00000021355,2491
ENSG00000021461,3
ENSG00000021488,15
ENSG00000021574,2570
ENSG00000021645,160
ENSG00000021762,2466
ENSG00000021776,2986
ENSG00000021826,191
ENSG00000021852,1
ENSG00000022267,2826
ENSG00000022277,11128
