Gene stable ID,2a48f6e6-8c2d-4ce7-9afd-64da90dcbea6
ENSG00000000003,3474
ENSG00000000005,22
ENSG00000000419,1790
ENSG00000000457,2591
ENSG00000000460,948
ENSG00000000938,253
ENSG00000000971,1104
ENSG00000001036,1767
ENSG00000001084,1301
ENSG00000001167,4166
ENSG00000001460,1892
ENSG00000001461,7301
ENSG00000001497,3660
ENSG00000001561,1550
ENSG00000001617,15019
ENSG00000001626,778
ENSG00000001629,6717
ENSG00000001630,340
ENSG00000001631,3310
ENSG00000002016,669
ENSG00000002079,8
ENSG00000002330,1064
ENSG00000002549,6972
ENSG00000002586,6128
ENSG00000002587,65
ENSG00000002726,27
ENSG00000002745,0
ENSG00000002746,14
ENSG00000002822,1818
ENSG00000002834,70612
ENSG00000002919,5339
ENSG00000002933,7642
ENSG00000003056,6007
ENSG00000003096,116
ENSG00000003137,386
ENSG00000003147,4711
ENSG00000003249,2508
ENSG00000003393,2858
ENSG00000003400,259
ENSG00000003402,4165
ENSG00000003436,366
ENSG00000003509,677
ENSG00000003756,6886
ENSG00000003987,207
ENSG00000003989,80134
ENSG00000004059,6137
ENSG00000004139,1291
ENSG00000004142,9752
ENSG00000004399,7717
ENSG00000004455,9784
ENSG00000004468,109
ENSG00000004478,50462
ENSG00000004487,9541
ENSG00000004534,4531
ENSG00000004660,529
ENSG00000004700,1988
ENSG00000004766,2622
ENSG00000004776,199
ENSG00000004777,569
ENSG00000004779,2889
ENSG00000004799,1599
ENSG00000004809,3
ENSG00000004838,2840
ENSG00000004846,1
ENSG00000004848,72
ENSG00000004864,1627
ENSG00000004866,1900
ENSG00000004897,10145
ENSG00000004939,2
ENSG00000004948,4
ENSG00000004961,1337
ENSG00000004975,1422
ENSG00000005001,713
ENSG00000005007,14178
ENSG00000005020,1033
ENSG00000005022,8882
ENSG00000005059,642
ENSG00000005073,4
ENSG00000005075,1270
ENSG00000005100,1366
ENSG00000005102,133
ENSG00000005108,186
ENSG00000005156,6861
ENSG00000005175,3214
ENSG00000005187,95
ENSG00000005189,852
ENSG00000005194,1844
ENSG00000005206,2221
ENSG00000005238,1162
ENSG00000005243,200
ENSG00000005249,2221
ENSG00000005302,887
ENSG00000005339,14202
ENSG00000005379,1581
ENSG00000005381,73
ENSG00000005421,3
ENSG00000005436,1909
ENSG00000005448,1692
ENSG00000005469,1386
ENSG00000005471,229
ENSG00000005483,8153
ENSG00000005486,8741
ENSG00000005513,18
ENSG00000005700,9371
ENSG00000005801,1493
ENSG00000005810,4623
ENSG00000005812,4702
ENSG00000005844,661
ENSG00000005882,2950
ENSG00000005884,8133
ENSG00000005889,8986
ENSG00000005893,11899
ENSG00000005961,75
ENSG00000005981,2
ENSG00000006007,10199
ENSG00000006015,74
ENSG00000006016,40
ENSG00000006025,494
ENSG00000006042,1827
ENSG00000006047,529
ENSG00000006059,6
ENSG00000006062,1066
ENSG00000006071,419
ENSG00000006116,0
ENSG00000006118,11888
ENSG00000006125,76440
ENSG00000006128,1
ENSG00000006194,2940
ENSG00000006210,519
ENSG00000006282,4769
ENSG00000006283,76
ENSG00000006327,691
ENSG00000006377,1
ENSG00000006432,2287
ENSG00000006451,4439
ENSG00000006453,4057
ENSG00000006459,3342
ENSG00000006468,203
ENSG00000006530,2618
ENSG00000006534,1732
ENSG00000006555,1096
ENSG00000006576,4847
ENSG00000006606,9
ENSG00000006607,3679
ENSG00000006611,66
ENSG00000006625,2588
ENSG00000006634,732
ENSG00000006638,145
ENSG00000006652,907
ENSG00000006659,0
ENSG00000006695,699
ENSG00000006704,2784
ENSG00000006712,6121
ENSG00000006715,5580
ENSG00000006740,110
ENSG00000006744,2298
ENSG00000006747,195
ENSG00000006756,14113
ENSG00000006757,3064
ENSG00000006788,7
ENSG00000006831,13772
ENSG00000006837,66
ENSG00000007001,6
ENSG00000007038,95
ENSG00000007047,3746
ENSG00000007062,53
ENSG00000007080,1853
ENSG00000007129,292
ENSG00000007168,10001
ENSG00000007171,39
ENSG00000007174,7
ENSG00000007202,37086
ENSG00000007216,299
ENSG00000007237,794
ENSG00000007255,2313
ENSG00000007264,48
ENSG00000007306,90
ENSG00000007312,88
ENSG00000007314,66
ENSG00000007341,861
ENSG00000007350,2
ENSG00000007372,144
ENSG00000007376,1433
ENSG00000007384,2900
ENSG00000007392,1942
ENSG00000007402,5146
ENSG00000007516,102
ENSG00000007520,1584
ENSG00000007541,4737
ENSG00000007545,2367
ENSG00000007866,1502
ENSG00000007908,221
ENSG00000007923,2920
ENSG00000007933,37
ENSG00000007944,5185
ENSG00000007952,62
ENSG00000007968,920
ENSG00000008018,7847
ENSG00000008056,101
ENSG00000008083,3180
ENSG00000008086,3073
ENSG00000008118,23
ENSG00000008128,299
ENSG00000008130,4285
ENSG00000008196,5
ENSG00000008197,0
ENSG00000008226,55
ENSG00000008256,2453
ENSG00000008277,762
ENSG00000008282,10199
ENSG00000008283,27602
ENSG00000008294,12979
ENSG00000008300,625
ENSG00000008311,494
ENSG00000008323,969
ENSG00000008324,862
ENSG00000008382,970
ENSG00000008394,1720
ENSG00000008405,1347
ENSG00000008438,5
ENSG00000008441,5478
ENSG00000008513,34992
ENSG00000008516,712
ENSG00000008517,608
ENSG00000008710,3336
ENSG00000008735,2996
ENSG00000008838,9531
ENSG00000008853,993
ENSG00000008869,7931
ENSG00000008952,10706
ENSG00000008988,18386
ENSG00000009307,60882
ENSG00000009335,13747
ENSG00000009413,2451
ENSG00000009694,159
ENSG00000009709,2
ENSG00000009724,94
ENSG00000009765,0
ENSG00000009780,1363
ENSG00000009790,148
ENSG00000009830,3162
ENSG00000009844,2111
ENSG00000009950,141
ENSG00000009954,14445
ENSG00000010017,6705
ENSG00000010030,99
ENSG00000010072,724
ENSG00000010165,4129
ENSG00000010219,785
ENSG00000010244,11352
ENSG00000010256,7247
ENSG00000010270,1387
ENSG00000010278,29464
ENSG00000010282,0
ENSG00000010292,7661
ENSG00000010295,194
ENSG00000010310,199
ENSG00000010318,541
ENSG00000010319,1234
ENSG00000010322,9480
ENSG00000010327,1822
ENSG00000010361,2241
ENSG00000010379,6
ENSG00000010404,8612
ENSG00000010438,5
ENSG00000010539,420
ENSG00000010610,1436
ENSG00000010626,539
ENSG00000010671,234
ENSG00000010704,1263
ENSG00000010803,3789
ENSG00000010810,735
ENSG00000010818,1424
ENSG00000010932,98
ENSG00000011007,6671
ENSG00000011009,4446
ENSG00000011021,1818
ENSG00000011028,2340
ENSG00000011052,96
ENSG00000011083,3
ENSG00000011105,7613
ENSG00000011114,4428
ENSG00000011132,574
ENSG00000011143,1954
ENSG00000011198,1897
ENSG00000011201,1433
ENSG00000011243,3361
ENSG00000011258,3647
ENSG00000011260,5485
ENSG00000011275,6044
ENSG00000011295,4476
ENSG00000011304,19560
ENSG00000011332,44
ENSG00000011347,6584
ENSG00000011376,2200
ENSG00000011405,8898
ENSG00000011422,706
ENSG00000011426,3295
ENSG00000011451,5936
ENSG00000011454,9775
ENSG00000011465,10353
ENSG00000011478,673
ENSG00000011485,4907
ENSG00000011523,4082
ENSG00000011566,3666
ENSG00000011590,48
ENSG00000011600,761
ENSG00000011638,1819
ENSG00000011677,2
ENSG00000012048,3766
ENSG00000012061,2884
ENSG00000012124,733
ENSG00000012171,1505
ENSG00000012174,3937
ENSG00000012211,607
ENSG00000012223,808
ENSG00000012232,2571
ENSG00000012504,0
ENSG00000012660,28025
ENSG00000012779,390
ENSG00000012817,0
ENSG00000012822,7351
ENSG00000012963,6535
ENSG00000012983,3400
ENSG00000013016,1336
ENSG00000013275,4692
ENSG00000013288,5737
ENSG00000013293,0
ENSG00000013297,89
ENSG00000013306,10482
ENSG00000013364,5714
ENSG00000013374,6384
ENSG00000013375,4085
ENSG00000013392,927
ENSG00000013441,6872
ENSG00000013503,661
ENSG00000013523,3993
ENSG00000013561,7376
ENSG00000013563,1460
ENSG00000013573,2373
ENSG00000013583,4471
ENSG00000013588,30285
ENSG00000013619,291
ENSG00000013725,147
ENSG00000013810,3347
ENSG00000014123,4674
ENSG00000014138,1096
ENSG00000014164,3002
ENSG00000014216,9052
ENSG00000014257,75
ENSG00000014641,8526
ENSG00000014824,6761
ENSG00000014914,621
ENSG00000014919,4336
ENSG00000015133,9383
ENSG00000015153,956
ENSG00000015171,10149
ENSG00000015285,188
ENSG00000015413,50
ENSG00000015475,1214
ENSG00000015479,687
ENSG00000015520,426
ENSG00000015532,3990
ENSG00000015568,0
ENSG00000015592,8
ENSG00000015676,11355
ENSG00000016082,0
ENSG00000016391,3519
ENSG00000016402,1463
ENSG00000016490,0
ENSG00000016602,1
ENSG00000016864,4623
ENSG00000017260,11597
ENSG00000017427,102
ENSG00000017483,75
ENSG00000017797,9632
ENSG00000018189,1652
ENSG00000018236,237
ENSG00000018280,161
ENSG00000018408,2143
ENSG00000018510,14014
ENSG00000018607,1
ENSG00000018610,1745
ENSG00000018625,183
ENSG00000018699,2344
ENSG00000018869,388
ENSG00000019102,20
ENSG00000019144,2516
ENSG00000019169,203
ENSG00000019186,1
ENSG00000019485,555
ENSG00000019505,1428
ENSG00000019549,346
ENSG00000019582,27251
ENSG00000019991,84
ENSG00000019995,3004
ENSG00000020129,6881
ENSG00000020181,2801
ENSG00000020219,1
ENSG00000020256,888
ENSG00000020426,1967
ENSG00000020577,310
ENSG00000020633,191
ENSG00000020922,1594
ENSG00000021300,1716
ENSG00000021355,4447
ENSG00000021461,2
ENSG00000021488,18
ENSG00000021574,2430
ENSG00000021645,231
ENSG00000021762,4064
ENSG00000021776,5976
ENSG00000021826,436
ENSG00000021852,0
ENSG00000022267,1215
ENSG00000022277,4851
ENSG00000022355,0
ENSG00000022556,2
ENSG00000022567,2020
ENSG00000022840,12822
ENSG00000022976,1047
ENSG00000023041,3585
ENSG00000023171,45
ENSG00000023191,9603
ENSG00000023228,10012
ENSG00000023287,12257
ENSG00000023318,3629
ENSG00000023330,2710
ENSG00000023445,481
ENSG00000023516,7757
ENSG00000023572,446
ENSG00000023608,540
ENSG00000023697,1118
ENSG00000023734,10813
ENSG00000023839,10
ENSG00000023892,872
ENSG00000023902,1915
ENSG00000023909,1588
ENSG00000024048,5947
ENSG00000024422,2036
ENSG00000024526,1349
ENSG00000024862,1672
ENSG00000025039,1154
ENSG00000025156,1616
ENSG00000025293,8035
ENSG00000025423,96
ENSG00000025434,465
ENSG00000025708,1767
ENSG00000025770,1520
ENSG00000025772,3286
ENSG00000025796,12563
ENSG00000025800,11313
ENSG00000026025,43693
ENSG00000026036,90
ENSG00000026103,259
ENSG00000026297,1548
ENSG00000026508,11723
ENSG00000026559,7
ENSG00000026652,136
ENSG00000026751,262
ENSG00000026950,985
ENSG00000027001,1571
ENSG00000027075,1467
ENSG00000027644,8
ENSG00000027697,2709
ENSG00000027847,1279
ENSG00000027869,46
ENSG00000028116,1126
ENSG00000028137,998
ENSG00000028203,5441
ENSG00000028277,169
ENSG00000028310,2011
ENSG00000028528,10303
ENSG00000028839,750
ENSG00000029153,772
ENSG00000029363,14601
ENSG00000029364,16338
ENSG00000029534,366
ENSG00000029559,105
ENSG00000029639,238
ENSG00000029725,18061
ENSG00000029993,1954
ENSG00000030066,2347
ENSG00000030110,1068
ENSG00000030304,0
ENSG00000030419,634
ENSG00000030582,18856
ENSG00000031003,2915
ENSG00000031081,1064
ENSG00000031691,673
ENSG00000031698,13218
ENSG00000031823,4887
ENSG00000032219,2526
ENSG00000032389,1578
ENSG00000032444,3435
ENSG00000032742,2419
ENSG00000033011,1437
ENSG00000033030,1846
ENSG00000033050,4593
ENSG00000033100,2757
ENSG00000033122,33
ENSG00000033170,9938
ENSG00000033178,4018
ENSG00000033327,3927
ENSG00000033627,8850
ENSG00000033800,4420
ENSG00000033867,1786
ENSG00000034053,36
ENSG00000034152,1179
ENSG00000034239,3
ENSG00000034510,13713
ENSG00000034533,441
ENSG00000034677,11086
ENSG00000034693,523
ENSG00000034713,4709
ENSG00000034971,4
ENSG00000035115,3505
ENSG00000035141,1371
ENSG00000035403,23518
ENSG00000035499,635
ENSG00000035664,592
ENSG00000035681,2306
ENSG00000035687,5509
ENSG00000035720,22
ENSG00000035862,17223
ENSG00000035928,8467
ENSG00000036054,2724
ENSG00000036257,10459
ENSG00000036448,51
ENSG00000036473,3
ENSG00000036530,89
ENSG00000036549,4452
ENSG00000036565,1
ENSG00000036672,202
ENSG00000036828,0
ENSG00000037042,1715
ENSG00000037241,670
ENSG00000037280,603
ENSG00000037474,5941
ENSG00000037637,2931
ENSG00000037749,2868
ENSG00000037757,507
ENSG00000037897,1220
ENSG00000037965,405
ENSG00000038002,2906
ENSG00000038210,1051
ENSG00000038219,7551
ENSG00000038274,3521
ENSG00000038295,120
ENSG00000038358,4600
ENSG00000038382,12934
ENSG00000038427,7968
ENSG00000038532,2022
ENSG00000038945,1016
ENSG00000039068,28337
ENSG00000039123,6109
ENSG00000039139,6580
ENSG00000039319,3654
ENSG00000039523,5314
ENSG00000039537,238
ENSG00000039560,4933
ENSG00000039600,1
ENSG00000039650,1786
ENSG00000039987,3
ENSG00000040199,1158
ENSG00000040275,758
ENSG00000040341,5742
ENSG00000040487,1484
ENSG00000040531,812
ENSG00000040608,631
ENSG00000040633,1793
ENSG00000040731,0
ENSG00000040933,2632
ENSG00000041353,5818
ENSG00000041357,5921
ENSG00000041515,11
ENSG00000041802,4638
ENSG00000041880,1263
ENSG00000041982,5764
ENSG00000041988,855
ENSG00000042062,39760
ENSG00000042088,1584
ENSG00000042286,1537
ENSG00000042304,0
ENSG00000042317,554
ENSG00000042429,1252
ENSG00000042445,9925
ENSG00000042493,5371
ENSG00000042753,3930
ENSG00000042781,29
ENSG00000042813,0
ENSG00000042832,42
ENSG00000042980,1668
ENSG00000043039,9934
ENSG00000043093,2765
ENSG00000043143,5835
ENSG00000043355,0
ENSG00000043462,546
ENSG00000043514,1586
ENSG00000043591,1329
ENSG00000044012,0
ENSG00000044090,8075
ENSG00000044115,39966
ENSG00000044446,3320
ENSG00000044459,1066
ENSG00000044524,135
ENSG00000044574,45078
ENSG00000046604,11738
ENSG00000046647,1193
ENSG00000046651,1975
ENSG00000046653,103
ENSG00000046774,44
ENSG00000046889,281
ENSG00000047056,2534
ENSG00000047188,5271
ENSG00000047230,6149
ENSG00000047249,7608
ENSG00000047315,10421
ENSG00000047346,4366
ENSG00000047365,486
ENSG00000047410,24411
ENSG00000047457,51
ENSG00000047578,4654
ENSG00000047579,1028
ENSG00000047597,71
ENSG00000047617,145
ENSG00000047621,1551
ENSG00000047634,84
ENSG00000047644,2844
ENSG00000047648,150
ENSG00000047662,99
ENSG00000047849,20564
ENSG00000047932,3882
ENSG00000047936,0
ENSG00000048028,1023
ENSG00000048052,196
ENSG00000048140,1908
ENSG00000048162,726
ENSG00000048342,1493
ENSG00000048392,6395
ENSG00000048405,1874
ENSG00000048462,12
ENSG00000048471,2152
ENSG00000048540,146
ENSG00000048544,2996
ENSG00000048545,1
ENSG00000048649,4616
ENSG00000048707,11119
ENSG00000048740,585
ENSG00000048828,23158
ENSG00000048991,2953
ENSG00000049089,1437
ENSG00000049130,3185
ENSG00000049167,484
ENSG00000049192,70
ENSG00000049239,7965
ENSG00000049245,9077
ENSG00000049246,8976
ENSG00000049247,8
ENSG00000049249,55
ENSG00000049283,4555
ENSG00000049323,5105
ENSG00000049449,5239
ENSG00000049540,1166
ENSG00000049541,1880
ENSG00000049618,4659
ENSG00000049656,6996
ENSG00000049759,11359
ENSG00000049768,128
ENSG00000049769,607
ENSG00000049860,4618
ENSG00000049883,1520
ENSG00000050030,4
ENSG00000050130,5096
ENSG00000050165,2141
ENSG00000050327,2186
ENSG00000050344,227
ENSG00000050393,4519
ENSG00000050405,9527
ENSG00000050426,2670
ENSG00000050438,5111
ENSG00000050555,35
ENSG00000050628,4340
