Gene stable ID,4ee13efd-d94c-4a2f-a8db-3f94ed939902
ENSG00000000003,1044
ENSG00000000005,4
ENSG00000000419,3890
ENSG00000000457,3863
ENSG00000000460,1461
ENSG00000000938,518
ENSG00000000971,3889
ENSG00000001036,2797
ENSG00000001084,3816
ENSG00000001167,5179
ENSG00000001460,781
ENSG00000001461,4059
ENSG00000001497,3416
ENSG00000001561,6097
ENSG00000001617,11430
ENSG00000001626,34
ENSG00000001629,8893
ENSG00000001630,274
ENSG00000001631,3819
ENSG00000002016,1101
ENSG00000002079,8
ENSG00000002330,814
ENSG00000002549,12310
ENSG00000002586,9703
ENSG00000002587,442
ENSG00000002726,18
ENSG00000002745,1
ENSG00000002746,80
ENSG00000002822,950
ENSG00000002834,25986
ENSG00000002919,3267
ENSG00000002933,1139
ENSG00000003056,10737
ENSG00000003096,454
ENSG00000003137,101
ENSG00000003147,4012
ENSG00000003249,1337
ENSG00000003393,3366
ENSG00000003400,580
ENSG00000003402,8621
ENSG00000003436,1167
ENSG00000003509,890
ENSG00000003756,8722
ENSG00000003987,60
ENSG00000003989,28784
ENSG00000004059,5509
ENSG00000004139,338
ENSG00000004142,10528
ENSG00000004399,12812
ENSG00000004455,6389
ENSG00000004468,159
ENSG00000004478,40279
ENSG00000004487,8889
ENSG00000004534,6088
ENSG00000004660,1156
ENSG00000004700,3757
ENSG00000004766,4127
ENSG00000004776,177
ENSG00000004777,633
ENSG00000004779,3561
ENSG00000004799,3543
ENSG00000004809,8
ENSG00000004838,829
ENSG00000004846,28
ENSG00000004848,4
ENSG00000004864,1805
ENSG00000004866,2341
ENSG00000004897,9405
ENSG00000004939,2
ENSG00000004948,25
ENSG00000004961,1443
ENSG00000004975,3498
ENSG00000005001,632
ENSG00000005007,9266
ENSG00000005020,3141
ENSG00000005022,11611
ENSG00000005059,961
ENSG00000005073,16
ENSG00000005075,1376
ENSG00000005100,5095
ENSG00000005102,58
ENSG00000005108,444
ENSG00000005156,5066
ENSG00000005175,4795
ENSG00000005187,171
ENSG00000005189,447
ENSG00000005194,2043
ENSG00000005206,2042
ENSG00000005238,1068
ENSG00000005243,724
ENSG00000005249,3037
ENSG00000005302,1816
ENSG00000005339,19152
ENSG00000005379,1656
ENSG00000005381,10
ENSG00000005421,2
ENSG00000005436,2023
ENSG00000005448,699
ENSG00000005469,1002
ENSG00000005471,141
ENSG00000005483,11263
ENSG00000005486,4965
ENSG00000005513,14
ENSG00000005700,14173
ENSG00000005801,3114
ENSG00000005810,11029
ENSG00000005812,6802
ENSG00000005844,1591
ENSG00000005882,2646
ENSG00000005884,8013
ENSG00000005889,8916
ENSG00000005893,17255
ENSG00000005961,46
ENSG00000005981,4
ENSG00000006007,10768
ENSG00000006015,576
ENSG00000006016,226
ENSG00000006025,1432
ENSG00000006042,6669
ENSG00000006047,446
ENSG00000006059,5
ENSG00000006062,1500
ENSG00000006071,1041
ENSG00000006116,0
ENSG00000006118,6305
ENSG00000006125,34779
ENSG00000006128,38
ENSG00000006194,3823
ENSG00000006210,1571
ENSG00000006282,4342
ENSG00000006283,55
ENSG00000006327,1503
ENSG00000006377,1
ENSG00000006432,1126
ENSG00000006451,5067
ENSG00000006453,3829
ENSG00000006459,4639
ENSG00000006468,1706
ENSG00000006530,2510
ENSG00000006534,3190
ENSG00000006555,1488
ENSG00000006576,4359
ENSG00000006606,11
ENSG00000006607,5093
ENSG00000006611,13
ENSG00000006625,2803
ENSG00000006634,1090
ENSG00000006638,134
ENSG00000006652,2555
ENSG00000006659,1
ENSG00000006695,2408
ENSG00000006704,2909
ENSG00000006712,4360
ENSG00000006715,6806
ENSG00000006740,239
ENSG00000006744,7316
ENSG00000006747,242
ENSG00000006756,8832
ENSG00000006757,1944
ENSG00000006788,58
ENSG00000006831,36661
ENSG00000006837,94
ENSG00000007001,10
ENSG00000007038,244
ENSG00000007047,2303
ENSG00000007062,900
ENSG00000007080,1301
ENSG00000007129,63
ENSG00000007168,22182
ENSG00000007171,37
ENSG00000007174,14
ENSG00000007202,22628
ENSG00000007216,927
ENSG00000007237,4062
ENSG00000007255,880
ENSG00000007264,203
ENSG00000007306,23
ENSG00000007312,66
ENSG00000007314,103
ENSG00000007341,764
ENSG00000007350,3
ENSG00000007372,182
ENSG00000007376,1795
ENSG00000007384,3693
ENSG00000007392,4083
ENSG00000007402,1657
ENSG00000007516,2789
ENSG00000007520,2222
ENSG00000007541,4716
ENSG00000007545,2313
ENSG00000007866,3339
ENSG00000007908,183
ENSG00000007923,3057
ENSG00000007933,178
ENSG00000007944,5544
ENSG00000007952,84
ENSG00000007968,620
