Gene stable ID,ac333fd4-b9ac-4861-b994-152c765068b3
ENSG00000000003,3592
ENSG00000000005,1
ENSG00000000419,2308
ENSG00000000457,1655
ENSG00000000460,862
ENSG00000000938,693
ENSG00000000971,4096
ENSG00000001036,7089
ENSG00000001084,3414
ENSG00000001167,2398
ENSG00000001460,432
ENSG00000001461,1712
ENSG00000001497,2620
ENSG00000001561,2118
ENSG00000001617,7405
ENSG00000001626,11
ENSG00000001629,6210
ENSG00000001630,552
ENSG00000001631,1903
ENSG00000002016,360
ENSG00000002079,14
ENSG00000002330,2240
ENSG00000002549,5316
ENSG00000002586,24965
ENSG00000002587,453
ENSG00000002726,3821
ENSG00000002745,3
ENSG00000002746,82
ENSG00000002822,2100
ENSG00000002834,361523
ENSG00000002919,898
ENSG00000002933,2460
ENSG00000003056,3933
ENSG00000003096,292
ENSG00000003137,571
ENSG00000003147,3921
ENSG00000003249,4944
ENSG00000003393,2076
ENSG00000003400,393
ENSG00000003402,4800
ENSG00000003436,924
ENSG00000003509,841
ENSG00000003756,3919
ENSG00000003987,201
ENSG00000003989,29242
ENSG00000004059,9344
ENSG00000004139,938
ENSG00000004142,10427
ENSG00000004399,7861
ENSG00000004455,8067
ENSG00000004468,26
ENSG00000004478,24635
ENSG00000004487,4563
ENSG00000004534,3282
ENSG00000004660,917
ENSG00000004700,1916
ENSG00000004766,1654
ENSG00000004776,207
ENSG00000004777,367
ENSG00000004779,2855
ENSG00000004799,2105
ENSG00000004809,1
ENSG00000004838,588
ENSG00000004846,3
ENSG00000004848,21
ENSG00000004864,2549
ENSG00000004866,2971
ENSG00000004897,3625
ENSG00000004939,0
ENSG00000004948,20
ENSG00000004961,1468
ENSG00000004975,2899
ENSG00000005001,1129
ENSG00000005007,7307
ENSG00000005020,1453
ENSG00000005022,15420
ENSG00000005059,2731
ENSG00000005073,76
ENSG00000005075,1847
ENSG00000005100,1753
ENSG00000005102,22
ENSG00000005108,402
ENSG00000005156,1487
ENSG00000005175,2525
ENSG00000005187,103
ENSG00000005189,364
ENSG00000005194,1986
ENSG00000005206,1529
ENSG00000005238,2805
ENSG00000005243,1638
ENSG00000005249,3405
ENSG00000005302,1837
ENSG00000005339,6950
ENSG00000005379,1007
ENSG00000005381,1
ENSG00000005421,127
ENSG00000005436,1301
ENSG00000005448,576
ENSG00000005469,4098
ENSG00000005471,178
ENSG00000005483,7715
ENSG00000005486,7473
ENSG00000005513,39
ENSG00000005700,7686
ENSG00000005801,1253
ENSG00000005810,4521
ENSG00000005812,7526
ENSG00000005844,477
ENSG00000005882,1132
ENSG00000005884,15462
ENSG00000005889,2540
ENSG00000005893,18826
ENSG00000005961,31
ENSG00000005981,68
ENSG00000006007,7873
ENSG00000006015,976
ENSG00000006016,89
ENSG00000006025,462
ENSG00000006042,2721
ENSG00000006047,506
ENSG00000006059,0
ENSG00000006062,493
ENSG00000006071,1188
ENSG00000006116,1
ENSG00000006118,3976
ENSG00000006125,14443
ENSG00000006128,5
ENSG00000006194,1716
ENSG00000006210,1292
ENSG00000006282,3261
ENSG00000006283,30
ENSG00000006327,8159
ENSG00000006377,6
ENSG00000006432,961
ENSG00000006451,6020
ENSG00000006453,4890
ENSG00000006459,1581
ENSG00000006468,3150
ENSG00000006530,1822
ENSG00000006534,838
ENSG00000006555,1581
ENSG00000006576,2853
ENSG00000006606,22
ENSG00000006607,2250
ENSG00000006611,5
ENSG00000006625,5995
ENSG00000006634,907
ENSG00000006638,185
ENSG00000006652,1152
ENSG00000006659,5
ENSG00000006695,1123
ENSG00000006704,3249
ENSG00000006712,5729
ENSG00000006715,3814
ENSG00000006740,1687
ENSG00000006744,4313
ENSG00000006747,714
ENSG00000006756,3329
ENSG00000006757,843
ENSG00000006788,29
ENSG00000006831,10441
ENSG00000006837,44
ENSG00000007001,5
ENSG00000007038,564
ENSG00000007047,4301
ENSG00000007062,254
ENSG00000007080,2772
ENSG00000007129,71
ENSG00000007168,9619
ENSG00000007171,62
ENSG00000007174,16
ENSG00000007202,25890
ENSG00000007216,779
ENSG00000007237,2566
ENSG00000007255,846
ENSG00000007264,62
ENSG00000007306,104
ENSG00000007312,63
ENSG00000007314,47
ENSG00000007341,742
ENSG00000007350,0
ENSG00000007372,138
ENSG00000007376,1790
ENSG00000007384,4046
ENSG00000007392,2539
ENSG00000007402,2733
ENSG00000007516,1327
ENSG00000007520,2552
ENSG00000007541,3197
ENSG00000007545,1125
ENSG00000007866,2870
ENSG00000007908,179
ENSG00000007923,1237
ENSG00000007933,156
ENSG00000007944,1653
ENSG00000007952,107
ENSG00000007968,233
ENSG00000008018,7679
ENSG00000008056,157
ENSG00000008083,2473
ENSG00000008086,2144
ENSG00000008118,3
ENSG00000008128,40
ENSG00000008130,2638
ENSG00000008196,6277
ENSG00000008197,0
ENSG00000008226,22
ENSG00000008256,3688
ENSG00000008277,373
ENSG00000008282,8401
ENSG00000008283,26499
ENSG00000008294,4992
ENSG00000008300,338
ENSG00000008311,364
ENSG00000008323,1219
ENSG00000008324,1145
ENSG00000008382,764
ENSG00000008394,12384
ENSG00000008405,1918
ENSG00000008438,0
ENSG00000008441,4839
ENSG00000008513,7079
ENSG00000008516,70
ENSG00000008517,1069
ENSG00000008710,3644
ENSG00000008735,2143
ENSG00000008838,36419
ENSG00000008853,5025
ENSG00000008869,3214
ENSG00000008952,17014
ENSG00000008988,31117
ENSG00000009307,61790
ENSG00000009335,8084
ENSG00000009413,1570
ENSG00000009694,83
ENSG00000009709,0
ENSG00000009724,39
ENSG00000009765,583
ENSG00000009780,750
ENSG00000009790,302
ENSG00000009830,1006
ENSG00000009844,3590
ENSG00000009950,67
ENSG00000009954,10402
ENSG00000010017,5551
ENSG00000010030,82
ENSG00000010072,1286
ENSG00000010165,3402
ENSG00000010219,1477
ENSG00000010244,7639
ENSG00000010256,9898
ENSG00000010270,2120
ENSG00000010278,32878
ENSG00000010282,0
ENSG00000010292,4741
ENSG00000010295,664
ENSG00000010310,296
ENSG00000010318,182
ENSG00000010319,642
ENSG00000010322,5281
ENSG00000010327,3509
ENSG00000010361,930
ENSG00000010379,1
ENSG00000010404,20276
ENSG00000010438,1
ENSG00000010539,622
ENSG00000010610,3266
ENSG00000010626,708
ENSG00000010671,650
ENSG00000010704,2450
ENSG00000010803,4573
ENSG00000010810,1788
ENSG00000010818,4567
ENSG00000010932,611
ENSG00000011007,2517
ENSG00000011009,2650
ENSG00000011021,651
ENSG00000011028,17337
ENSG00000011052,17
ENSG00000011083,11
ENSG00000011105,6425
ENSG00000011114,3269
ENSG00000011132,843
ENSG00000011143,1449
ENSG00000011198,2294
ENSG00000011201,3260
ENSG00000011243,3226
ENSG00000011258,1299
ENSG00000011260,2521
ENSG00000011275,4066
ENSG00000011295,4633
ENSG00000011304,18358
ENSG00000011332,48
ENSG00000011347,4196
ENSG00000011376,1630
ENSG00000011405,6961
ENSG00000011422,4480
