Gene stable ID,58a93e4c-bc2c-4acc-9f9d-c1b268f8502c
ENSG00000000003,4596
ENSG00000000005,31
ENSG00000000419,3155
ENSG00000000457,4422
ENSG00000000460,871
ENSG00000000938,1311
ENSG00000000971,9602
ENSG00000001036,2775
ENSG00000001084,1552
ENSG00000001167,3339
ENSG00000001460,606
ENSG00000001461,2554
ENSG00000001497,2982
ENSG00000001561,3098
ENSG00000001617,7793
ENSG00000001626,56
ENSG00000001629,4908
ENSG00000001630,157
ENSG00000001631,3534
ENSG00000002016,997
ENSG00000002079,15
ENSG00000002330,1168
ENSG00000002549,9257
ENSG00000002586,9042
ENSG00000002587,469
ENSG00000002726,11
ENSG00000002745,8
ENSG00000002746,12
ENSG00000002822,1370
ENSG00000002834,13714
ENSG00000002919,1435
ENSG00000002933,1102
ENSG00000003056,4263
ENSG00000003096,867
ENSG00000003137,157
ENSG00000003147,8696
ENSG00000003249,1704
ENSG00000003393,1847
ENSG00000003400,1922
ENSG00000003402,12126
ENSG00000003436,3077
ENSG00000003509,823
ENSG00000003756,9469
ENSG00000003987,108
ENSG00000003989,9555
ENSG00000004059,9570
ENSG00000004139,379
ENSG00000004142,3814
ENSG00000004399,13630
ENSG00000004455,5884
ENSG00000004468,440
ENSG00000004478,14303
ENSG00000004487,4356
ENSG00000004534,5804
ENSG00000004660,1283
ENSG00000004700,2000
ENSG00000004766,5170
ENSG00000004776,1769
ENSG00000004777,984
ENSG00000004779,2872
ENSG00000004799,6988
ENSG00000004809,3
ENSG00000004838,272
ENSG00000004846,29
ENSG00000004848,13
ENSG00000004864,1612
ENSG00000004866,3574
ENSG00000004897,3945
ENSG00000004939,1
ENSG00000004948,12
ENSG00000004961,1513
ENSG00000004975,1682
ENSG00000005001,903
ENSG00000005007,9459
ENSG00000005020,3034
ENSG00000005022,12986
ENSG00000005059,1894
ENSG00000005073,34
ENSG00000005075,2538
ENSG00000005100,1453
ENSG00000005102,1441
ENSG00000005108,1920
ENSG00000005156,1955
ENSG00000005175,2492
ENSG00000005187,450
ENSG00000005189,1229
ENSG00000005194,1921
ENSG00000005206,2656
ENSG00000005238,1508
ENSG00000005243,941
ENSG00000005249,5411
ENSG00000005302,2209
ENSG00000005339,7890
ENSG00000005379,1022
ENSG00000005381,3
ENSG00000005421,2
ENSG00000005436,1618
ENSG00000005448,425
ENSG00000005469,2920
ENSG00000005471,140
ENSG00000005483,7757
ENSG00000005486,5622
ENSG00000005513,142
ENSG00000005700,4900
ENSG00000005801,2233
ENSG00000005810,6582
ENSG00000005812,9013
ENSG00000005844,1114
ENSG00000005882,1027
ENSG00000005884,4846
ENSG00000005889,4026
