Gene stable ID,0645ee3f-a0d8-4959-b674-3d5a10067c5f
ENSG00000000003,801
ENSG00000000005,0
ENSG00000000419,3329
ENSG00000000457,3480
ENSG00000000460,774
ENSG00000000938,132
ENSG00000000971,3946
ENSG00000001036,3970
ENSG00000001084,3711
ENSG00000001167,4752
ENSG00000001460,794
ENSG00000001461,4032
ENSG00000001497,3136
ENSG00000001561,6043
ENSG00000001617,9106
ENSG00000001626,5
ENSG00000001629,5355
ENSG00000001630,316
ENSG00000001631,2341
ENSG00000002016,643
ENSG00000002079,21
ENSG00000002330,1742
ENSG00000002549,13781
ENSG00000002586,8204
ENSG00000002587,336
ENSG00000002726,14
ENSG00000002745,1
ENSG00000002746,37
ENSG00000002822,847
ENSG00000002834,36805
ENSG00000002919,2620
ENSG00000002933,809
ENSG00000003056,6064
ENSG00000003096,44
ENSG00000003137,527
ENSG00000003147,6407
ENSG00000003249,1035
ENSG00000003393,1538
ENSG00000003400,511
ENSG00000003402,6029
ENSG00000003436,1075
ENSG00000003509,503
ENSG00000003756,6934
ENSG00000003987,101
ENSG00000003989,15948
ENSG00000004059,6417
ENSG00000004139,888
ENSG00000004142,7250
ENSG00000004399,9981
ENSG00000004455,7775
ENSG00000004468,50
ENSG00000004478,32136
ENSG00000004487,5193
ENSG00000004534,4497
ENSG00000004660,809
ENSG00000004700,1852
ENSG00000004766,2835
ENSG00000004776,154
ENSG00000004777,182
ENSG00000004779,2990
ENSG00000004799,450
ENSG00000004809,6
ENSG00000004838,789
ENSG00000004846,14
ENSG00000004848,0
ENSG00000004864,1330
ENSG00000004866,2632
ENSG00000004897,5521
ENSG00000004939,7
ENSG00000004948,7
ENSG00000004961,1252
ENSG00000004975,937
ENSG00000005001,744
ENSG00000005007,9601
ENSG00000005020,876
ENSG00000005022,11272
ENSG00000005059,1095
ENSG00000005073,62
ENSG00000005075,1334
ENSG00000005100,1186
ENSG00000005102,3
ENSG00000005108,102
ENSG00000005156,3828
ENSG00000005175,2857
ENSG00000005187,44
ENSG00000005189,414
ENSG00000005194,1699
ENSG00000005206,1995
ENSG00000005238,1501
ENSG00000005243,867
ENSG00000005249,5090
ENSG00000005302,1383
ENSG00000005339,9374
ENSG00000005379,501
ENSG00000005381,4
ENSG00000005421,4
ENSG00000005436,794
ENSG00000005448,422
ENSG00000005469,2320
ENSG00000005471,74
ENSG00000005483,7132
ENSG00000005486,6999
ENSG00000005513,27
ENSG00000005700,7400
ENSG00000005801,1883
ENSG00000005810,9368
ENSG00000005812,8289
ENSG00000005844,1222
ENSG00000005882,1633
ENSG00000005884,6042
ENSG00000005889,4124
ENSG00000005893,18102
ENSG00000005961,6
ENSG00000005981,4
ENSG00000006007,7753
ENSG00000006015,695
ENSG00000006016,149
ENSG00000006025,528
ENSG00000006042,2109
ENSG00000006047,51
ENSG00000006059,0
ENSG00000006062,1139
ENSG00000006071,119
ENSG00000006116,0
ENSG00000006118,2632
ENSG00000006125,29184
ENSG00000006128,17
ENSG00000006194,2657
ENSG00000006210,1166
ENSG00000006282,2443
ENSG00000006283,22
ENSG00000006327,1932
