Gene stable ID,ed6d9b3b-bab4-466b-9238-6febe47cd076
ENSG00000000003,570
ENSG00000000005,24
ENSG00000000419,603
ENSG00000000457,2349
ENSG00000000460,615
ENSG00000000938,120
ENSG00000000971,593
ENSG00000001036,991
ENSG00000001084,1821
ENSG00000001167,1984
ENSG00000001460,492
ENSG00000001461,930
ENSG00000001497,1779
ENSG00000001561,1656
ENSG00000001617,5385
ENSG00000001626,8
ENSG00000001629,2027
ENSG00000001630,322
ENSG00000001631,1122
ENSG00000002016,305
ENSG00000002079,9
ENSG00000002330,1364
ENSG00000002549,2528
ENSG00000002586,3767
ENSG00000002587,69
ENSG00000002726,11
ENSG00000002745,3
ENSG00000002746,8
ENSG00000002822,699
ENSG00000002834,14557
ENSG00000002919,498
ENSG00000002933,163
ENSG00000003056,1820
ENSG00000003096,152
ENSG00000003137,17
ENSG00000003147,1685
ENSG00000003249,376
ENSG00000003393,733
ENSG00000003400,216
ENSG00000003402,1934
ENSG00000003436,291
ENSG00000003509,399
ENSG00000003756,3766
ENSG00000003987,17
ENSG00000003989,8473
ENSG00000004059,4290
ENSG00000004139,201
ENSG00000004142,3043
ENSG00000004399,2177
ENSG00000004455,2938
ENSG00000004468,20
ENSG00000004478,9362
ENSG00000004487,3226
ENSG00000004534,2532
ENSG00000004660,612
ENSG00000004700,529
ENSG00000004766,1133
ENSG00000004776,177
ENSG00000004777,825
ENSG00000004779,1465
ENSG00000004799,2393
ENSG00000004809,1
ENSG00000004838,1081
ENSG00000004846,9
ENSG00000004848,3
ENSG00000004864,635
ENSG00000004866,702
ENSG00000004897,2137
ENSG00000004939,1
ENSG00000004948,4
ENSG00000004961,498
ENSG00000004975,1759
ENSG00000005001,843
ENSG00000005007,4551
ENSG00000005020,321
ENSG00000005022,4450
ENSG00000005059,383
ENSG00000005073,4
ENSG00000005075,936
ENSG00000005100,719
ENSG00000005102,278
ENSG00000005108,136
ENSG00000005156,2160
ENSG00000005175,1189
ENSG00000005187,171
ENSG00000005189,610
ENSG00000005194,640
ENSG00000005206,1533
ENSG00000005238,541
ENSG00000005243,187
ENSG00000005249,2825
ENSG00000005302,521
ENSG00000005339,8039
ENSG00000005379,1371
ENSG00000005381,0
ENSG00000005421,5
ENSG00000005436,682
ENSG00000005448,258
ENSG00000005469,1377
ENSG00000005471,34
ENSG00000005483,3431
ENSG00000005486,3086
ENSG00000005513,16
ENSG00000005700,1419
ENSG00000005801,460
ENSG00000005810,873
ENSG00000005812,1234
ENSG00000005844,514
ENSG00000005882,1082
ENSG00000005884,2093
ENSG00000005889,5131
ENSG00000005893,4919
ENSG00000005961,39
ENSG00000005981,1
ENSG00000006007,4803
ENSG00000006015,392
ENSG00000006016,103
ENSG00000006025,343
ENSG00000006042,4340
ENSG00000006047,642
ENSG00000006059,18
ENSG00000006062,454
ENSG00000006071,244
ENSG00000006116,0
ENSG00000006118,1876
ENSG00000006125,6304
ENSG00000006128,20
ENSG00000006194,2491
ENSG00000006210,1164
ENSG00000006282,1926
ENSG00000006283,85
ENSG00000006327,1710
ENSG00000006377,2
ENSG00000006432,348
ENSG00000006451,1770
ENSG00000006453,461
ENSG00000006459,744
ENSG00000006468,175
ENSG00000006530,835
ENSG00000006534,318
ENSG00000006555,138
ENSG00000006576,590
ENSG00000006606,5
ENSG00000006607,1275
ENSG00000006611,2
ENSG00000006625,1557
ENSG00000006634,365
ENSG00000006638,61
ENSG00000006652,428
ENSG00000006659,0
ENSG00000006695,471
ENSG00000006704,1220
ENSG00000006712,3250
ENSG00000006715,1594
ENSG00000006740,66
ENSG00000006744,2095
ENSG00000006747,42
ENSG00000006756,6004
ENSG00000006757,1659
ENSG00000006788,7
ENSG00000006831,1730
ENSG00000006837,40
ENSG00000007001,13
ENSG00000007038,2
ENSG00000007047,1147
ENSG00000007062,248
ENSG00000007080,1221
ENSG00000007129,13
ENSG00000007168,2992
ENSG00000007171,8
ENSG00000007174,26
ENSG00000007202,3000
ENSG00000007216,58
ENSG00000007237,593
ENSG00000007255,1129
ENSG00000007264,17
ENSG00000007306,14
ENSG00000007312,57
ENSG00000007314,30
ENSG00000007341,509
ENSG00000007350,2
ENSG00000007372,46
ENSG00000007376,1399
ENSG00000007384,3947
ENSG00000007392,1983
ENSG00000007402,932
ENSG00000007516,642
ENSG00000007520,2140
ENSG00000007541,3352
ENSG00000007545,829
ENSG00000007866,1686
ENSG00000007908,94
ENSG00000007923,771
ENSG00000007933,16
ENSG00000007944,2108
ENSG00000007952,57
ENSG00000007968,163
ENSG00000008018,1745
ENSG00000008056,24
ENSG00000008083,2519
ENSG00000008086,706
ENSG00000008118,8
ENSG00000008128,203
ENSG00000008130,1514
ENSG00000008196,5332
ENSG00000008197,0
ENSG00000008226,87
ENSG00000008256,533
ENSG00000008277,139
ENSG00000008282,5267
ENSG00000008283,5406
ENSG00000008294,2703
ENSG00000008300,55
ENSG00000008311,207
ENSG00000008323,696
ENSG00000008324,470
ENSG00000008382,692
ENSG00000008394,4885
ENSG00000008405,625
ENSG00000008438,3
ENSG00000008441,2483
ENSG00000008513,916
ENSG00000008516,40
ENSG00000008517,332
ENSG00000008710,1972
ENSG00000008735,1506
ENSG00000008838,2881
ENSG00000008853,714
ENSG00000008869,1831
ENSG00000008952,5443
ENSG00000008988,19859
ENSG00000009307,14925
ENSG00000009335,2689
ENSG00000009413,405
ENSG00000009694,9
ENSG00000009709,2
ENSG00000009724,9
ENSG00000009765,0
ENSG00000009780,472
ENSG00000009790,70
ENSG00000009830,580
ENSG00000009844,906
ENSG00000009950,80
ENSG00000009954,4078
ENSG00000010017,1766
ENSG00000010030,84
ENSG00000010072,455
ENSG00000010165,2382
ENSG00000010219,253
ENSG00000010244,3773
ENSG00000010256,4307
ENSG00000010270,596
ENSG00000010278,17176
ENSG00000010282,8
ENSG00000010292,2238
ENSG00000010295,164
ENSG00000010310,14
ENSG00000010318,214
ENSG00000010319,1324
ENSG00000010322,3395
ENSG00000010327,818
ENSG00000010361,1128
ENSG00000010379,4
ENSG00000010404,2549
ENSG00000010438,2
ENSG00000010539,495
ENSG00000010610,557
ENSG00000010626,468
ENSG00000010671,96
ENSG00000010704,857
ENSG00000010803,1608
ENSG00000010810,386
ENSG00000010818,199
ENSG00000010932,25
ENSG00000011007,1670
ENSG00000011009,1370
ENSG00000011021,500
ENSG00000011028,2089
ENSG00000011052,7
ENSG00000011083,1
ENSG00000011105,2811
ENSG00000011114,887
ENSG00000011132,450
ENSG00000011143,964
ENSG00000011198,642
ENSG00000011201,589
ENSG00000011243,1883
ENSG00000011258,1028
ENSG00000011260,1580
ENSG00000011275,1334
ENSG00000011295,1560
ENSG00000011304,9663
ENSG00000011332,15
ENSG00000011347,3854
ENSG00000011376,867
ENSG00000011405,1957
ENSG00000011422,260
ENSG00000011426,761
ENSG00000011451,1717
ENSG00000011454,2627
ENSG00000011465,5833
ENSG00000011478,532
ENSG00000011485,1634
ENSG00000011523,1426
ENSG00000011566,1908
ENSG00000011590,15
ENSG00000011600,610
ENSG00000011638,1065
ENSG00000011677,0
ENSG00000012048,651
ENSG00000012061,1846
ENSG00000012124,232
ENSG00000012171,5051
ENSG00000012174,1064
ENSG00000012211,269
ENSG00000012223,3070
ENSG00000012232,528
ENSG00000012504,0
ENSG00000012660,18673
ENSG00000012779,263
ENSG00000012817,0
ENSG00000012822,2985
ENSG00000012963,2049
ENSG00000012983,1656
ENSG00000013016,194
ENSG00000013275,1993
ENSG00000013288,3101
ENSG00000013293,2
ENSG00000013297,292
ENSG00000013306,3383
ENSG00000013364,8166
ENSG00000013374,2121
ENSG00000013375,520
ENSG00000013392,101
ENSG00000013441,3217
ENSG00000013503,288
ENSG00000013523,1122
ENSG00000013561,2491
ENSG00000013563,607
ENSG00000013573,659
ENSG00000013583,5303
ENSG00000013588,5634
ENSG00000013619,106
ENSG00000013725,101
ENSG00000013810,1217
ENSG00000014123,1268
ENSG00000014138,999
ENSG00000014164,1281
ENSG00000014216,7405
ENSG00000014257,78
ENSG00000014641,3430
ENSG00000014824,2526
ENSG00000014914,310
ENSG00000014919,1785
ENSG00000015133,3079
ENSG00000015153,506
ENSG00000015171,6158
ENSG00000015285,171
ENSG00000015413,60
ENSG00000015475,489
ENSG00000015479,253
ENSG00000015520,14
ENSG00000015532,1689
ENSG00000015568,0
ENSG00000015592,3
ENSG00000015676,3480
ENSG00000016082,5
ENSG00000016391,1463
ENSG00000016402,493
ENSG00000016490,0
ENSG00000016602,5
ENSG00000016864,1476
ENSG00000017260,3311
ENSG00000017427,40
ENSG00000017483,31
ENSG00000017797,5170
ENSG00000018189,926
ENSG00000018236,101
ENSG00000018280,110
ENSG00000018408,1513
ENSG00000018510,248
ENSG00000018607,0
ENSG00000018610,660
ENSG00000018625,132
ENSG00000018699,763
ENSG00000018869,134
ENSG00000019102,386
ENSG00000019144,1890
ENSG00000019169,2
ENSG00000019186,842
ENSG00000019485,235
ENSG00000019505,819
ENSG00000019549,167
ENSG00000019582,28610
ENSG00000019991,144
ENSG00000019995,800
ENSG00000020129,1826
ENSG00000020181,609
ENSG00000020219,1
ENSG00000020256,860
ENSG00000020426,648
ENSG00000020577,166
ENSG00000020633,138
ENSG00000020922,981
ENSG00000021300,536
ENSG00000021355,2834
ENSG00000021461,3
ENSG00000021488,24
ENSG00000021574,747
ENSG00000021645,487
ENSG00000021762,1303
ENSG00000021776,2325
ENSG00000021826,64
ENSG00000021852,1
ENSG00000022267,774
ENSG00000022277,2728
ENSG00000022355,1
ENSG00000022556,1
ENSG00000022567,238
ENSG00000022840,5385
ENSG00000022976,433
ENSG00000023041,933
ENSG00000023171,24
ENSG00000023191,4559
ENSG00000023228,3260
ENSG00000023287,3483
ENSG00000023318,1520
ENSG00000023330,1750
ENSG00000023445,495
ENSG00000023516,1021
ENSG00000023572,264
ENSG00000023608,180
ENSG00000023697,604
ENSG00000023734,2828
ENSG00000023839,15
ENSG00000023892,919
ENSG00000023902,754
ENSG00000023909,495
ENSG00000024048,2044
ENSG00000024422,2771
ENSG00000024526,564
ENSG00000024862,677
ENSG00000025039,91
ENSG00000025156,315
ENSG00000025293,2814
ENSG00000025423,78
ENSG00000025434,678
ENSG00000025708,2125
ENSG00000025770,1481
ENSG00000025772,912
ENSG00000025796,2300
ENSG00000025800,2854
ENSG00000026025,12316
