Gene stable ID,b9cc9d9a-33a0-4bed-90a0-23b3840d74ed
ENSG00000000003,5030
ENSG00000000005,2116
ENSG00000000419,1611
ENSG00000000457,1154
ENSG00000000460,252
ENSG00000000938,1536
ENSG00000000971,4695
ENSG00000001036,3930
ENSG00000001084,3217
ENSG00000001167,1645
ENSG00000001460,855
ENSG00000001461,2896
ENSG00000001497,2944
ENSG00000001561,1759
ENSG00000001617,3239
ENSG00000001626,56
ENSG00000001629,2429
ENSG00000001630,127
ENSG00000001631,1484
ENSG00000002016,375
ENSG00000002079,21
ENSG00000002330,2604
ENSG00000002549,6968
ENSG00000002586,20444
ENSG00000002587,369
ENSG00000002726,23
ENSG00000002745,6
ENSG00000002746,34
ENSG00000002822,1696
ENSG00000002834,23386
ENSG00000002919,1822
ENSG00000002933,2252
ENSG00000003056,3960
ENSG00000003096,2149
ENSG00000003137,1811
ENSG00000003147,2467
ENSG00000003249,817
ENSG00000003393,1229
ENSG00000003400,1181
ENSG00000003402,9341
ENSG00000003436,4747
ENSG00000003509,591
ENSG00000003756,5458
ENSG00000003987,78
ENSG00000003989,1778
ENSG00000004059,6689
ENSG00000004139,354
ENSG00000004142,7054
ENSG00000004399,16810
ENSG00000004455,6208
ENSG00000004468,437
ENSG00000004478,10775
ENSG00000004487,4335
ENSG00000004534,4987
ENSG00000004660,837
ENSG00000004700,1272
ENSG00000004766,1456
ENSG00000004776,15245
ENSG00000004777,268
ENSG00000004779,2790
ENSG00000004799,46348
ENSG00000004809,18
ENSG00000004838,373
ENSG00000004846,423
ENSG00000004848,19
ENSG00000004864,1081
ENSG00000004866,2052
ENSG00000004897,4136
ENSG00000004939,20
ENSG00000004948,29
ENSG00000004961,1201
ENSG00000004975,1863
ENSG00000005001,335
ENSG00000005007,7601
ENSG00000005020,4141
ENSG00000005022,12935
ENSG00000005059,1342
ENSG00000005073,38
ENSG00000005075,1533
ENSG00000005100,1130
ENSG00000005102,2330
ENSG00000005108,598
ENSG00000005156,1379
ENSG00000005175,1315
ENSG00000005187,1321
ENSG00000005189,400
ENSG00000005194,2235
ENSG00000005206,2467
ENSG00000005238,1659
ENSG00000005243,2486
ENSG00000005249,11910
ENSG00000005302,1598
ENSG00000005339,6086
ENSG00000005379,1027
ENSG00000005381,49
ENSG00000005421,20
ENSG00000005436,1163
ENSG00000005448,600
ENSG00000005469,1467
ENSG00000005471,89
ENSG00000005483,4071
ENSG00000005486,5569
ENSG00000005513,160
ENSG00000005700,3196
ENSG00000005801,963
ENSG00000005810,7223
ENSG00000005812,4856
ENSG00000005844,1634
ENSG00000005882,2627
ENSG00000005884,6245
ENSG00000005889,2591
ENSG00000005893,12370
ENSG00000005961,30
ENSG00000005981,18
ENSG00000006007,5693
ENSG00000006015,1221
ENSG00000006016,175
ENSG00000006025,490
ENSG00000006042,2709
ENSG00000006047,394
ENSG00000006059,13
ENSG00000006062,1104
ENSG00000006071,295
ENSG00000006116,0
ENSG00000006118,1536
ENSG00000006125,15362
ENSG00000006128,6
ENSG00000006194,2048
ENSG00000006210,19029
ENSG00000006282,4173
ENSG00000006283,178
ENSG00000006327,1605
ENSG00000006377,3
ENSG00000006432,620
ENSG00000006451,3366
ENSG00000006453,1038
ENSG00000006459,2135
ENSG00000006468,694
ENSG00000006530,1516
ENSG00000006534,1451
ENSG00000006555,496
ENSG00000006576,969
ENSG00000006606,46
ENSG00000006607,1486
ENSG00000006611,3
ENSG00000006625,2570
ENSG00000006634,342
ENSG00000006638,112
ENSG00000006652,1998
ENSG00000006659,0
ENSG00000006695,881
ENSG00000006704,1170
ENSG00000006712,5431
ENSG00000006715,2955
ENSG00000006740,488
ENSG00000006744,4925
