Gene stable ID,a1e49050-b025-476e-8727-7f801caa62ab
ENSG00000000003,3944
ENSG00000000005,2
ENSG00000000419,2708
ENSG00000000457,1524
ENSG00000000460,657
ENSG00000000938,422
ENSG00000000971,2747
ENSG00000001036,4024
ENSG00000001084,2673
ENSG00000001167,4720
ENSG00000001460,1418
ENSG00000001461,7065
ENSG00000001497,3153
ENSG00000001561,1753
ENSG00000001617,1331
ENSG00000001626,14
ENSG00000001629,6059
ENSG00000001630,378
ENSG00000001631,2351
ENSG00000002016,872
ENSG00000002079,23
ENSG00000002330,2554
ENSG00000002549,6757
ENSG00000002586,8724
ENSG00000002587,1301
ENSG00000002726,161
ENSG00000002745,101
ENSG00000002746,121
ENSG00000002822,1432
ENSG00000002834,10706
ENSG00000002919,2019
ENSG00000002933,939
ENSG00000003056,12882
ENSG00000003096,1473
ENSG00000003137,1278
ENSG00000003147,2163
ENSG00000003249,4779
ENSG00000003393,2637
ENSG00000003400,240
ENSG00000003402,8830
ENSG00000003436,704
ENSG00000003509,1223
ENSG00000003756,2970
ENSG00000003987,276
ENSG00000003989,1062
ENSG00000004059,10350
ENSG00000004139,333
ENSG00000004142,7101
ENSG00000004399,5674
ENSG00000004455,9485
ENSG00000004468,239
ENSG00000004478,29078
ENSG00000004487,5798
ENSG00000004534,3177
ENSG00000004660,471
ENSG00000004700,4130
ENSG00000004766,1409
ENSG00000004776,67
ENSG00000004777,589
ENSG00000004779,2387
ENSG00000004799,499
ENSG00000004809,140
ENSG00000004838,78
ENSG00000004846,1
ENSG00000004848,75
ENSG00000004864,2011
ENSG00000004866,1730
ENSG00000004897,5548
ENSG00000004939,12
ENSG00000004948,33
ENSG00000004961,2039
ENSG00000004975,1916
ENSG00000005001,543
ENSG00000005007,9232
ENSG00000005020,4261
ENSG00000005022,15610
ENSG00000005059,1716
ENSG00000005073,178
ENSG00000005075,2044
ENSG00000005100,2154
ENSG00000005102,40
ENSG00000005108,131
ENSG00000005156,3099
ENSG00000005175,1946
ENSG00000005187,95
ENSG00000005189,235
ENSG00000005194,3317
ENSG00000005206,2555
ENSG00000005238,669
ENSG00000005243,1523
ENSG00000005249,1484
ENSG00000005302,1806
ENSG00000005339,7093
ENSG00000005379,2887
ENSG00000005381,8
ENSG00000005421,16
ENSG00000005436,2628
ENSG00000005448,481
ENSG00000005469,948
ENSG00000005471,120
ENSG00000005483,6107
ENSG00000005486,4762
ENSG00000005513,2221
ENSG00000005700,4104
ENSG00000005801,1100
ENSG00000005810,4745
ENSG00000005812,3868
ENSG00000005844,413
ENSG00000005882,973
ENSG00000005884,4093
ENSG00000005889,2268
ENSG00000005893,45366
ENSG00000005961,73
ENSG00000005981,45
ENSG00000006007,5343
ENSG00000006015,1993
ENSG00000006016,340
ENSG00000006025,439
ENSG00000006042,3430
ENSG00000006047,659
ENSG00000006059,9
ENSG00000006062,1303
ENSG00000006071,1
ENSG00000006116,1
ENSG00000006118,10644
ENSG00000006125,16751
ENSG00000006128,2
ENSG00000006194,2311
ENSG00000006210,24931
ENSG00000006282,1145
ENSG00000006283,131
ENSG00000006327,4606
ENSG00000006377,544
ENSG00000006432,954
ENSG00000006451,5872
ENSG00000006453,3229
ENSG00000006459,2271
ENSG00000006468,530
ENSG00000006530,2842
ENSG00000006534,749
ENSG00000006555,2110
ENSG00000006576,1813
ENSG00000006606,21
ENSG00000006607,2011
ENSG00000006611,138
ENSG00000006625,3249
ENSG00000006634,1054
ENSG00000006638,135
ENSG00000006652,5233
ENSG00000006659,0
ENSG00000006695,1032
ENSG00000006704,2291
ENSG00000006712,3312
ENSG00000006715,3137
ENSG00000006740,291
ENSG00000006744,3655
ENSG00000006747,1150
ENSG00000006756,4952
ENSG00000006757,1090
ENSG00000006788,12
ENSG00000006831,12031
ENSG00000006837,45
ENSG00000007001,32
ENSG00000007038,2
ENSG00000007047,3128
ENSG00000007062,15514
ENSG00000007080,4429
ENSG00000007129,25
ENSG00000007168,11049
ENSG00000007171,130
ENSG00000007174,37
ENSG00000007202,11681
ENSG00000007216,6
ENSG00000007237,1643
ENSG00000007255,1851
ENSG00000007264,242
ENSG00000007306,0
ENSG00000007312,552
ENSG00000007314,13
ENSG00000007341,1327
ENSG00000007350,7
ENSG00000007372,1263
ENSG00000007376,1437
ENSG00000007384,5617
ENSG00000007392,1601
ENSG00000007402,78
ENSG00000007516,184
ENSG00000007520,3202
ENSG00000007541,2447
ENSG00000007545,1232
ENSG00000007866,2358
ENSG00000007908,311
ENSG00000007923,2315
ENSG00000007933,37
ENSG00000007944,943
ENSG00000007952,38
ENSG00000007968,689
