Gene stable ID,938d489d-2335-4f3b-a97a-9e9af031f865
ENSG00000000003,1608
ENSG00000000005,179
ENSG00000000419,905
ENSG00000000457,2387
ENSG00000000460,405
ENSG00000000938,388
ENSG00000000971,3315
ENSG00000001036,1625
ENSG00000001084,1751
ENSG00000001167,2100
ENSG00000001460,614
ENSG00000001461,2209
ENSG00000001497,1458
ENSG00000001561,2176
ENSG00000001617,3171
ENSG00000001626,30
ENSG00000001629,2972
ENSG00000001630,205
ENSG00000001631,1615
ENSG00000002016,616
ENSG00000002079,20
ENSG00000002330,967
ENSG00000002549,4461
ENSG00000002586,8187
ENSG00000002587,317
ENSG00000002726,23
ENSG00000002745,12
ENSG00000002746,17
ENSG00000002822,798
ENSG00000002834,16615
ENSG00000002919,964
ENSG00000002933,1136
ENSG00000003056,3176
ENSG00000003096,731
ENSG00000003137,238
ENSG00000003147,2559
ENSG00000003249,248
ENSG00000003393,1339
ENSG00000003400,840
ENSG00000003402,5941
ENSG00000003436,1415
ENSG00000003509,450
ENSG00000003756,5487
ENSG00000003987,66
ENSG00000003989,1370
ENSG00000004059,3292
ENSG00000004139,541
ENSG00000004142,2925
ENSG00000004399,7813
ENSG00000004455,3074
ENSG00000004468,125
ENSG00000004478,9452
ENSG00000004487,2890
ENSG00000004534,3589
ENSG00000004660,1000
ENSG00000004700,1269
ENSG00000004766,1558
ENSG00000004776,1296
ENSG00000004777,486
ENSG00000004779,960
ENSG00000004799,7545
ENSG00000004809,0
ENSG00000004838,353
ENSG00000004846,131
ENSG00000004848,4
ENSG00000004864,714
ENSG00000004866,1001
ENSG00000004897,3030
ENSG00000004939,1
ENSG00000004948,36
ENSG00000004961,554
ENSG00000004975,1360
ENSG00000005001,664
ENSG00000005007,5758
ENSG00000005020,1769
ENSG00000005022,5321
ENSG00000005059,950
ENSG00000005073,50
ENSG00000005075,792
ENSG00000005100,1110
ENSG00000005102,838
ENSG00000005108,784
ENSG00000005156,1469
ENSG00000005175,1389
ENSG00000005187,267
ENSG00000005189,144
ENSG00000005194,864
ENSG00000005206,1430
ENSG00000005238,783
ENSG00000005243,1126
ENSG00000005249,1993
ENSG00000005302,948
ENSG00000005339,7914
ENSG00000005379,1135
ENSG00000005381,16
ENSG00000005421,50
ENSG00000005436,833
ENSG00000005448,373
ENSG00000005469,862
ENSG00000005471,100
ENSG00000005483,5262
ENSG00000005486,2081
ENSG00000005513,54
ENSG00000005700,2927
ENSG00000005801,680
ENSG00000005810,5446
ENSG00000005812,5472
ENSG00000005844,774
ENSG00000005882,1473
ENSG00000005884,4446
ENSG00000005889,3101
ENSG00000005893,7265
ENSG00000005961,43
ENSG00000005981,17
ENSG00000006007,3691
ENSG00000006015,571
ENSG00000006016,160
ENSG00000006025,468
ENSG00000006042,2410
ENSG00000006047,31
ENSG00000006059,0
ENSG00000006062,1808
ENSG00000006071,422
ENSG00000006116,0
ENSG00000006118,1514
ENSG00000006125,12225
ENSG00000006128,56
ENSG00000006194,1794
ENSG00000006210,4207
ENSG00000006282,2877
ENSG00000006283,360
ENSG00000006327,1355
ENSG00000006377,2
ENSG00000006432,691
ENSG00000006451,2457
ENSG00000006453,1285
ENSG00000006459,2514
ENSG00000006468,751
ENSG00000006530,1101
ENSG00000006534,636
ENSG00000006555,1221
ENSG00000006576,1239
ENSG00000006606,12
ENSG00000006607,2208
ENSG00000006611,1
ENSG00000006625,1205
ENSG00000006634,245
ENSG00000006638,79
ENSG00000006652,1384
ENSG00000006659,0
ENSG00000006695,563
ENSG00000006704,1088
ENSG00000006712,3055
ENSG00000006715,2423
ENSG00000006740,319
ENSG00000006744,2439
ENSG00000006747,186
ENSG00000006756,5397
ENSG00000006757,1241
ENSG00000006788,32
ENSG00000006831,3334
ENSG00000006837,59
ENSG00000007001,13
ENSG00000007038,9
ENSG00000007047,1460
ENSG00000007062,764
ENSG00000007080,1253
ENSG00000007129,59
ENSG00000007168,6327
ENSG00000007171,19
ENSG00000007174,40
ENSG00000007202,9919
ENSG00000007216,232
ENSG00000007237,4131
ENSG00000007255,759
ENSG00000007264,115
ENSG00000007306,9
ENSG00000007312,320
ENSG00000007314,300
ENSG00000007341,523
ENSG00000007350,5
ENSG00000007372,115
ENSG00000007376,696
ENSG00000007384,2407
ENSG00000007392,1579
ENSG00000007402,710
ENSG00000007516,307
ENSG00000007520,1120
ENSG00000007541,2019
ENSG00000007545,1123
ENSG00000007866,1790
ENSG00000007908,2447
ENSG00000007923,1063
ENSG00000007933,97
ENSG00000007944,2774
ENSG00000007952,37
ENSG00000007968,40
ENSG00000008018,3501
ENSG00000008056,35
ENSG00000008083,3078
ENSG00000008086,1139
ENSG00000008118,8
ENSG00000008128,335
ENSG00000008130,2265
ENSG00000008196,7701
ENSG00000008197,0
ENSG00000008226,197
ENSG00000008256,2545
ENSG00000008277,813
ENSG00000008282,8310
ENSG00000008283,3735
ENSG00000008294,4435
ENSG00000008300,237
ENSG00000008311,572
ENSG00000008323,566
ENSG00000008324,406
ENSG00000008382,551
ENSG00000008394,4692
ENSG00000008405,909
ENSG00000008438,5
ENSG00000008441,7923
ENSG00000008513,3509
ENSG00000008516,85
ENSG00000008517,1015
ENSG00000008710,4901
ENSG00000008735,577
ENSG00000008838,2553
ENSG00000008853,1240
ENSG00000008869,3926
ENSG00000008952,8178
ENSG00000008988,26020
ENSG00000009307,29202
ENSG00000009335,3938
ENSG00000009413,1429
ENSG00000009694,46
ENSG00000009709,13
ENSG00000009724,80
ENSG00000009765,7
ENSG00000009780,562
ENSG00000009790,289
ENSG00000009830,931
ENSG00000009844,1829
ENSG00000009950,217
ENSG00000009954,5486
ENSG00000010017,2049
ENSG00000010030,104
ENSG00000010072,583
ENSG00000010165,1546
ENSG00000010219,457
ENSG00000010244,5149
ENSG00000010256,3591
ENSG00000010270,1038
ENSG00000010278,9246
ENSG00000010282,83
ENSG00000010292,2282
ENSG00000010295,654
ENSG00000010310,179
ENSG00000010318,248
ENSG00000010319,3359
ENSG00000010322,6039
ENSG00000010327,3608
