Gene stable ID,34a2a506-75bc-4fd4-8158-868734b1e29a
ENSG00000000003,3993
ENSG00000000005,60
ENSG00000000419,2755
ENSG00000000457,2816
ENSG00000000460,1484
ENSG00000000938,541
ENSG00000000971,3141
ENSG00000001036,6849
ENSG00000001084,3301
ENSG00000001167,4159
ENSG00000001460,1191
ENSG00000001461,2503
ENSG00000001497,5406
ENSG00000001561,6387
ENSG00000001617,16138
ENSG00000001626,19
ENSG00000001629,7724
ENSG00000001630,788
ENSG00000001631,2554
ENSG00000002016,671
ENSG00000002079,142
ENSG00000002330,2571
ENSG00000002549,6721
ENSG00000002586,8315
ENSG00000002587,385
ENSG00000002726,29
ENSG00000002745,2
ENSG00000002746,16
ENSG00000002822,1856
ENSG00000002834,66122
ENSG00000002919,2839
ENSG00000002933,653
ENSG00000003056,6048
ENSG00000003096,193
ENSG00000003137,538
ENSG00000003147,3463
ENSG00000003249,2418
ENSG00000003393,3136
ENSG00000003400,823
ENSG00000003402,3961
ENSG00000003436,937
ENSG00000003509,621
ENSG00000003756,4062
ENSG00000003987,68
ENSG00000003989,5986
ENSG00000004059,10349
ENSG00000004139,467
ENSG00000004142,11806
ENSG00000004399,20966
ENSG00000004455,8590
ENSG00000004468,34
ENSG00000004478,49167
ENSG00000004487,7461
ENSG00000004534,3360
ENSG00000004660,495
ENSG00000004700,1984
ENSG00000004766,3727
ENSG00000004776,790
ENSG00000004777,1191
ENSG00000004779,4052
ENSG00000004799,2624
ENSG00000004809,1
ENSG00000004838,570
ENSG00000004846,17
ENSG00000004848,106
ENSG00000004864,2914
ENSG00000004866,2099
ENSG00000004897,8357
ENSG00000004939,4
ENSG00000004948,6
ENSG00000004961,1737
ENSG00000004975,1469
ENSG00000005001,1083
ENSG00000005007,12340
ENSG00000005020,3594
ENSG00000005022,13172
ENSG00000005059,501
ENSG00000005073,60
ENSG00000005075,3023
ENSG00000005100,1604
ENSG00000005102,452
ENSG00000005108,696
ENSG00000005156,7286
ENSG00000005175,3025
ENSG00000005187,81
ENSG00000005189,449
ENSG00000005194,3487
ENSG00000005206,7490
ENSG00000005238,1594
ENSG00000005243,902
ENSG00000005249,1045
ENSG00000005302,1567
ENSG00000005339,11222
ENSG00000005379,172
ENSG00000005381,2
ENSG00000005421,18
ENSG00000005436,1305
ENSG00000005448,715
ENSG00000005469,1409
ENSG00000005471,245
ENSG00000005483,6725
ENSG00000005486,4731
ENSG00000005513,124
ENSG00000005700,7200
ENSG00000005801,1778
ENSG00000005810,3197
ENSG00000005812,2635
ENSG00000005844,817
ENSG00000005882,2387
ENSG00000005884,15694
ENSG00000005889,5388
ENSG00000005893,17553
ENSG00000005961,240
ENSG00000005981,15
ENSG00000006007,2863
ENSG00000006015,2100
ENSG00000006016,1101
ENSG00000006025,412
ENSG00000006042,2761
ENSG00000006047,179
ENSG00000006059,6
ENSG00000006062,1238
ENSG00000006071,234
ENSG00000006116,0
ENSG00000006118,11320
ENSG00000006125,63032
ENSG00000006128,5
ENSG00000006194,3148
