Gene stable ID,cb16f668-0e9c-4a0c-ae9b-eaefa0118dde
ENSG00000000003,2983
ENSG00000000005,4
ENSG00000000419,3568
ENSG00000000457,2034
ENSG00000000460,1346
ENSG00000000938,232
ENSG00000000971,1467
ENSG00000001036,2053
ENSG00000001084,3348
ENSG00000001167,6505
ENSG00000001460,390
ENSG00000001461,2267
ENSG00000001497,5208
ENSG00000001561,4550
ENSG00000001617,9411
ENSG00000001626,20
ENSG00000001629,12052
ENSG00000001630,1581
ENSG00000001631,4872
ENSG00000002016,375
ENSG00000002079,15
ENSG00000002330,4428
ENSG00000002549,7603
ENSG00000002586,8966
ENSG00000002587,239
ENSG00000002726,51
ENSG00000002745,4
ENSG00000002746,26
ENSG00000002822,2374
ENSG00000002834,67533
ENSG00000002919,2269
ENSG00000002933,683
ENSG00000003056,5357
ENSG00000003096,890
ENSG00000003137,111
ENSG00000003147,3539
ENSG00000003249,5111
ENSG00000003393,5110
ENSG00000003400,464
ENSG00000003402,6972
ENSG00000003436,532
ENSG00000003509,657
ENSG00000003756,5672
ENSG00000003987,1379
ENSG00000003989,258868
ENSG00000004059,10369
ENSG00000004139,230
ENSG00000004142,9040
ENSG00000004399,6915
ENSG00000004455,5325
ENSG00000004468,64
ENSG00000004478,21345
ENSG00000004487,7891
ENSG00000004534,4857
ENSG00000004660,531
ENSG00000004700,2053
ENSG00000004766,3811
ENSG00000004776,216
ENSG00000004777,2428
ENSG00000004779,3396
ENSG00000004799,887
ENSG00000004809,1
ENSG00000004838,573
ENSG00000004846,45
ENSG00000004848,792
ENSG00000004864,1666
ENSG00000004866,1982
ENSG00000004897,8335
ENSG00000004939,0
ENSG00000004948,8
ENSG00000004961,2536
ENSG00000004975,2041
ENSG00000005001,1088
ENSG00000005007,16295
ENSG00000005020,1370
ENSG00000005022,16497
ENSG00000005059,1582
ENSG00000005073,10
ENSG00000005075,2011
ENSG00000005100,2136
ENSG00000005102,111
ENSG00000005108,264
ENSG00000005156,6927
ENSG00000005175,3410
ENSG00000005187,233
ENSG00000005189,1145
ENSG00000005194,2674
ENSG00000005206,5600
ENSG00000005238,4341
ENSG00000005243,647
ENSG00000005249,6551
ENSG00000005302,1747
ENSG00000005339,15875
ENSG00000005379,4891
ENSG00000005381,19
ENSG00000005421,3
ENSG00000005436,1840
ENSG00000005448,537
ENSG00000005469,5875
ENSG00000005471,160
ENSG00000005483,13063
ENSG00000005486,11059
ENSG00000005513,25
ENSG00000005700,12123
ENSG00000005801,2508
ENSG00000005810,6063
ENSG00000005812,3511
ENSG00000005844,525
ENSG00000005882,2725
ENSG00000005884,5822
ENSG00000005889,24888
ENSG00000005893,21466
ENSG00000005961,173
ENSG00000005981,6
ENSG00000006007,8574
ENSG00000006015,1096
ENSG00000006016,141
ENSG00000006025,1221
ENSG00000006042,4599
ENSG00000006047,2071
ENSG00000006059,0
ENSG00000006062,1261
ENSG00000006071,24
ENSG00000006116,1
ENSG00000006118,16832
ENSG00000006125,66670
ENSG00000006128,2
ENSG00000006194,5530
ENSG00000006210,1018
ENSG00000006282,6599
ENSG00000006283,382
ENSG00000006327,1212
ENSG00000006377,2
ENSG00000006432,1320
ENSG00000006451,5704
ENSG00000006453,2161
ENSG00000006459,3029
ENSG00000006468,992
ENSG00000006530,2092
ENSG00000006534,989
ENSG00000006555,18
ENSG00000006576,3962
ENSG00000006606,5
ENSG00000006607,6843
ENSG00000006611,1
ENSG00000006625,3721
ENSG00000006634,1429
ENSG00000006638,127
ENSG00000006652,2495
ENSG00000006659,0
ENSG00000006695,1483
ENSG00000006704,4932
ENSG00000006712,9106
ENSG00000006715,9213
ENSG00000006740,570
ENSG00000006744,4635
ENSG00000006747,12140
ENSG00000006756,11624
ENSG00000006757,2452
ENSG00000006788,14
ENSG00000006831,10238
ENSG00000006837,72
ENSG00000007001,17
ENSG00000007038,6
ENSG00000007047,6357
ENSG00000007062,162
ENSG00000007080,2927
ENSG00000007129,95
ENSG00000007168,12900
ENSG00000007171,36
ENSG00000007174,4
ENSG00000007202,39272
ENSG00000007216,55
ENSG00000007237,4126
ENSG00000007255,2227
ENSG00000007264,357
ENSG00000007306,53
ENSG00000007312,37
ENSG00000007314,96
ENSG00000007341,1803
ENSG00000007350,2
ENSG00000007372,189
ENSG00000007376,1872
ENSG00000007384,4365
ENSG00000007392,3452
ENSG00000007402,967
ENSG00000007516,294
ENSG00000007520,2484
ENSG00000007541,5785
ENSG00000007545,3003
ENSG00000007866,2936
ENSG00000007908,439
ENSG00000007923,2505
ENSG00000007933,25
ENSG00000007944,8543
ENSG00000007952,166
ENSG00000007968,1988
ENSG00000008018,5502
ENSG00000008056,34
ENSG00000008083,5014
ENSG00000008086,1333
ENSG00000008118,11
ENSG00000008128,1187
ENSG00000008130,3310
ENSG00000008196,17
ENSG00000008197,0
ENSG00000008226,27
ENSG00000008256,2413
ENSG00000008277,856
ENSG00000008282,11290
ENSG00000008283,17304
ENSG00000008294,8601
ENSG00000008300,338
ENSG00000008311,626
ENSG00000008323,764
ENSG00000008324,726
ENSG00000008382,1770
ENSG00000008394,2392
ENSG00000008405,2071
ENSG00000008438,2
ENSG00000008441,4590
ENSG00000008513,6811
ENSG00000008516,72
ENSG00000008517,2360
ENSG00000008710,8280
ENSG00000008735,1898
ENSG00000008838,16178
ENSG00000008853,2622
ENSG00000008869,3317
ENSG00000008952,16613
ENSG00000008988,22255
ENSG00000009307,62582
ENSG00000009335,13039
ENSG00000009413,2574
ENSG00000009694,18
ENSG00000009709,66
ENSG00000009724,95
ENSG00000009765,2
ENSG00000009780,987
ENSG00000009790,228
ENSG00000009830,4284
ENSG00000009844,2885
ENSG00000009950,19
ENSG00000009954,26779
ENSG00000010017,9686
ENSG00000010030,335
ENSG00000010072,1041
ENSG00000010165,5319
ENSG00000010219,833
ENSG00000010244,15725
ENSG00000010256,5671
ENSG00000010270,2315
ENSG00000010278,37970
ENSG00000010282,3
ENSG00000010292,4835
ENSG00000010295,437
ENSG00000010310,29
ENSG00000010318,177
ENSG00000010319,495
ENSG00000010322,8370
ENSG00000010327,3458
ENSG00000010361,1732
ENSG00000010379,1
ENSG00000010404,11412
ENSG00000010438,7
ENSG00000010539,1030
ENSG00000010610,3856
ENSG00000010626,293
ENSG00000010671,464
ENSG00000010704,915
ENSG00000010803,2063
ENSG00000010810,1023
ENSG00000010818,2785
ENSG00000010932,55
ENSG00000011007,4069
ENSG00000011009,2324
ENSG00000011021,1114
ENSG00000011028,10446
ENSG00000011052,53
ENSG00000011083,2
ENSG00000011105,2027
ENSG00000011114,6346
ENSG00000011132,1369
ENSG00000011143,1824
ENSG00000011198,1321
ENSG00000011201,1094
ENSG00000011243,5913
ENSG00000011258,4441
ENSG00000011260,3730
ENSG00000011275,8486
ENSG00000011295,9233
ENSG00000011304,35320
ENSG00000011332,140
ENSG00000011347,4595
ENSG00000011376,1877
ENSG00000011405,12405
ENSG00000011422,2502
ENSG00000011426,5797
ENSG00000011451,10924
ENSG00000011454,12284
ENSG00000011465,24982
ENSG00000011478,1056
ENSG00000011485,7552
ENSG00000011523,3347
ENSG00000011566,2888
ENSG00000011590,28
ENSG00000011600,1583
ENSG00000011638,3800
ENSG00000011677,2
ENSG00000012048,6700
ENSG00000012061,3151
ENSG00000012124,3149
ENSG00000012171,2875
ENSG00000012174,5870
ENSG00000012211,596
ENSG00000012223,1045
ENSG00000012232,4376
ENSG00000012504,0
ENSG00000012660,31529
ENSG00000012779,1492
ENSG00000012817,2
ENSG00000012822,6234
ENSG00000012963,10834
ENSG00000012983,6723
ENSG00000013016,688
ENSG00000013275,6099
ENSG00000013288,8771
ENSG00000013293,3
ENSG00000013297,611
ENSG00000013306,10255
ENSG00000013364,10748
ENSG00000013374,7977
ENSG00000013375,4741
ENSG00000013392,1031
ENSG00000013441,6058
ENSG00000013503,1509
ENSG00000013523,2545
ENSG00000013561,16042
ENSG00000013563,1311
ENSG00000013573,3430
ENSG00000013583,3206
ENSG00000013588,37614
ENSG00000013619,170
ENSG00000013725,221
ENSG00000013810,5978
ENSG00000014123,3371
ENSG00000014138,4564
ENSG00000014164,3496
ENSG00000014216,18188
ENSG00000014257,53
ENSG00000014641,5568
ENSG00000014824,9648
ENSG00000014914,2470
ENSG00000014919,4862
ENSG00000015133,15333
ENSG00000015153,1594
ENSG00000015171,17567
ENSG00000015285,345
ENSG00000015413,61
ENSG00000015475,1473
ENSG00000015479,916
ENSG00000015520,200
ENSG00000015532,4179
ENSG00000015568,2
ENSG00000015592,10
ENSG00000015676,14947
ENSG00000016082,5
ENSG00000016391,2915
