Gene stable ID,40bb5f8c-33ba-4ad2-871f-b5b1fb6f08f9
ENSG00000000003,5403
ENSG00000000005,714
ENSG00000000419,1504
ENSG00000000457,1947
ENSG00000000460,372
ENSG00000000938,392
ENSG00000000971,4036
ENSG00000001036,2344
ENSG00000001084,2742
ENSG00000001167,2446
ENSG00000001460,797
ENSG00000001461,5435
ENSG00000001497,2646
ENSG00000001561,1624
ENSG00000001617,2295
ENSG00000001626,68
ENSG00000001629,4031
ENSG00000001630,299
ENSG00000001631,2441
ENSG00000002016,525
ENSG00000002079,26
ENSG00000002330,1081
ENSG00000002549,5394
ENSG00000002586,4504
ENSG00000002587,754
ENSG00000002726,11
ENSG00000002745,2
ENSG00000002746,48
ENSG00000002822,1026
ENSG00000002834,12266
ENSG00000002919,1394
ENSG00000002933,1784
ENSG00000003056,4401
ENSG00000003096,3052
ENSG00000003137,780
ENSG00000003147,2127
ENSG00000003249,1033
ENSG00000003393,1922
ENSG00000003400,768
ENSG00000003402,9746
ENSG00000003436,3005
ENSG00000003509,682
ENSG00000003756,6957
ENSG00000003987,155
ENSG00000003989,3191
ENSG00000004059,4903
ENSG00000004139,673
ENSG00000004142,5791
ENSG00000004399,6290
ENSG00000004455,6062
ENSG00000004468,472
ENSG00000004478,7973
ENSG00000004487,5609
ENSG00000004534,5225
ENSG00000004660,854
ENSG00000004700,1422
ENSG00000004766,2016
ENSG00000004776,2535
ENSG00000004777,514
ENSG00000004779,1738
ENSG00000004799,11928
ENSG00000004809,8
ENSG00000004838,122
ENSG00000004846,208
ENSG00000004848,5
ENSG00000004864,1690
ENSG00000004866,1523
ENSG00000004897,4351
ENSG00000004939,2
ENSG00000004948,84
ENSG00000004961,1156
ENSG00000004975,2307
ENSG00000005001,347
ENSG00000005007,7678
ENSG00000005020,3984
ENSG00000005022,11961
ENSG00000005059,582
ENSG00000005073,17
ENSG00000005075,1095
ENSG00000005100,2120
ENSG00000005102,735
ENSG00000005108,559
ENSG00000005156,2167
ENSG00000005175,2147
ENSG00000005187,671
ENSG00000005189,305
ENSG00000005194,1844
ENSG00000005206,1727
ENSG00000005238,868
ENSG00000005243,785
ENSG00000005249,4103
ENSG00000005302,1724
ENSG00000005339,11583
ENSG00000005379,2658
ENSG00000005381,86
ENSG00000005421,36
ENSG00000005436,2100
ENSG00000005448,511
ENSG00000005469,1904
ENSG00000005471,53
ENSG00000005483,8817
ENSG00000005486,3943
ENSG00000005513,598
ENSG00000005700,5323
ENSG00000005801,1801
ENSG00000005810,8969
ENSG00000005812,6742
ENSG00000005844,1135
ENSG00000005882,2292
ENSG00000005884,9187
ENSG00000005889,4411
ENSG00000005893,18253
ENSG00000005961,44
ENSG00000005981,92
ENSG00000006007,4254
ENSG00000006015,543
ENSG00000006016,162
ENSG00000006025,750
ENSG00000006042,5720
