Gene stable ID,28f7ab6e-b456-47f0-be1e-dcdfa73f061b
ENSG00000000003,1646
ENSG00000000005,101
ENSG00000000419,1569
ENSG00000000457,1408
ENSG00000000460,480
ENSG00000000938,417
ENSG00000000971,2972
ENSG00000001036,3297
ENSG00000001084,2163
ENSG00000001167,2696
ENSG00000001460,629
ENSG00000001461,2064
ENSG00000001497,2423
ENSG00000001561,1809
ENSG00000001617,9235
ENSG00000001626,24
ENSG00000001629,4919
ENSG00000001630,294
ENSG00000001631,2158
ENSG00000002016,492
ENSG00000002079,6
ENSG00000002330,1743
ENSG00000002549,7686
ENSG00000002586,8443
ENSG00000002587,281
ENSG00000002726,21
ENSG00000002745,3
ENSG00000002746,48
ENSG00000002822,1037
ENSG00000002834,18200
ENSG00000002919,1597
ENSG00000002933,1429
ENSG00000003056,4144
ENSG00000003096,637
ENSG00000003137,153
ENSG00000003147,2052
ENSG00000003249,1354
ENSG00000003393,2001
ENSG00000003400,599
ENSG00000003402,5575
ENSG00000003436,1190
ENSG00000003509,679
ENSG00000003756,5547
ENSG00000003987,279
ENSG00000003989,37203
ENSG00000004059,5789
ENSG00000004139,236
ENSG00000004142,6982
ENSG00000004399,7259
ENSG00000004455,7612
ENSG00000004468,161
ENSG00000004478,26246
ENSG00000004487,6315
ENSG00000004534,3937
ENSG00000004660,695
ENSG00000004700,1627
ENSG00000004766,1880
ENSG00000004776,967
ENSG00000004777,599
ENSG00000004779,2792
ENSG00000004799,6166
ENSG00000004809,4
ENSG00000004838,779
ENSG00000004846,115
ENSG00000004848,39
ENSG00000004864,982
ENSG00000004866,1414
ENSG00000004897,3969
ENSG00000004939,2
ENSG00000004948,11
ENSG00000004961,1262
ENSG00000004975,1815
ENSG00000005001,798
ENSG00000005007,8024
ENSG00000005020,1738
ENSG00000005022,15320
ENSG00000005059,1272
ENSG00000005073,26
ENSG00000005075,1150
ENSG00000005100,1996
ENSG00000005102,428
ENSG00000005108,630
ENSG00000005156,1690
ENSG00000005175,2019
ENSG00000005187,251
ENSG00000005189,478
ENSG00000005194,4220
ENSG00000005206,1915
ENSG00000005238,1052
ENSG00000005243,1106
ENSG00000005249,4081
ENSG00000005302,1680
ENSG00000005339,11075
ENSG00000005379,702
ENSG00000005381,18
ENSG00000005421,33
ENSG00000005436,1652
ENSG00000005448,807
ENSG00000005469,1630
ENSG00000005471,53
ENSG00000005483,7642
ENSG00000005486,7045
ENSG00000005513,24
ENSG00000005700,5738
ENSG00000005801,1651
ENSG00000005810,5760
ENSG00000005812,4215
ENSG00000005844,1243
ENSG00000005882,1740
ENSG00000005884,6148
ENSG00000005889,5264
ENSG00000005893,12296
ENSG00000005961,51
ENSG00000005981,33
ENSG00000006007,7248
ENSG00000006015,391
ENSG00000006016,149
ENSG00000006025,794
ENSG00000006042,2763
ENSG00000006047,244
ENSG00000006059,8
ENSG00000006062,1388
ENSG00000006071,316
ENSG00000006116,1
ENSG00000006118,2884
ENSG00000006125,37529
ENSG00000006128,14
ENSG00000006194,2874
ENSG00000006210,2564
ENSG00000006282,3084
ENSG00000006283,88
ENSG00000006327,1952
ENSG00000006377,4
ENSG00000006432,805
ENSG00000006451,4433
