Gene stable ID,bb5d0996-ddbc-4af9-bb7a-115d09def162
ENSG00000000003,2692
ENSG00000000005,134
ENSG00000000419,979
ENSG00000000457,783
ENSG00000000460,241
ENSG00000000938,726
ENSG00000000971,1902
ENSG00000001036,4914
ENSG00000001084,1653
ENSG00000001167,3395
ENSG00000001460,790
ENSG00000001461,4949
ENSG00000001497,2422
ENSG00000001561,4155
ENSG00000001617,6193
ENSG00000001626,2
ENSG00000001629,1725
ENSG00000001630,74
ENSG00000001631,673
ENSG00000002016,142
ENSG00000002079,2
ENSG00000002330,1806
ENSG00000002549,3884
ENSG00000002586,12070
ENSG00000002587,175
ENSG00000002726,42
ENSG00000002745,21
ENSG00000002746,3
ENSG00000002822,2552
ENSG00000002834,48913
ENSG00000002919,2158
ENSG00000002933,1909
ENSG00000003056,3265
ENSG00000003096,197
ENSG00000003137,153
ENSG00000003147,3728
ENSG00000003249,6364
ENSG00000003393,817
ENSG00000003400,630
ENSG00000003402,2710
ENSG00000003436,1548
ENSG00000003509,535
ENSG00000003756,3019
ENSG00000003987,178
ENSG00000003989,29203
ENSG00000004059,6588
ENSG00000004139,86
ENSG00000004142,6499
ENSG00000004399,8461
ENSG00000004455,4793
ENSG00000004468,320
ENSG00000004478,27385
ENSG00000004487,3862
ENSG00000004534,2770
ENSG00000004660,364
ENSG00000004700,599
ENSG00000004766,529
ENSG00000004776,2466
ENSG00000004777,368
ENSG00000004779,2807
ENSG00000004799,2088
ENSG00000004809,11
ENSG00000004838,409
ENSG00000004846,41
ENSG00000004848,210
ENSG00000004864,632
ENSG00000004866,913
ENSG00000004897,3121
ENSG00000004939,4
ENSG00000004948,4
ENSG00000004961,1960
ENSG00000004975,822
ENSG00000005001,317
ENSG00000005007,4230
ENSG00000005020,2178
ENSG00000005022,9886
ENSG00000005059,877
ENSG00000005073,51
ENSG00000005075,1414
ENSG00000005100,710
ENSG00000005102,676
ENSG00000005108,419
ENSG00000005156,1470
ENSG00000005175,1631
ENSG00000005187,72
ENSG00000005189,176
ENSG00000005194,2447
ENSG00000005206,1416
ENSG00000005238,1209
ENSG00000005243,890
ENSG00000005249,1304
ENSG00000005302,1874
ENSG00000005339,3477
ENSG00000005379,439
ENSG00000005381,14
ENSG00000005421,2
ENSG00000005436,804
ENSG00000005448,1226
ENSG00000005469,572
ENSG00000005471,75
ENSG00000005483,2283
