Gene stable ID,987bf9eb-5619-405e-a326-6de9a2554fcc
ENSG00000000003,7047
ENSG00000000005,870
ENSG00000000419,2652
ENSG00000000457,1748
ENSG00000000460,415
ENSG00000000938,565
ENSG00000000971,6457
ENSG00000001036,4152
ENSG00000001084,4358
ENSG00000001167,3074
ENSG00000001460,849
ENSG00000001461,4732
ENSG00000001497,3229
ENSG00000001561,3647
ENSG00000001617,3761
ENSG00000001626,113
ENSG00000001629,4747
ENSG00000001630,154
ENSG00000001631,2809
ENSG00000002016,649
ENSG00000002079,5
ENSG00000002330,1423
ENSG00000002549,9316
ENSG00000002586,13203
ENSG00000002587,336
ENSG00000002726,25
ENSG00000002745,1
ENSG00000002746,36
ENSG00000002822,1521
ENSG00000002834,16716
ENSG00000002919,2079
ENSG00000002933,3017
ENSG00000003056,4902
ENSG00000003096,2598
ENSG00000003137,1069
ENSG00000003147,3101
ENSG00000003249,456
ENSG00000003393,2389
ENSG00000003400,1693
ENSG00000003402,16647
ENSG00000003436,8931
ENSG00000003509,852
ENSG00000003756,7799
ENSG00000003987,156
ENSG00000003989,4458
ENSG00000004059,5991
ENSG00000004139,633
ENSG00000004142,6282
ENSG00000004399,14775
ENSG00000004455,7996
ENSG00000004468,302
ENSG00000004478,7673
ENSG00000004487,5485
ENSG00000004534,6812
ENSG00000004660,1115
ENSG00000004700,2265
ENSG00000004766,2704
ENSG00000004776,16306
ENSG00000004777,430
ENSG00000004779,2377
ENSG00000004799,41502
ENSG00000004809,7
ENSG00000004838,108
ENSG00000004846,751
ENSG00000004848,8
ENSG00000004864,1819
ENSG00000004866,2105
ENSG00000004897,5720
ENSG00000004939,16
ENSG00000004948,114
ENSG00000004961,1547
ENSG00000004975,2625
ENSG00000005001,376
ENSG00000005007,6823
ENSG00000005020,6239
ENSG00000005022,10690
ENSG00000005059,1202
ENSG00000005073,37
ENSG00000005075,1292
ENSG00000005100,1912
ENSG00000005102,2959
ENSG00000005108,1107
ENSG00000005156,1524
ENSG00000005175,2449
ENSG00000005187,778
ENSG00000005189,446
ENSG00000005194,2321
ENSG00000005206,1885
ENSG00000005238,1639
ENSG00000005243,2483
ENSG00000005249,20079
ENSG00000005302,2145
ENSG00000005339,9834
ENSG00000005379,2211
ENSG00000005381,25
ENSG00000005421,10
ENSG00000005436,2123
ENSG00000005448,526
ENSG00000005469,2254
ENSG00000005471,102
ENSG00000005483,8077
ENSG00000005486,4611
ENSG00000005513,178
ENSG00000005700,5989
ENSG00000005801,1740
ENSG00000005810,13414
ENSG00000005812,9314
ENSG00000005844,1075
ENSG00000005882,3242
ENSG00000005884,9160
ENSG00000005889,4923
ENSG00000005893,17212
ENSG00000005961,28
ENSG00000005981,68
ENSG00000006007,5597
ENSG00000006015,745
ENSG00000006016,356
ENSG00000006025,778
ENSG00000006042,4314
ENSG00000006047,331
ENSG00000006059,12
ENSG00000006062,1668
ENSG00000006071,563
ENSG00000006116,0
ENSG00000006118,1103
ENSG00000006125,19738
ENSG00000006128,44
ENSG00000006194,2853
ENSG00000006210,32511
ENSG00000006282,3049
ENSG00000006283,86
ENSG00000006327,2059
ENSG00000006377,14
ENSG00000006432,942
ENSG00000006451,5573
ENSG00000006453,1653
ENSG00000006459,3557
ENSG00000006468,1317
ENSG00000006530,2005
ENSG00000006534,817
ENSG00000006555,777
ENSG00000006576,1820
ENSG00000006606,10
ENSG00000006607,2320
ENSG00000006611,61
ENSG00000006625,2569
ENSG00000006634,570
ENSG00000006638,157
ENSG00000006652,4662
ENSG00000006659,0
ENSG00000006695,1077
ENSG00000006704,1256
ENSG00000006712,5087
ENSG00000006715,4856
ENSG00000006740,959
ENSG00000006744,4442
ENSG00000006747,1083
ENSG00000006756,7544
ENSG00000006757,2398
ENSG00000006788,20
