Gene stable ID,c208005f-0b6f-4c14-9267-b3a582a0dcba
ENSG00000000003,3259
ENSG00000000005,353
ENSG00000000419,1701
ENSG00000000457,1772
ENSG00000000460,541
ENSG00000000938,563
ENSG00000000971,4841
ENSG00000001036,2670
ENSG00000001084,6691
ENSG00000001167,4280
ENSG00000001460,984
ENSG00000001461,4377
ENSG00000001497,3807
ENSG00000001561,1874
ENSG00000001617,11085
ENSG00000001626,4
ENSG00000001629,4858
ENSG00000001630,478
ENSG00000001631,2497
ENSG00000002016,568
ENSG00000002079,5
ENSG00000002330,3045
ENSG00000002549,8190
ENSG00000002586,17557
ENSG00000002587,169
ENSG00000002726,76
ENSG00000002745,12
ENSG00000002746,25
ENSG00000002822,1753
ENSG00000002834,43728
ENSG00000002919,2226
ENSG00000002933,2388
ENSG00000003056,6852
ENSG00000003096,208
ENSG00000003137,485
ENSG00000003147,4312
ENSG00000003249,1574
ENSG00000003393,1910
ENSG00000003400,684
ENSG00000003402,3396
ENSG00000003436,1658
ENSG00000003509,721
ENSG00000003756,7567
ENSG00000003987,288
ENSG00000003989,34919
ENSG00000004059,9575
ENSG00000004139,631
ENSG00000004142,7997
ENSG00000004399,11728
ENSG00000004455,8562
ENSG00000004468,235
ENSG00000004478,35933
ENSG00000004487,6563
ENSG00000004534,4117
ENSG00000004660,324
ENSG00000004700,1680
ENSG00000004766,1903
ENSG00000004776,5208
ENSG00000004777,605
ENSG00000004779,4587
ENSG00000004799,10995
ENSG00000004809,4
ENSG00000004838,3254
ENSG00000004846,48
ENSG00000004848,0
ENSG00000004864,1063
ENSG00000004866,2018
ENSG00000004897,4743
ENSG00000004939,1
ENSG00000004948,7
ENSG00000004961,1360
ENSG00000004975,1897
ENSG00000005001,1010
ENSG00000005007,11257
ENSG00000005020,2650
ENSG00000005022,14698
ENSG00000005059,1698
ENSG00000005073,66
ENSG00000005075,2269
ENSG00000005100,1018
ENSG00000005102,1374
ENSG00000005108,488
ENSG00000005156,3538
ENSG00000005175,2472
ENSG00000005187,252
ENSG00000005189,1026
ENSG00000005194,2197
ENSG00000005206,2254
ENSG00000005238,1475
ENSG00000005243,1692
ENSG00000005249,8498
ENSG00000005302,1717
ENSG00000005339,14681
ENSG00000005379,993
ENSG00000005381,4
ENSG00000005421,4
ENSG00000005436,1414
ENSG00000005448,1679
ENSG00000005469,3168
ENSG00000005471,67
ENSG00000005483,3513
ENSG00000005486,8040
ENSG00000005513,60
ENSG00000005700,4421
ENSG00000005801,1412
ENSG00000005810,5325
ENSG00000005812,8366
ENSG00000005844,1419
ENSG00000005882,2772
ENSG00000005884,10918
ENSG00000005889,4709
ENSG00000005893,16440
ENSG00000005961,49
ENSG00000005981,14
ENSG00000006007,12544
ENSG00000006015,1198
ENSG00000006016,416
ENSG00000006025,847
ENSG00000006042,3141
ENSG00000006047,889
ENSG00000006059,9
ENSG00000006062,969
ENSG00000006071,1616
ENSG00000006116,1
ENSG00000006118,3772
ENSG00000006125,29019
ENSG00000006128,9
ENSG00000006194,4637
ENSG00000006210,3337
ENSG00000006282,6105
ENSG00000006283,72
ENSG00000006327,2349
ENSG00000006377,2
ENSG00000006432,1207
ENSG00000006451,5811
ENSG00000006453,2377
ENSG00000006459,1408
ENSG00000006468,984
ENSG00000006530,1699
ENSG00000006534,1399
ENSG00000006555,1080
ENSG00000006576,1723
ENSG00000006606,20
ENSG00000006607,1846
ENSG00000006611,1
ENSG00000006625,3545
ENSG00000006634,826
ENSG00000006638,171
ENSG00000006652,1223
ENSG00000006659,9
ENSG00000006695,757
ENSG00000006704,1629
ENSG00000006712,6595
ENSG00000006715,4191
ENSG00000006740,217
ENSG00000006744,3594
ENSG00000006747,898
ENSG00000006756,10240
ENSG00000006757,4324
ENSG00000006788,32
ENSG00000006831,10273
ENSG00000006837,91
ENSG00000007001,9
ENSG00000007038,4
ENSG00000007047,3030
ENSG00000007062,381
ENSG00000007080,2793
ENSG00000007129,79
ENSG00000007168,8011
ENSG00000007171,50
ENSG00000007174,49
ENSG00000007202,21777
ENSG00000007216,63
ENSG00000007237,3511
ENSG00000007255,2347
ENSG00000007264,250
ENSG00000007306,2
ENSG00000007312,573
ENSG00000007314,438
ENSG00000007341,1100
ENSG00000007350,8
ENSG00000007372,254
ENSG00000007376,2447
ENSG00000007384,4883
ENSG00000007392,2670
ENSG00000007402,1832
ENSG00000007516,263
ENSG00000007520,3335
ENSG00000007541,7614
ENSG00000007545,2687
ENSG00000007866,2161
ENSG00000007908,113
ENSG00000007923,2242
ENSG00000007933,526
ENSG00000007944,5166
ENSG00000007952,86
ENSG00000007968,413
ENSG00000008018,6434
ENSG00000008056,139
ENSG00000008083,4964
ENSG00000008086,810
ENSG00000008118,28
ENSG00000008128,378
ENSG00000008130,4818
ENSG00000008196,5821
ENSG00000008197,0
ENSG00000008226,57
ENSG00000008256,3211
ENSG00000008277,806
ENSG00000008282,21090
ENSG00000008283,9594
ENSG00000008294,6165
ENSG00000008300,1663
ENSG00000008311,499
ENSG00000008323,1642
ENSG00000008324,1393
ENSG00000008382,1489
ENSG00000008394,13720
ENSG00000008405,1733
ENSG00000008438,0
ENSG00000008441,6586
ENSG00000008513,5847
ENSG00000008516,239
ENSG00000008517,2779
ENSG00000008710,5716
ENSG00000008735,3448
ENSG00000008838,6945
ENSG00000008853,2485
ENSG00000008869,3437
ENSG00000008952,15716
ENSG00000008988,55296
ENSG00000009307,54842
ENSG00000009335,7953
ENSG00000009413,1432
ENSG00000009694,36
ENSG00000009709,6
ENSG00000009724,78
ENSG00000009765,3
ENSG00000009780,1181
ENSG00000009790,509
ENSG00000009830,2943
ENSG00000009844,2666
ENSG00000009950,555
ENSG00000009954,10966
ENSG00000010017,4715
ENSG00000010030,247
ENSG00000010072,819
ENSG00000010165,3871
ENSG00000010219,793
ENSG00000010244,9597
ENSG00000010256,11480
ENSG00000010270,1937
ENSG00000010278,39469
ENSG00000010282,8
ENSG00000010292,8087
ENSG00000010295,723
ENSG00000010310,140
ENSG00000010318,390
ENSG00000010319,7491
ENSG00000010322,8592
ENSG00000010327,3532
ENSG00000010361,3051
ENSG00000010379,4
ENSG00000010404,11384
ENSG00000010438,1
ENSG00000010539,1083
ENSG00000010610,3560
ENSG00000010626,1052
ENSG00000010671,506
ENSG00000010704,1525
ENSG00000010803,2717
ENSG00000010810,3165
ENSG00000010818,1209
ENSG00000010932,921
ENSG00000011007,4077
ENSG00000011009,3886
ENSG00000011021,1473
ENSG00000011028,8276
ENSG00000011052,34
ENSG00000011083,1
ENSG00000011105,7972
ENSG00000011114,4788
ENSG00000011132,957
ENSG00000011143,1419
ENSG00000011198,1739
ENSG00000011201,927
ENSG00000011243,3686
ENSG00000011258,2000
ENSG00000011260,2309
ENSG00000011275,3705
ENSG00000011295,2726
ENSG00000011304,20004
ENSG00000011332,42
ENSG00000011347,2904
ENSG00000011376,2158
ENSG00000011405,4696
ENSG00000011422,1118
ENSG00000011426,3083
ENSG00000011451,5594
ENSG00000011454,6788
ENSG00000011465,73251
ENSG00000011478,1008
ENSG00000011485,3605
ENSG00000011523,3510
ENSG00000011566,3860
ENSG00000011590,32
ENSG00000011600,2957
ENSG00000011638,3824
ENSG00000011677,1
ENSG00000012048,1541
ENSG00000012061,4568
ENSG00000012124,1230
ENSG00000012171,5453
ENSG00000012174,2660
ENSG00000012211,783
ENSG00000012223,5380
ENSG00000012232,2870
ENSG00000012504,0
ENSG00000012660,50303
ENSG00000012779,2042
ENSG00000012817,0
ENSG00000012822,7409
ENSG00000012963,7280
ENSG00000012983,1551
ENSG00000013016,693
ENSG00000013275,5341
ENSG00000013288,7177
ENSG00000013293,3
ENSG00000013297,1316
ENSG00000013306,8742
ENSG00000013364,20905
ENSG00000013374,6245
ENSG00000013375,1405
ENSG00000013392,375
ENSG00000013441,5764
ENSG00000013503,1171
ENSG00000013523,2525
ENSG00000013561,7604
ENSG00000013563,1489
ENSG00000013573,1346
ENSG00000013583,9531
ENSG00000013588,15340
ENSG00000013619,283
ENSG00000013725,602
ENSG00000013810,2914
ENSG00000014123,2287
ENSG00000014138,1993
ENSG00000014164,1919
ENSG00000014216,17896
ENSG00000014257,153
ENSG00000014641,12367
ENSG00000014824,5306
ENSG00000014914,1110
ENSG00000014919,4360
ENSG00000015133,9736
ENSG00000015153,1240
ENSG00000015171,11250
ENSG00000015285,800
ENSG00000015413,135
ENSG00000015475,1568
ENSG00000015479,612
ENSG00000015520,49
ENSG00000015532,2866
ENSG00000015568,1
ENSG00000015592,22
ENSG00000015676,10913
ENSG00000016082,6
ENSG00000016391,5000
ENSG00000016402,192
ENSG00000016490,0
ENSG00000016602,19
ENSG00000016864,4670
ENSG00000017260,9545
ENSG00000017427,238
ENSG00000017483,355
ENSG00000017797,11957
ENSG00000018189,1677
ENSG00000018236,398
ENSG00000018280,238
ENSG00000018408,4776
ENSG00000018510,7012
ENSG00000018607,2
ENSG00000018610,1919
ENSG00000018625,731
ENSG00000018699,1619
ENSG00000018869,498
ENSG00000019102,1167
ENSG00000019144,7202
ENSG00000019169,83
ENSG00000019186,4602
ENSG00000019485,2151
ENSG00000019505,84062
ENSG00000019549,1397
ENSG00000019582,118595
ENSG00000019991,306
ENSG00000019995,2185
ENSG00000020129,5762
ENSG00000020181,3807
ENSG00000020219,2
ENSG00000020256,1682
ENSG00000020426,1299
ENSG00000020577,1222
ENSG00000020633,807
ENSG00000020922,2700
ENSG00000021300,179
ENSG00000021355,7081
ENSG00000021461,1
ENSG00000021488,9
ENSG00000021574,1874
ENSG00000021645,513
ENSG00000021762,2158
ENSG00000021776,6646
ENSG00000021826,320
ENSG00000021852,136
ENSG00000022267,21211
ENSG00000022277,8502
ENSG00000022355,0
ENSG00000022556,3353
ENSG00000022567,964
ENSG00000022840,14522
ENSG00000022976,612
ENSG00000023041,2944
ENSG00000023171,127
ENSG00000023191,11808
ENSG00000023228,6339
ENSG00000023287,4868
ENSG00000023318,3876
ENSG00000023330,3241
ENSG00000023445,2446
ENSG00000023516,4316
ENSG00000023572,343
ENSG00000023608,464
ENSG00000023697,1956
ENSG00000023734,9947
ENSG00000023839,64
ENSG00000023892,1125
ENSG00000023902,2418
ENSG00000023909,1702
ENSG00000024048,5312
ENSG00000024422,11440
ENSG00000024526,827
ENSG00000024862,1549
ENSG00000025039,703
ENSG00000025156,930
ENSG00000025293,7332
ENSG00000025423,251
ENSG00000025434,2710
ENSG00000025708,3423
ENSG00000025770,3309
ENSG00000025772,2323
ENSG00000025796,5256
ENSG00000025800,7151
ENSG00000026025,352566
ENSG00000026036,78
ENSG00000026103,777
ENSG00000026297,2447
ENSG00000026508,40622
ENSG00000026559,8
ENSG00000026652,460
ENSG00000026751,1025
ENSG00000026950,2433
ENSG00000027001,2674
ENSG00000027075,3117
ENSG00000027644,24
ENSG00000027697,4245
ENSG00000027847,1641
ENSG00000027869,189
ENSG00000028116,2305
ENSG00000028137,3650
ENSG00000028203,4533
ENSG00000028277,680
ENSG00000028310,2568
ENSG00000028528,12891
ENSG00000028839,666
ENSG00000029153,236
ENSG00000029363,8843
ENSG00000029364,15171
ENSG00000029534,89
ENSG00000029559,48
ENSG00000029639,477
ENSG00000029725,14000
ENSG00000029993,1176
ENSG00000030066,3678
ENSG00000030110,1778
ENSG00000030304,1
ENSG00000030419,320
ENSG00000030582,25522
ENSG00000031003,2911
ENSG00000031081,2815
ENSG00000031691,309
ENSG00000031698,14910
ENSG00000031823,4661
ENSG00000032219,1821
ENSG00000032389,1782
ENSG00000032444,4472
ENSG00000032742,1700
ENSG00000033011,2158
ENSG00000033030,1975
ENSG00000033050,4689
ENSG00000033100,4253
ENSG00000033122,49
ENSG00000033170,8749
ENSG00000033178,4465
ENSG00000033327,2869
ENSG00000033627,6722
ENSG00000033800,4240
ENSG00000033867,2169
ENSG00000034053,272
ENSG00000034152,2288
ENSG00000034239,47
ENSG00000034510,39842
ENSG00000034533,926
ENSG00000034677,4697
ENSG00000034693,704
ENSG00000034713,4638
ENSG00000034971,135
ENSG00000035115,4776
ENSG00000035141,1924
ENSG00000035403,18038
ENSG00000035499,215
ENSG00000035664,1149
ENSG00000035681,1857
ENSG00000035687,4438
ENSG00000035720,81
ENSG00000035862,38286
ENSG00000035928,5849
ENSG00000036054,2949
ENSG00000036257,6998
ENSG00000036448,111
ENSG00000036473,0
ENSG00000036530,61
ENSG00000036549,4001
ENSG00000036565,9
ENSG00000036672,224
ENSG00000036828,0
ENSG00000037042,1314
ENSG00000037241,1188
ENSG00000037280,1210
ENSG00000037474,5398
ENSG00000037637,2504
ENSG00000037749,2784
ENSG00000037757,2329
ENSG00000037897,883
ENSG00000037965,327
ENSG00000038002,2713
ENSG00000038210,1064
ENSG00000038219,5493
ENSG00000038274,5827
ENSG00000038295,453
ENSG00000038358,2003
ENSG00000038382,6915
ENSG00000038427,21275
ENSG00000038532,3301
ENSG00000038945,1546
ENSG00000039068,31175
ENSG00000039123,5189
ENSG00000039139,506
ENSG00000039319,3826
ENSG00000039523,4991
ENSG00000039537,339
ENSG00000039560,2853
ENSG00000039600,11
ENSG00000039650,1872
ENSG00000039987,2
ENSG00000040199,839
ENSG00000040275,684
ENSG00000040341,3814
ENSG00000040487,2919
ENSG00000040531,1240
ENSG00000040608,364
ENSG00000040633,3323
ENSG00000040731,1
ENSG00000040933,1634
ENSG00000041353,10832
ENSG00000041357,9113
ENSG00000041515,231
ENSG00000041802,4065
ENSG00000041880,2918
ENSG00000041982,23556
ENSG00000041988,1182
ENSG00000042062,1051
ENSG00000042088,1468
ENSG00000042286,2677
ENSG00000042304,0
ENSG00000042317,924
ENSG00000042429,2692
ENSG00000042445,18237
ENSG00000042493,14472
ENSG00000042753,6939
ENSG00000042781,41
ENSG00000042813,0
ENSG00000042832,38
