Gene stable ID,fc3f7336-e0bd-4f81-887c-3ec8824474ba
ENSG00000000003,1967
ENSG00000000005,3
ENSG00000000419,2613
ENSG00000000457,989
ENSG00000000460,762
ENSG00000000938,544
ENSG00000000971,914
ENSG00000001036,3538
ENSG00000001084,2657
ENSG00000001167,2201
ENSG00000001460,558
ENSG00000001461,4412
ENSG00000001497,4531
ENSG00000001561,916
ENSG00000001617,13700
ENSG00000001626,3
ENSG00000001629,4668
ENSG00000001630,686
ENSG00000001631,1633
ENSG00000002016,485
ENSG00000002079,11
ENSG00000002330,1396
ENSG00000002549,7363
ENSG00000002586,9853
ENSG00000002587,248
ENSG00000002726,19
ENSG00000002745,2
ENSG00000002746,10
ENSG00000002822,1260
ENSG00000002834,18797
ENSG00000002919,2632
ENSG00000002933,3988
ENSG00000003056,5319
ENSG00000003096,91
ENSG00000003137,152
ENSG00000003147,3361
ENSG00000003249,1879
ENSG00000003393,2620
ENSG00000003400,337
ENSG00000003402,5963
ENSG00000003436,260
ENSG00000003509,526
ENSG00000003756,5129
ENSG00000003987,59
ENSG00000003989,20471
ENSG00000004059,7699
ENSG00000004139,235
ENSG00000004142,8910
ENSG00000004399,7927
ENSG00000004455,5281
ENSG00000004468,115
ENSG00000004478,64852
ENSG00000004487,5926
ENSG00000004534,5540
ENSG00000004660,729
ENSG00000004700,1797
ENSG00000004766,1162
ENSG00000004776,130
ENSG00000004777,1653
ENSG00000004779,3123
ENSG00000004799,1290
ENSG00000004809,1
ENSG00000004838,718
ENSG00000004846,4
ENSG00000004848,10
ENSG00000004864,1033
ENSG00000004866,1847
ENSG00000004897,2747
ENSG00000004939,6
ENSG00000004948,12
ENSG00000004961,1405
ENSG00000004975,3134
ENSG00000005001,583
ENSG00000005007,10836
ENSG00000005020,884
ENSG00000005022,20710
ENSG00000005059,2435
ENSG00000005073,11
ENSG00000005075,2268
ENSG00000005100,2058
ENSG00000005102,85
ENSG00000005108,83
ENSG00000005156,3145
ENSG00000005175,2027
ENSG00000005187,81
ENSG00000005189,1327
ENSG00000005194,1756
ENSG00000005206,2672
ENSG00000005238,1650
ENSG00000005243,301
ENSG00000005249,2893
ENSG00000005302,1185
ENSG00000005339,7983
ENSG00000005379,1759
ENSG00000005381,2
ENSG00000005421,3
ENSG00000005436,904
ENSG00000005448,1527
ENSG00000005469,1491
ENSG00000005471,70
ENSG00000005483,6051
ENSG00000005486,5300
ENSG00000005513,10
ENSG00000005700,3804
ENSG00000005801,1350
ENSG00000005810,4385
ENSG00000005812,1935
ENSG00000005844,692
ENSG00000005882,2705
ENSG00000005884,8680
ENSG00000005889,2636
ENSG00000005893,14008
ENSG00000005961,124
ENSG00000005981,0
ENSG00000006007,5397
ENSG00000006015,1623
ENSG00000006016,201
ENSG00000006025,1135
ENSG00000006042,360
ENSG00000006047,2568
ENSG00000006059,248
ENSG00000006062,516
ENSG00000006071,1124
ENSG00000006116,0
ENSG00000006118,8685
ENSG00000006125,22599
ENSG00000006128,4
ENSG00000006194,2388
ENSG00000006210,488
ENSG00000006282,10104
ENSG00000006283,17
ENSG00000006327,2066
ENSG00000006377,0
ENSG00000006432,2992
ENSG00000006451,4189
ENSG00000006453,4362
ENSG00000006459,1891
ENSG00000006468,179
ENSG00000006530,1629
ENSG00000006534,504
ENSG00000006555,28
ENSG00000006576,1395
ENSG00000006606,3
ENSG00000006607,2323
ENSG00000006611,0
ENSG00000006625,3669
ENSG00000006634,1042
ENSG00000006638,111
ENSG00000006652,1289
ENSG00000006659,0
ENSG00000006695,897
ENSG00000006704,3379
ENSG00000006712,7250
ENSG00000006715,4726
ENSG00000006740,997
ENSG00000006744,4953
ENSG00000006747,67
ENSG00000006756,2993
ENSG00000006757,1034
ENSG00000006788,12
ENSG00000006831,6034
ENSG00000006837,68
ENSG00000007001,18
ENSG00000007038,44
ENSG00000007047,2336
ENSG00000007062,30
ENSG00000007080,4487
ENSG00000007129,52
ENSG00000007168,7849
ENSG00000007171,15
ENSG00000007174,4
ENSG00000007202,31142
ENSG00000007216,14
ENSG00000007237,1277
ENSG00000007255,1888
ENSG00000007264,102
ENSG00000007306,0
ENSG00000007312,152
ENSG00000007314,51
ENSG00000007341,1079
ENSG00000007350,1
ENSG00000007372,77
ENSG00000007376,1541
ENSG00000007384,2331
ENSG00000007392,2066
ENSG00000007402,328
ENSG00000007516,552
ENSG00000007520,2820
ENSG00000007541,3680
ENSG00000007545,1541
ENSG00000007866,2235
ENSG00000007908,49
ENSG00000007923,1888
ENSG00000007933,23
ENSG00000007944,2201
ENSG00000007952,51
ENSG00000007968,1081
ENSG00000008018,10352
ENSG00000008056,608
ENSG00000008083,3018
ENSG00000008086,744
ENSG00000008118,16
ENSG00000008128,113
ENSG00000008130,3744
ENSG00000008196,2723
ENSG00000008197,0
ENSG00000008226,34
ENSG00000008256,718
ENSG00000008277,847
ENSG00000008282,6754
ENSG00000008283,19944
ENSG00000008294,6862
ENSG00000008300,728
ENSG00000008311,103
ENSG00000008323,1723
ENSG00000008324,1312
ENSG00000008382,2479
ENSG00000008394,20676
ENSG00000008405,1554
ENSG00000008438,6
ENSG00000008441,6007
ENSG00000008513,10597
ENSG00000008516,211
ENSG00000008517,721
ENSG00000008710,4117
ENSG00000008735,905
ENSG00000008838,6493
ENSG00000008853,919
ENSG00000008869,2741
ENSG00000008952,9541
ENSG00000008988,58969
ENSG00000009307,49269
ENSG00000009335,6508
ENSG00000009413,957
ENSG00000009694,12
ENSG00000009709,1
ENSG00000009724,75
ENSG00000009765,208
ENSG00000009780,681
ENSG00000009790,260
ENSG00000009830,3207
ENSG00000009844,2152
ENSG00000009950,47
ENSG00000009954,9404
ENSG00000010017,2442
ENSG00000010030,143
ENSG00000010072,810
ENSG00000010165,2851
ENSG00000010219,913
ENSG00000010244,7302
ENSG00000010256,13836
ENSG00000010270,1582
ENSG00000010278,24547
ENSG00000010282,4
ENSG00000010292,11347
ENSG00000010295,317
ENSG00000010310,336
ENSG00000010318,222
