Gene stable ID,1b94b377-93d1-41d7-9ac7-47d917a88d6e
ENSG00000000003,3908
ENSG00000000005,8
ENSG00000000419,3859
ENSG00000000457,2078
ENSG00000000460,2436
ENSG00000000938,333
ENSG00000000971,2065
ENSG00000001036,6141
ENSG00000001084,4662
ENSG00000001167,5754
ENSG00000001460,738
ENSG00000001461,4236
ENSG00000001497,5125
ENSG00000001561,2467
ENSG00000001617,7579
ENSG00000001626,9
ENSG00000001629,6820
ENSG00000001630,288
ENSG00000001631,2582
ENSG00000002016,782
ENSG00000002079,4
ENSG00000002330,1976
ENSG00000002549,10999
ENSG00000002586,5688
ENSG00000002587,516
ENSG00000002726,218
ENSG00000002745,3
ENSG00000002746,16
ENSG00000002822,1504
ENSG00000002834,36131
ENSG00000002919,3738
ENSG00000002933,4864
ENSG00000003056,8830
ENSG00000003096,472
ENSG00000003137,52
ENSG00000003147,2872
ENSG00000003249,5095
ENSG00000003393,1951
ENSG00000003400,341
ENSG00000003402,3253
ENSG00000003436,403
ENSG00000003509,578
ENSG00000003756,5166
ENSG00000003987,24
ENSG00000003989,8964
ENSG00000004059,8810
ENSG00000004139,183
ENSG00000004142,14432
ENSG00000004399,22037
ENSG00000004455,6512
ENSG00000004468,187
ENSG00000004478,55974
ENSG00000004487,8013
ENSG00000004534,5200
ENSG00000004660,608
ENSG00000004700,2832
ENSG00000004766,2012
ENSG00000004776,149
ENSG00000004777,705
ENSG00000004779,5063
ENSG00000004799,1365
ENSG00000004809,4
ENSG00000004838,800
ENSG00000004846,15
ENSG00000004848,2
ENSG00000004864,2590
ENSG00000004866,1818
ENSG00000004897,10744
ENSG00000004939,0
ENSG00000004948,66
ENSG00000004961,2593
ENSG00000004975,1832
ENSG00000005001,707
ENSG00000005007,10292
ENSG00000005020,1011
ENSG00000005022,29995
ENSG00000005059,981
ENSG00000005073,27
ENSG00000005075,2062
ENSG00000005100,2009
ENSG00000005102,22
ENSG00000005108,262
ENSG00000005156,8330
ENSG00000005175,3454
ENSG00000005187,101
ENSG00000005189,1102
ENSG00000005194,3320
ENSG00000005206,2089
ENSG00000005238,1040
ENSG00000005243,684
ENSG00000005249,3076
ENSG00000005302,2662
ENSG00000005339,14745
ENSG00000005379,1084
ENSG00000005381,25
ENSG00000005421,3
ENSG00000005436,1238
ENSG00000005448,846
ENSG00000005469,940
ENSG00000005471,124
ENSG00000005483,5958
ENSG00000005486,3538
ENSG00000005513,10
ENSG00000005700,8120
ENSG00000005801,1832
ENSG00000005810,4227
ENSG00000005812,4535
ENSG00000005844,2304
ENSG00000005882,3024
ENSG00000005884,4502
ENSG00000005889,4943
ENSG00000005893,23614
ENSG00000005961,28
ENSG00000005981,1
ENSG00000006007,7143
ENSG00000006015,1297
ENSG00000006016,132
ENSG00000006025,842
ENSG00000006042,4758
ENSG00000006047,1152
ENSG00000006059,21
ENSG00000006062,975
ENSG00000006071,345
ENSG00000006116,1
ENSG00000006118,8434
ENSG00000006125,38468
ENSG00000006128,2
ENSG00000006194,4035
ENSG00000006210,517
ENSG00000006282,6167
ENSG00000006283,33
ENSG00000006327,1551
ENSG00000006377,1
ENSG00000006432,2286
ENSG00000006451,5734
ENSG00000006453,2548
ENSG00000006459,3991
ENSG00000006468,595
ENSG00000006530,2442
ENSG00000006534,1773
ENSG00000006555,423
ENSG00000006576,3000
ENSG00000006606,5
ENSG00000006607,2033
ENSG00000006611,11
ENSG00000006625,6022
ENSG00000006634,1484
ENSG00000006638,78
ENSG00000006652,1458
ENSG00000006659,2
ENSG00000006695,1056
ENSG00000006704,3099
ENSG00000006712,8110
ENSG00000006715,5055
ENSG00000006740,1013
ENSG00000006744,5042
ENSG00000006747,5154
ENSG00000006756,7436
ENSG00000006757,1835
ENSG00000006788,25
ENSG00000006831,15396
ENSG00000006837,76
ENSG00000007001,1
ENSG00000007038,100
ENSG00000007047,2840
ENSG00000007062,12215
ENSG00000007080,5168
ENSG00000007129,39
ENSG00000007168,8522
ENSG00000007171,14
ENSG00000007174,2
ENSG00000007202,33979
ENSG00000007216,127
ENSG00000007237,2375
ENSG00000007255,2927
ENSG00000007264,77
ENSG00000007306,18
ENSG00000007312,62
ENSG00000007314,38
ENSG00000007341,608
ENSG00000007350,4
ENSG00000007372,119
