Gene stable ID,b24574b5-2229-4ca8-b6fd-65fd6ced0ef8
ENSG00000000003,1286
ENSG00000000005,52
ENSG00000000419,2653
ENSG00000000457,1879
ENSG00000000460,689
ENSG00000000938,240
ENSG00000000971,3305
ENSG00000001036,2660
ENSG00000001084,5007
ENSG00000001167,5154
ENSG00000001460,431
ENSG00000001461,3504
ENSG00000001497,3079
ENSG00000001561,524
ENSG00000001617,7720
ENSG00000001626,25
ENSG00000001629,7186
ENSG00000001630,194
ENSG00000001631,1695
ENSG00000002016,629
ENSG00000002079,5
ENSG00000002330,2020
ENSG00000002549,6425
ENSG00000002586,3791
ENSG00000002587,44
ENSG00000002726,5
ENSG00000002745,1
ENSG00000002746,31
ENSG00000002822,1405
ENSG00000002834,17600
ENSG00000002919,5801
ENSG00000002933,705
ENSG00000003056,8684
ENSG00000003096,376
ENSG00000003137,161
ENSG00000003147,7498
ENSG00000003249,2997
ENSG00000003393,3427
ENSG00000003400,496
ENSG00000003402,6027
ENSG00000003436,1084
ENSG00000003509,900
ENSG00000003756,10194
ENSG00000003987,70
ENSG00000003989,2875
ENSG00000004059,3141
ENSG00000004139,284
ENSG00000004142,18834
ENSG00000004399,3575
ENSG00000004455,6326
ENSG00000004468,313
ENSG00000004478,44592
ENSG00000004487,9515
ENSG00000004534,8470
ENSG00000004660,405
ENSG00000004700,2495
ENSG00000004766,1612
ENSG00000004776,756
ENSG00000004777,1173
ENSG00000004779,3066
ENSG00000004799,6571
ENSG00000004809,5
ENSG00000004838,71
ENSG00000004846,63
ENSG00000004848,490
ENSG00000004864,1600
ENSG00000004866,1541
ENSG00000004897,3982
ENSG00000004939,67
ENSG00000004948,9
ENSG00000004961,1484
ENSG00000004975,2096
ENSG00000005001,618
ENSG00000005007,10262
ENSG00000005020,2543
ENSG00000005022,13601
ENSG00000005059,509
ENSG00000005073,16
ENSG00000005075,844
ENSG00000005100,2397
ENSG00000005102,260
ENSG00000005108,259
ENSG00000005156,8199
ENSG00000005175,4491
ENSG00000005187,154
ENSG00000005189,586
ENSG00000005194,3799
ENSG00000005206,1650
ENSG00000005238,714
ENSG00000005243,571
ENSG00000005249,4120
ENSG00000005302,1240
ENSG00000005339,15812
ENSG00000005379,1362
ENSG00000005381,5
ENSG00000005421,1
ENSG00000005436,1513
ENSG00000005448,1257
ENSG00000005469,339
ENSG00000005471,144
ENSG00000005483,10016
ENSG00000005486,3496
ENSG00000005513,14
ENSG00000005700,7723
ENSG00000005801,4031
ENSG00000005810,7562
ENSG00000005812,4782
ENSG00000005844,740
ENSG00000005882,4278
ENSG00000005884,9888
ENSG00000005889,6891
ENSG00000005893,18322
ENSG00000005961,92
ENSG00000005981,6
ENSG00000006007,9972
ENSG00000006015,400
ENSG00000006016,295
ENSG00000006025,683
ENSG00000006042,875
ENSG00000006047,252
ENSG00000006059,18
ENSG00000006062,473
ENSG00000006071,143
ENSG00000006116,0
ENSG00000006118,5340
ENSG00000006125,87310
ENSG00000006128,194
ENSG00000006194,3556
ENSG00000006210,1194
ENSG00000006282,7718
ENSG00000006283,33
ENSG00000006327,305
ENSG00000006377,2
ENSG00000006432,3101
ENSG00000006451,6516
ENSG00000006453,2401
ENSG00000006459,4884
ENSG00000006468,543
ENSG00000006530,2920
ENSG00000006534,591
ENSG00000006555,21
ENSG00000006576,2487
ENSG00000006606,4
ENSG00000006607,5499
ENSG00000006611,11
ENSG00000006625,4166
ENSG00000006634,923
ENSG00000006638,55
ENSG00000006652,1475
ENSG00000006659,10
ENSG00000006695,1112
ENSG00000006704,3166
ENSG00000006712,4556
ENSG00000006715,10178
ENSG00000006740,299
ENSG00000006744,4316
ENSG00000006747,270
ENSG00000006756,12711
ENSG00000006757,1522
ENSG00000006788,35
ENSG00000006831,15029
ENSG00000006837,56
ENSG00000007001,1
ENSG00000007038,26
ENSG00000007047,1784
ENSG00000007062,356
ENSG00000007080,588
ENSG00000007129,493
ENSG00000007168,16567
ENSG00000007171,22
ENSG00000007174,29
ENSG00000007202,64524
ENSG00000007216,239
ENSG00000007237,3256
ENSG00000007255,951
ENSG00000007264,17
ENSG00000007306,860
ENSG00000007312,74
ENSG00000007314,126
ENSG00000007341,806
ENSG00000007350,4
ENSG00000007372,186
ENSG00000007376,1091
ENSG00000007384,1938
ENSG00000007392,2466
