Gene stable ID,1e97e830-1923-494c-9091-9635b6eabaf9
ENSG00000000003,3552
ENSG00000000005,327
ENSG00000000419,1508
ENSG00000000457,861
ENSG00000000460,261
ENSG00000000938,479
ENSG00000000971,9717
ENSG00000001036,2513
ENSG00000001084,1952
ENSG00000001167,1939
ENSG00000001460,571
ENSG00000001461,2614
ENSG00000001497,1535
ENSG00000001561,1995
ENSG00000001617,3159
ENSG00000001626,33
ENSG00000001629,3463
ENSG00000001630,132
ENSG00000001631,1918
ENSG00000002016,353
ENSG00000002079,3
ENSG00000002330,973
ENSG00000002549,5895
ENSG00000002586,9549
ENSG00000002587,322
ENSG00000002726,15
ENSG00000002745,1
ENSG00000002746,43
ENSG00000002822,669
ENSG00000002834,14152
ENSG00000002919,1087
ENSG00000002933,2412
ENSG00000003056,3435
ENSG00000003096,2469
ENSG00000003137,1007
ENSG00000003147,1773
ENSG00000003249,424
ENSG00000003393,1731
ENSG00000003400,1282
ENSG00000003402,7596
ENSG00000003436,6864
ENSG00000003509,545
ENSG00000003756,3711
ENSG00000003987,156
ENSG00000003989,5948
ENSG00000004059,3943
ENSG00000004139,370
ENSG00000004142,3563
ENSG00000004399,10235
ENSG00000004455,4187
ENSG00000004468,82
ENSG00000004478,5628
ENSG00000004487,3669
ENSG00000004534,3261
ENSG00000004660,345
ENSG00000004700,1474
ENSG00000004766,1772
ENSG00000004776,8866
ENSG00000004777,287
ENSG00000004779,1319
ENSG00000004799,22915
ENSG00000004809,6
ENSG00000004838,116
ENSG00000004846,406
ENSG00000004848,40
ENSG00000004864,967
ENSG00000004866,1657
ENSG00000004897,4091
ENSG00000004939,54
ENSG00000004948,118
ENSG00000004961,762
ENSG00000004975,1545
ENSG00000005001,219
ENSG00000005007,4278
ENSG00000005020,3727
ENSG00000005022,6372
ENSG00000005059,949
ENSG00000005073,11
ENSG00000005075,879
ENSG00000005100,1153
ENSG00000005102,1735
ENSG00000005108,1066
ENSG00000005156,1056
ENSG00000005175,1421
ENSG00000005187,540
ENSG00000005189,256
ENSG00000005194,1506
ENSG00000005206,1138
ENSG00000005238,1194
ENSG00000005243,1278
ENSG00000005249,6512
ENSG00000005302,1202
ENSG00000005339,8084
ENSG00000005379,861
ENSG00000005381,23
ENSG00000005421,2
ENSG00000005436,1174
ENSG00000005448,349
ENSG00000005469,1532
ENSG00000005471,79
ENSG00000005483,6517
ENSG00000005486,3620
ENSG00000005513,96
ENSG00000005700,3094
ENSG00000005801,816
ENSG00000005810,7115
ENSG00000005812,5983
ENSG00000005844,702
ENSG00000005882,1962
ENSG00000005884,7290
ENSG00000005889,3013
ENSG00000005893,13529
ENSG00000005961,18
ENSG00000005981,15
ENSG00000006007,3427
ENSG00000006015,372
ENSG00000006016,492
ENSG00000006025,518
ENSG00000006042,3259
ENSG00000006047,124
ENSG00000006059,6
ENSG00000006062,1057
ENSG00000006071,513
ENSG00000006116,2
ENSG00000006118,940
ENSG00000006125,16485
ENSG00000006128,126
ENSG00000006194,1669
ENSG00000006210,20390
ENSG00000006282,2203
ENSG00000006283,75
ENSG00000006327,1571
ENSG00000006377,7
ENSG00000006432,545
ENSG00000006451,3139
ENSG00000006453,877
ENSG00000006459,3000
ENSG00000006468,1627
ENSG00000006530,1084
ENSG00000006534,490
ENSG00000006555,382
ENSG00000006576,1348
ENSG00000006606,14
ENSG00000006607,1451
ENSG00000006611,39
ENSG00000006625,1260
ENSG00000006634,332
ENSG00000006638,224
ENSG00000006652,2276
ENSG00000006659,3
ENSG00000006695,665
ENSG00000006704,705
ENSG00000006712,2986
ENSG00000006715,3267
ENSG00000006740,615
ENSG00000006744,2574
ENSG00000006747,185
ENSG00000006756,5516
ENSG00000006757,1025
ENSG00000006788,7
ENSG00000006831,5051
ENSG00000006837,38
ENSG00000007001,12
ENSG00000007038,8
ENSG00000007047,1666
ENSG00000007062,2337
ENSG00000007080,1111
ENSG00000007129,51
ENSG00000007168,8293
ENSG00000007171,70
ENSG00000007174,102
ENSG00000007202,9465
ENSG00000007216,332
ENSG00000007237,3669
ENSG00000007255,542
ENSG00000007264,67
ENSG00000007306,5
ENSG00000007312,392
ENSG00000007314,715
ENSG00000007341,519
ENSG00000007350,6
ENSG00000007372,136
ENSG00000007376,501
ENSG00000007384,1432
ENSG00000007392,747
ENSG00000007402,382
ENSG00000007516,313
ENSG00000007520,961
ENSG00000007541,1711
ENSG00000007545,1205
ENSG00000007866,2074
ENSG00000007908,17881
ENSG00000007923,1073
ENSG00000007933,593
ENSG00000007944,3913
ENSG00000007952,25
ENSG00000007968,30
ENSG00000008018,5004
ENSG00000008056,48
ENSG00000008083,1339
ENSG00000008086,1493
ENSG00000008118,10
ENSG00000008128,192
ENSG00000008130,2857
