Gene stable ID,6b114284-88ec-4bf9-ace4-2f20375cfc12
ENSG00000000003,2655
ENSG00000000005,39
ENSG00000000419,3900
ENSG00000000457,4994
ENSG00000000460,2018
ENSG00000000938,873
ENSG00000000971,3536
ENSG00000001036,3159
ENSG00000001084,2099
ENSG00000001167,4118
ENSG00000001460,1472
ENSG00000001461,3453
ENSG00000001497,4104
ENSG00000001561,4363
ENSG00000001617,16511
ENSG00000001626,51
ENSG00000001629,8498
ENSG00000001630,690
ENSG00000001631,3868
ENSG00000002016,957
ENSG00000002079,82
ENSG00000002330,1038
ENSG00000002549,16828
ENSG00000002586,4703
ENSG00000002587,441
ENSG00000002726,24
ENSG00000002745,6
ENSG00000002746,74
ENSG00000002822,1494
ENSG00000002834,26950
ENSG00000002919,3826
ENSG00000002933,1586
ENSG00000003056,7747
ENSG00000003096,486
ENSG00000003137,87
ENSG00000003147,3276
ENSG00000003249,1653
ENSG00000003393,4118
ENSG00000003400,1136
ENSG00000003402,12285
ENSG00000003436,860
ENSG00000003509,840
ENSG00000003756,15051
ENSG00000003987,339
ENSG00000003989,33592
ENSG00000004059,7884
ENSG00000004139,940
ENSG00000004142,12798
ENSG00000004399,12306
ENSG00000004455,11402
ENSG00000004468,1486
ENSG00000004478,23105
ENSG00000004487,9760
ENSG00000004534,11076
ENSG00000004660,745
ENSG00000004700,2850
ENSG00000004766,3100
ENSG00000004776,251
ENSG00000004777,1640
ENSG00000004779,2306
ENSG00000004799,3279
ENSG00000004809,9
ENSG00000004838,2720
ENSG00000004846,121
ENSG00000004848,5
ENSG00000004864,2013
ENSG00000004866,1665
ENSG00000004897,10886
ENSG00000004939,4
ENSG00000004948,23
ENSG00000004961,1629
ENSG00000004975,2279
ENSG00000005001,874
ENSG00000005007,10483
ENSG00000005020,2114
ENSG00000005022,11189
ENSG00000005059,1696
ENSG00000005073,11
ENSG00000005075,1784
ENSG00000005100,1907
ENSG00000005102,584
ENSG00000005108,684
ENSG00000005156,8382
ENSG00000005175,3461
ENSG00000005187,224
ENSG00000005189,936
ENSG00000005194,2423
ENSG00000005206,3474
ENSG00000005238,1532
ENSG00000005243,438
ENSG00000005249,8302
ENSG00000005302,2470
ENSG00000005339,14766
ENSG00000005379,5075
ENSG00000005381,36
ENSG00000005421,8
ENSG00000005436,4606
ENSG00000005448,1034
ENSG00000005469,4611
ENSG00000005471,235
ENSG00000005483,13754
ENSG00000005486,6561
ENSG00000005513,23
ENSG00000005700,6183
ENSG00000005801,2143
ENSG00000005810,14525
ENSG00000005812,7953
ENSG00000005844,5182
ENSG00000005882,2607
ENSG00000005884,10110
ENSG00000005889,10805
ENSG00000005893,21456
ENSG00000005961,345
ENSG00000005981,10
ENSG00000006007,8126
ENSG00000006015,544
ENSG00000006016,98
ENSG00000006025,1378
ENSG00000006042,8284
ENSG00000006047,882
ENSG00000006059,28
ENSG00000006062,3336
ENSG00000006071,1619
ENSG00000006116,0
ENSG00000006118,5985
ENSG00000006125,43314
ENSG00000006128,120
ENSG00000006194,4070
ENSG00000006210,6264
ENSG00000006282,8825
ENSG00000006283,46
ENSG00000006327,1890
ENSG00000006377,11
ENSG00000006432,1694
ENSG00000006451,5940
ENSG00000006453,2998
ENSG00000006459,2920
ENSG00000006468,1111
ENSG00000006530,2496
ENSG00000006534,2210
ENSG00000006555,459
ENSG00000006576,3983
ENSG00000006606,9
ENSG00000006607,5013
ENSG00000006611,19
ENSG00000006625,3471
ENSG00000006634,1145
ENSG00000006638,137
ENSG00000006652,1966
ENSG00000006659,2
ENSG00000006695,838
ENSG00000006704,3182
ENSG00000006712,5612
ENSG00000006715,6412
ENSG00000006740,335
ENSG00000006744,3403
ENSG00000006747,828
ENSG00000006756,16617
ENSG00000006757,6874
ENSG00000006788,47
ENSG00000006831,12848
ENSG00000006837,114
ENSG00000007001,8
ENSG00000007038,218
ENSG00000007047,3055
ENSG00000007062,899
ENSG00000007080,1753
ENSG00000007129,183
ENSG00000007168,9855
ENSG00000007171,16
ENSG00000007174,22
ENSG00000007202,35273
ENSG00000007216,75
ENSG00000007237,3976
ENSG00000007255,2073
ENSG00000007264,182
ENSG00000007306,65
ENSG00000007312,428
ENSG00000007314,62
ENSG00000007341,1599
ENSG00000007350,7
ENSG00000007372,200
ENSG00000007376,1298
ENSG00000007384,4290
ENSG00000007392,2874
ENSG00000007402,1627
ENSG00000007516,823
ENSG00000007520,2243
ENSG00000007541,6546
ENSG00000007545,2528
ENSG00000007866,2724
ENSG00000007908,758
ENSG00000007923,4104
ENSG00000007933,315
ENSG00000007944,5924
ENSG00000007952,120
ENSG00000007968,875
ENSG00000008018,5074
ENSG00000008056,52
ENSG00000008083,3813
ENSG00000008086,1303
ENSG00000008118,18
ENSG00000008128,619
ENSG00000008130,7755
ENSG00000008196,7065
ENSG00000008197,0
ENSG00000008226,214
ENSG00000008256,2281
ENSG00000008277,719
ENSG00000008282,9605
ENSG00000008283,11668
ENSG00000008294,9912
ENSG00000008300,6303
ENSG00000008311,1273
ENSG00000008323,1281
ENSG00000008324,922
ENSG00000008382,1238
ENSG00000008394,9928
ENSG00000008405,3662
ENSG00000008438,3
ENSG00000008441,4197
ENSG00000008513,9817
ENSG00000008516,187
ENSG00000008517,3450
ENSG00000008710,4373
ENSG00000008735,12725
ENSG00000008838,12504
ENSG00000008853,1386
ENSG00000008869,5567
ENSG00000008952,15730
ENSG00000008988,31252
ENSG00000009307,56032
ENSG00000009335,8546
ENSG00000009413,2937
ENSG00000009694,62
ENSG00000009709,4
ENSG00000009724,250
ENSG00000009765,2
ENSG00000009780,2135
ENSG00000009790,1717
ENSG00000009830,3273
ENSG00000009844,2863
ENSG00000009950,291
ENSG00000009954,15307
ENSG00000010017,7705
ENSG00000010030,1543
ENSG00000010072,1884
ENSG00000010165,7781
ENSG00000010219,1126
ENSG00000010244,17481
ENSG00000010256,9483
ENSG00000010270,2209
ENSG00000010278,42421
ENSG00000010282,2
ENSG00000010292,7213
ENSG00000010295,974
ENSG00000010310,109
ENSG00000010318,690
ENSG00000010319,2137
ENSG00000010322,13077
ENSG00000010327,4670
ENSG00000010361,1976
ENSG00000010379,1
ENSG00000010404,12133
ENSG00000010438,5
ENSG00000010539,1351
ENSG00000010610,10194
ENSG00000010626,1302
ENSG00000010671,1271
ENSG00000010704,3249
ENSG00000010803,4791
ENSG00000010810,2941
ENSG00000010818,4024
ENSG00000010932,270
ENSG00000011007,6197
ENSG00000011009,4111
ENSG00000011021,2758
ENSG00000011028,4922
ENSG00000011052,13
ENSG00000011083,7
ENSG00000011105,5323
ENSG00000011114,3804
ENSG00000011132,998
ENSG00000011143,2614
ENSG00000011198,1581
ENSG00000011201,2153
ENSG00000011243,6125
ENSG00000011258,3677
ENSG00000011260,3782
ENSG00000011275,5526
ENSG00000011295,3388
ENSG00000011304,20341
ENSG00000011332,36
ENSG00000011347,11553
ENSG00000011376,2836
ENSG00000011405,8540
ENSG00000011422,2465
ENSG00000011426,2953
ENSG00000011451,7589
ENSG00000011454,7448
ENSG00000011465,22225
ENSG00000011478,1078
ENSG00000011485,4282
ENSG00000011523,4176
ENSG00000011566,6445
ENSG00000011590,121
ENSG00000011600,5420
ENSG00000011638,2831
ENSG00000011677,10
ENSG00000012048,3646
ENSG00000012061,4252
ENSG00000012124,1033
ENSG00000012171,8502
ENSG00000012174,4403
ENSG00000012211,775
ENSG00000012223,68531
ENSG00000012232,3798
ENSG00000012504,0
ENSG00000012660,32510
ENSG00000012779,1850
ENSG00000012817,0
ENSG00000012822,9578
ENSG00000012963,5077
ENSG00000012983,4754
ENSG00000013016,1043
ENSG00000013275,5559
ENSG00000013288,9661
ENSG00000013293,2
ENSG00000013297,967
ENSG00000013306,13447
ENSG00000013364,13913
ENSG00000013374,10801
ENSG00000013375,2244
ENSG00000013392,553
ENSG00000013441,9074
ENSG00000013503,1101
ENSG00000013523,3905
ENSG00000013561,7566
ENSG00000013563,1975
ENSG00000013573,1441
ENSG00000013583,8469
ENSG00000013588,16205
ENSG00000013619,238
ENSG00000013725,1658
ENSG00000013810,4182
ENSG00000014123,3122
ENSG00000014138,1325
ENSG00000014164,2208
ENSG00000014216,10384
ENSG00000014257,107
ENSG00000014641,9741
ENSG00000014824,9603
ENSG00000014914,2517
ENSG00000014919,5094
ENSG00000015133,4918
ENSG00000015153,1734
ENSG00000015171,11434
ENSG00000015285,1628
ENSG00000015413,109
ENSG00000015475,1866
ENSG00000015479,1217
ENSG00000015520,61
ENSG00000015532,5886
ENSG00000015568,3
ENSG00000015592,4
ENSG00000015676,10958
ENSG00000016082,9
ENSG00000016391,2524
ENSG00000016402,202
ENSG00000016490,0
ENSG00000016602,25
ENSG00000016864,5226
ENSG00000017260,10921
ENSG00000017427,182
ENSG00000017483,417
ENSG00000017797,9735
ENSG00000018189,3101
ENSG00000018236,432
ENSG00000018280,914
ENSG00000018408,5982
ENSG00000018510,4863
ENSG00000018607,6
ENSG00000018610,2080
ENSG00000018625,148
ENSG00000018699,2702
ENSG00000018869,85
ENSG00000019102,45
ENSG00000019144,4787
ENSG00000019169,41
ENSG00000019186,15
ENSG00000019485,975
ENSG00000019505,11282
ENSG00000019549,774
ENSG00000019582,255785
ENSG00000019991,956
ENSG00000019995,4106
ENSG00000020129,3298
ENSG00000020181,2431
ENSG00000020219,0
ENSG00000020256,2294
ENSG00000020426,1759
ENSG00000020577,1994
ENSG00000020633,2046
ENSG00000020922,2025
ENSG00000021300,595
ENSG00000021355,7861
ENSG00000021461,58
ENSG00000021488,34
ENSG00000021574,2965
ENSG00000021645,378
ENSG00000021762,3354
ENSG00000021776,7066
ENSG00000021826,259
ENSG00000021852,0
ENSG00000022267,1783
ENSG00000022277,8014
ENSG00000022355,0
