Gene stable ID,753b019e-717c-48e3-bfa1-c960122a4fe2
ENSG00000000003,3304
ENSG00000000005,11
ENSG00000000419,4611
ENSG00000000457,2251
ENSG00000000460,3309
ENSG00000000938,335
ENSG00000000971,1634
ENSG00000001036,2504
ENSG00000001084,4012
ENSG00000001167,6533
ENSG00000001460,861
ENSG00000001461,3517
ENSG00000001497,3969
ENSG00000001561,662
ENSG00000001617,3604
ENSG00000001626,9
ENSG00000001629,6854
ENSG00000001630,448
ENSG00000001631,2827
ENSG00000002016,517
ENSG00000002079,4
ENSG00000002330,1079
ENSG00000002549,4580
ENSG00000002586,2359
ENSG00000002587,276
ENSG00000002726,51
ENSG00000002745,8
ENSG00000002746,47
ENSG00000002822,1653
ENSG00000002834,10391
ENSG00000002919,1101
ENSG00000002933,20409
ENSG00000003056,5810
ENSG00000003096,336
ENSG00000003137,1416
ENSG00000003147,1625
ENSG00000003249,3057
ENSG00000003393,1721
ENSG00000003400,174
ENSG00000003402,4582
ENSG00000003436,568
ENSG00000003509,949
ENSG00000003756,4245
ENSG00000003987,334
ENSG00000003989,457
ENSG00000004059,9657
ENSG00000004139,276
ENSG00000004142,6099
ENSG00000004399,9594
ENSG00000004455,11398
ENSG00000004468,103
ENSG00000004478,23712
ENSG00000004487,18716
ENSG00000004534,5005
ENSG00000004660,119
ENSG00000004700,3102
ENSG00000004766,1823
ENSG00000004776,137
ENSG00000004777,1315
ENSG00000004779,2610
ENSG00000004799,801
ENSG00000004809,20
ENSG00000004838,91
ENSG00000004846,23
ENSG00000004848,3
ENSG00000004864,2220
ENSG00000004866,1599
ENSG00000004897,4123
ENSG00000004939,0
ENSG00000004948,2
ENSG00000004961,1747
ENSG00000004975,2045
ENSG00000005001,356
ENSG00000005007,10646
ENSG00000005020,1734
ENSG00000005022,15022
ENSG00000005059,1359
ENSG00000005073,13
ENSG00000005075,1168
ENSG00000005100,3580
ENSG00000005102,110
ENSG00000005108,132
ENSG00000005156,3355
ENSG00000005175,3021
ENSG00000005187,603
ENSG00000005189,659
ENSG00000005194,2302
ENSG00000005206,2243
ENSG00000005238,1376
ENSG00000005243,210
ENSG00000005249,5413
ENSG00000005302,2406
ENSG00000005339,13706
ENSG00000005379,1195
ENSG00000005381,58
ENSG00000005421,7
ENSG00000005436,1952
ENSG00000005448,631
ENSG00000005469,546
ENSG00000005471,31
ENSG00000005483,7331
ENSG00000005486,4871
ENSG00000005513,305
ENSG00000005700,5762
ENSG00000005801,2040
ENSG00000005810,4979
ENSG00000005812,2207
ENSG00000005844,295
ENSG00000005882,534
ENSG00000005884,1577
ENSG00000005889,2703
ENSG00000005893,21762
ENSG00000005961,61
ENSG00000005981,2
ENSG00000006007,3573
ENSG00000006015,471
ENSG00000006016,133
ENSG00000006025,199
ENSG00000006042,1833
ENSG00000006047,733
ENSG00000006059,3
ENSG00000006062,2815
ENSG00000006071,11
ENSG00000006116,0
ENSG00000006118,8122
ENSG00000006125,16593
ENSG00000006128,2
ENSG00000006194,3056
ENSG00000006210,3793
ENSG00000006282,575
ENSG00000006283,24
ENSG00000006327,3241
ENSG00000006377,65
ENSG00000006432,1006
ENSG00000006451,6947
ENSG00000006453,3892
ENSG00000006459,3554
ENSG00000006468,357
ENSG00000006530,3456
ENSG00000006534,317
ENSG00000006555,1325
ENSG00000006576,3371
ENSG00000006606,6
ENSG00000006607,3051
ENSG00000006611,19
ENSG00000006625,4699
ENSG00000006634,2081
ENSG00000006638,74
ENSG00000006652,7481
ENSG00000006659,0
ENSG00000006695,903
ENSG00000006704,3444
ENSG00000006712,3866
ENSG00000006715,3356
ENSG00000006740,324
ENSG00000006744,3719
ENSG00000006747,128
ENSG00000006756,2268
ENSG00000006757,293
ENSG00000006788,15
ENSG00000006831,5020
ENSG00000006837,42
ENSG00000007001,10
ENSG00000007038,2
ENSG00000007047,2778
ENSG00000007062,13745
ENSG00000007080,2767
ENSG00000007129,14
ENSG00000007168,7639
ENSG00000007171,39
ENSG00000007174,6
ENSG00000007202,13994
ENSG00000007216,14
ENSG00000007237,1017
ENSG00000007255,730
ENSG00000007264,247
ENSG00000007306,0
ENSG00000007312,54
ENSG00000007314,15
ENSG00000007341,586
ENSG00000007350,2
ENSG00000007372,135
ENSG00000007376,2631
ENSG00000007384,3311
ENSG00000007392,1662
ENSG00000007402,98
ENSG00000007516,371
ENSG00000007520,2280
ENSG00000007541,2456
ENSG00000007545,2528
ENSG00000007866,3682
ENSG00000007908,475
ENSG00000007923,2118
ENSG00000007933,75
ENSG00000007944,3132
ENSG00000007952,40
ENSG00000007968,2565
ENSG00000008018,7358
ENSG00000008056,33
ENSG00000008083,3128
ENSG00000008086,2402
ENSG00000008118,27
ENSG00000008128,154
ENSG00000008130,2066
ENSG00000008196,74
ENSG00000008197,0
ENSG00000008226,98
ENSG00000008256,2968
ENSG00000008277,435
ENSG00000008282,8263
ENSG00000008283,9306
ENSG00000008294,6210
ENSG00000008300,4295
ENSG00000008311,275
ENSG00000008323,1590
ENSG00000008324,1497
ENSG00000008382,1131
ENSG00000008394,8189
ENSG00000008405,2256
ENSG00000008438,3
ENSG00000008441,37775
ENSG00000008513,8148
ENSG00000008516,108
ENSG00000008517,8246
ENSG00000008710,3656
ENSG00000008735,325
ENSG00000008838,3614
ENSG00000008853,1971
ENSG00000008869,3439
ENSG00000008952,5368
ENSG00000008988,30004
ENSG00000009307,37983
ENSG00000009335,11501
ENSG00000009413,2990
ENSG00000009694,81
ENSG00000009709,0
ENSG00000009724,24
ENSG00000009765,7
ENSG00000009780,1405
ENSG00000009790,1117
ENSG00000009830,964
ENSG00000009844,3632
ENSG00000009950,21
ENSG00000009954,17022
ENSG00000010017,7924
ENSG00000010030,746
ENSG00000010072,1959
ENSG00000010165,9414
ENSG00000010219,1222
ENSG00000010244,9139
ENSG00000010256,12203
ENSG00000010270,1286
ENSG00000010278,25955
ENSG00000010282,2
ENSG00000010292,14817
ENSG00000010295,240
ENSG00000010310,10
ENSG00000010318,245
ENSG00000010319,210
ENSG00000010322,5684
ENSG00000010327,1548
ENSG00000010361,285
ENSG00000010379,1
ENSG00000010404,4398
ENSG00000010438,166
ENSG00000010539,888
ENSG00000010610,1664
ENSG00000010626,266
ENSG00000010671,224
ENSG00000010704,896
ENSG00000010803,2718
ENSG00000010810,697
ENSG00000010818,4529
ENSG00000010932,4501
ENSG00000011007,5946
ENSG00000011009,5094
ENSG00000011021,540
ENSG00000011028,6623
ENSG00000011052,45
ENSG00000011083,4
ENSG00000011105,2077
ENSG00000011114,2203
ENSG00000011132,1034
ENSG00000011143,473
ENSG00000011198,2037
ENSG00000011201,1087
ENSG00000011243,2627
ENSG00000011258,2090
ENSG00000011260,2819
ENSG00000011275,6511
ENSG00000011295,2816
ENSG00000011304,23576
ENSG00000011332,31
ENSG00000011347,12667
ENSG00000011376,2573
ENSG00000011405,6655
ENSG00000011422,3812
ENSG00000011426,14002
ENSG00000011451,6133
ENSG00000011454,3802
ENSG00000011465,18873
ENSG00000011478,1275
ENSG00000011485,4893
ENSG00000011523,2067
ENSG00000011566,3204
ENSG00000011590,48
ENSG00000011600,688
ENSG00000011638,4701
ENSG00000011677,3
ENSG00000012048,2176
ENSG00000012061,3357
ENSG00000012124,64
ENSG00000012171,143
ENSG00000012174,1746
ENSG00000012211,991
ENSG00000012223,63456
ENSG00000012232,9460
ENSG00000012504,0
ENSG00000012660,8791
ENSG00000012779,618
ENSG00000012817,0
ENSG00000012822,2992
ENSG00000012963,2154
ENSG00000012983,2834
ENSG00000013016,689
ENSG00000013275,6899
ENSG00000013288,2059
ENSG00000013293,3
ENSG00000013297,177
ENSG00000013306,7920
ENSG00000013364,5618
ENSG00000013374,5972
ENSG00000013375,5692
ENSG00000013392,655
ENSG00000013441,1529
ENSG00000013503,1750
ENSG00000013523,1367
ENSG00000013561,2948
ENSG00000013563,555
ENSG00000013573,2584
ENSG00000013583,2239
ENSG00000013588,2999
ENSG00000013619,2375
ENSG00000013725,195
ENSG00000013810,8524
ENSG00000014123,2559
ENSG00000014138,2921
ENSG00000014164,2566
ENSG00000014216,13883
ENSG00000014257,29
ENSG00000014641,9132
ENSG00000014824,4578
ENSG00000014914,2735
ENSG00000014919,1342
ENSG00000015133,4980
ENSG00000015153,1335
ENSG00000015171,16435
ENSG00000015285,267
ENSG00000015413,18
ENSG00000015475,3251
ENSG00000015479,279
ENSG00000015520,8
ENSG00000015532,960
ENSG00000015568,0
ENSG00000015592,2
ENSG00000015676,7384
ENSG00000016082,11
ENSG00000016391,5424
ENSG00000016402,159
ENSG00000016490,0
ENSG00000016602,22
ENSG00000016864,3450
ENSG00000017260,19936
ENSG00000017427,72
ENSG00000017483,427
ENSG00000017797,7594
ENSG00000018189,1479
ENSG00000018236,161
ENSG00000018280,733
ENSG00000018408,8075
ENSG00000018510,2114
ENSG00000018607,0
ENSG00000018610,2357
ENSG00000018625,29
ENSG00000018699,1791
ENSG00000018869,41
ENSG00000019102,20
ENSG00000019144,8416
ENSG00000019169,556
ENSG00000019186,124
ENSG00000019485,400
ENSG00000019505,401
ENSG00000019549,1211
ENSG00000019582,25328
ENSG00000019991,151
ENSG00000019995,1562
ENSG00000020129,2318
ENSG00000020181,1217
ENSG00000020219,0
ENSG00000020256,2527
ENSG00000020426,692
ENSG00000020577,1002
ENSG00000020633,2234
ENSG00000020922,3479
ENSG00000021300,4223
ENSG00000021355,1163
ENSG00000021461,0
ENSG00000021488,2
ENSG00000021574,3653
ENSG00000021645,105
ENSG00000021762,2512
ENSG00000021776,3898
ENSG00000021826,99
ENSG00000021852,1
ENSG00000022267,869
ENSG00000022277,2927
ENSG00000022355,8
ENSG00000022556,71
ENSG00000022567,2002
ENSG00000022840,10898
ENSG00000022976,319
ENSG00000023041,1610
ENSG00000023171,119
ENSG00000023191,7490
ENSG00000023228,5118
ENSG00000023287,10432
ENSG00000023318,4197
ENSG00000023330,3391
ENSG00000023445,6962
ENSG00000023516,4941
ENSG00000023572,1260
ENSG00000023608,627
ENSG00000023697,1761
ENSG00000023734,15092
ENSG00000023839,28
ENSG00000023892,1128
ENSG00000023902,3807
ENSG00000023909,2781
ENSG00000024048,3918
ENSG00000024422,1944
ENSG00000024526,2521
ENSG00000024862,467
ENSG00000025039,743
ENSG00000025156,1735
ENSG00000025293,7209
ENSG00000025423,523
ENSG00000025434,1533
ENSG00000025708,6867
ENSG00000025770,3524
