Gene stable ID,950c55e8-11d8-4bbf-acf6-244fb6702f4a
ENSG00000000003,1107
ENSG00000000005,1
ENSG00000000419,2218
ENSG00000000457,2866
ENSG00000000460,882
ENSG00000000938,285
ENSG00000000971,104
ENSG00000001036,3241
ENSG00000001084,5051
ENSG00000001167,4587
ENSG00000001460,1028
ENSG00000001461,12410
ENSG00000001497,4421
ENSG00000001561,4662
ENSG00000001617,8672
ENSG00000001626,18
ENSG00000001629,3876
ENSG00000001630,320
ENSG00000001631,2080
ENSG00000002016,951
ENSG00000002079,5
ENSG00000002330,3771
ENSG00000002549,8360
ENSG00000002586,1603
ENSG00000002587,33
ENSG00000002726,4
ENSG00000002745,0
ENSG00000002746,7
ENSG00000002822,2563
ENSG00000002834,38232
ENSG00000002919,2535
ENSG00000002933,239
ENSG00000003056,7551
ENSG00000003096,60
ENSG00000003137,27
ENSG00000003147,9700
ENSG00000003249,2064
ENSG00000003393,3012
ENSG00000003400,171
ENSG00000003402,7627
ENSG00000003436,116
ENSG00000003509,1219
ENSG00000003756,12212
ENSG00000003987,99
ENSG00000003989,9
ENSG00000004059,4207
ENSG00000004139,320
ENSG00000004142,11902
ENSG00000004399,12093
ENSG00000004455,10525
ENSG00000004468,8
ENSG00000004478,34616
ENSG00000004487,11051
ENSG00000004534,11431
ENSG00000004660,1964
ENSG00000004700,2137
ENSG00000004766,1431
ENSG00000004776,19
ENSG00000004777,1409
ENSG00000004779,4797
ENSG00000004799,76
ENSG00000004809,0
ENSG00000004838,1331
ENSG00000004846,3
ENSG00000004848,1
ENSG00000004864,984
ENSG00000004866,2377
ENSG00000004897,7706
ENSG00000004939,1
ENSG00000004948,5
ENSG00000004961,1656
ENSG00000004975,2350
ENSG00000005001,2028
ENSG00000005007,14034
ENSG00000005020,1518
ENSG00000005022,18666
ENSG00000005059,1352
ENSG00000005073,5
ENSG00000005075,1015
ENSG00000005100,2756
ENSG00000005102,11
ENSG00000005108,78
ENSG00000005156,5515
ENSG00000005175,2887
ENSG00000005187,213
ENSG00000005189,997
ENSG00000005194,2243
ENSG00000005206,2954
ENSG00000005238,2490
ENSG00000005243,227
ENSG00000005249,6232
ENSG00000005302,1574
ENSG00000005339,19195
ENSG00000005379,4254
ENSG00000005381,10
ENSG00000005421,45
ENSG00000005436,2036
ENSG00000005448,1314
ENSG00000005469,1729
ENSG00000005471,57
ENSG00000005483,5886
ENSG00000005486,16700
ENSG00000005513,22
ENSG00000005700,11042
ENSG00000005801,1801
ENSG00000005810,9436
ENSG00000005812,6398
ENSG00000005844,852
ENSG00000005882,3838
ENSG00000005884,10098
ENSG00000005889,10674
ENSG00000005893,15383
ENSG00000005961,60
ENSG00000005981,3
ENSG00000006007,16904
ENSG00000006015,895
ENSG00000006016,134
ENSG00000006025,1783
ENSG00000006042,3595
ENSG00000006047,394
ENSG00000006059,46
ENSG00000006062,1385
ENSG00000006071,4079
ENSG00000006116,0
ENSG00000006118,4152
ENSG00000006125,30853
ENSG00000006128,2
ENSG00000006194,4506
ENSG00000006210,1259
ENSG00000006282,4069
ENSG00000006283,16
ENSG00000006327,1950
ENSG00000006377,3
ENSG00000006432,3163
ENSG00000006451,5450
ENSG00000006453,1744
ENSG00000006459,713
ENSG00000006468,76
ENSG00000006530,1298
ENSG00000006534,1092
ENSG00000006555,2781
ENSG00000006576,2142
