Gene stable ID,d8b83d06-a8cf-411f-80f7-cd6847a1f5c7
ENSG00000000003,5789
ENSG00000000005,34
ENSG00000000419,2538
ENSG00000000457,2572
ENSG00000000460,1292
ENSG00000000938,284
ENSG00000000971,2934
ENSG00000001036,5797
ENSG00000001084,3401
ENSG00000001167,5931
ENSG00000001460,544
ENSG00000001461,1563
ENSG00000001497,2019
ENSG00000001561,2246
ENSG00000001617,5554
ENSG00000001626,40
ENSG00000001629,12709
ENSG00000001630,356
ENSG00000001631,4488
ENSG00000002016,763
ENSG00000002079,8
ENSG00000002330,743
ENSG00000002549,7451
ENSG00000002586,2598
ENSG00000002587,181
ENSG00000002726,31
ENSG00000002745,3
ENSG00000002746,16
ENSG00000002822,315
ENSG00000002834,8356
ENSG00000002919,1690
ENSG00000002933,3279
ENSG00000003056,6212
ENSG00000003096,270
ENSG00000003137,66
ENSG00000003147,3704
ENSG00000003249,1911
ENSG00000003393,2492
ENSG00000003400,545
ENSG00000003402,6309
ENSG00000003436,1313
ENSG00000003509,667
ENSG00000003756,4965
ENSG00000003987,411
ENSG00000003989,84642
ENSG00000004059,4926
ENSG00000004139,682
ENSG00000004142,8450
ENSG00000004399,4789
ENSG00000004455,5781
ENSG00000004468,201
ENSG00000004478,32519
ENSG00000004487,7661
ENSG00000004534,3850
ENSG00000004660,213
ENSG00000004700,2380
ENSG00000004766,3135
ENSG00000004776,496
ENSG00000004777,871
ENSG00000004779,4054
ENSG00000004799,4458
ENSG00000004809,12
ENSG00000004838,141
ENSG00000004846,63
ENSG00000004848,10
ENSG00000004864,3130
ENSG00000004866,3073
ENSG00000004897,10815
ENSG00000004939,1
ENSG00000004948,26
ENSG00000004961,2320
ENSG00000004975,1233
ENSG00000005001,192
ENSG00000005007,4280
ENSG00000005020,1541
ENSG00000005022,24055
ENSG00000005059,1206
ENSG00000005073,7
ENSG00000005075,1098
ENSG00000005100,2619
ENSG00000005102,112
ENSG00000005108,417
ENSG00000005156,5888
ENSG00000005175,5252
ENSG00000005187,179
ENSG00000005189,516
ENSG00000005194,2480
ENSG00000005206,1327
ENSG00000005238,951
ENSG00000005243,355
ENSG00000005249,4855
ENSG00000005302,3214
ENSG00000005339,16901
ENSG00000005379,1268
ENSG00000005381,12
ENSG00000005421,7
ENSG00000005436,2237
ENSG00000005448,377
ENSG00000005469,5288
ENSG00000005471,113
ENSG00000005483,12017
ENSG00000005486,4571
ENSG00000005513,108
ENSG00000005700,12125
ENSG00000005801,2382
ENSG00000005810,11127
ENSG00000005812,13256
ENSG00000005844,1012
ENSG00000005882,1619
ENSG00000005884,1762
ENSG00000005889,9218
ENSG00000005893,40977
ENSG00000005961,52
ENSG00000005981,3
ENSG00000006007,9093
ENSG00000006015,311
ENSG00000006016,46
ENSG00000006025,510
ENSG00000006042,3260
ENSG00000006047,1231
ENSG00000006059,0
ENSG00000006062,644
ENSG00000006071,101
ENSG00000006116,0
ENSG00000006118,6949
ENSG00000006125,46830
ENSG00000006128,23
ENSG00000006194,2857
ENSG00000006210,1406
ENSG00000006282,1251
ENSG00000006283,24
ENSG00000006327,213
ENSG00000006377,2
ENSG00000006432,1973
ENSG00000006451,8585
ENSG00000006453,1377
ENSG00000006459,5484
ENSG00000006468,947
ENSG00000006530,2990
ENSG00000006534,252
ENSG00000006555,89
ENSG00000006576,4205
ENSG00000006606,13
ENSG00000006607,2975
ENSG00000006611,3
ENSG00000006625,6609
ENSG00000006634,2740
ENSG00000006638,80
ENSG00000006652,2962
ENSG00000006659,13
ENSG00000006695,1196
ENSG00000006704,2617
ENSG00000006712,3143
ENSG00000006715,7162
ENSG00000006740,935
ENSG00000006744,2282
ENSG00000006747,2575
ENSG00000006756,6698
ENSG00000006757,1251
ENSG00000006788,29
ENSG00000006831,21024
ENSG00000006837,74
ENSG00000007001,6
ENSG00000007038,17
ENSG00000007047,2673
ENSG00000007062,2004
ENSG00000007080,452
ENSG00000007129,47
ENSG00000007168,15443
ENSG00000007171,9
ENSG00000007174,48
ENSG00000007202,21726
ENSG00000007216,96
ENSG00000007237,1833
ENSG00000007255,396
ENSG00000007264,145
ENSG00000007306,24
ENSG00000007312,21
ENSG00000007314,91
ENSG00000007341,791
ENSG00000007350,4
ENSG00000007372,417
ENSG00000007376,1197
ENSG00000007384,3078
ENSG00000007392,3230
ENSG00000007402,765
ENSG00000007516,392
ENSG00000007520,468
ENSG00000007541,1986
ENSG00000007545,2005
ENSG00000007866,2511
ENSG00000007908,494
ENSG00000007923,1170
ENSG00000007933,170
ENSG00000007944,5058
ENSG00000007952,128
ENSG00000007968,609
ENSG00000008018,7999
ENSG00000008056,67
ENSG00000008083,3367
ENSG00000008086,3004
ENSG00000008118,29
ENSG00000008128,64
ENSG00000008130,2081
ENSG00000008196,16939
ENSG00000008197,1
ENSG00000008226,15
ENSG00000008256,1759
ENSG00000008277,971
ENSG00000008282,20040
ENSG00000008283,10113
ENSG00000008294,10037
ENSG00000008300,1621
ENSG00000008311,244
ENSG00000008323,183
ENSG00000008324,1037
ENSG00000008382,479
ENSG00000008394,2245
ENSG00000008405,3087
ENSG00000008438,0
ENSG00000008441,5970
ENSG00000008513,14468
ENSG00000008516,691
ENSG00000008517,477
ENSG00000008710,1740
ENSG00000008735,964
ENSG00000008838,5169
ENSG00000008853,875
ENSG00000008869,3933
ENSG00000008952,17208
