Gene stable ID,89039d8c-d631-4898-99b2-6d188ff7f02c
ENSG00000000003,2621
ENSG00000000005,34
ENSG00000000419,2462
ENSG00000000457,4643
ENSG00000000460,1534
ENSG00000000938,858
ENSG00000000971,5172
ENSG00000001036,5251
ENSG00000001084,4473
ENSG00000001167,4200
ENSG00000001460,966
ENSG00000001461,4910
ENSG00000001497,3010
ENSG00000001561,1635
ENSG00000001617,5098
ENSG00000001626,143
ENSG00000001629,10704
ENSG00000001630,877
ENSG00000001631,5456
ENSG00000002016,801
ENSG00000002079,14
ENSG00000002330,1334
ENSG00000002549,10807
ENSG00000002586,13663
ENSG00000002587,366
ENSG00000002726,98
ENSG00000002745,1
ENSG00000002746,99
ENSG00000002822,1944
ENSG00000002834,57587
ENSG00000002919,1559
ENSG00000002933,1910
ENSG00000003056,7727
ENSG00000003096,272
ENSG00000003137,364
ENSG00000003147,5590
ENSG00000003249,1946
ENSG00000003393,2866
ENSG00000003400,679
ENSG00000003402,7658
ENSG00000003436,895
ENSG00000003509,896
ENSG00000003756,6078
ENSG00000003987,628
ENSG00000003989,164810
ENSG00000004059,5758
ENSG00000004139,350
ENSG00000004142,9319
ENSG00000004399,13316
ENSG00000004455,7994
ENSG00000004468,168
ENSG00000004478,39553
ENSG00000004487,7934
ENSG00000004534,4073
ENSG00000004660,679
ENSG00000004700,3920
ENSG00000004766,1721
ENSG00000004776,561
ENSG00000004777,1171
ENSG00000004779,4562
ENSG00000004799,5677
ENSG00000004809,6
ENSG00000004838,636
ENSG00000004846,29
ENSG00000004848,40
ENSG00000004864,1010
ENSG00000004866,2963
ENSG00000004897,7678
ENSG00000004939,3
ENSG00000004948,35
ENSG00000004961,1571
ENSG00000004975,2364
ENSG00000005001,1080
ENSG00000005007,8886
ENSG00000005020,2747
ENSG00000005022,9944
ENSG00000005059,1009
ENSG00000005073,66
ENSG00000005075,966
ENSG00000005100,1744
ENSG00000005102,270
ENSG00000005108,503
ENSG00000005156,9372
ENSG00000005175,3316
ENSG00000005187,178
ENSG00000005189,733
ENSG00000005194,2997
ENSG00000005206,2333
ENSG00000005238,1778
ENSG00000005243,1416
ENSG00000005249,3865
ENSG00000005302,1656
ENSG00000005339,19132
ENSG00000005379,2895
ENSG00000005381,17
ENSG00000005421,10
ENSG00000005436,2620
ENSG00000005448,948
ENSG00000005469,12313
ENSG00000005471,360
ENSG00000005483,7590
ENSG00000005486,5981
ENSG00000005513,40
ENSG00000005700,11897
ENSG00000005801,1332
ENSG00000005810,9112
ENSG00000005812,7335
ENSG00000005844,3631
ENSG00000005882,2812
ENSG00000005884,9706
ENSG00000005889,8672
ENSG00000005893,26126
ENSG00000005961,71
ENSG00000005981,2
ENSG00000006007,7990
ENSG00000006015,1099
ENSG00000006016,220
ENSG00000006025,848
ENSG00000006042,7548
ENSG00000006047,418
ENSG00000006059,6
ENSG00000006062,1163
ENSG00000006071,204
ENSG00000006116,1
ENSG00000006118,2327
ENSG00000006125,52417
ENSG00000006128,61
ENSG00000006194,4011
ENSG00000006210,1056
ENSG00000006282,10274
ENSG00000006283,176
ENSG00000006327,2006
ENSG00000006377,4
ENSG00000006432,2304
ENSG00000006451,7029
ENSG00000006453,1489
ENSG00000006459,4574
ENSG00000006468,1683
ENSG00000006530,2096
ENSG00000006534,2223
ENSG00000006555,1083
ENSG00000006576,7139
ENSG00000006606,16
ENSG00000006607,3482
ENSG00000006611,1
ENSG00000006625,5209
ENSG00000006634,1663
ENSG00000006638,142
ENSG00000006652,1176
ENSG00000006659,2
ENSG00000006695,892
ENSG00000006704,3925
ENSG00000006712,5644
ENSG00000006715,10153
ENSG00000006740,307
ENSG00000006744,3665
ENSG00000006747,131
ENSG00000006756,15488
ENSG00000006757,3561
ENSG00000006788,64
ENSG00000006831,12012
ENSG00000006837,146
ENSG00000007001,5
ENSG00000007038,574
ENSG00000007047,2758
ENSG00000007062,186
ENSG00000007080,1716
ENSG00000007129,51
ENSG00000007168,9819
ENSG00000007171,42
ENSG00000007174,27
ENSG00000007202,22723
ENSG00000007216,57
ENSG00000007237,6502
ENSG00000007255,1409
ENSG00000007264,249
ENSG00000007306,3
ENSG00000007312,169
ENSG00000007314,103
ENSG00000007341,1301
ENSG00000007350,4
ENSG00000007372,171
ENSG00000007376,1674
ENSG00000007384,5444
ENSG00000007392,3346
ENSG00000007402,2035
ENSG00000007516,6912
ENSG00000007520,2779
ENSG00000007541,5948
ENSG00000007545,2045
ENSG00000007866,2622
ENSG00000007908,843
ENSG00000007923,2772
ENSG00000007933,314
ENSG00000007944,4147
ENSG00000007952,101
ENSG00000007968,531
ENSG00000008018,13066
ENSG00000008056,35
ENSG00000008083,3923
ENSG00000008086,2883
ENSG00000008118,24
ENSG00000008128,313
ENSG00000008130,4374
ENSG00000008196,3810
ENSG00000008197,1
ENSG00000008226,45
ENSG00000008256,3824
ENSG00000008277,2391
ENSG00000008282,6703
ENSG00000008283,13991
ENSG00000008294,18375
ENSG00000008300,624
ENSG00000008311,457
ENSG00000008323,1271
ENSG00000008324,528
ENSG00000008382,903
ENSG00000008394,29863
ENSG00000008405,2398
ENSG00000008438,4
ENSG00000008441,11690
ENSG00000008513,18978
ENSG00000008516,104
ENSG00000008517,1539
ENSG00000008710,8529
ENSG00000008735,6873
ENSG00000008838,8468
ENSG00000008853,3077
ENSG00000008869,7552
ENSG00000008952,24589
ENSG00000008988,41958
ENSG00000009307,81580
ENSG00000009335,10607
ENSG00000009413,3721
ENSG00000009694,66
ENSG00000009709,528
ENSG00000009724,85
ENSG00000009765,347
ENSG00000009780,1082
ENSG00000009790,686
ENSG00000009830,1695
ENSG00000009844,5081
ENSG00000009950,234
ENSG00000009954,20182
ENSG00000010017,6275
ENSG00000010030,218
ENSG00000010072,1828
ENSG00000010165,5439
ENSG00000010219,822
ENSG00000010244,18653
ENSG00000010256,5914
ENSG00000010270,3150
ENSG00000010278,26112
ENSG00000010282,1
ENSG00000010292,6007
ENSG00000010295,975
ENSG00000010310,355
ENSG00000010318,380
ENSG00000010319,1750
ENSG00000010322,5007
ENSG00000010327,5355
ENSG00000010361,1327
