Gene stable ID,8997905f-23b7-4c4d-b4dd-aaa1ec7e8ad8
ENSG00000000003,4761
ENSG00000000005,9
ENSG00000000419,1203
ENSG00000000457,2429
ENSG00000000460,563
ENSG00000000938,671
ENSG00000000971,1610
ENSG00000001036,3211
ENSG00000001084,2263
ENSG00000001167,1990
ENSG00000001460,871
ENSG00000001461,4232
ENSG00000001497,3689
ENSG00000001561,1633
ENSG00000001617,4669
ENSG00000001626,11
ENSG00000001629,3251
ENSG00000001630,618
ENSG00000001631,1308
ENSG00000002016,422
ENSG00000002079,10
ENSG00000002330,3094
ENSG00000002549,7772
ENSG00000002586,12665
ENSG00000002587,286
ENSG00000002726,54
ENSG00000002745,3
ENSG00000002746,17
ENSG00000002822,1669
ENSG00000002834,24322
ENSG00000002919,1489
ENSG00000002933,823
ENSG00000003056,4909
ENSG00000003096,56
ENSG00000003137,85
ENSG00000003147,4957
ENSG00000003249,7293
ENSG00000003393,1662
ENSG00000003400,260
ENSG00000003402,4639
ENSG00000003436,265
ENSG00000003509,577
ENSG00000003756,5772
ENSG00000003987,151
ENSG00000003989,17844
ENSG00000004059,8960
ENSG00000004139,619
ENSG00000004142,7412
ENSG00000004399,10196
ENSG00000004455,7593
ENSG00000004468,82
ENSG00000004478,37792
ENSG00000004487,7083
ENSG00000004534,3613
ENSG00000004660,1438
ENSG00000004700,1276
ENSG00000004766,1556
ENSG00000004776,177
ENSG00000004777,376
ENSG00000004779,4214
ENSG00000004799,614
ENSG00000004809,0
ENSG00000004838,2721
ENSG00000004846,0
ENSG00000004848,0
ENSG00000004864,1175
ENSG00000004866,2082
ENSG00000004897,3939
ENSG00000004939,0
ENSG00000004948,18
ENSG00000004961,1044
ENSG00000004975,1979
ENSG00000005001,478
ENSG00000005007,7618
ENSG00000005020,3898
ENSG00000005022,11973
ENSG00000005059,1483
ENSG00000005073,88
ENSG00000005075,1972
ENSG00000005100,1567
ENSG00000005102,48
ENSG00000005108,141
ENSG00000005156,2859
ENSG00000005175,1604
ENSG00000005187,120
ENSG00000005189,720
ENSG00000005194,1712
ENSG00000005206,2317
ENSG00000005238,1842
ENSG00000005243,955
ENSG00000005249,5065
ENSG00000005302,1322
ENSG00000005339,10172
ENSG00000005379,947
ENSG00000005381,17
ENSG00000005421,75
ENSG00000005436,1054
ENSG00000005448,675
ENSG00000005469,2236
ENSG00000005471,136
ENSG00000005483,4444
ENSG00000005486,8422
ENSG00000005513,26
ENSG00000005700,4996
ENSG00000005801,549
ENSG00000005810,4418
ENSG00000005812,4021
ENSG00000005844,1080
ENSG00000005882,1899
ENSG00000005884,4299
ENSG00000005889,4178
ENSG00000005893,11985
ENSG00000005961,21
ENSG00000005981,11
ENSG00000006007,8377
ENSG00000006015,1666
ENSG00000006016,46
ENSG00000006025,319
ENSG00000006042,4829
ENSG00000006047,165
ENSG00000006059,7
ENSG00000006062,670
ENSG00000006071,4680
ENSG00000006116,0
ENSG00000006118,4882
ENSG00000006125,31661
ENSG00000006128,1
ENSG00000006194,2682
ENSG00000006210,426
ENSG00000006282,3116
ENSG00000006283,107
ENSG00000006327,3374
ENSG00000006377,8
ENSG00000006432,1832
ENSG00000006451,2967
ENSG00000006453,1848
ENSG00000006459,826
ENSG00000006468,479
ENSG00000006530,1803
ENSG00000006534,669
ENSG00000006555,1115
ENSG00000006576,1762
ENSG00000006606,6
ENSG00000006607,2572
ENSG00000006611,27
ENSG00000006625,3323
ENSG00000006634,402
ENSG00000006638,199
ENSG00000006652,836
ENSG00000006659,0
ENSG00000006695,1254
ENSG00000006704,2404
ENSG00000006712,5670
ENSG00000006715,2737
ENSG00000006740,407
ENSG00000006744,5623
ENSG00000006747,272
ENSG00000006756,11713
ENSG00000006757,2628
ENSG00000006788,20
ENSG00000006831,6486
ENSG00000006837,41
ENSG00000007001,5
ENSG00000007038,930
ENSG00000007047,2628
ENSG00000007062,59
ENSG00000007080,3229
ENSG00000007129,82
ENSG00000007168,8587
ENSG00000007171,81
ENSG00000007174,8
ENSG00000007202,17356
ENSG00000007216,47
ENSG00000007237,2947
ENSG00000007255,2255
ENSG00000007264,239
ENSG00000007306,16
ENSG00000007312,44
ENSG00000007314,43
ENSG00000007341,674
ENSG00000007350,3
ENSG00000007372,76
ENSG00000007376,2804
ENSG00000007384,3716
ENSG00000007392,2892
ENSG00000007402,651
ENSG00000007516,1149
ENSG00000007520,3685
ENSG00000007541,9479
ENSG00000007545,1666
ENSG00000007866,1822
ENSG00000007908,78
ENSG00000007923,1908
ENSG00000007933,59
ENSG00000007944,2395
ENSG00000007952,56
ENSG00000007968,272
ENSG00000008018,8891
ENSG00000008056,25
ENSG00000008083,2349
ENSG00000008086,1633
ENSG00000008118,14
ENSG00000008128,133
ENSG00000008130,4039
ENSG00000008196,4001
ENSG00000008197,0
ENSG00000008226,106
ENSG00000008256,1524
ENSG00000008277,419
ENSG00000008282,12056
ENSG00000008283,10596
ENSG00000008294,3270
ENSG00000008300,139
ENSG00000008311,539
ENSG00000008323,479
ENSG00000008324,1015
ENSG00000008382,1520
ENSG00000008394,11229
ENSG00000008405,1939
ENSG00000008438,1
ENSG00000008441,40573
ENSG00000008513,5359
ENSG00000008516,101
ENSG00000008517,1920
ENSG00000008710,4619
ENSG00000008735,2429
ENSG00000008838,5894
ENSG00000008853,2879
ENSG00000008869,3359
ENSG00000008952,10062
ENSG00000008988,33970
ENSG00000009307,35882
ENSG00000009335,6721
ENSG00000009413,1129
ENSG00000009694,21
ENSG00000009709,7
ENSG00000009724,56
ENSG00000009765,35
ENSG00000009780,678
ENSG00000009790,267
ENSG00000009830,2533
ENSG00000009844,3143
ENSG00000009950,119
ENSG00000009954,7290
ENSG00000010017,2968
ENSG00000010030,265
ENSG00000010072,1046
ENSG00000010165,6297
ENSG00000010219,767
ENSG00000010244,7997
ENSG00000010256,11374
ENSG00000010270,1146
ENSG00000010278,17797
ENSG00000010282,5
ENSG00000010292,4384
ENSG00000010295,663
ENSG00000010310,247
ENSG00000010318,407
ENSG00000010319,684
ENSG00000010322,7587
ENSG00000010327,3820
ENSG00000010361,1343
ENSG00000010379,5
ENSG00000010404,4730
ENSG00000010438,38
ENSG00000010539,585
ENSG00000010610,4929
ENSG00000010626,620
ENSG00000010671,499
ENSG00000010704,760
ENSG00000010803,2689
ENSG00000010810,1031
ENSG00000010818,1010
ENSG00000010932,422
ENSG00000011007,3246
ENSG00000011009,6279
ENSG00000011021,737
ENSG00000011028,11088
ENSG00000011052,51
ENSG00000011083,7
ENSG00000011105,7122
ENSG00000011114,2658
ENSG00000011132,1176
ENSG00000011143,1202
ENSG00000011198,1320
ENSG00000011201,2772
ENSG00000011243,2135
ENSG00000011258,1229
ENSG00000011260,2141
ENSG00000011275,3344
ENSG00000011295,4577
ENSG00000011304,20207
ENSG00000011332,33
ENSG00000011347,7866
ENSG00000011376,1647
ENSG00000011405,3352
ENSG00000011422,1867
ENSG00000011426,1101
ENSG00000011451,5611
ENSG00000011454,4216
ENSG00000011465,31673
ENSG00000011478,1075
ENSG00000011485,3102
ENSG00000011523,1887
ENSG00000011566,2476
ENSG00000011590,22
ENSG00000011600,4675
ENSG00000011638,2325
ENSG00000011677,2
ENSG00000012048,791
ENSG00000012061,3857
ENSG00000012124,836
ENSG00000012171,1382
ENSG00000012174,1666
ENSG00000012211,734
ENSG00000012223,19951
ENSG00000012232,3272
ENSG00000012504,0
ENSG00000012660,94197
ENSG00000012779,2780
ENSG00000012817,1
ENSG00000012822,3726
ENSG00000012963,4306
ENSG00000012983,2065
ENSG00000013016,1165
ENSG00000013275,5302
ENSG00000013288,7457
ENSG00000013293,0
ENSG00000013297,179
ENSG00000013306,10685
ENSG00000013364,17743
ENSG00000013374,4863
ENSG00000013375,1975
ENSG00000013392,382
ENSG00000013441,1857
ENSG00000013503,1066
ENSG00000013523,1958
ENSG00000013561,5253
ENSG00000013563,1176
ENSG00000013573,1196
ENSG00000013583,6926
ENSG00000013588,18919
ENSG00000013619,111
ENSG00000013725,647
ENSG00000013810,1955
ENSG00000014123,2784
ENSG00000014138,1549
ENSG00000014164,1924
ENSG00000014216,18497
ENSG00000014257,43
ENSG00000014641,7021
ENSG00000014824,4662
ENSG00000014914,1072
ENSG00000014919,3322
ENSG00000015133,2843
ENSG00000015153,882
ENSG00000015171,9049
ENSG00000015285,797
ENSG00000015413,85
ENSG00000015475,1458
ENSG00000015479,245
ENSG00000015520,109
ENSG00000015532,3002
ENSG00000015568,0
ENSG00000015592,28
ENSG00000015676,7798
ENSG00000016082,0
ENSG00000016391,2224
ENSG00000016402,4897
ENSG00000016490,4
ENSG00000016602,3
ENSG00000016864,3288
ENSG00000017260,7523
ENSG00000017427,53
ENSG00000017483,1037
ENSG00000017797,6395
ENSG00000018189,1528
ENSG00000018236,657
ENSG00000018280,699
ENSG00000018408,3035
ENSG00000018510,556
ENSG00000018607,2
ENSG00000018610,943
ENSG00000018625,138
ENSG00000018699,1171
ENSG00000018869,220
ENSG00000019102,8
ENSG00000019144,2931
ENSG00000019169,63
ENSG00000019186,7
ENSG00000019485,567
ENSG00000019505,4452
ENSG00000019549,1081
ENSG00000019582,153866
ENSG00000019991,358
ENSG00000019995,1247
ENSG00000020129,2967
ENSG00000020181,1693
ENSG00000020219,0
ENSG00000020256,1400
ENSG00000020426,465
ENSG00000020577,886
ENSG00000020633,640
ENSG00000020922,958
ENSG00000021300,625
ENSG00000021355,4295
ENSG00000021461,1
ENSG00000021488,13
ENSG00000021574,1527
ENSG00000021645,106
ENSG00000021762,2432
ENSG00000021776,4804
ENSG00000021826,79
ENSG00000021852,5
ENSG00000022267,889
ENSG00000022277,5974
ENSG00000022355,0
ENSG00000022556,3132
ENSG00000022567,1602
ENSG00000022840,11634
ENSG00000022976,583
ENSG00000023041,2180
ENSG00000023171,121
ENSG00000023191,7372
ENSG00000023228,6734
ENSG00000023287,3181
ENSG00000023318,2885
ENSG00000023330,3170
ENSG00000023445,630
ENSG00000023516,3903
ENSG00000023572,650
ENSG00000023608,248
ENSG00000023697,1514
ENSG00000023734,7760
ENSG00000023839,20
ENSG00000023892,1178
ENSG00000023902,3335
ENSG00000023909,1059
ENSG00000024048,3713
ENSG00000024422,4442
ENSG00000024526,312
ENSG00000024862,2637
ENSG00000025039,319
ENSG00000025156,685
ENSG00000025293,3823
ENSG00000025423,241
ENSG00000025434,1227
ENSG00000025708,11320
ENSG00000025770,2245
ENSG00000025772,2897
ENSG00000025796,6636
ENSG00000025800,4818
ENSG00000026025,34970
ENSG00000026036,70
ENSG00000026103,648
ENSG00000026297,10660
ENSG00000026508,37975
ENSG00000026559,14
ENSG00000026652,630
ENSG00000026751,457
ENSG00000026950,1610
ENSG00000027001,3245
ENSG00000027075,1703
ENSG00000027644,35
ENSG00000027697,4418
ENSG00000027847,1833
ENSG00000027869,458
ENSG00000028116,1046
ENSG00000028137,2101
ENSG00000028203,4204
ENSG00000028277,299
ENSG00000028310,2208
ENSG00000028528,8970
ENSG00000028839,479
ENSG00000029153,385
ENSG00000029363,8395
ENSG00000029364,11300
ENSG00000029534,18
ENSG00000029559,390
ENSG00000029639,657
ENSG00000029725,13898
ENSG00000029993,5512
ENSG00000030066,3030
ENSG00000030110,1552
ENSG00000030304,0
ENSG00000030419,705
ENSG00000030582,34539
ENSG00000031003,1768
ENSG00000031081,1682
ENSG00000031691,240
ENSG00000031698,8786
ENSG00000031823,3974
ENSG00000032219,948
ENSG00000032389,1642
ENSG00000032444,4612
ENSG00000032742,1448
ENSG00000033011,2488
ENSG00000033030,1263
ENSG00000033050,3992
ENSG00000033100,5367
ENSG00000033122,22
ENSG00000033170,4029
ENSG00000033178,2467
ENSG00000033327,1807
ENSG00000033627,4498
ENSG00000033800,2782
ENSG00000033867,1487
ENSG00000034053,569
ENSG00000034152,3343
ENSG00000034239,7
ENSG00000034510,51106
ENSG00000034533,521
ENSG00000034677,3849
ENSG00000034693,750
ENSG00000034713,2547
ENSG00000034971,3
ENSG00000035115,2940
ENSG00000035141,1869
ENSG00000035403,9842
ENSG00000035499,188
ENSG00000035664,507
ENSG00000035681,1907
ENSG00000035687,8581
ENSG00000035720,7
ENSG00000035862,27457
ENSG00000035928,3642
ENSG00000036054,1806
ENSG00000036257,4639
ENSG00000036448,3
ENSG00000036473,0
ENSG00000036530,71
ENSG00000036549,2801
ENSG00000036565,9
ENSG00000036672,37
ENSG00000036828,1
ENSG00000037042,907
ENSG00000037241,981
ENSG00000037280,600
ENSG00000037474,4165
ENSG00000037637,2062
ENSG00000037749,1719
ENSG00000037757,2581
ENSG00000037897,1391
ENSG00000037965,116
ENSG00000038002,3445
ENSG00000038210,928
ENSG00000038219,3455
ENSG00000038274,3742
ENSG00000038295,297
ENSG00000038358,2127
ENSG00000038382,7491
ENSG00000038427,21040
ENSG00000038532,3723
ENSG00000038945,3667
ENSG00000039068,22615
ENSG00000039123,3735
ENSG00000039139,1809
ENSG00000039319,2738
ENSG00000039523,2819
ENSG00000039537,40
ENSG00000039560,2350
ENSG00000039600,13
ENSG00000039650,2563
ENSG00000039987,1
ENSG00000040199,588
ENSG00000040275,464
ENSG00000040341,2584
ENSG00000040487,1108
ENSG00000040531,1306
ENSG00000040608,405
ENSG00000040633,4034
ENSG00000040731,0
ENSG00000040933,1573
ENSG00000041353,4991
ENSG00000041357,6143
ENSG00000041515,19
ENSG00000041802,2223
ENSG00000041880,2544
ENSG00000041982,3789
ENSG00000041988,948
ENSG00000042062,189
ENSG00000042088,1156
ENSG00000042286,1385
ENSG00000042304,2
ENSG00000042317,514
ENSG00000042429,878
ENSG00000042445,8484
ENSG00000042493,17053
ENSG00000042753,6986
ENSG00000042781,27
ENSG00000042813,3
ENSG00000042832,24
ENSG00000042980,539
ENSG00000043039,327
ENSG00000043093,1863
ENSG00000043143,4523
ENSG00000043355,2
ENSG00000043462,1369
ENSG00000043514,853
ENSG00000043591,7
ENSG00000044012,1
ENSG00000044090,5521
ENSG00000044115,25866
ENSG00000044446,1913
ENSG00000044459,333
ENSG00000044524,82
ENSG00000044574,38820
ENSG00000046604,9444
ENSG00000046647,1734
ENSG00000046651,2268
ENSG00000046653,736
ENSG00000046774,3
ENSG00000046889,164
ENSG00000047056,2435
ENSG00000047188,2349
ENSG00000047230,2737
ENSG00000047249,3407
ENSG00000047315,7280
ENSG00000047346,9372
ENSG00000047365,796
ENSG00000047410,11801
ENSG00000047457,25
ENSG00000047578,3258
ENSG00000047579,1308
ENSG00000047597,27
ENSG00000047617,243
ENSG00000047621,770
ENSG00000047634,526
ENSG00000047644,5874
ENSG00000047648,118
ENSG00000047662,70
ENSG00000047849,18024
ENSG00000047932,2327
ENSG00000047936,1
ENSG00000048028,766
ENSG00000048052,183
