Gene stable ID,9d260c0b-0bbc-4a31-bbe8-b9a2465f6fa6
ENSG00000000003,3160
ENSG00000000005,12
ENSG00000000419,2317
ENSG00000000457,2232
ENSG00000000460,702
ENSG00000000938,129
ENSG00000000971,2754
ENSG00000001036,359
ENSG00000001084,2398
ENSG00000001167,2326
ENSG00000001460,1426
ENSG00000001461,13480
ENSG00000001497,3727
ENSG00000001561,2093
ENSG00000001617,11271
ENSG00000001626,1
ENSG00000001629,9407
ENSG00000001630,763
ENSG00000001631,2866
ENSG00000002016,317
ENSG00000002079,6
ENSG00000002330,1917
ENSG00000002549,11627
ENSG00000002586,3701
ENSG00000002587,85
ENSG00000002726,16
ENSG00000002745,0
ENSG00000002746,80
ENSG00000002822,1490
ENSG00000002834,27353
ENSG00000002919,2512
ENSG00000002933,468
ENSG00000003056,3610
ENSG00000003096,163
ENSG00000003137,118
ENSG00000003147,4825
ENSG00000003249,3018
ENSG00000003393,3643
ENSG00000003400,222
ENSG00000003402,3505
ENSG00000003436,608
ENSG00000003509,550
ENSG00000003756,3745
ENSG00000003987,217
ENSG00000003989,13369
ENSG00000004059,6911
ENSG00000004139,1327
ENSG00000004142,11182
ENSG00000004399,19574
ENSG00000004455,6388
ENSG00000004468,118
ENSG00000004478,32793
ENSG00000004487,8171
ENSG00000004534,3073
ENSG00000004660,540
ENSG00000004700,1728
ENSG00000004766,3962
ENSG00000004776,172
ENSG00000004777,959
ENSG00000004779,2923
ENSG00000004799,750
ENSG00000004809,11
ENSG00000004838,1689
ENSG00000004846,5
ENSG00000004848,501
ENSG00000004864,1891
ENSG00000004866,1514
ENSG00000004897,4179
ENSG00000004939,4
ENSG00000004948,26
ENSG00000004961,1870
ENSG00000004975,1280
ENSG00000005001,786
ENSG00000005007,12287
ENSG00000005020,4650
ENSG00000005022,12454
ENSG00000005059,1618
ENSG00000005073,10
ENSG00000005075,2255
ENSG00000005100,1699
ENSG00000005102,1069
ENSG00000005108,101
ENSG00000005156,3281
ENSG00000005175,3399
ENSG00000005187,147
ENSG00000005189,1047
ENSG00000005194,1633
ENSG00000005206,4166
ENSG00000005238,1439
ENSG00000005243,217
ENSG00000005249,32171
ENSG00000005302,1224
ENSG00000005339,9362
ENSG00000005379,22
ENSG00000005381,1
ENSG00000005421,0
ENSG00000005436,1990
ENSG00000005448,1982
ENSG00000005469,3293
ENSG00000005471,69
